,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-04-15 00:00:00,47.94,47.94,40.208,43.302,1232,2008
1,2008-04-16 00:00:00,44.848,44.848,41.756,44.848,106,2008
2,2008-04-17 00:00:00,43.302,47.94,43.302,43.302,708,2008
3,2008-04-18 00:00:00,43.302,43.302,41.756,41.756,303,2008
4,2008-04-21 00:00:00,41.756,43.302,41.756,43.302,62,2008
5,2008-04-22 00:00:00,43.302,43.302,41.756,41.756,23,2008
6,2008-04-23 00:00:00,41.756,41.756,35.568000000000005,38.662,297,2008
7,2008-04-24 00:00:00,37.116,40.208,37.116,40.208,2,2008
8,2008-04-25 00:00:00,40.208,40.208,38.662,40.208,383,2008
9,2008-04-28 00:00:00,43.302,43.302,43.302,43.302,21,2008
10,2008-04-29 00:00:00,43.302,47.94,43.302,43.302,76,2008
11,2008-04-30 00:00:00,43.302,44.848,43.302,44.848,32,2008
12,2008-05-05 00:00:00,43.302,46.396,43.302,46.396,186,2008
13,2008-05-06 00:00:00,46.396,46.396,46.396,46.396,1,2008
14,2008-05-07 00:00:00,46.396,46.396,43.302,43.302,4,2008
15,2008-05-08 00:00:00,43.302,43.302,41.756,41.756,88,2008
16,2008-05-09 00:00:00,44.848,44.848,44.848,44.848,1,2008
17,2008-05-12 00:00:00,43.302,43.302,43.302,43.302,14,2008
18,2008-05-13 00:00:00,44.848,44.848,44.848,44.848,1,2008
19,2008-05-14 00:00:00,44.848,44.848,44.848,44.848,1,2008
20,2008-05-15 00:00:00,43.302,43.302,43.302,43.302,1,2008
21,2008-05-16 00:00:00,40.208,43.302,40.208,43.302,22,2008
22,2008-05-26 00:00:00,43.302,43.302,40.208,40.208,40,2008
23,2008-05-28 00:00:00,38.662,43.302,38.662,43.302,12,2008
24,2008-05-29 00:00:00,43.302,43.302,43.302,43.302,3,2008
25,2008-05-30 00:00:00,43.302,43.302,43.302,43.302,1,2008
26,2008-06-03 00:00:00,43.302,43.302,43.302,43.302,1,2008
27,2008-06-06 00:00:00,38.662,41.756,38.662,41.756,56,2008
28,2008-06-09 00:00:00,41.756,41.756,41.756,41.756,20,2008
29,2008-06-10 00:00:00,37.116,40.208,37.116,40.208,157,2008
30,2008-06-11 00:00:00,37.116,38.662,37.116,38.662,106,2008
31,2008-06-18 00:00:00,38.662,38.662,37.116,37.116,13,2008
32,2008-06-20 00:00:00,40.208,40.208,40.208,40.208,11,2008
33,2008-06-23 00:00:00,38.662,38.662,38.662,38.662,21,2008
34,2008-06-24 00:00:00,37.116,40.208,37.116,40.208,12,2008
35,2008-06-25 00:00:00,40.208,40.208,40.208,40.208,29,2008
36,2008-06-26 00:00:00,37.116,37.116,37.116,37.116,3,2008
37,2008-06-30 00:00:00,40.208,40.208,40.208,40.208,20,2008
38,2008-07-01 00:00:00,35.568000000000005,35.568000000000005,34.024,34.024,140,2008
39,2008-07-02 00:00:00,34.024,41.756,34.024,41.756,315,2008
40,2008-07-03 00:00:00,37.116,40.208,37.116,40.208,71,2008
41,2008-07-04 00:00:00,40.208,43.302,37.116,37.116,191,2008
42,2008-07-09 00:00:00,37.116,37.116,37.116,37.116,64,2008
43,2008-07-15 00:00:00,34.024,37.116,34.024,37.116,22,2008
44,2008-07-21 00:00:00,40.208,40.208,40.208,40.208,27,2008
45,2008-07-22 00:00:00,41.756,41.756,35.568000000000005,35.568000000000005,181,2008
46,2008-07-24 00:00:00,35.568000000000005,35.568000000000005,35.568000000000005,35.568000000000005,1,2008
47,2008-07-28 00:00:00,35.568000000000005,43.302,35.568000000000005,43.302,114,2008
48,2008-07-29 00:00:00,43.302,43.302,43.302,43.302,1,2008
49,2008-07-30 00:00:00,37.116,37.116,37.116,37.116,104,2008
50,2008-07-31 00:00:00,38.662,38.662,38.662,38.662,51,2008
51,2008-08-05 00:00:00,40.208,46.396,40.208,46.396,198,2008
52,2008-08-06 00:00:00,44.848,44.848,40.208,41.756,298,2008
53,2008-08-07 00:00:00,41.756,41.756,37.116,37.116,94,2008
54,2008-08-08 00:00:00,40.208,40.208,40.208,40.208,82,2008
55,2008-08-11 00:00:00,40.208,40.208,37.116,37.116,85,2008
56,2008-08-20 00:00:00,40.208,41.756,40.208,41.756,231,2008
57,2008-08-21 00:00:00,40.208,40.208,38.662,40.208,251,2008
58,2008-08-22 00:00:00,40.208,40.208,40.208,40.208,58,2008
59,2008-08-25 00:00:00,40.208,40.208,40.208,40.208,4,2008
60,2008-08-26 00:00:00,40.208,40.208,40.208,40.208,1,2008
61,2008-08-27 00:00:00,40.208,40.208,37.116,38.662,119,2008
62,2008-08-28 00:00:00,37.116,37.116,34.024,34.024,112,2008
63,2008-08-29 00:00:00,34.024,34.024,34.024,34.024,18,2008
64,2008-09-01 00:00:00,34.024,34.024,34.024,34.024,18,2008
65,2008-09-02 00:00:00,32.476,32.476,29.384,32.476,266,2008
66,2008-09-03 00:00:00,32.476,32.476,32.476,32.476,11,2008
67,2008-09-04 00:00:00,32.476,32.476,32.476,32.476,67,2008
68,2008-09-08 00:00:00,27.836,27.836,27.836,27.836,82,2008
69,2008-09-09 00:00:00,26.29,27.836,26.29,27.836,248,2008
70,2008-09-10 00:00:00,29.384,29.384,29.384,29.384,102,2008
71,2008-09-15 00:00:00,29.384,32.476,27.836,32.476,264,2008
72,2008-09-16 00:00:00,32.476,32.476,32.476,32.476,0,2008
73,2008-09-18 00:00:00,32.476,34.024,32.476,34.024,112,2008
74,2008-09-19 00:00:00,34.024,35.568000000000005,34.024,35.568000000000005,98,2008
75,2008-09-22 00:00:00,32.476,32.476,32.476,32.476,77,2008
76,2008-09-23 00:00:00,34.024,37.116,34.024,37.116,117,2008
77,2008-09-24 00:00:00,35.568000000000005,37.116,34.024,37.116,154,2008
78,2008-09-25 00:00:00,37.116,37.116,37.116,37.116,6,2008
79,2008-09-26 00:00:00,37.116,37.116,37.116,37.116,2,2008
80,2008-09-29 00:00:00,37.116,37.116,37.116,37.116,1,2008
81,2008-09-30 00:00:00,37.116,37.116,37.116,37.116,1,2008
82,2008-10-01 00:00:00,37.116,37.116,37.116,37.116,1,2008
83,2008-10-02 00:00:00,37.116,38.662,37.116,38.662,31,2008
84,2008-10-03 00:00:00,40.208,40.208,40.208,40.208,47,2008
85,2008-10-07 00:00:00,38.662,40.208,38.662,40.208,36,2008
86,2008-10-09 00:00:00,40.208,40.208,40.208,40.208,1,2008
87,2008-10-10 00:00:00,40.208,40.208,40.208,40.208,1,2008
88,2008-10-13 00:00:00,40.208,40.208,40.208,40.208,25,2008
89,2008-10-14 00:00:00,40.208,40.208,40.208,40.208,1,2008
90,2008-10-15 00:00:00,40.208,40.208,40.208,40.208,1,2008
91,2008-10-16 00:00:00,40.208,40.208,40.208,40.208,23,2008
92,2008-10-17 00:00:00,40.208,40.208,40.208,40.208,1,2008
93,2008-10-20 00:00:00,40.208,40.208,40.208,40.208,1,2008
94,2008-10-21 00:00:00,40.208,40.208,40.208,40.208,1,2008
95,2008-10-22 00:00:00,40.208,40.208,35.568000000000005,37.116,161,2008
96,2008-10-23 00:00:00,38.662,38.662,37.116,37.116,43,2008
97,2008-10-24 00:00:00,37.116,37.116,37.116,37.116,1,2008
98,2008-10-27 00:00:00,37.116,37.116,34.024,37.116,151,2008
99,2008-10-28 00:00:00,37.116,37.116,37.116,37.116,30,2008
100,2008-10-29 00:00:00,40.208,40.208,40.208,40.208,0,2008
101,2008-10-30 00:00:00,40.208,40.208,35.568000000000005,38.662,77,2008
