,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2014-05-13 00:00:00,2.19,2.95,2.15,2.65,6565,2014
1,2014-05-14 00:00:00,2.8,3.0,2.3,3.0,3024,2014
2,2014-05-15 00:00:00,3.0,3.0,2.4,2.5,5557,2014
3,2014-05-16 00:00:00,2.95,2.95,2.1,2.1,3733,2014
4,2014-05-19 00:00:00,2.4,2.4,2.4,2.4,10,2014
5,2014-05-20 00:00:00,2.87,2.87,2.11,2.11,205,2014
6,2014-05-21 00:00:00,2.5,2.5,2.12,2.32,127,2014
7,2014-05-22 00:00:00,2.49,2.49,2.0,2.0,2966,2014
8,2014-05-23 00:00:00,1.96,2.08,1.92,1.95,953,2014
9,2014-05-26 00:00:00,2.1,2.1,2.1,2.1,45,2014
10,2014-05-27 00:00:00,2.19,2.19,1.92,2.06,429,2014
11,2014-05-28 00:00:00,2.06,2.06,1.95,1.95,119,2014
12,2014-05-29 00:00:00,2.05,2.05,2.05,2.05,22,2014
13,2014-05-30 00:00:00,2.09,2.09,2.09,2.09,2,2014
14,2014-06-02 00:00:00,2.09,2.1,2.09,2.1,424,2014
15,2014-06-03 00:00:00,2.1,2.1,2.1,2.1,11,2014
16,2014-06-04 00:00:00,2.1,2.1,2.1,2.1,9,2014
17,2014-06-05 00:00:00,2.1,2.1,1.94,1.94,752,2014
18,2014-06-06 00:00:00,2.1,2.1,1.94,2.1,356,2014
19,2014-06-09 00:00:00,2.1,2.1,2.1,2.1,13,2014
20,2014-06-10 00:00:00,2.1,2.1,2.1,2.1,17,2014
21,2014-06-11 00:00:00,2.1,2.1,2.1,2.1,4,2014
22,2014-06-12 00:00:00,2.1,2.1,2.1,2.1,13,2014
23,2014-06-13 00:00:00,2.1,2.1,2.1,2.1,10,2014
24,2014-06-16 00:00:00,2.1,2.1,2.1,2.1,7,2014
25,2014-06-17 00:00:00,2.1,2.1,2.1,2.1,5,2014
26,2014-06-18 00:00:00,2.1,2.1,1.93,1.93,225,2014
27,2014-06-20 00:00:00,2.1,2.1,2.1,2.1,6,2014
28,2014-06-23 00:00:00,2.1,2.1,2.1,2.1,5,2014
29,2014-06-24 00:00:00,2.1,2.1,2.1,2.1,4,2014
30,2014-06-25 00:00:00,2.1,2.1,2.1,2.1,5,2014
31,2014-06-26 00:00:00,2.1,2.1,2.1,2.1,3,2014
32,2014-06-27 00:00:00,2.1,2.1,2.1,2.1,5,2014
33,2014-06-30 00:00:00,2.1,2.1,2.1,2.1,6,2014
34,2014-07-01 00:00:00,2.19,2.19,2.19,2.19,15,2014
35,2014-07-02 00:00:00,2.19,2.19,2.19,2.19,3,2014
36,2014-07-03 00:00:00,2.19,2.19,1.97,2.19,182,2014
37,2014-07-04 00:00:00,2.19,2.19,2.19,2.19,2,2014
38,2014-07-07 00:00:00,2.19,2.19,2.19,2.19,2,2014
39,2014-07-08 00:00:00,2.19,2.19,2.19,2.19,4,2014
40,2014-07-09 00:00:00,2.19,2.19,2.19,2.19,1,2014
41,2014-07-10 00:00:00,2.19,2.19,1.99,2.19,703,2014
42,2014-07-11 00:00:00,2.19,2.19,2.19,2.19,2,2014
43,2014-07-14 00:00:00,2.19,2.19,2.19,2.19,1,2014
