,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2014-03-13 00:00:00,0.87,1.19,0.7,0.9,273696,2014
1,2014-03-14 00:00:00,0.86,0.96,0.79,0.95,99285,2014
2,2014-03-17 00:00:00,0.95,0.97,0.81,0.89,34969,2014
3,2014-03-18 00:00:00,0.91,0.91,0.83,0.87,18297,2014
4,2014-03-19 00:00:00,0.83,0.86,0.8,0.84,24493,2014
5,2014-03-20 00:00:00,0.81,0.81,0.71,0.8,32184,2014
6,2014-03-21 00:00:00,0.79,0.79,0.71,0.77,19986,2014
7,2014-03-24 00:00:00,0.77,0.8,0.71,0.8,18470,2014
8,2014-03-25 00:00:00,0.8,0.8,0.75,0.76,13248,2014
9,2014-03-26 00:00:00,0.8,0.8,0.75,0.76,6259,2014
10,2014-03-27 00:00:00,0.76,0.77,0.73,0.77,5446,2014
11,2014-03-28 00:00:00,0.77,0.77,0.75,0.75,2600,2014
12,2014-03-31 00:00:00,0.75,0.77,0.67,0.69,7391,2014
13,2014-04-01 00:00:00,0.73,0.87,0.68,0.87,28890,2014
14,2014-04-02 00:00:00,0.92,0.92,0.77,0.92,29121,2014
15,2014-04-03 00:00:00,0.92,0.95,0.78,0.84,27355,2014
16,2014-04-04 00:00:00,0.84,0.84,0.77,0.81,817,2014
17,2014-04-07 00:00:00,0.81,0.81,0.72,0.8,11711,2014
18,2014-04-08 00:00:00,0.71,0.79,0.7,0.79,8343,2014
19,2014-04-09 00:00:00,0.73,0.79,0.72,0.77,11541,2014
20,2014-04-10 00:00:00,0.76,0.77,0.76,0.77,1672,2014
21,2014-04-11 00:00:00,0.77,0.77,0.72,0.73,6478,2014
22,2014-04-14 00:00:00,0.74,0.77,0.74,0.74,3743,2014
23,2014-04-15 00:00:00,0.76,0.76,0.72,0.72,600,2014
24,2014-04-16 00:00:00,0.76,0.77,0.76,0.76,5556,2014
25,2014-04-17 00:00:00,0.76,0.77,0.72,0.77,5608,2014
26,2014-04-22 00:00:00,0.77,0.8,0.77,0.8,5135,2014
27,2014-04-23 00:00:00,0.8,0.8,0.74,0.74,4300,2014
28,2014-04-24 00:00:00,0.74,0.82,0.74,0.79,3361,2014
29,2014-04-25 00:00:00,0.81,0.81,0.75,0.75,2,2014
30,2014-04-28 00:00:00,0.81,0.81,0.81,0.81,800,2014
31,2014-04-29 00:00:00,0.8,0.8,0.72,0.74,57480,2014
32,2014-04-30 00:00:00,0.73,0.73,0.72,0.72,1101,2014
33,2014-05-02 00:00:00,0.71,0.76,0.71,0.76,6390,2014
34,2014-05-05 00:00:00,0.79,0.79,0.65,0.7,25295,2014
35,2014-05-06 00:00:00,0.71,0.71,0.65,0.65,81,2014
36,2014-05-07 00:00:00,0.71,0.71,0.7,0.71,2088,2014
37,2014-05-09 00:00:00,0.71,0.71,0.71,0.71,1700,2014
38,2014-05-12 00:00:00,0.69,0.69,0.69,0.69,1600,2014
39,2014-05-13 00:00:00,0.69,0.69,0.69,0.69,150,2014
40,2014-05-14 00:00:00,0.69,0.72,0.69,0.72,200,2014
41,2014-05-15 00:00:00,0.69,0.73,0.69,0.73,200,2014
42,2014-05-19 00:00:00,0.71,0.71,0.71,0.71,30,2014
43,2014-05-21 00:00:00,0.71,0.71,0.64,0.64,2200,2014
44,2014-05-22 00:00:00,0.72,0.72,0.6,0.62,9900,2014
45,2014-05-23 00:00:00,0.6,0.62,0.6,0.62,1109,2014
46,2014-05-26 00:00:00,0.62,0.64,0.56,0.56,4731,2014
47,2014-05-27 00:00:00,0.57,0.67,0.57,0.58,14875,2014
48,2014-05-28 00:00:00,0.59,0.64,0.59,0.6,7100,2014
49,2014-05-29 00:00:00,0.65,0.65,0.59,0.59,3450,2014
50,2014-05-30 00:00:00,0.59,0.59,0.59,0.59,5100,2014
51,2014-06-02 00:00:00,0.6,0.6,0.6,0.6,400,2014
