,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-02-01 00:00:00,1.72,1.72,1.69,1.7,7708,2012
1,2012-02-02 00:00:00,1.7,1.71,1.55,1.69,314369,2012
2,2012-02-03 00:00:00,1.7,1.7,1.66,1.7,45840,2012
3,2012-02-06 00:00:00,1.7,1.7,1.7,1.7,7150,2012
4,2012-02-07 00:00:00,1.7,1.7,1.68,1.68,525,2012
5,2012-02-08 00:00:00,1.7,1.7,1.69,1.69,12,2012
6,2012-02-09 00:00:00,1.69,1.69,1.69,1.69,248,2012
7,2012-02-10 00:00:00,1.69,1.7,1.66,1.7,1352,2012
8,2012-02-13 00:00:00,1.7,1.7,1.7,1.7,10,2012
9,2012-02-14 00:00:00,1.7,1.7,1.65,1.69,520,2012
10,2012-02-15 00:00:00,1.7,1.7,1.69,1.7,8952,2012
11,2012-02-16 00:00:00,1.7,1.7,1.69,1.7,450,2012
12,2012-02-17 00:00:00,1.7,1.7,1.7,1.7,100,2012
13,2012-02-20 00:00:00,1.7,1.7,1.55,1.68,10935,2012
14,2012-02-21 00:00:00,1.7,1.7,1.59,1.67,9375,2012
15,2012-02-22 00:00:00,1.68,1.68,1.68,1.68,10,2012
16,2012-02-23 00:00:00,1.65,1.7,1.6,1.7,16000,2012
17,2012-02-24 00:00:00,1.69,1.69,1.57,1.67,16225,2012
18,2012-02-27 00:00:00,1.63,1.67,1.59,1.6,4400,2012
19,2012-02-28 00:00:00,1.6,1.65,1.51,1.64,20420,2012
20,2012-02-29 00:00:00,1.65,1.66,1.55,1.64,9960,2012
21,2012-03-01 00:00:00,1.63,1.65,1.54,1.63,14183,2012
22,2012-03-02 00:00:00,1.66,1.66,1.66,1.66,10,2012
23,2012-03-05 00:00:00,1.57,1.63,1.51,1.62,6180,2012
24,2012-03-06 00:00:00,1.61,1.65,1.53,1.61,14060,2012
25,2012-03-07 00:00:00,1.62,1.62,1.54,1.6,18760,2012
26,2012-03-08 00:00:00,1.54,1.6,1.52,1.6,2200,2012
27,2012-03-09 00:00:00,1.51,1.62,1.5,1.6,11400,2012
28,2012-03-12 00:00:00,1.53,1.61,1.53,1.61,3200,2012
29,2012-03-13 00:00:00,1.53,1.6,1.51,1.6,3000,2012
30,2012-03-14 00:00:00,1.58,1.7,1.54,1.62,12900,2012
31,2012-03-15 00:00:00,1.56,1.62,1.55,1.62,2000,2012
32,2012-03-16 00:00:00,1.59,1.61,1.51,1.61,5110,2012
33,2012-03-19 00:00:00,1.61,1.61,1.53,1.58,6250,2012
34,2012-03-20 00:00:00,1.57,1.6,1.5,1.59,6351,2012
35,2012-03-21 00:00:00,1.51,1.61,1.51,1.6,16200,2012
36,2012-03-22 00:00:00,1.6,1.61,1.51,1.61,34010,2012
37,2012-03-23 00:00:00,1.61,1.61,1.53,1.53,8010,2012
38,2012-03-26 00:00:00,1.53,1.59,1.5,1.56,13800,2012
39,2012-03-27 00:00:00,1.51,1.67,1.51,1.66,13578,2012
40,2012-03-28 00:00:00,1.68,1.7,1.68,1.7,4100,2012
41,2012-03-29 00:00:00,1.68,1.68,1.68,1.68,4230,2012
42,2012-03-30 00:00:00,1.68,1.7,1.63,1.7,1601,2012
43,2012-04-02 00:00:00,1.7,1.7,1.69,1.69,2150,2012
44,2012-04-03 00:00:00,1.69,1.69,1.59,1.65,10920,2012
45,2012-04-04 00:00:00,1.59,1.63,1.54,1.61,15200,2012
46,2012-04-05 00:00:00,1.61,1.61,1.61,1.61,50,2012
47,2012-04-10 00:00:00,1.61,1.61,1.61,1.61,70,2012
48,2012-04-11 00:00:00,1.61,1.61,1.61,1.61,50,2012
49,2012-04-12 00:00:00,1.61,1.61,1.61,1.61,50,2012
50,2012-04-13 00:00:00,1.61,1.61,1.61,1.61,20,2012
51,2012-04-16 00:00:00,1.61,1.61,1.61,1.61,50,2012
52,2012-04-17 00:00:00,1.61,1.61,1.61,1.61,45,2012
53,2012-04-18 00:00:00,1.61,1.61,1.61,1.61,50,2012
54,2012-04-20 00:00:00,1.57,1.57,1.57,1.57,100,2012
55,2012-04-23 00:00:00,1.59,1.61,1.59,1.61,200,2012
56,2012-04-25 00:00:00,1.62,1.62,1.62,1.62,100,2012
57,2012-04-26 00:00:00,1.61,1.61,1.61,1.61,100,2012
58,2012-04-30 00:00:00,1.6,1.6,1.6,1.6,1,2012
59,2012-05-04 00:00:00,1.61,1.61,1.61,1.61,100,2012
60,2012-05-10 00:00:00,1.59,1.63,1.59,1.63,250,2012
61,2012-05-11 00:00:00,1.63,1.63,1.55,1.6,567,2012
62,2012-05-17 00:00:00,1.57,1.57,1.57,1.57,500,2012
