,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2018-06-05 00:00:00,80.0,87.8,70.0,74.0,7558,2018
1,2018-06-06 00:00:00,71.0,74.0,65.02,69.79,2230,2018
2,2018-06-07 00:00:00,71.0,71.0,67.0,70.0,381,2018
3,2018-06-08 00:00:00,69.8,72.49,68.5,72.49,135,2018
4,2018-06-11 00:00:00,72.5,72.5,65.02,66.0,498,2018
5,2018-06-12 00:00:00,69.9,69.9,66.0,66.0,25,2018
6,2018-06-13 00:00:00,67.4,67.4,54.4,60.4,631,2018
7,2018-06-14 00:00:00,60.4,60.4,52.1,58.9,502,2018
8,2018-06-15 00:00:00,58.79,58.79,55.0,55.0,57,2018
9,2018-06-18 00:00:00,53.2,57.64,46.0,47.0,673,2018
10,2018-06-19 00:00:00,48.9,50.99,48.9,49.0,124,2018
11,2018-06-20 00:00:00,51.0,51.0,45.0,45.35,40,2018
12,2018-06-21 00:00:00,47.0,47.0,47.0,47.0,1,2018
13,2018-06-22 00:00:00,46.0,48.0,46.0,48.0,57,2018
14,2018-06-25 00:00:00,50.99,50.99,49.99,49.99,13,2018
15,2018-06-26 00:00:00,49.99,49.99,49.99,49.99,1,2018
16,2018-06-27 00:00:00,49.99,49.99,47.61,47.61,2,2018
17,2018-06-28 00:00:00,50.75,51.0,50.75,50.9,20,2018
18,2018-06-29 00:00:00,50.8,50.8,50.8,50.8,1,2018
19,2018-07-02 00:00:00,50.8,50.8,50.8,50.8,1,2018
20,2018-07-03 00:00:00,50.4,50.4,50.4,50.4,1,2018
21,2018-07-04 00:00:00,50.3,50.3,46.0,48.0,41,2018
22,2018-07-05 00:00:00,50.3,50.3,41.0,43.0,105,2018
23,2018-07-06 00:00:00,42.9,42.9,41.0,42.9,70,2018
24,2018-07-09 00:00:00,46.0,46.0,42.0,43.0,36,2018
25,2018-07-10 00:00:00,46.0,55.2,46.0,52.5,379,2018
26,2018-07-11 00:00:00,51.8,51.8,46.0,48.0,61,2018
27,2018-07-12 00:00:00,48.35,55.0,48.35,54.99,123,2018
28,2018-07-13 00:00:00,57.0,57.0,45.65,52.0,306,2018
29,2018-07-16 00:00:00,57.0,57.0,52.1,54.0,105,2018
