,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-04-25 00:00:00,5.0,5.3,4.5,4.5,598,2013
1,2013-04-26 00:00:00,4.65,4.65,4.3,4.45,168,2013
2,2013-05-08 00:00:00,4.25,4.25,4.19,4.19,370,2013
3,2013-05-09 00:00:00,4.1,4.1,3.91,3.91,420,2013
4,2013-05-17 00:00:00,3.8,3.8,3.65,3.65,140,2013
5,2013-05-20 00:00:00,3.75,4.0,3.73,3.73,700,2013
6,2013-06-05 00:00:00,3.75,3.75,3.75,3.75,10,2013
7,2013-06-06 00:00:00,3.75,3.75,3.75,3.75,10,2013
8,2013-06-07 00:00:00,3.75,3.75,3.75,3.75,10,2013
9,2013-06-10 00:00:00,3.75,3.75,3.75,3.75,10,2013
10,2013-06-11 00:00:00,3.75,3.75,3.75,3.75,10,2013
11,2013-06-12 00:00:00,3.75,3.75,3.75,3.75,10,2013
12,2013-06-13 00:00:00,3.75,3.75,3.75,3.75,6,2013
13,2013-06-14 00:00:00,3.75,3.75,3.75,3.75,5,2013
14,2013-06-17 00:00:00,3.75,3.75,3.75,3.75,9,2013
15,2013-06-18 00:00:00,3.75,3.75,3.75,3.75,10,2013
16,2013-06-27 00:00:00,3.74,3.74,3.54,3.54,220,2013
17,2014-01-03 00:00:00,3.47,3.47,3.47,3.47,20,2014
18,2014-01-07 00:00:00,3.4,3.4,3.4,3.4,3,2014
19,2014-01-08 00:00:00,3.4,3.4,3.4,3.4,5,2014
20,2014-01-09 00:00:00,3.4,3.4,3.4,3.4,4,2014
21,2014-01-10 00:00:00,3.4,3.4,3.4,3.4,5,2014
22,2014-01-13 00:00:00,3.4,3.4,3.39,3.4,85,2014
23,2014-01-14 00:00:00,3.4,3.4,3.4,3.4,60,2014
24,2014-01-15 00:00:00,3.4,3.4,3.4,3.4,105,2014
25,2014-01-16 00:00:00,3.4,3.4,3.4,3.4,10,2014
26,2014-01-17 00:00:00,3.4,3.4,3.4,3.4,5,2014
27,2014-01-20 00:00:00,3.4,3.4,3.4,3.4,5,2014
28,2014-01-21 00:00:00,3.4,3.4,3.4,3.4,20,2014
29,2014-01-22 00:00:00,3.4,3.4,3.4,3.4,10,2014
30,2014-01-23 00:00:00,3.4,3.4,3.4,3.4,10,2014
31,2014-01-24 00:00:00,3.4,3.4,3.4,3.4,5,2014
32,2014-01-27 00:00:00,3.4,3.4,3.4,3.4,5,2014
33,2014-01-28 00:00:00,3.4,3.4,3.4,3.4,5,2014
34,2014-01-29 00:00:00,3.4,3.4,3.4,3.4,10,2014
35,2014-01-30 00:00:00,3.4,3.4,3.4,3.4,5,2014
36,2014-01-31 00:00:00,3.4,3.4,3.4,3.4,15,2014
37,2014-02-03 00:00:00,3.4,3.4,3.4,3.4,5,2014
38,2014-02-04 00:00:00,3.4,3.4,3.31,3.31,490,2014
39,2014-02-12 00:00:00,3.35,3.38,3.15,3.15,400,2014
40,2014-03-03 00:00:00,3.15,3.15,3.0,3.0,640,2014
41,2014-04-22 00:00:00,2.88,2.88,2.73,2.73,650,2014
