,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-10-14 00:00:00,2.3752,2.3752,1.5262,1.7321,135534,2010
1,2010-10-15 00:00:00,1.7149,1.7579,1.6377,1.7149,11662,2010
2,2010-10-18 00:00:00,1.6548,1.6806,1.6206,1.6635,9942,2010
3,2010-10-19 00:00:00,1.6206,1.6806,1.6206,1.6206,6134,2010
4,2010-10-20 00:00:00,1.6035,1.6377,1.595,1.6377,2356,2010
5,2010-10-21 00:00:00,1.6377,1.7149,1.6377,1.7064,6123,2010
6,2010-10-25 00:00:00,1.6377,1.6721,1.5006,1.6721,10864,2010
7,2010-10-26 00:00:00,1.6721,1.6721,1.5862,1.595,7823,2010
8,2010-10-27 00:00:00,1.5777,1.5777,1.5777,1.5777,1282,2010
9,2010-10-28 00:00:00,1.5519999999999998,1.5519999999999998,1.5262,1.5262,2041,2010
10,2010-10-29 00:00:00,1.5777,1.5777,1.5777,1.5777,350,2010
11,2010-11-04 00:00:00,1.5862,1.5862,1.5862,1.5862,583,2010
12,2010-11-08 00:00:00,1.5176,1.5605,1.5092,1.5605,2249,2010
13,2010-11-12 00:00:00,1.5605,1.5605,1.5519999999999998,1.5519999999999998,1399,2010
14,2010-11-23 00:00:00,1.5006,1.5006,1.5006,1.5006,503,2010
15,2010-11-24 00:00:00,1.5605,1.5605,1.535,1.535,1978,2010
16,2010-11-29 00:00:00,1.5006,1.5862,1.5006,1.5862,10058,2010
17,2010-11-30 00:00:00,1.6292,2.298,1.6292,2.298,173685,2010
18,2010-12-01 00:00:00,2.2723,2.7267,2.0321,2.1437,185791,2010
19,2010-12-02 00:00:00,2.1437,2.1779,1.8006,2.015,49820,2010
20,2010-12-03 00:00:00,2.0236,2.0236,1.8092,1.9293,15920,2010
21,2010-12-06 00:00:00,1.8435,2.0665,1.8435,1.9465,16584,2010
22,2010-12-07 00:00:00,1.8607,1.9722,1.7579,1.9722,20745,2010
23,2010-12-08 00:00:00,1.9722,2.0321,1.9122,2.0321,9634,2010
24,2010-12-09 00:00:00,2.0321,2.1437,1.9378,2.0321,16793,2010
25,2010-12-10 00:00:00,1.9635,2.015,1.8435,1.9122,8105,2010
26,2010-12-13 00:00:00,1.9122,1.9122,1.8264,1.9035,7505,2010
27,2010-12-14 00:00:00,1.9035,1.9465,1.8521,1.9465,6421,2010
28,2010-12-15 00:00:00,1.9122,1.9635,1.8607,1.9293,9504,2010
29,2010-12-16 00:00:00,1.9035,1.9635,1.9035,1.955,7414,2010
30,2010-12-17 00:00:00,1.955,2.1865,1.955,2.1865,27866,2010
31,2010-12-20 00:00:00,2.1951,2.4009,2.1951,2.3838,39005,2010
32,2010-12-21 00:00:00,2.3581,2.3581,2.0236,2.1522,18262,2010
33,2010-12-22 00:00:00,2.0836,2.0836,1.9465,2.0579,11756,2010
34,2010-12-23 00:00:00,1.9635,2.1264,1.9035,2.0065,31667,2010
35,2010-12-27 00:00:00,1.9465,1.9893,1.8435,1.9808,9284,2010
36,2010-12-28 00:00:00,1.9808,1.9808,1.8264,1.8607,8718,2010
37,2010-12-29 00:00:00,1.8693,1.9293,1.8435,1.9293,3844,2010
38,2010-12-30 00:00:00,2.0065,2.0065,1.7321,1.7321,10542,2010
39,2010-12-31 00:00:00,1.7321,1.8693,1.595,1.835,11154,2010
40,2011-01-03 00:00:00,1.8006,2.0494,1.7406,1.9122,10691,2011
41,2011-01-04 00:00:00,1.9122,2.0065,1.7836,1.9207,13968,2011
42,2011-01-05 00:00:00,1.8865,1.8865,1.6978,1.7491,15473,2011
43,2011-01-07 00:00:00,1.7149,1.7149,1.6635,1.7064,9042,2011
44,2011-01-10 00:00:00,1.6292,1.6721,1.5435,1.6548,11132,2011
45,2011-01-11 00:00:00,1.6721,1.7579,1.5605,1.6721,18408,2011
46,2011-01-12 00:00:00,1.6035,1.6892,1.6035,1.6206,1761,2011
47,2011-01-13 00:00:00,1.5605,1.6206,1.5605,1.6206,37,2011
48,2011-01-14 00:00:00,1.5605,1.6206,1.5262,1.6206,6771,2011
49,2011-01-17 00:00:00,1.535,1.6035,1.535,1.6035,6065,2011
