,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2017-06-21 00:00:00,7.8737,7.8737,7.8665,7.8737,2083,2017
1,2017-06-22 00:00:00,7.3368,7.8737,7.2796,7.8737,7124,2017
2,2017-06-23 00:00:00,7.8737,7.8737,7.8737,7.8737,28,2017
3,2017-06-26 00:00:00,7.8021,7.8021,7.3225,7.5158,91,2017
4,2017-06-29 00:00:00,7.5158,7.5158,7.5158,7.5158,7,2017
5,2017-06-30 00:00:00,7.4084,7.4084,6.5853,6.5853,426,2017
6,2017-07-03 00:00:00,6.6568,6.6568,6.6568,6.6568,15,2017
7,2017-07-05 00:00:00,6.4421,6.4421,6.4063,6.4063,21,2017
8,2017-07-06 00:00:00,6.6568,6.8859,6.6568,6.8,322,2017
9,2017-07-07 00:00:00,6.8,6.8,6.5137,6.5137,194,2017
10,2017-07-12 00:00:00,6.5137,6.5137,5.7979,5.7979,490,2017
11,2017-07-14 00:00:00,5.7979,5.7979,5.7979,5.7979,42,2017
12,2017-07-26 00:00:00,5.9768,5.9768,5.9768,5.9768,28,2017
13,2017-07-28 00:00:00,5.7979,5.7979,5.7979,5.7979,28,2017
14,2017-08-30 00:00:00,5.7979,5.7979,5.7979,5.7979,196,2017
15,2017-09-07 00:00:00,5.6905,5.6905,5.3684,5.3684,490,2017
16,2017-09-18 00:00:00,5.2253,5.2253,5.1537,5.1537,230,2017
17,2017-09-20 00:00:00,4.9032,4.9032,4.9032,4.9032,210,2017
18,2017-09-21 00:00:00,4.6526,4.6526,4.6526,4.6526,294,2017
19,2017-09-22 00:00:00,4.1516,4.1516,4.1516,4.1516,232,2017
20,2017-09-25 00:00:00,4.2947,4.2947,4.2947,4.2947,402,2017
21,2017-09-26 00:00:00,4.2947,4.2947,4.2947,4.2947,3,2017
22,2017-09-27 00:00:00,4.2947,4.2947,4.2947,4.2947,3,2017
23,2017-09-28 00:00:00,4.2947,4.2947,4.2947,4.2947,3,2017
24,2017-09-29 00:00:00,4.2947,4.2947,4.2947,4.2947,3,2017
25,2017-10-02 00:00:00,4.2947,4.2947,4.2947,4.2947,3,2017
26,2017-10-03 00:00:00,4.2947,4.2947,4.2947,4.2947,3,2017
27,2017-10-04 00:00:00,4.2947,4.2947,4.2947,4.2947,3,2017
28,2017-10-05 00:00:00,4.2947,4.2947,4.2947,4.2947,3,2017
29,2017-10-06 00:00:00,4.2947,4.2947,4.2947,4.2947,3,2017
30,2017-10-09 00:00:00,4.2947,4.2947,4.2947,4.2947,3,2017
31,2017-10-11 00:00:00,4.2947,4.2947,4.2947,4.2947,3,2017
32,2017-10-24 00:00:00,4.1516,4.1516,3.7937,3.7937,289,2017
33,2017-10-25 00:00:00,3.7937,3.7937,3.7937,3.7937,7,2017
34,2017-10-26 00:00:00,3.7937,3.7937,3.7937,3.7937,3,2017
35,2017-10-27 00:00:00,3.7937,3.7937,3.7937,3.7937,4,2017
36,2017-10-30 00:00:00,3.7937,3.7937,3.7937,3.7937,6,2017
37,2017-10-31 00:00:00,3.7937,3.7937,3.7937,3.7937,3,2017
38,2017-11-02 00:00:00,3.7937,3.7937,3.7937,3.7937,4,2017
39,2017-11-03 00:00:00,3.7937,3.7937,3.7937,3.7937,4,2017
40,2017-11-06 00:00:00,3.7937,3.7937,3.7937,3.7937,3,2017
41,2017-11-07 00:00:00,3.7937,3.7937,3.7937,3.7937,4,2017
42,2017-11-08 00:00:00,3.7937,3.7937,3.7937,3.7937,3,2017
43,2017-11-09 00:00:00,3.7937,3.7937,3.7937,3.7937,4,2017
44,2017-11-10 00:00:00,3.7937,3.7937,3.7937,3.7937,1,2017
45,2017-11-13 00:00:00,3.7937,3.7937,3.7937,3.7937,4,2017
46,2017-11-14 00:00:00,3.7937,3.7937,3.7937,3.7937,4,2017
47,2017-11-15 00:00:00,3.7937,3.7937,3.7937,3.7937,4,2017
48,2017-11-16 00:00:00,3.7937,3.7937,3.7937,3.7937,4,2017
49,2017-11-17 00:00:00,3.7937,3.7937,3.7937,3.7937,3,2017
50,2017-11-20 00:00:00,3.7937,3.7937,3.7937,3.7937,4,2017
51,2017-11-21 00:00:00,3.7937,3.7937,3.7937,3.7937,3,2017
52,2017-11-22 00:00:00,3.7937,3.7937,3.7937,3.7937,4,2017
53,2017-11-23 00:00:00,3.7937,3.7937,3.7937,3.7937,3,2017
54,2017-11-24 00:00:00,3.7937,3.9368,3.7937,3.7937,497,2017
55,2017-12-06 00:00:00,3.8008,3.8008,3.8008,3.8008,273,2017
56,2017-12-08 00:00:00,3.9368,4.0371,3.9368,4.0371,286,2017
57,2018-01-12 00:00:00,4.0442,4.0442,4.0442,4.0442,98,2018
58,2018-01-15 00:00:00,4.0442,4.0442,4.0442,4.0442,140,2018
59,2018-01-22 00:00:00,4.08,4.4379,4.08,4.4379,314,2018
60,2018-01-23 00:00:00,4.4379,4.8674,4.4379,4.8674,144,2018
61,2018-01-24 00:00:00,5.5474,5.5474,5.5474,5.5474,83,2018
62,2018-01-25 00:00:00,5.2968,5.5474,4.76,4.76,547,2018
63,2018-02-14 00:00:00,4.7242,4.7242,4.7242,4.7242,28,2018
64,2018-02-15 00:00:00,4.7242,4.7242,4.7242,4.7242,3,2018
65,2018-03-08 00:00:00,4.5453,4.5453,4.5453,4.5453,224,2018
66,2018-03-12 00:00:00,4.5095,4.5095,4.2947,4.2947,335,2018
67,2018-03-22 00:00:00,4.4021,4.7242,4.4021,4.7242,68051,2018
68,2018-03-23 00:00:00,4.76,4.76,4.76,4.76,126,2018
69,2018-04-03 00:00:00,4.2947,4.2947,4.2947,4.2947,38,2018
70,2018-04-04 00:00:00,4.2947,4.2947,4.2947,4.2947,3,2018
71,2018-04-05 00:00:00,4.2947,4.2947,4.2947,4.2947,3,2018
72,2018-04-06 00:00:00,4.2947,4.2947,4.2947,4.2947,3,2018
73,2018-04-09 00:00:00,4.2947,5.0821,4.2947,5.0821,534,2018
74,2018-04-10 00:00:00,5.0821,6.3705,5.0821,6.3705,2169,2018
75,2018-04-11 00:00:00,5.7263,6.8,5.7263,6.8,2481,2018
76,2018-04-12 00:00:00,6.4421,7.1579,6.2274,6.4421,5628,2018
77,2018-04-13 00:00:00,6.9342,7.2026,6.3974,7.2026,411,2018
78,2018-04-16 00:00:00,7.1579,7.1579,6.3526,6.7105,200,2018
79,2018-04-17 00:00:00,6.5316,6.5316,5.8158,5.8158,34,2018
80,2018-04-18 00:00:00,5.8158,5.8158,5.8158,5.8158,184,2018
81,2018-04-19 00:00:00,5.8158,5.8158,5.8158,5.8158,3,2018
82,2018-04-20 00:00:00,5.8158,5.8158,5.8158,5.8158,2,2018
83,2018-04-23 00:00:00,5.6368,5.6368,4.7421,4.7421,1391,2018
84,2018-04-24 00:00:00,4.7421,4.7421,4.7421,4.7421,218,2018
85,2018-04-25 00:00:00,4.6974,4.6974,3.8474,3.8474,526,2018
86,2018-04-26 00:00:00,4.2053,4.2053,4.0263,4.0263,124,2018
87,2018-05-02 00:00:00,4.1516,4.2768,4.1516,4.2768,190,2018
88,2018-05-04 00:00:00,4.8763,4.8763,4.2768,4.8763,241,2018
89,2018-05-07 00:00:00,4.8763,5.2789,4.8763,5.2789,84,2018
90,2018-05-16 00:00:00,4.8763,4.8763,4.8763,4.8763,6,2018
91,2018-05-25 00:00:00,4.5632,4.5632,4.4737,4.4737,11,2018
92,2018-05-28 00:00:00,4.2053,4.2053,3.5789,3.5789,26,2018
93,2018-05-29 00:00:00,3.4,3.4,3.4,3.4,112,2018
94,2018-05-30 00:00:00,3.9368,3.9368,3.9368,3.9368,6,2018
95,2018-06-01 00:00:00,3.9368,3.9368,3.5789,3.5789,386,2018
96,2018-06-04 00:00:00,3.6684,3.6684,3.6684,3.6684,257,2018
97,2018-06-06 00:00:00,3.6684,3.6684,3.6684,3.6684,273,2018
98,2018-06-08 00:00:00,3.6863,4.6526,3.6863,4.6526,292,2018
99,2018-06-14 00:00:00,4.5632,4.5632,4.5632,4.5632,22,2018
100,2018-06-20 00:00:00,5.3684,6.2632,5.3684,6.2632,296,2018
101,2018-06-21 00:00:00,6.2632,6.2632,6.2632,6.2632,36,2018
102,2018-06-22 00:00:00,7.0684,7.0684,7.0684,7.0684,11,2018
103,2018-06-25 00:00:00,6.8895,6.8895,6.4421,6.4421,22,2018
104,2018-06-26 00:00:00,5.9947,5.9947,5.9947,5.9947,11,2018
105,2018-07-02 00:00:00,5.8158,6.2632,5.8158,5.8605,304,2018
106,2018-07-11 00:00:00,5.8605,5.8605,5.8605,5.8605,35,2018
