,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-05-09 00:00:00,2.4,2.4,2.01,2.01,104885,2011
1,2011-05-10 00:00:00,2.0,2.0,1.75,1.8,19112,2011
2,2011-05-11 00:00:00,1.8,1.81,1.7,1.8,9417,2011
3,2011-05-12 00:00:00,1.73,1.73,1.45,1.57,29463,2011
4,2011-05-13 00:00:00,1.56,1.85,1.51,1.81,43071,2011
5,2011-05-16 00:00:00,1.81,1.81,1.56,1.65,15393,2011
6,2011-05-17 00:00:00,1.64,1.64,1.45,1.53,29030,2011
7,2011-05-18 00:00:00,1.48,1.52,1.37,1.4,24235,2011
8,2011-05-19 00:00:00,1.39,1.6,1.34,1.5,18570,2011
9,2011-05-20 00:00:00,1.44,1.44,1.4,1.4,8060,2011
10,2011-05-23 00:00:00,1.38,1.38,1.35,1.35,1500,2011
11,2011-05-24 00:00:00,1.35,1.48,1.35,1.41,4600,2011
12,2011-05-25 00:00:00,1.37,1.48,1.37,1.45,20187,2011
13,2011-05-26 00:00:00,1.4,2.0,1.4,1.6,107791,2011
14,2011-05-27 00:00:00,1.6,1.76,1.5,1.56,53278,2011
15,2011-05-30 00:00:00,1.57,1.63,1.5,1.55,39498,2011
16,2011-05-31 00:00:00,1.54,1.86,1.5,1.67,124133,2011
17,2011-06-01 00:00:00,1.75,1.75,1.51,1.63,27513,2011
18,2011-06-02 00:00:00,1.6,1.6,1.45,1.5,17118,2011
19,2011-06-03 00:00:00,1.47,1.63,1.45,1.5,22091,2011
20,2011-06-06 00:00:00,1.5,1.5,1.4,1.43,24613,2011
21,2011-06-07 00:00:00,1.4,1.43,1.36,1.43,22364,2011
22,2011-06-08 00:00:00,1.48,1.65,1.38,1.39,44865,2011
23,2011-06-09 00:00:00,1.39,1.4,1.31,1.4,13214,2011
24,2011-06-10 00:00:00,1.4,1.46,1.4,1.45,16075,2011
25,2011-06-13 00:00:00,1.41,1.46,1.4,1.46,6160,2011
26,2011-06-14 00:00:00,1.47,1.47,1.4,1.44,3350,2011
27,2011-06-15 00:00:00,1.42,1.43,1.35,1.43,7236,2011
28,2011-06-16 00:00:00,1.43,1.43,1.31,1.36,14374,2011
29,2011-06-17 00:00:00,1.35,1.36,1.25,1.35,34242,2011
30,2011-06-20 00:00:00,1.3,1.32,1.2,1.21,29620,2011
31,2011-06-21 00:00:00,1.3,1.45,1.22,1.34,76244,2011
32,2011-06-22 00:00:00,1.56,1.64,1.3,1.39,156093,2011
33,2011-06-24 00:00:00,1.38,1.5,1.28,1.43,154070,2011
34,2011-06-27 00:00:00,1.44,1.6,1.38,1.55,113556,2011
35,2011-06-28 00:00:00,1.56,1.56,1.4,1.45,55895,2011
36,2011-06-29 00:00:00,1.42,1.45,1.33,1.37,20001,2011
37,2011-06-30 00:00:00,1.37,1.5,1.37,1.43,41489,2011
38,2011-07-01 00:00:00,1.4,1.45,1.33,1.4,23752,2011
39,2011-07-04 00:00:00,1.4,1.4,1.33,1.4,12710,2011
40,2011-07-05 00:00:00,1.34,1.4,1.33,1.4,10400,2011
41,2011-07-06 00:00:00,1.41,1.44,1.39,1.39,14633,2011
42,2011-07-07 00:00:00,1.39,1.43,1.37,1.42,9252,2011
43,2011-07-08 00:00:00,1.38,1.38,1.33,1.33,12700,2011
44,2011-07-11 00:00:00,1.33,1.34,1.25,1.34,11534,2011
45,2011-07-12 00:00:00,1.28,1.3,1.25,1.3,3684,2011
46,2011-07-13 00:00:00,1.3,1.3,1.28,1.28,2700,2011
47,2011-07-14 00:00:00,1.28,1.32,1.22,1.27,8519,2011
48,2011-07-15 00:00:00,1.28,1.28,1.15,1.25,31556,2011
49,2011-07-18 00:00:00,1.2,1.26,1.15,1.15,23911,2011
50,2011-07-19 00:00:00,1.16,1.25,1.13,1.13,45791,2011
51,2011-07-20 00:00:00,1.13,1.21,1.13,1.21,16350,2011
52,2011-07-21 00:00:00,1.23,1.35,1.15,1.29,33751,2011
53,2011-07-22 00:00:00,1.29,1.29,1.2,1.22,8800,2011
54,2011-07-25 00:00:00,1.23,1.25,1.13,1.16,17760,2011
55,2011-07-26 00:00:00,1.19,1.29,1.15,1.19,89556,2011
56,2011-07-27 00:00:00,1.2,1.2,1.0,1.12,47332,2011
57,2011-07-28 00:00:00,1.12,1.17,1.02,1.17,10643,2011
58,2011-07-29 00:00:00,1.14,1.16,1.08,1.14,16042,2011
59,2011-08-01 00:00:00,1.14,1.2,1.06,1.09,28860,2011
60,2011-08-02 00:00:00,1.1,1.11,0.94,1.04,24461,2011
61,2011-08-03 00:00:00,1.03,1.06,0.98,1.01,14559,2011
62,2011-08-04 00:00:00,0.99,0.99,0.92,0.96,8690,2011
63,2011-08-05 00:00:00,0.89,0.96,0.78,0.88,17753,2011
64,2011-08-08 00:00:00,0.85,0.85,0.75,0.8,7076,2011
65,2011-08-09 00:00:00,0.8,0.84,0.75,0.84,10355,2011
66,2011-08-10 00:00:00,0.84,0.91,0.78,0.87,13223,2011
67,2011-08-11 00:00:00,0.87,0.87,0.87,0.87,1238,2011
68,2011-08-12 00:00:00,0.87,1.04,0.83,1.04,43332,2011
69,2011-08-16 00:00:00,1.05,1.21,1.03,1.05,34511,2011
70,2011-08-17 00:00:00,1.04,1.1,0.99,1.07,26160,2011
71,2011-08-18 00:00:00,1.03,1.03,0.84,1.0,20641,2011
72,2011-08-19 00:00:00,0.89,1.03,0.89,1.03,3991,2011
73,2011-08-22 00:00:00,1.03,1.03,1.02,1.02,1596,2011
74,2011-08-23 00:00:00,1.0,1.06,1.0,1.0,8747,2011
75,2011-08-24 00:00:00,1.0,1.0,0.94,0.94,7464,2011
76,2011-08-25 00:00:00,0.92,0.98,0.91,0.96,6405,2011
77,2011-08-26 00:00:00,0.97,0.98,0.97,0.97,3611,2011
78,2011-08-29 00:00:00,0.97,1.02,0.97,1.0,11064,2011
79,2011-08-30 00:00:00,1.01,1.04,1.0,1.03,16470,2011
80,2011-08-31 00:00:00,1.03,1.14,1.03,1.14,13759,2011
81,2011-09-01 00:00:00,1.13,1.13,1.05,1.1,17833,2011
82,2011-09-02 00:00:00,1.08,1.08,1.04,1.07,14373,2011
83,2011-09-05 00:00:00,1.04,1.04,1.04,1.04,1145,2011
84,2011-09-06 00:00:00,1.07,1.08,1.05,1.05,3430,2011
85,2011-09-07 00:00:00,1.07,1.07,1.03,1.05,9683,2011
86,2011-09-08 00:00:00,1.03,1.05,1.01,1.01,10409,2011
87,2011-09-09 00:00:00,1.0,1.03,1.0,1.03,4490,2011
88,2011-09-12 00:00:00,1.01,1.03,0.95,1.02,19794,2011
89,2011-09-13 00:00:00,1.02,1.02,1.01,1.02,1922,2011
