,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-03-10 00:00:00,1.9,1.94,1.2,1.2,101651,2011
1,2011-03-11 00:00:00,1.24,1.27,1.09,1.19,17153,2011
2,2011-03-14 00:00:00,1.2,1.2,1.09,1.2,5091,2011
3,2011-03-15 00:00:00,1.0,1.1,0.97,1.05,43180,2011
4,2011-03-16 00:00:00,0.99,1.05,0.9,1.05,98260,2011
5,2011-03-17 00:00:00,0.99,0.99,0.98,0.99,4552,2011
6,2011-03-18 00:00:00,0.98,0.98,0.98,0.98,5800,2011
7,2011-03-21 00:00:00,0.95,1.0,0.95,0.97,12313,2011
8,2011-03-22 00:00:00,0.97,1.0,0.97,1.0,4907,2011
9,2011-03-23 00:00:00,0.92,1.0,0.92,1.0,1136,2011
10,2011-03-25 00:00:00,1.0,1.0,1.0,1.0,420,2011
11,2011-03-28 00:00:00,0.92,0.94,0.91,0.94,12914,2011
12,2011-03-29 00:00:00,0.89,0.94,0.89,0.94,1464,2011
13,2011-03-30 00:00:00,0.9,0.9,0.9,0.9,3000,2011
14,2011-03-31 00:00:00,0.93,0.94,0.9,0.93,9636,2011
15,2011-04-01 00:00:00,0.93,1.0,0.93,1.0,19390,2011
16,2011-04-04 00:00:00,1.0,1.11,1.0,1.11,44012,2011
17,2011-04-05 00:00:00,1.07,1.12,1.04,1.11,16995,2011
18,2011-04-06 00:00:00,1.05,1.1,1.04,1.1,9485,2011
19,2011-04-07 00:00:00,1.1,1.1,1.03,1.03,2826,2011
20,2011-04-08 00:00:00,1.03,1.09,1.01,1.09,8005,2011
21,2011-04-12 00:00:00,1.09,1.12,1.09,1.12,3860,2011
22,2011-04-13 00:00:00,1.12,1.15,1.12,1.15,8345,2011
23,2011-04-14 00:00:00,1.1,1.1,1.07,1.07,4644,2011
24,2011-04-15 00:00:00,1.16,1.16,1.16,1.16,697,2011
25,2011-04-19 00:00:00,1.15,1.18,1.15,1.18,3955,2011
26,2011-04-20 00:00:00,1.18,1.29,1.14,1.24,12978,2011
27,2011-04-21 00:00:00,1.2,1.21,1.01,1.21,20895,2011
28,2011-04-26 00:00:00,1.14,1.2,1.13,1.2,17635,2011
29,2011-04-27 00:00:00,1.12,1.21,1.12,1.21,12512,2011
30,2011-04-28 00:00:00,1.13,1.19,1.13,1.19,1069,2011
31,2011-05-05 00:00:00,1.19,1.22,1.19,1.22,10500,2011
32,2011-05-06 00:00:00,1.25,1.4,1.25,1.4,22958,2011
33,2011-05-09 00:00:00,1.4,1.42,1.35,1.41,12706,2011
34,2011-05-10 00:00:00,1.37,1.4,1.3,1.4,8945,2011
35,2011-05-11 00:00:00,1.31,1.31,1.13,1.21,11084,2011
36,2011-05-12 00:00:00,1.22,1.23,1.22,1.23,4451,2011
37,2011-05-13 00:00:00,1.22,1.24,1.13,1.19,7944,2011
38,2011-05-17 00:00:00,1.13,1.13,1.1,1.1,8732,2011
39,2011-05-18 00:00:00,1.07,1.13,1.07,1.13,1474,2011
40,2011-05-19 00:00:00,1.1,1.1,1.0,1.01,9925,2011
41,2011-05-20 00:00:00,1.07,1.1,1.07,1.1,2501,2011
42,2011-05-23 00:00:00,1.1,1.1,1.07,1.07,3000,2011
43,2011-05-24 00:00:00,1.09,1.09,1.09,1.09,804,2011
44,2011-05-25 00:00:00,1.09,1.09,1.01,1.01,1764,2011
45,2011-05-26 00:00:00,1.01,1.1,1.01,1.1,8565,2011
46,2011-05-27 00:00:00,1.06,1.09,1.01,1.09,3849,2011
47,2011-05-30 00:00:00,1.1,1.16,1.1,1.16,4382,2011
48,2011-05-31 00:00:00,1.16,1.18,1.16,1.18,3199,2011
49,2011-06-02 00:00:00,1.12,1.16,1.1,1.16,1505,2011
50,2011-06-03 00:00:00,1.07,1.07,1.03,1.03,4714,2011
51,2011-06-06 00:00:00,1.07,1.16,1.01,1.16,5207,2011
52,2011-06-08 00:00:00,1.07,1.07,1.01,1.01,11710,2011
53,2011-06-09 00:00:00,1.02,1.08,1.02,1.08,2045,2011
54,2011-06-13 00:00:00,1.04,1.04,1.03,1.03,2695,2011
55,2011-06-16 00:00:00,1.03,1.08,1.03,1.03,2161,2011
56,2011-06-20 00:00:00,1.03,1.04,1.01,1.01,12471,2011
57,2011-06-21 00:00:00,1.01,1.01,1.01,1.01,3049,2011
58,2011-06-22 00:00:00,1.06,1.1,1.04,1.04,35509,2011
59,2011-06-24 00:00:00,1.08,1.3,1.08,1.3,42063,2011
60,2011-06-27 00:00:00,1.2,1.37,1.15,1.37,3700,2011
61,2011-06-28 00:00:00,1.22,1.36,1.2,1.3,12680,2011
62,2011-06-29 00:00:00,1.37,1.37,1.37,1.37,1,2011
63,2011-06-30 00:00:00,1.3,1.36,1.3,1.36,1282,2011
64,2011-07-04 00:00:00,1.35,1.35,1.27,1.35,2011,2011
65,2011-07-05 00:00:00,1.35,1.35,1.35,1.35,1,2011
66,2011-07-06 00:00:00,1.35,1.35,1.35,1.35,1,2011
67,2011-07-07 00:00:00,1.3,1.35,1.27,1.31,3241,2011
68,2011-07-08 00:00:00,1.31,1.31,1.31,1.31,2,2011
69,2011-07-11 00:00:00,1.22,1.32,1.22,1.32,850,2011
70,2011-07-12 00:00:00,1.32,1.32,1.18,1.32,7003,2011
71,2011-07-15 00:00:00,1.29,1.29,1.29,1.29,1,2011
72,2011-07-18 00:00:00,1.29,1.29,1.29,1.29,1,2011
73,2011-07-19 00:00:00,1.29,1.29,1.29,1.29,1,2011
74,2011-07-20 00:00:00,1.29,1.29,1.14,1.14,10956,2011
75,2011-07-21 00:00:00,1.17,1.17,1.17,1.17,10,2011
76,2011-07-22 00:00:00,1.19,1.19,1.19,1.19,1,2011
77,2011-07-28 00:00:00,1.14,1.14,1.1,1.1,1505,2011
78,2011-07-29 00:00:00,1.14,1.14,1.08,1.14,2740,2011
79,2011-08-02 00:00:00,1.14,1.16,1.03,1.16,1287,2011
80,2011-08-04 00:00:00,1.03,1.03,1.0,1.0,3874,2011
81,2011-08-05 00:00:00,1.0,1.0,0.99,0.99,306,2011
82,2011-08-08 00:00:00,1.0,1.0,1.0,1.0,1000,2011
83,2011-08-10 00:00:00,1.0,1.0,1.0,1.0,10,2011
84,2011-08-11 00:00:00,1.0,1.0,1.0,1.0,10,2011
85,2011-08-16 00:00:00,1.0,1.0,0.92,1.0,1020,2011
86,2011-08-17 00:00:00,1.0,1.0,1.0,1.0,10,2011
87,2011-08-18 00:00:00,1.0,1.0,0.95,1.0,1020,2011
88,2011-08-19 00:00:00,1.0,1.0,1.0,1.0,5,2011
89,2011-08-22 00:00:00,1.0,1.0,1.0,1.0,10,2011
90,2011-08-23 00:00:00,1.0,1.0,0.95,1.0,1023,2011
91,2011-08-26 00:00:00,1.0,1.0,1.0,1.0,10,2011
92,2011-08-29 00:00:00,1.08,1.08,1.08,1.08,10,2011
93,2011-08-30 00:00:00,1.15,1.15,1.15,1.15,10,2011
94,2011-08-31 00:00:00,1.09,1.09,1.09,1.09,1000,2011
95,2011-09-06 00:00:00,0.99,1.09,0.99,1.09,1001,2011
96,2011-09-07 00:00:00,1.04,1.04,1.04,1.04,400,2011
97,2011-09-12 00:00:00,0.93,0.99,0.93,0.99,503,2011
98,2011-09-14 00:00:00,0.95,1.0,0.95,1.0,923,2011
99,2011-09-15 00:00:00,1.0,1.0,1.0,1.0,2,2011
100,2011-09-16 00:00:00,0.98,1.04,0.98,1.04,1582,2011
101,2011-09-19 00:00:00,1.1,1.1,1.1,1.1,10,2011
102,2011-09-21 00:00:00,1.1,1.1,1.0,1.0,627,2011
103,2011-09-22 00:00:00,1.0,1.0,1.0,1.0,1,2011
104,2011-09-23 00:00:00,1.0,1.0,1.0,1.0,1,2011
105,2011-09-26 00:00:00,1.0,1.0,1.0,1.0,2,2011
106,2011-09-28 00:00:00,1.0,1.0,1.0,1.0,2,2011
107,2011-09-29 00:00:00,1.0,1.0,1.0,1.0,5,2011
108,2011-10-03 00:00:00,1.0,1.0,1.0,1.0,1400,2011
109,2011-10-05 00:00:00,1.0,1.0,1.0,1.0,1,2011
110,2011-10-07 00:00:00,1.0,1.0,1.0,1.0,1,2011
111,2011-10-10 00:00:00,1.0,1.0,0.95,1.0,2490,2011
112,2011-10-11 00:00:00,1.0,1.08,1.0,1.08,7773,2011
113,2011-10-12 00:00:00,1.04,1.05,1.04,1.05,2000,2011
114,2011-10-14 00:00:00,1.01,1.01,1.01,1.01,10,2011
115,2011-10-17 00:00:00,1.05,1.05,1.05,1.05,5,2011
116,2011-10-19 00:00:00,1.05,1.1,1.0,1.1,1378,2011
117,2011-10-20 00:00:00,1.0,1.05,0.88,0.9,5003,2011
118,2011-10-21 00:00:00,0.85,1.05,0.85,1.05,4005,2011
119,2011-10-27 00:00:00,0.95,1.05,0.95,1.05,133,2011
120,2011-11-02 00:00:00,1.03,1.03,0.85,0.85,2010,2011
121,2011-11-03 00:00:00,0.82,0.97,0.8,0.97,13040,2011
122,2011-11-04 00:00:00,0.97,0.97,0.85,0.85,3540,2011
123,2011-11-08 00:00:00,0.87,0.87,0.87,0.87,2000,2011
124,2011-11-09 00:00:00,0.87,0.87,0.87,0.87,4010,2011
125,2011-11-10 00:00:00,0.87,0.87,0.87,0.87,640,2011
126,2011-11-14 00:00:00,0.87,0.9,0.8,0.85,20030,2011
127,2011-11-17 00:00:00,0.88,0.97,0.88,0.95,13924,2011
128,2011-11-18 00:00:00,0.97,0.97,0.97,0.97,10,2011
129,2011-11-21 00:00:00,0.98,0.98,0.98,0.98,10,2011
130,2011-11-22 00:00:00,0.9,0.9,0.9,0.9,3780,2011
131,2011-11-23 00:00:00,0.9,0.9,0.85,0.85,650,2011
132,2011-11-25 00:00:00,0.86,0.86,0.86,0.86,10,2011
133,2011-11-28 00:00:00,0.82,0.82,0.82,0.82,914,2011
134,2011-11-29 00:00:00,0.86,0.86,0.86,0.86,10,2011
135,2011-11-30 00:00:00,0.86,0.86,0.86,0.86,10,2011
136,2011-12-01 00:00:00,0.86,0.86,0.85,0.85,12270,2011
137,2011-12-07 00:00:00,0.83,0.87,0.79,0.84,2379,2011
138,2011-12-08 00:00:00,1.0,1.0,1.0,1.0,10,2011
139,2011-12-13 00:00:00,0.84,0.87,0.84,0.87,1005,2011
140,2011-12-16 00:00:00,0.87,0.9,0.87,0.9,1005,2011
141,2011-12-19 00:00:00,0.9,1.0,0.9,1.0,5887,2011
142,2011-12-20 00:00:00,0.99,0.99,0.94,0.94,1010,2011
143,2011-12-21 00:00:00,0.93,1.1,0.93,1.1,5574,2011
144,2011-12-22 00:00:00,1.01,1.01,1.01,1.01,1,2011
145,2011-12-23 00:00:00,1.0,1.05,1.0,1.05,17911,2011
146,2011-12-28 00:00:00,0.96,1.05,0.96,1.05,1005,2011
147,2011-12-29 00:00:00,1.0,1.05,1.0,1.05,37177,2011
148,2012-01-02 00:00:00,0.95,1.05,0.95,1.05,4695,2012
149,2012-01-03 00:00:00,1.04,1.04,1.04,1.04,2000,2012
150,2012-01-04 00:00:00,1.07,1.07,1.07,1.07,50,2012
151,2012-01-05 00:00:00,1.06,1.06,1.04,1.04,1996,2012
152,2012-01-09 00:00:00,1.06,1.06,1.04,1.04,609,2012
153,2012-01-10 00:00:00,1.06,1.09,1.04,1.08,7440,2012
154,2012-01-11 00:00:00,1.08,1.08,1.08,1.08,85,2012
