,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-02-11 00:00:00,23.2,23.2,20.0,20.744,69130,2011
1,2011-02-14 00:00:00,21.38,25.8,21.38,25.8,38645,2011
2,2011-02-15 00:00:00,25.6,26.3,23.0,24.0,15360,2011
3,2011-02-16 00:00:00,23.778000000000002,24.18,22.2,22.79,6590,2011
4,2011-02-17 00:00:00,21.2,23.4,21.2,23.058000000000003,4365,2011
5,2011-02-18 00:00:00,22.58,22.66,21.8,22.4,2575,2011
6,2011-02-21 00:00:00,22.4,22.6,21.0,21.1,7140,2011
7,2011-02-22 00:00:00,21.18,22.38,20.4,20.8,2985,2011
8,2011-02-23 00:00:00,20.5,20.5,19.48,20.28,5825,2011
9,2011-02-24 00:00:00,20.0,20.2,19.54,19.62,1520,2011
10,2011-02-25 00:00:00,19.72,20.578000000000003,19.7,20.5,1030,2011
11,2011-02-28 00:00:00,20.02,20.02,19.96,19.998,1610,2011
12,2011-03-01 00:00:00,20.38,20.38,18.2,18.998,2930,2011
13,2011-03-02 00:00:00,18.9,19.68,18.2,19.68,775,2011
14,2011-03-03 00:00:00,19.68,20.36,19.004,19.8,1080,2011
15,2011-03-04 00:00:00,19.0,19.0,18.34,18.34,4615,2011
16,2011-03-07 00:00:00,18.34,18.4,18.0,18.4,2335,2011
17,2011-03-08 00:00:00,18.4,18.6,17.74,18.6,3700,2011
18,2011-03-09 00:00:00,18.4,19.0,18.2,18.8,16395,2011
19,2011-03-10 00:00:00,18.802,19.4,18.8,18.8,3665,2011
20,2011-03-11 00:00:00,18.8,19.2,18.7,19.2,180,2011
21,2011-03-14 00:00:00,18.6,18.6,18.6,18.6,55,2011
22,2011-03-15 00:00:00,18.4,20.38,18.01,20.0,1730,2011
23,2011-03-16 00:00:00,19.0,19.887999999999998,19.0,19.887999999999998,550,2011
24,2011-03-17 00:00:00,19.89,20.8,19.0,20.64,2670,2011
25,2011-03-18 00:00:00,20.3,20.6,20.24,20.6,870,2011
26,2011-03-21 00:00:00,20.58,20.58,20.54,20.54,285,2011
27,2011-03-22 00:00:00,20.491999999999997,21.998,20.491999999999997,21.1,4225,2011
28,2011-03-23 00:00:00,20.5,21.998,20.4,21.998,2055,2011
29,2011-03-24 00:00:00,21.8,21.8,21.4,21.4,155,2011
30,2011-03-25 00:00:00,21.96,22.38,21.93,22.1,1480,2011
31,2011-03-28 00:00:00,21.8,22.3,21.8,22.2,760,2011
32,2011-03-29 00:00:00,22.2,22.2,21.4,22.2,375,2011
33,2011-03-30 00:00:00,21.8,21.8,20.7,20.7,885,2011
34,2011-03-31 00:00:00,20.6,20.94,20.6,20.94,725,2011
35,2011-04-01 00:00:00,20.7,21.5,20.6,21.5,990,2011
36,2011-04-04 00:00:00,20.62,20.62,19.6,19.6,1370,2011
37,2011-04-05 00:00:00,19.8,19.8,18.822,18.9,1780,2011
38,2011-04-06 00:00:00,18.8,19.4,18.8,19.4,65,2011
39,2011-04-07 00:00:00,19.52,19.52,18.6,18.62,1375,2011
40,2011-04-08 00:00:00,18.74,19.31,18.74,19.31,660,2011
41,2011-04-11 00:00:00,19.4,19.4,18.8,19.0,295,2011
