,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-02-02 00:00:00,2.1537,2.5126,1.9744,2.1537,118947,2011
1,2011-02-03 00:00:00,2.0645,2.1537,1.9744,2.0645,10416,2011
2,2011-02-04 00:00:00,1.9744,1.9744,1.7048,1.8851,21802,2011
3,2011-02-07 00:00:00,1.795,1.795,1.795,1.795,2117,2011
4,2011-02-08 00:00:00,1.795,1.8851,1.795,1.8851,614,2011
5,2011-02-09 00:00:00,1.8851,1.8851,1.8851,1.8851,5215,2011
6,2011-02-10 00:00:00,1.8851,1.9744,1.795,1.9744,1510,2011
7,2011-02-11 00:00:00,1.8851,1.8851,1.795,1.8851,2598,2011
8,2011-02-14 00:00:00,1.8851,1.8851,1.7048,1.795,16239,2011
9,2011-02-15 00:00:00,1.8851,1.8851,1.795,1.795,106,2011
10,2011-02-16 00:00:00,1.795,1.795,1.7048,1.795,4656,2011
11,2011-02-17 00:00:00,1.8851,1.8851,1.795,1.8851,6762,2011
12,2011-02-18 00:00:00,1.8851,2.0645,1.8851,2.0645,6240,2011
13,2011-02-21 00:00:00,2.0645,2.1537,2.0645,2.1537,3388,2011
14,2011-02-22 00:00:00,2.1537,2.1537,1.9744,2.0645,3042,2011
15,2011-02-23 00:00:00,2.0645,2.1537,2.0645,2.1537,8742,2011
16,2011-02-24 00:00:00,2.1537,2.1537,2.0645,2.0645,2017,2011
17,2011-02-25 00:00:00,2.0645,2.1537,2.0645,2.1537,240,2011
18,2011-02-28 00:00:00,2.045,2.045,2.045,2.045,6128,2011
19,2011-03-01 00:00:00,2.0645,2.0645,2.0645,2.0645,1171,2011
20,2011-03-02 00:00:00,2.0645,2.0645,1.9744,1.9744,3287,2011
21,2011-03-03 00:00:00,1.9744,1.9744,1.9744,1.9744,1672,2011
22,2011-03-04 00:00:00,1.9744,1.9744,1.8851,1.9744,1448,2011
23,2011-03-07 00:00:00,1.9744,1.9744,1.8851,1.9744,8792,2011
24,2011-03-08 00:00:00,1.9744,1.9744,1.8851,1.8851,891,2011
25,2011-03-09 00:00:00,1.9744,1.9744,1.8851,1.8851,1159,2011
26,2011-03-10 00:00:00,1.8851,2.0645,1.8851,1.9744,3923,2011
27,2011-03-11 00:00:00,1.9744,1.9744,1.9744,1.9744,334,2011
28,2011-03-14 00:00:00,1.9744,1.9744,1.8851,1.9744,11338,2011
29,2011-03-15 00:00:00,1.9744,1.9744,1.795,1.8851,3287,2011
30,2011-03-16 00:00:00,1.8851,1.9744,1.8851,1.8851,2250,2011
31,2011-03-17 00:00:00,1.8851,1.9744,1.8851,1.9744,9132,2011
32,2011-03-18 00:00:00,1.8851,1.9744,1.8851,1.9744,5497,2011
33,2011-03-21 00:00:00,1.9744,1.9744,1.8851,1.9744,3788,2011
34,2011-03-22 00:00:00,1.9744,2.0645,1.9744,2.0645,7075,2011
35,2011-03-23 00:00:00,2.0645,2.0645,2.0645,2.0645,2383,2011
36,2011-03-24 00:00:00,2.0645,2.1537,2.0645,2.0645,6012,2011
37,2011-03-25 00:00:00,2.1537,2.3332,2.1537,2.2439,10632,2011
38,2011-03-28 00:00:00,2.2439,2.2439,2.2439,2.2439,4589,2011
39,2011-03-29 00:00:00,2.2439,2.3332,2.2439,2.3332,8384,2011
40,2011-03-30 00:00:00,2.3332,2.4233,2.3332,2.3332,1002,2011
41,2011-03-31 00:00:00,2.3238,2.3238,2.3238,2.3238,1192,2011
42,2011-04-01 00:00:00,2.2439,2.2439,2.2439,2.2439,9394,2011
43,2011-04-04 00:00:00,2.2439,2.3332,2.2439,2.3332,7431,2011
44,2011-04-05 00:00:00,2.1537,2.3332,2.1537,2.2439,5460,2011
45,2011-04-06 00:00:00,2.2439,2.2439,2.1537,2.1537,2086,2011
46,2011-04-07 00:00:00,2.1537,2.2439,2.1537,2.2439,1600,2011
47,2011-04-08 00:00:00,2.2439,2.3332,2.1537,2.3332,2936,2011
48,2011-04-11 00:00:00,2.3332,2.4233,2.3332,2.4233,668,2011
49,2011-04-12 00:00:00,2.4233,2.4233,2.3332,2.3332,345,2011
50,2011-04-13 00:00:00,2.3332,2.3332,2.3332,2.3332,44,2011
51,2011-04-14 00:00:00,2.3332,2.4233,2.1537,2.2439,14075,2011
52,2011-04-15 00:00:00,2.3332,2.4233,2.2439,2.3332,1547,2011
53,2011-04-18 00:00:00,2.2439,2.2439,2.2439,2.2439,2786,2011
54,2011-04-19 00:00:00,2.2439,2.2439,2.2439,2.2439,112,2011
55,2011-04-20 00:00:00,2.2439,2.2439,2.2439,2.2439,1059,2011
56,2011-04-21 00:00:00,2.1537,2.2439,2.1537,2.2439,2789,2011
57,2011-04-26 00:00:00,2.1537,2.3332,2.0645,2.2439,3020,2011
58,2011-04-27 00:00:00,2.2439,2.2439,2.2439,2.2439,5,2011
59,2011-04-28 00:00:00,2.2439,2.2439,2.2439,2.2439,112,2011
60,2011-04-29 00:00:00,2.2309,2.2309,2.1379,2.1379,1282,2011
61,2011-05-02 00:00:00,2.0645,2.0645,2.0645,2.0645,1147,2011
62,2011-05-04 00:00:00,2.0645,2.0645,2.0645,2.0645,19,2011
63,2011-05-05 00:00:00,2.0645,2.1537,2.0645,2.0645,6496,2011
64,2011-05-06 00:00:00,2.0645,2.0645,2.0645,2.0645,1838,2011
65,2011-05-09 00:00:00,2.0645,2.1537,2.0645,2.0645,4493,2011
66,2011-05-10 00:00:00,2.0645,2.1537,1.9744,2.0645,3644,2011
67,2011-05-11 00:00:00,2.0645,2.0645,1.9744,1.9744,637,2011
68,2011-05-12 00:00:00,1.9744,2.0645,1.9744,2.0645,4224,2011
69,2011-05-13 00:00:00,2.0645,2.1537,2.0645,2.1537,831,2011
70,2011-05-16 00:00:00,2.1537,2.1537,2.0645,2.0645,15287,2011
71,2011-05-17 00:00:00,2.1537,2.1537,2.1537,2.1537,1002,2011
72,2011-05-18 00:00:00,2.1537,2.4233,2.1537,2.4233,8674,2011
73,2011-05-19 00:00:00,2.4233,2.4233,2.0645,2.3332,7140,2011
74,2011-05-20 00:00:00,2.3332,2.3332,2.3332,2.3332,112,2011
75,2011-05-24 00:00:00,2.2439,2.3332,2.2439,2.3332,2863,2011
76,2011-05-25 00:00:00,2.3332,2.3332,2.2439,2.2439,1135,2011
77,2011-05-26 00:00:00,2.2439,2.3332,2.2439,2.3332,135,2011
78,2011-05-27 00:00:00,2.2439,2.2439,2.2439,2.2439,112,2011
79,2011-05-30 00:00:00,2.2439,2.2439,2.1537,2.1537,1674,2011
80,2011-05-31 00:00:00,2.1379,2.2309,2.1379,2.2309,3508,2011
81,2011-06-01 00:00:00,2.2439,2.2439,2.1537,2.2439,3113,2011
82,2011-06-02 00:00:00,2.2439,2.2439,2.1537,2.1537,501,2011
83,2011-06-03 00:00:00,2.1537,2.2439,2.1537,2.2439,440,2011
84,2011-06-06 00:00:00,2.1537,2.2439,2.0645,2.2439,7621,2011
85,2011-06-07 00:00:00,2.2309,2.2309,2.2309,2.2309,190,2011
86,2011-06-08 00:00:00,2.2309,2.2309,2.045,2.2309,2240,2011
87,2011-06-09 00:00:00,2.2309,2.2309,2.2309,2.2309,844,2011
88,2011-06-10 00:00:00,2.2439,2.2439,2.2439,2.2439,133,2011
89,2011-06-13 00:00:00,2.2439,2.2439,2.0645,2.2439,12553,2011
90,2011-06-14 00:00:00,2.2439,2.3332,2.2439,2.2439,5603,2011
91,2011-06-15 00:00:00,2.2439,2.3332,2.2439,2.3332,3877,2011
92,2011-06-16 00:00:00,2.3238,2.4167,2.3238,2.4167,5460,2011
93,2011-06-17 00:00:00,2.4167,2.5097,2.4167,2.5097,12591,2011
94,2011-06-20 00:00:00,2.5126,2.5126,2.5126,2.5126,334,2011
95,2011-06-21 00:00:00,2.5097,2.6026,2.5097,2.6026,5561,2011
