,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-12-27 00:00:00,6.6,7.92,6.01,6.9,8172,2011
1,2011-12-28 00:00:00,6.31,9.2,6.21,9.2,4286,2011
2,2011-12-29 00:00:00,9.95,10.0,8.02,8.6,1495,2011
3,2011-12-30 00:00:00,8.0,8.0,6.11,7.0,1071,2011
4,2012-01-02 00:00:00,7.8,7.8,6.25,6.6,667,2012
5,2012-01-03 00:00:00,6.6,6.6,5.3,6.57,687,2012
6,2012-01-04 00:00:00,6.5,6.5,6.0,6.4,207,2012
7,2012-01-05 00:00:00,6.49,6.49,5.5,6.4,62,2012
8,2012-01-09 00:00:00,6.4,6.4,6.4,6.4,3,2012
9,2012-01-10 00:00:00,6.2,6.39,6.2,6.39,25,2012
10,2012-01-11 00:00:00,6.29,6.29,6.29,6.29,2,2012
11,2012-01-12 00:00:00,6.29,6.29,6.29,6.29,2,2012
12,2012-01-13 00:00:00,6.29,7.48,6.29,7.48,512,2012
13,2012-01-16 00:00:00,7.35,7.35,5.5,7.18,472,2012
14,2012-01-17 00:00:00,7.15,7.15,7.15,7.15,2,2012
15,2012-01-18 00:00:00,7.1,7.1,7.1,7.1,1,2012
16,2012-01-19 00:00:00,7.0,7.0,5.7,6.98,7,2012
17,2012-01-20 00:00:00,6.96,6.96,6.96,6.96,3,2012
18,2012-01-23 00:00:00,6.96,6.96,6.96,6.96,9,2012
19,2012-01-24 00:00:00,6.96,6.96,6.96,6.96,8,2012
20,2012-01-25 00:00:00,6.94,6.94,6.94,6.94,5,2012
21,2012-01-26 00:00:00,6.9,6.9,6.9,6.9,9,2012
22,2012-01-27 00:00:00,6.88,7.5,6.88,7.5,207,2012
23,2012-01-30 00:00:00,6.99,6.99,6.99,6.99,2,2012
24,2012-01-31 00:00:00,5.98,5.98,5.6,5.97,590,2012
25,2012-02-01 00:00:00,5.98,5.98,5.98,5.98,1,2012
26,2012-02-02 00:00:00,5.98,5.98,5.98,5.98,2,2012
27,2012-02-03 00:00:00,5.6,5.98,5.28,5.98,400,2012
28,2012-02-06 00:00:00,5.98,5.98,5.98,5.98,1,2012
29,2012-02-07 00:00:00,5.98,5.98,5.98,5.98,2,2012
30,2012-02-08 00:00:00,5.59,5.59,5.59,5.59,10,2012
31,2012-02-09 00:00:00,5.98,5.98,5.98,5.98,1,2012
32,2012-02-10 00:00:00,5.98,5.98,5.98,5.98,1,2012
33,2012-02-13 00:00:00,6.55,6.55,5.32,5.32,471,2012
34,2012-02-14 00:00:00,5.3,5.3,5.3,5.3,1,2012
35,2012-02-15 00:00:00,5.3,5.3,5.3,5.3,1,2012
36,2012-02-16 00:00:00,5.3,5.3,5.3,5.3,1,2012
37,2012-02-20 00:00:00,5.25,5.25,5.23,5.23,490,2012
38,2012-02-22 00:00:00,4.39,6.27,4.39,6.25,1008,2012
39,2012-02-24 00:00:00,6.32,6.32,6.32,6.32,1,2012
40,2012-02-27 00:00:00,7.55,7.55,7.55,7.55,1,2012
41,2012-03-01 00:00:00,7.32,7.32,6.67,6.99,393,2012
42,2012-03-05 00:00:00,5.9,6.0,5.72,6.0,1381,2012
43,2012-03-06 00:00:00,5.0,5.79,5.0,5.79,465,2012
44,2012-03-07 00:00:00,6.55,6.55,6.55,6.55,1,2012
45,2012-03-08 00:00:00,5.25,6.0,5.0,5.0,1839,2012
46,2012-03-12 00:00:00,6.0,6.3,4.92,5.17,521,2012
47,2012-03-13 00:00:00,6.0,6.0,4.8,5.02,534,2012
48,2012-03-14 00:00:00,6.0,6.0,6.0,6.0,1,2012
49,2012-03-19 00:00:00,5.99,5.99,5.2,5.9,499,2012
50,2012-03-23 00:00:00,4.73,5.9,4.73,5.9,1053,2012
51,2012-03-26 00:00:00,5.9,5.9,5.9,5.9,1,2012
52,2012-03-30 00:00:00,5.8,5.8,5.8,5.8,11,2012
53,2012-04-02 00:00:00,4.68,4.93,4.68,4.93,546,2012
54,2012-04-03 00:00:00,4.67,4.95,4.61,4.95,856,2012
55,2012-04-04 00:00:00,4.27,4.95,4.27,4.9,1140,2012
56,2012-04-05 00:00:00,4.93,4.93,4.93,4.93,1,2012
57,2012-04-10 00:00:00,5.8,5.8,4.9,5.4,480,2012
58,2012-04-11 00:00:00,5.8,5.8,5.8,5.8,12,2012
59,2012-04-12 00:00:00,5.8,5.8,5.8,5.8,2,2012
60,2012-04-13 00:00:00,5.8,5.8,5.8,5.8,1,2012
61,2012-04-16 00:00:00,4.65,4.65,4.65,4.65,352,2012
62,2012-04-17 00:00:00,4.65,4.65,3.79,3.97,2061,2012
63,2012-04-18 00:00:00,3.89,3.89,3.33,3.89,1457,2012
64,2012-04-25 00:00:00,3.2,3.99,3.2,3.99,1005,2012
65,2012-04-26 00:00:00,3.99,3.99,3.99,3.99,1,2012
