,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-06-06 00:00:00,1.0247,1.3973,1.0247,1.3973,119767,2012
1,2012-06-08 00:00:00,1.5836,1.7699,1.3041,1.7699,123096,2012
2,2012-06-11 00:00:00,1.9562,2.4219,1.9562,2.4219,114423,2012
3,2012-06-12 00:00:00,2.5151,3.3534,2.3288,2.6082,120642,2012
4,2012-06-13 00:00:00,2.6082,2.7014,1.4904,1.4904,286412,2012
5,2012-06-14 00:00:00,1.4904,1.7699,0.9315,0.9315,1301082,2012
6,2012-06-15 00:00:00,0.9315,1.0247,0.7452,0.7452,99720,2012
7,2012-06-18 00:00:00,0.8384,1.0247,0.8384,0.9315,38979,2012
8,2012-06-19 00:00:00,0.9315,1.1178,0.9315,1.0247,73662,2012
9,2012-06-20 00:00:00,1.1178,1.1178,1.0247,1.1178,21144,2012
10,2012-06-21 00:00:00,1.1178,1.1178,1.0247,1.0247,28527,2012
11,2012-06-22 00:00:00,1.0247,1.0247,0.9315,1.0247,24137,2012
12,2012-06-25 00:00:00,1.0247,1.1178,0.9315,0.9315,62628,2012
13,2012-06-26 00:00:00,0.9315,1.1178,0.9315,0.9315,166065,2012
14,2012-06-27 00:00:00,0.9315,1.3041,0.9315,1.3041,713169,2012
15,2012-06-28 00:00:00,1.3041,1.4904,0.8384,0.9315,1056285,2012
16,2012-06-29 00:00:00,0.9315,0.9315,0.7452,0.8384,27087,2012
17,2012-07-02 00:00:00,0.8384,0.9315,0.7452,0.9315,52337,2012
18,2012-07-03 00:00:00,0.8384,1.1178,0.7452,0.8384,793830,2012
19,2012-07-04 00:00:00,0.8384,0.8384,0.7452,0.7452,38540,2012
20,2012-07-05 00:00:00,0.7452,0.8384,0.6521,0.6521,936215,2012
21,2012-07-06 00:00:00,0.6521,0.6521,0.5589,0.6521,4880,2012
22,2012-07-09 00:00:00,0.5589,0.6521,0.46575,0.5589,92709,2012
23,2012-07-10 00:00:00,0.5589,0.6521,0.5589,0.6521,11236,2012
24,2012-07-11 00:00:00,0.6521,0.7452,0.5589,0.7452,39133,2012
25,2012-07-12 00:00:00,0.7452,0.9315,0.5589,0.5589,1186962,2012
26,2012-07-13 00:00:00,0.5589,0.6521,0.5589,0.5589,46053,2012
27,2012-07-16 00:00:00,0.6521,0.6521,0.5589,0.5589,61729,2012
28,2012-07-17 00:00:00,0.5589,0.6521,0.46575,0.6521,41191,2012
29,2012-07-18 00:00:00,0.6521,0.6521,0.5589,0.5589,25127,2012
