,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-01-03 00:00:00,11.19,12.682,7.4597,9.698,326939,2008
1,2008-01-04 00:00:00,10.071,11.003,8.2952,8.6159,114390,2008
2,2008-01-07 00:00:00,8.504,9.3022,7.8327,8.8024,82412,2008
3,2008-01-08 00:00:00,8.325,8.795,8.2056,8.5786,29717,2008
4,2008-01-09 00:00:00,8.504,8.504,8.3399,8.3399,5433,2008
5,2008-01-10 00:00:00,8.0565,8.0565,7.6984,7.87,8441,2008
6,2008-01-11 00:00:00,7.87,7.9073,7.5343,7.6462,2086,2008
7,2008-01-14 00:00:00,7.6462,7.6462,6.7137,7.0867,18123,2008
8,2008-01-15 00:00:00,7.0867,7.676,6.8629,7.0867,6217,2008
9,2008-01-16 00:00:00,6.7883,6.7883,6.1915,6.2661,4028,2008
10,2008-01-17 00:00:00,7.1464,7.1464,6.5645,6.8629,6865,2008
11,2008-01-18 00:00:00,6.7137,7.1613,6.4228,7.1613,4062,2008
12,2008-01-21 00:00:00,7.0867,7.0867,6.4899,6.7137,259,2008
13,2008-01-22 00:00:00,6.4899,6.7137,6.3407,6.6391,9218,2008
14,2008-01-23 00:00:00,6.6391,7.0867,6.6391,7.0121,6633,2008
15,2008-01-24 00:00:00,7.4522,7.7581,6.9375,7.5343,3488,2008
16,2008-01-25 00:00:00,7.6089,7.6089,6.7883,7.0867,6427,2008
17,2008-01-28 00:00:00,7.0046,7.3179,6.4302,7.303,795,2008
18,2008-01-29 00:00:00,6.4153,7.2956,6.4153,7.2359,2288,2008
19,2008-01-30 00:00:00,7.303,7.303,7.303,7.303,7,2008
20,2008-01-31 00:00:00,7.1538,7.1613,6.7137,6.8629,6075,2008
21,2008-02-01 00:00:00,6.377999999999999,7.0121,6.377999999999999,6.7883,4221,2008
22,2008-02-04 00:00:00,6.6242,6.6317,6.1169,6.6018,7350,2008
23,2008-02-05 00:00:00,6.3407,6.4899,6.2288,6.4899,2059,2008
24,2008-02-06 00:00:00,6.3407,8.5786,5.9677,7.4597,22701,2008
25,2008-02-07 00:00:00,7.4597,7.8327,7.0046,7.2359,4603,2008
26,2008-02-08 00:00:00,7.1986,7.4149,6.7137,7.2359,3255,2008
27,2008-02-11 00:00:00,7.3105,7.3105,6.8629,7.1613,8575,2008
28,2008-02-12 00:00:00,7.3702,7.4149,6.9375,7.4149,579,2008
29,2008-02-13 00:00:00,7.4448,7.4448,7.0121,7.3403,417,2008
30,2008-02-14 00:00:00,7.3403,8.5786,7.3254,8.2056,16855,2008
31,2008-02-15 00:00:00,8.4294,8.4294,7.497000000000001,8.1161,2219,2008
32,2008-02-18 00:00:00,8.131,8.131,7.0867,7.7208,5697,2008
33,2008-02-19 00:00:00,6.9375,7.7208,6.9375,7.6685,2018,2008
34,2008-02-20 00:00:00,6.9524,7.3851,6.9524,7.3851,395,2008
35,2008-02-21 00:00:00,7.3851,7.3851,6.6391,7.2881,5912,2008
36,2008-02-22 00:00:00,6.7361,7.206,6.7286,7.1464,2106,2008
37,2008-02-25 00:00:00,7.0121,7.1613,7.0121,7.1613,223,2008
38,2008-02-26 00:00:00,6.8405,7.0494,6.0274,7.0494,2800,2008
39,2008-02-27 00:00:00,6.7137,6.7137,6.7137,6.7137,404,2008
40,2008-02-28 00:00:00,6.9077,6.9226,6.7808,6.9226,283,2008
41,2008-02-29 00:00:00,6.7808,6.7808,6.5048,6.7137,2338,2008
42,2008-03-03 00:00:00,6.6391,6.6391,6.1542,6.6391,436,2008
43,2008-03-05 00:00:00,6.0423,6.751,6.0423,6.751,63,2008
44,2008-03-06 00:00:00,6.6988,6.7883,6.0498,6.0498,530,2008
45,2008-03-07 00:00:00,6.6242,6.6242,6.0423,6.6242,25,2008
46,2008-03-10 00:00:00,6.5645,6.5645,6.5645,6.5645,5,2008
47,2008-03-11 00:00:00,6.5645,6.5645,6.1319,6.5645,46,2008
48,2008-03-12 00:00:00,6.4825,6.4825,6.4825,6.4825,40,2008
49,2008-03-13 00:00:00,6.1319,6.377999999999999,6.1319,6.3631,198,2008
50,2008-03-14 00:00:00,6.1542,6.3706,6.1542,6.3706,323,2008
51,2008-03-17 00:00:00,6.1169,6.3407,6.0423,6.0423,433,2008
52,2008-03-18 00:00:00,6.0274,6.0274,5.9677,5.9677,162,2008
53,2008-03-19 00:00:00,5.6694,5.8111,5.6694,5.8111,139,2008
54,2008-03-20 00:00:00,5.2665,5.8931,5.2665,5.8931,822,2008
55,2008-03-25 00:00:00,6.3407,6.3407,6.2661,6.2661,209,2008
56,2008-03-28 00:00:00,6.0722,6.0722,5.744,5.9677,2213,2008
57,2008-03-31 00:00:00,5.9603,5.9603,5.9603,5.9603,67,2008
58,2008-04-01 00:00:00,5.5948,6.3034,5.5948,5.5948,1883,2008
59,2008-04-02 00:00:00,5.6022,5.6022,5.4829,5.5948,912,2008
60,2008-04-04 00:00:00,6.1169,6.1169,6.1169,6.1169,13,2008
61,2008-04-07 00:00:00,5.371,5.5948,5.371,5.5948,637,2008
62,2008-04-08 00:00:00,5.2665,5.3038,5.2218,5.2964,778,2008
63,2008-04-09 00:00:00,4.625,5.5052,4.625,5.5052,413,2008
64,2008-04-11 00:00:00,5.2292,5.2292,5.2292,5.2292,1,2008
65,2008-04-14 00:00:00,5.3188,5.3188,5.2292,5.2292,430,2008
66,2008-04-15 00:00:00,5.2218,5.5948,5.2218,5.5948,796,2008
67,2008-04-16 00:00:00,5.2964,5.2964,5.2665,5.2665,710,2008
68,2008-04-18 00:00:00,5.2218,5.2218,5.1099,5.1397,1180,2008
69,2008-04-21 00:00:00,5.2665,5.2665,5.1024,5.1024,566,2008
70,2008-04-23 00:00:00,5.1696,5.1696,5.1696,5.1696,3,2008
71,2008-04-24 00:00:00,4.8488,5.1621,4.803999999999999,5.1621,578,2008
72,2008-04-25 00:00:00,4.9234,5.1546,4.7294,4.7369,1161,2008
73,2008-04-28 00:00:00,4.7593,5.1472,4.7219999999999995,5.1472,3597,2008
74,2008-04-29 00:00:00,4.7071,4.7369,4.6996,4.7369,1170,2008
75,2008-04-30 00:00:00,4.7369,5.2218,4.7369,5.2218,2715,2008
76,2008-05-06 00:00:00,5.2516,5.2516,5.2516,5.2516,201,2008
77,2008-05-07 00:00:00,4.9831,4.9831,4.9607,4.9607,335,2008
78,2008-05-08 00:00:00,5.2292,5.8782,5.2292,5.744,6479,2008
79,2008-05-09 00:00:00,5.5276,6.0423,5.5276,6.0423,3082,2008
80,2008-05-12 00:00:00,5.6694,5.8931,5.5948,5.8931,308,2008
81,2008-05-13 00:00:00,5.7067,6.2661,5.7067,6.2661,2603,2008
82,2008-05-14 00:00:00,6.3034,6.3034,5.744,6.1169,1316,2008
83,2008-05-15 00:00:00,5.7514,5.7514,5.7514,5.7514,201,2008
84,2008-05-16 00:00:00,5.744,5.8484,5.6694,5.8484,2657,2008
85,2008-05-20 00:00:00,5.6694,6.3258,4.8488,5.0726,444,2008
86,2008-05-21 00:00:00,5.8185,5.8185,5.2218,5.2218,62,2008
87,2008-05-23 00:00:00,5.0278,5.0278,4.8861,4.8861,536,2008
88,2008-05-26 00:00:00,5.8633,5.8633,5.8633,5.8633,1,2008
89,2008-05-30 00:00:00,5.4381,5.4381,5.4381,5.4381,1,2008
90,2008-06-03 00:00:00,4.8488,4.8488,4.8339,4.8339,831,2008
91,2008-06-04 00:00:00,4.8488,4.8488,4.8488,4.8488,138,2008
92,2008-06-05 00:00:00,4.7369,4.8115,4.3639,4.8115,1000,2008
93,2008-06-06 00:00:00,4.1327,4.8488,4.1327,4.8488,241,2008
94,2008-06-09 00:00:00,4.3266,4.819,4.252,4.819,1988,2008
95,2008-06-10 00:00:00,4.3415,4.4161,4.3415,4.4087,1102,2008
96,2008-06-17 00:00:00,4.5429,4.5504,4.4087,4.4087,1571,2008
97,2008-06-18 00:00:00,3.8268,4.1774,3.7969999999999997,4.1028,2654,2008
98,2008-06-19 00:00:00,4.1028,4.4683,3.7746,3.9611,1527,2008
99,2008-06-23 00:00:00,3.9163,3.9611,3.9163,3.9611,449,2008
100,2008-06-30 00:00:00,4.2446,4.252,3.5806,4.1028,3388,2008
101,2008-07-01 00:00:00,4.1177,4.1177,4.1177,4.1177,123,2008
102,2008-07-04 00:00:00,3.7298,3.9835,3.6627,3.9835,3485,2008
103,2008-07-07 00:00:00,3.7,3.7,3.6925,3.7,2105,2008
104,2008-07-09 00:00:00,3.7597,3.7895,3.7597,3.7895,538,2008
105,2008-07-10 00:00:00,3.3643,3.7373,3.3643,3.7373,404,2008
106,2008-07-11 00:00:00,3.8044,3.8044,3.8044,3.8044,68,2008
107,2008-07-16 00:00:00,3.5806,3.7298,3.5806,3.7298,268,2008
108,2008-07-17 00:00:00,3.9909,4.1028,3.4016,4.0431,5676,2008
109,2008-07-18 00:00:00,4.0954,4.1028,3.8044,3.9909,2239,2008
110,2008-07-21 00:00:00,4.1028,4.1028,4.1028,4.1028,15,2008
111,2008-07-22 00:00:00,4.0954,4.8264,3.6702,4.1103,8732,2008
112,2008-07-23 00:00:00,4.2446,4.252,4.2446,4.252,799,2008
113,2008-07-24 00:00:00,4.4012,4.5429,4.3266,4.3266,2914,2008
114,2008-07-25 00:00:00,4.3266,4.3266,3.6925,3.7373,12521,2008
115,2008-07-28 00:00:00,4.1923,4.1923,3.7298,3.7373,524,2008
116,2008-07-29 00:00:00,3.7373,3.7373,3.7298,3.7298,866,2008
117,2008-07-30 00:00:00,3.8716,3.9014,3.6627,3.6627,1000,2008
118,2008-07-31 00:00:00,3.8343,3.8343,3.5060000000000002,3.5060000000000002,2185,2008
119,2008-08-01 00:00:00,3.6403,5.0427,3.6329,4.9234,25356,2008
120,2008-08-04 00:00:00,4.6996,4.8935,4.0282,4.6921,15515,2008
121,2008-08-05 00:00:00,4.3863,4.6772,3.7671,4.155,8184,2008
122,2008-08-06 00:00:00,4.155,4.2819,3.8044,4.0655,2685,2008
123,2008-08-07 00:00:00,3.7,3.9909,3.7,3.9909,1271,2008
124,2008-08-08 00:00:00,3.9536,3.9909,3.9536,3.9909,536,2008
125,2008-08-12 00:00:00,3.7522,3.7671,3.7298,3.7671,972,2008
126,2008-08-13 00:00:00,3.8044,3.8044,3.6851,3.6851,210,2008
127,2008-08-14 00:00:00,3.6851,3.6851,3.5433,3.5433,336,2008
128,2008-08-18 00:00:00,3.7969999999999997,3.8343,3.7969999999999997,3.8343,268,2008
129,2008-08-20 00:00:00,3.5135,3.5135,3.424,3.424,804,2008
130,2008-08-21 00:00:00,3.6925,3.7,3.6925,3.7,279,2008
131,2008-08-22 00:00:00,3.5284,3.5284,3.5284,3.5284,35,2008
132,2008-08-26 00:00:00,3.9089,3.9163,3.9089,3.9163,268,2008
133,2008-08-27 00:00:00,3.5657,3.5657,3.5433,3.5433,904,2008
134,2008-08-28 00:00:00,3.5210000000000004,3.5210000000000004,3.5135,3.5135,869,2008
135,2008-08-29 00:00:00,3.7224,3.7224,3.7224,3.7224,27,2008
136,2008-09-01 00:00:00,3.7075,3.9685,3.7075,3.9685,472,2008
137,2008-09-04 00:00:00,3.8716,3.8716,3.5806,3.5806,1362,2008
138,2008-09-09 00:00:00,3.7895,3.8044,3.7895,3.8044,335,2008
139,2008-09-15 00:00:00,3.4315,3.6254,3.2823,3.6254,1729,2008
140,2008-09-18 00:00:00,2.9913,3.4613,2.9539999999999997,3.4613,236,2008
141,2008-09-19 00:00:00,3.424,3.424,3.424,3.424,168,2008
142,2008-09-23 00:00:00,3.1331,3.2823,2.9764,3.2823,818,2008
143,2008-09-24 00:00:00,3.2823,3.424,3.0063,3.2823,672,2008
144,2008-09-25 00:00:00,3.2748,3.5657,3.2748,3.5657,469,2008
145,2008-09-26 00:00:00,3.1331,3.1331,3.1331,3.1331,147,2008
146,2008-09-30 00:00:00,3.4165,3.4165,3.4165,3.4165,79,2008
147,2008-10-01 00:00:00,3.2823,3.2823,3.2823,3.2823,268,2008
148,2008-10-02 00:00:00,3.2748,3.2748,2.9839,3.23,1082,2008
149,2008-10-06 00:00:00,2.9839,2.9839,2.9839,2.9839,111,2008
150,2008-10-09 00:00:00,2.9839,2.9839,2.9839,2.9839,67,2008
151,2008-10-13 00:00:00,2.4692,3.2972,2.3125,3.2972,4162,2008
152,2008-10-16 00:00:00,2.9539999999999997,2.9539999999999997,2.9539999999999997,2.9539999999999997,20,2008
153,2008-10-17 00:00:00,2.6109,2.6109,2.3871,2.3871,1418,2008
154,2008-10-21 00:00:00,2.6109,2.8272,2.6109,2.8272,815,2008
155,2008-10-22 00:00:00,2.4319,2.4319,2.4319,2.4319,630,2008
156,2008-10-23 00:00:00,2.8198,2.8198,2.8198,2.8198,201,2008
157,2008-10-24 00:00:00,2.6482,2.678,2.6482,2.6482,1657,2008
158,2008-10-27 00:00:00,2.4244,2.8272,2.4244,2.8272,1347,2008
159,2008-10-29 00:00:00,2.8347,2.8347,2.8347,2.8347,4,2008
160,2008-10-30 00:00:00,2.8347,3.4688,2.8347,3.4688,1501,2008
161,2008-10-31 00:00:00,3.245,3.3494,3.245,3.3494,386,2008
162,2008-11-03 00:00:00,3.2823,3.7149,3.2748,3.7149,2989,2008
163,2008-11-04 00:00:00,3.6552,3.7671,3.3569,3.3569,469,2008
