,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2014-07-17 00:00:00,4.55,6.45,4.55,5.53,107104,2014
1,2014-07-18 00:00:00,5.1,6.4,4.5,4.78,129119,2014
2,2014-07-21 00:00:00,4.85,5.35,4.4,4.4,94115,2014
3,2014-07-22 00:00:00,4.4,4.8,3.84,3.84,133653,2014
4,2014-07-23 00:00:00,4.2,4.52,3.9,4.14,60083,2014
5,2014-07-24 00:00:00,4.2,4.52,4.0,4.0,82518,2014
6,2014-07-25 00:00:00,4.0,4.19,3.55,3.71,72860,2014
7,2014-07-28 00:00:00,3.79,3.79,3.04,3.05,96993,2014
8,2014-07-29 00:00:00,2.97,3.4,2.76,3.15,94702,2014
9,2014-07-30 00:00:00,3.26,3.55,2.57,2.57,133487,2014
10,2014-07-31 00:00:00,2.49,2.58,2.1,2.37,43691,2014
11,2014-08-01 00:00:00,2.21,2.84,2.12,2.6,69868,2014
12,2014-08-04 00:00:00,2.6,2.85,1.99,1.99,85902,2014
13,2014-08-05 00:00:00,2.0,2.05,1.7,1.8,23942,2014
14,2014-08-06 00:00:00,1.97,1.97,1.7,1.73,66385,2014
15,2014-08-07 00:00:00,1.78,1.84,1.5,1.5,60930,2014
16,2014-08-08 00:00:00,1.61,1.62,1.31,1.31,29744,2014
17,2014-08-11 00:00:00,1.36,1.44,1.3,1.32,6768,2014
18,2014-08-12 00:00:00,1.28,1.37,1.25,1.33,14046,2014
19,2014-08-13 00:00:00,1.36,1.63,1.22,1.63,36779,2014
20,2014-08-14 00:00:00,1.67,2.0,1.5,1.8,60000,2014
21,2014-08-18 00:00:00,1.77,1.95,1.42,1.48,18246,2014
22,2014-08-19 00:00:00,1.59,1.64,1.41,1.64,15339,2014
23,2014-08-20 00:00:00,1.64,1.64,1.32,1.39,11183,2014
24,2014-08-21 00:00:00,1.31,1.38,1.23,1.37,11945,2014
25,2014-08-22 00:00:00,1.25,1.34,1.23,1.24,10450,2014
26,2014-08-25 00:00:00,1.23,1.23,1.07,1.19,5023,2014
27,2014-08-26 00:00:00,1.13,1.34,1.05,1.29,14133,2014
28,2014-08-27 00:00:00,1.28,1.42,1.12,1.27,10763,2014
29,2014-08-28 00:00:00,1.28,1.28,1.1,1.2,5398,2014
30,2014-08-29 00:00:00,1.1,1.24,1.05,1.08,9641,2014
31,2014-09-01 00:00:00,1.06,1.06,1.0,1.01,4048,2014
32,2014-09-02 00:00:00,1.0,1.07,0.94,0.94,7232,2014
33,2014-09-03 00:00:00,0.99,0.99,0.94,0.99,2776,2014
34,2014-09-04 00:00:00,0.95,1.36,0.95,1.13,15292,2014
35,2014-09-05 00:00:00,1.06,1.11,1.05,1.05,2916,2014
36,2014-09-08 00:00:00,1.03,1.09,1.0,1.09,1576,2014
37,2014-09-09 00:00:00,1.09,1.09,0.95,0.96,8787,2014
38,2014-09-10 00:00:00,0.96,0.99,0.95,0.95,2547,2014
39,2014-09-11 00:00:00,0.98,0.98,0.88,0.94,11878,2014
40,2014-09-12 00:00:00,0.88,1.02,0.88,1.02,11217,2014
41,2014-09-15 00:00:00,1.02,1.1,0.92,1.0,6895,2014
42,2014-09-16 00:00:00,0.92,1.06,0.92,0.92,10163,2014
43,2014-09-17 00:00:00,0.98,1.02,0.97,0.97,6850,2014
44,2014-09-18 00:00:00,0.97,0.97,0.92,0.92,946,2014
45,2014-09-19 00:00:00,0.92,1.02,0.92,1.02,19864,2014
46,2014-09-22 00:00:00,0.97,0.99,0.94,0.99,3504,2014
47,2014-09-23 00:00:00,0.94,0.95,0.94,0.94,1805,2014
48,2014-09-24 00:00:00,0.93,0.98,0.91,0.91,3128,2014
49,2014-09-25 00:00:00,0.98,0.98,0.91,0.91,4070,2014
50,2014-09-26 00:00:00,0.92,0.98,0.9,0.94,4162,2014
