,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-12-19 00:00:00,2.7741,2.7741,2.7741,2.7741,19,2008
1,2008-12-22 00:00:00,2.8027,2.8027,2.8027,2.8027,11,2008
2,2008-12-23 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2008
3,2009-01-07 00:00:00,2.8027,2.8027,2.8027,2.8027,1,2009
4,2009-01-08 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
5,2009-01-09 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
6,2009-01-14 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
7,2009-01-15 00:00:00,2.8027,2.8027,2.8027,2.8027,95,2009
8,2009-01-16 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
9,2009-01-19 00:00:00,2.8315,2.8315,2.8315,2.8315,2,2009
10,2009-01-21 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
11,2009-01-22 00:00:00,2.8027,2.8027,2.7798,2.8027,86,2009
12,2009-01-23 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
13,2009-01-26 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
14,2009-01-27 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
15,2009-01-28 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
16,2009-01-29 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
17,2009-01-30 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
18,2009-02-09 00:00:00,2.8602,2.8602,2.8602,2.8602,54,2009
19,2009-02-10 00:00:00,2.889,2.889,2.889,2.889,19,2009
20,2009-02-18 00:00:00,2.9119,2.9119,2.9119,2.9119,182,2009
21,2009-02-19 00:00:00,2.9119,2.9119,2.9119,2.9119,34,2009
22,2009-02-20 00:00:00,2.9062,2.9119,2.9062,2.9119,39,2009
23,2009-02-26 00:00:00,2.7741,2.9406,2.7741,2.9406,377,2009
24,2009-03-12 00:00:00,2.889,2.889,2.8027,2.8027,905,2009
25,2009-03-13 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
26,2009-03-16 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
27,2009-03-17 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
28,2009-03-18 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
29,2009-03-19 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
30,2009-03-20 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
31,2009-03-23 00:00:00,2.8027,2.8027,2.8027,2.8027,116,2009
32,2009-03-24 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
33,2009-03-25 00:00:00,2.8027,2.8027,2.8027,2.8027,1,2009
34,2009-03-26 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
35,2009-03-27 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
36,2009-03-30 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
37,2009-03-31 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
38,2009-04-01 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
39,2009-04-02 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
40,2009-04-03 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
41,2009-04-06 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
42,2009-04-07 00:00:00,2.8027,2.8027,2.8027,2.8027,670,2009
43,2009-04-08 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
44,2009-04-09 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
45,2009-04-14 00:00:00,2.8027,2.8027,2.8027,2.8027,375,2009
46,2009-04-15 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
47,2009-04-16 00:00:00,2.6936,2.8027,2.6936,2.8027,76,2009
48,2009-04-17 00:00:00,2.8027,2.8027,2.8027,2.8027,2,2009
49,2009-04-22 00:00:00,2.7971,2.7971,2.7971,2.7971,2,2009
50,2009-04-23 00:00:00,2.7971,2.7971,2.7971,2.7971,56,2009
51,2009-04-24 00:00:00,2.7971,2.7971,2.7971,2.7971,1,2009
