,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2017-08-25 00:00:00,10.0,15.0,10.0,15.0,300,2017
1,2017-08-28 00:00:00,16.0,17.0,16.0,17.0,0,2017
2,2017-08-29 00:00:00,17.0,19.2,17.0,19.2,0,2017
3,2017-08-30 00:00:00,21.5,25.8,21.5,25.8,200,2017
4,2017-08-31 00:00:00,28.7,30.9,23.0,25.0,300,2017
5,2017-09-04 00:00:00,21.0,21.0,21.0,21.0,0,2017
6,2017-09-05 00:00:00,18.0,18.0,14.4,14.4,100,2017
7,2017-09-06 00:00:00,15.9,18.5,15.9,18.5,100,2017
8,2017-09-07 00:00:00,17.0,20.9,15.1,20.9,300,2017
9,2017-09-08 00:00:00,21.1,26.0,21.1,24.0,300,2017
10,2017-09-11 00:00:00,22.0,23.2,17.6,20.0,400,2017
11,2017-09-14 00:00:00,21.0,23.2,19.0,19.0,400,2017
12,2017-09-15 00:00:00,19.0,19.0,12.2,16.0,700,2017
13,2017-09-20 00:00:00,15.0,15.0,13.5,13.5,100,2017
14,2017-09-21 00:00:00,14.5,15.1,14.5,15.1,0,2017
15,2017-09-25 00:00:00,15.5,17.5,15.5,17.3,300,2017
16,2017-09-27 00:00:00,17.845,17.845,17.845,17.845,0,2017
17,2017-09-28 00:00:00,17.0,17.0,17.0,17.0,0,2017
18,2017-10-03 00:00:00,17.0,17.0,16.7,16.7,100,2017
19,2017-10-05 00:00:00,16.9,16.9,16.4,16.4,100,2017
20,2017-10-09 00:00:00,16.1,16.1,16.1,16.1,0,2017
21,2017-10-10 00:00:00,15.9,15.9,15.9,15.9,0,2017
22,2017-10-13 00:00:00,16.3,16.3,16.3,16.3,0,2017
23,2017-10-16 00:00:00,16.5,16.665,16.5,16.665,0,2017
24,2017-10-18 00:00:00,16.8,16.8,16.8,16.8,0,2017
25,2017-10-19 00:00:00,16.0,16.0,16.0,16.0,0,2017
26,2017-10-27 00:00:00,15.8,15.8,15.7,15.7,0,2017
27,2017-10-31 00:00:00,15.3,15.3,15.3,15.3,0,2017
28,2017-11-02 00:00:00,16.0,16.0,15.1,15.1,0,2017
29,2017-11-07 00:00:00,15.8,15.8,15.0,15.0,0,2017
30,2017-11-15 00:00:00,15.5,17.525,15.5,17.525,200,2017
31,2017-11-17 00:00:00,17.5,17.5,17.5,17.5,0,2017
32,2017-11-20 00:00:00,17.5,17.5,17.5,17.5,0,2017
33,2017-11-21 00:00:00,17.5,17.5,17.5,17.5,0,2017
34,2017-11-22 00:00:00,17.5,17.5,17.5,17.5,0,2017
35,2017-11-23 00:00:00,17.5,17.5,17.5,17.5,0,2017
36,2017-11-30 00:00:00,17.1,17.1,17.0,17.0,0,2017
37,2017-12-01 00:00:00,17.0,17.0,17.0,17.0,0,2017
38,2017-12-06 00:00:00,17.0,17.0,17.0,17.0,0,2017
39,2017-12-07 00:00:00,17.0,17.0,16.9,16.9,100,2017
40,2017-12-21 00:00:00,16.5,16.5,15.5,15.5,100,2017
41,2017-12-27 00:00:00,15.5,15.5,15.0,15.0,0,2017
42,2018-02-26 00:00:00,14.8,14.8,14.5,14.5,0,2018
43,2018-04-16 00:00:00,14.5,14.5,14.5,14.5,0,2018
44,2018-04-19 00:00:00,14.5,14.5,14.5,14.5,0,2018
45,2018-04-25 00:00:00,14.5,14.5,14.5,14.5,0,2018
46,2018-04-30 00:00:00,14.5,14.5,14.5,14.5,0,2018
47,2018-05-16 00:00:00,14.5,14.5,14.5,14.5,0,2018
48,2018-05-18 00:00:00,14.1,14.1,14.1,14.1,0,2018
49,2018-05-22 00:00:00,13.9,13.9,13.9,13.9,0,2018
50,2018-05-30 00:00:00,13.9,13.9,13.9,13.9,0,2018
51,2018-06-04 00:00:00,13.9,13.9,13.9,13.9,0,2018
