,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,1998-01-21 00:00:00,10.550999999999998,11.154000000000002,10.550999999999998,11.154000000000002,331,1998
1,1998-01-23 00:00:00,10.847999999999999,10.847999999999999,10.847999999999999,10.847999999999999,166,1998
2,1998-01-27 00:00:00,10.847999999999999,10.847999999999999,10.847999999999999,10.847999999999999,331,1998
3,1998-01-30 00:00:00,10.847999999999999,10.847999999999999,10.847999999999999,10.847999999999999,663,1998
4,1998-02-04 00:00:00,10.847999999999999,10.847999999999999,10.847999999999999,10.847999999999999,496,1998
5,1998-03-10 00:00:00,10.972999999999999,10.972999999999999,10.972999999999999,10.972999999999999,17,1998
6,1998-03-16 00:00:00,10.128,10.128,10.128,10.128,166,1998
7,1998-03-18 00:00:00,10.009,10.009,10.009,10.009,82,1998
8,1998-03-23 00:00:00,10.009,10.009,10.009,10.009,66,1998
9,1998-03-25 00:00:00,10.732000000000001,10.732000000000001,10.732000000000001,10.732000000000001,82,1998
10,1998-04-01 00:00:00,9.886000000000001,9.886000000000001,9.886000000000001,9.886000000000001,331,1998
11,1998-04-29 00:00:00,10.489,10.489,10.489,10.489,82,1998
12,1998-04-30 00:00:00,10.489,10.489,10.489,10.489,82,1998
13,1998-06-02 00:00:00,9.65,9.65,9.65,9.65,166,1998
14,1998-06-15 00:00:00,9.524,9.524,9.524,9.524,66,1998
15,1998-06-17 00:00:00,9.406,9.406,9.3438,9.3438,331,1998
16,1998-06-18 00:00:00,9.3438,9.3438,9.3438,9.3438,166,1998
17,1998-06-24 00:00:00,9.1011,9.1011,9.045,9.045,322,1998
18,1998-07-09 00:00:00,9.3438,9.3438,9.3438,9.3438,331,1998
19,1998-08-28 00:00:00,9.65,9.65,9.3438,9.3438,619,1998
20,1998-08-31 00:00:00,9.3438,9.3438,9.3438,9.3438,117,1998
21,1998-09-01 00:00:00,8.4413,8.4413,8.4413,8.4413,16,1998
22,1998-09-14 00:00:00,8.4413,8.4413,8.4413,8.4413,166,1998
23,1998-10-22 00:00:00,6.028,6.028,6.028,6.028,331,1998
24,1998-11-26 00:00:00,7.2349,7.2349,7.2349,7.2349,166,1998
25,1998-11-27 00:00:00,7.2349,7.2349,7.2349,7.2349,166,1998
26,1998-11-30 00:00:00,7.2349,7.2349,7.2349,7.2349,166,1998
27,1998-12-17 00:00:00,7.2349,7.2349,7.2349,7.2349,166,1998
28,1998-12-18 00:00:00,7.2349,7.2349,7.2349,7.2349,166,1998
29,1998-12-30 00:00:00,7.2349,7.2349,7.2349,7.2349,166,1998
30,1999-01-20 00:00:00,6.6313,6.6313,6.6313,6.6313,82,1999
31,1999-01-25 00:00:00,6.0903,6.0903,6.0903,6.0903,82,1999
32,1999-01-26 00:00:00,6.0903,6.0903,6.0903,6.0903,82,1999
33,1999-02-01 00:00:00,6.028,6.028,6.028,6.028,331,1999
34,1999-02-04 00:00:00,5.3623,5.4246,5.3623,5.4246,91,1999
35,1999-02-05 00:00:00,5.3623,5.4246,5.3623,5.4246,91,1999
36,1999-05-24 00:00:00,6.7499,7.1724,6.7499,7.1724,331,1999
37,1999-05-26 00:00:00,7.4767,7.4767,7.4767,7.4767,166,1999
38,1999-06-21 00:00:00,6.028,6.028,6.028,6.028,125,1999
39,1999-06-22 00:00:00,5.7295,5.7295,5.7295,5.7295,114,1999
40,1999-08-05 00:00:00,6.028,6.028,6.028,6.028,1656,1999
41,1999-09-06 00:00:00,6.3328,6.3328,6.3328,6.3328,82,1999
42,1999-10-29 00:00:00,4.8212,4.8212,4.8212,4.8212,82,1999
43,1999-11-05 00:00:00,4.8212,4.8212,4.8212,4.8212,166,1999
44,1999-11-09 00:00:00,4.8212,4.8212,4.8212,4.8212,166,1999
45,1999-11-23 00:00:00,5.0015,5.0015,5.0015,5.0015,82,1999
46,1999-11-25 00:00:00,6.6313,6.6313,6.6313,6.6313,114,1999
47,1999-11-26 00:00:00,6.028,6.028,6.028,6.028,166,1999
48,1999-12-01 00:00:00,5.7295,5.7295,5.7295,5.7295,166,1999
49,1999-12-16 00:00:00,4.8212,4.8212,4.8212,4.8212,62,1999
50,1999-12-17 00:00:00,7.2349,7.2349,7.2349,7.2349,62,1999
51,2000-01-05 00:00:00,4.8212,4.8212,4.8212,4.8212,13,2000
52,2000-01-14 00:00:00,5.4246,5.4246,5.4246,5.4246,877,2000
53,2000-01-17 00:00:00,5.4246,5.4246,5.4246,5.4246,97,2000
54,2000-01-24 00:00:00,5.4246,5.4246,5.4246,5.4246,1503,2000
55,2000-01-25 00:00:00,5.4246,7.2349,5.4246,7.2349,48,2000
56,2000-01-31 00:00:00,5.4246,5.4246,5.4246,5.4246,166,2000
57,2000-02-01 00:00:00,5.4246,5.4246,5.4246,5.4246,297,2000
58,2000-02-03 00:00:00,5.7295,5.7295,5.7295,5.7295,166,2000
59,2000-02-04 00:00:00,5.605,5.7295,5.605,5.7295,730,2000
60,2000-02-07 00:00:00,5.941,5.941,5.941,5.941,331,2000
61,2000-02-08 00:00:00,5.4246,6.028,5.4246,6.028,1061,2000
62,2000-02-09 00:00:00,6.5133,6.5133,6.5133,6.5133,114,2000
63,2000-02-16 00:00:00,6.5133,6.5133,6.5133,6.5133,97,2000
64,2000-02-22 00:00:00,6.3892,6.3892,6.3892,6.3892,82,2000
65,2000-02-23 00:00:00,6.0903,6.0903,6.0903,6.0903,166,2000
66,2000-02-25 00:00:00,6.0903,6.0903,6.0903,6.0903,114,2000
67,2000-02-29 00:00:00,6.3328,6.3328,6.3328,6.3328,657,2000
68,2000-03-02 00:00:00,6.0903,6.0903,6.0903,6.0903,48,2000
69,2000-03-03 00:00:00,4.8212,4.8212,4.8212,4.8212,15,2000
70,2000-03-06 00:00:00,7.1724,7.8383,6.028,6.028,496,2000
71,2000-03-07 00:00:00,6.028,6.028,6.028,6.028,82,2000
72,2000-03-10 00:00:00,5.7854,5.7854,5.7854,5.7854,696,2000
73,2000-03-13 00:00:00,5.4246,5.4246,5.4246,5.4246,15,2000
74,2000-03-23 00:00:00,6.028,6.028,6.028,6.028,163,2000
75,2000-03-29 00:00:00,6.028,6.028,6.028,6.028,331,2000
76,2000-03-30 00:00:00,6.028,6.028,6.028,6.028,17,2000
77,2000-03-31 00:00:00,5.7295,5.7295,5.7295,5.7295,24,2000
78,2000-04-03 00:00:00,6.2706,6.2706,6.2706,6.2706,32,2000
79,2000-04-07 00:00:00,5.4246,5.4246,5.4246,5.4246,17,2000
80,2000-05-16 00:00:00,5.4246,5.9656,5.4246,5.9656,331,2000
81,2000-05-18 00:00:00,5.3065,5.3065,5.3065,5.3065,32,2000
82,2000-05-22 00:00:00,4.5226,5.7295,4.5226,5.7295,174,2000
83,2000-05-25 00:00:00,6.6313,6.6313,6.6313,6.6313,48,2000
84,2000-05-26 00:00:00,5.7295,5.7295,5.7295,5.7295,166,2000
85,2000-05-30 00:00:00,5.1261,5.1261,5.1261,5.1261,48,2000
86,2000-06-20 00:00:00,5.1261,5.4246,5.1261,5.4246,383,2000
