,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2007-11-05 00:00:00,4.35,4.35,4.005,4.095,57812,2007
1,2007-11-06 00:00:00,4.0,4.195,3.575,4.195,6378,2007
2,2007-11-07 00:00:00,3.985,3.985,3.55,3.67,2640,2007
3,2007-11-08 00:00:00,3.7,3.7,3.15,3.485,12294,2007
4,2007-11-09 00:00:00,3.47,3.47,3.01,3.195,9566,2007
5,2007-11-12 00:00:00,3.045,3.045,2.95,3.035,3700,2007
6,2007-11-13 00:00:00,3.0,3.02,2.805,2.94,5788,2007
7,2007-11-14 00:00:00,2.98,2.98,2.835,2.94,1400,2007
8,2007-11-15 00:00:00,3.035,3.25,2.85,3.15,2386,2007
9,2007-11-16 00:00:00,2.995,3.015,2.995,3.015,440,2007
10,2007-11-19 00:00:00,3.045,3.7,3.045,3.5,5518,2007
11,2007-11-20 00:00:00,3.49,3.49,3.49,3.49,52,2007
12,2007-11-21 00:00:00,3.18,3.22,3.15,3.22,1854,2007
13,2007-11-22 00:00:00,3.0,3.15,3.0,3.15,1350,2007
14,2007-11-23 00:00:00,3.05,3.24,3.05,3.24,3006,2007
15,2007-11-26 00:00:00,3.06,3.06,3.06,3.06,860,2007
16,2007-11-27 00:00:00,3.095,3.15,3.095,3.15,3852,2007
17,2007-11-28 00:00:00,3.15,3.15,3.15,3.15,180,2007
18,2007-11-29 00:00:00,3.15,3.17,3.15,3.17,1900,2007
19,2007-11-30 00:00:00,3.235,3.24,3.1,3.24,2340,2007
20,2007-12-03 00:00:00,3.44,3.44,3.44,3.44,200,2007
21,2007-12-04 00:00:00,3.47,3.69,3.47,3.5,25604,2007
22,2007-12-05 00:00:00,3.42,3.42,3.415,3.415,1280,2007
23,2007-12-06 00:00:00,3.485,3.485,3.485,3.485,200,2007
24,2007-12-07 00:00:00,3.495,3.495,3.495,3.495,142,2007
25,2007-12-10 00:00:00,3.485,3.485,3.485,3.485,98,2007
26,2007-12-11 00:00:00,3.485,3.675,3.48,3.675,6190,2007
27,2007-12-12 00:00:00,3.645,3.645,3.645,3.645,136,2007
28,2007-12-13 00:00:00,3.645,3.645,3.645,3.645,92,2007
29,2007-12-18 00:00:00,3.425,3.5,3.0,3.5,6200,2007
30,2007-12-19 00:00:00,3.1,3.25,3.1,3.25,2400,2007
31,2007-12-20 00:00:00,3.1,3.1,3.1,3.1,200,2007
32,2007-12-21 00:00:00,3.25,3.395,2.9,2.9,15970,2007
33,2007-12-27 00:00:00,3.0,3.14,3.0,3.14,532,2007
34,2007-12-28 00:00:00,3.1,3.1,3.05,3.075,230,2007
35,2008-01-02 00:00:00,3.075,3.075,3.075,3.075,270,2008
36,2008-01-03 00:00:00,2.95,3.0,2.85,3.0,1964,2008
37,2008-01-04 00:00:00,2.975,3.19,2.975,3.19,812,2008
38,2008-01-07 00:00:00,2.9,3.245,2.9,3.22,8108,2008
39,2008-01-08 00:00:00,3.0,3.09,3.0,3.085,1280,2008
40,2008-01-11 00:00:00,2.99,2.995,2.99,2.995,1040,2008
41,2008-01-14 00:00:00,2.85,2.975,2.85,2.975,1030,2008
42,2008-01-15 00:00:00,2.7,2.97,2.7,2.97,610,2008
43,2008-01-16 00:00:00,2.75,2.92,2.575,2.92,2802,2008
44,2008-01-17 00:00:00,2.65,2.9,2.6,2.9,1996,2008
45,2008-01-18 00:00:00,2.72,2.875,2.72,2.875,410,2008
