,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2019-05-24 00:00:00,3.0,3.3989999999999996,2.91,3.1,405313,2019
1,2019-05-27 00:00:00,3.29,3.29,2.5,2.5,262046,2019
2,2019-05-28 00:00:00,2.5980000000000003,2.78,2.5,2.66,87660,2019
3,2019-05-29 00:00:00,2.66,2.83,2.565,2.65,38600,2019
4,2019-05-30 00:00:00,2.6,2.75,2.56,2.63,20306,2019
5,2019-05-31 00:00:00,2.64,2.738,2.56,2.6,13839,2019
6,2019-06-03 00:00:00,2.6,2.636,2.57,2.58,5364,2019
7,2019-06-04 00:00:00,2.563,2.563,2.3,2.45,26659,2019
8,2019-06-05 00:00:00,2.49,2.49,2.2485,2.26,6424,2019
9,2019-06-06 00:00:00,2.26,2.4,2.2,2.4,18710,2019
10,2019-06-07 00:00:00,2.32,2.4,2.3,2.36,4105,2019
11,2019-06-10 00:00:00,2.38,2.38,2.285,2.3,8481,2019
12,2019-06-11 00:00:00,2.4,2.4,2.32,2.32,11643,2019
13,2019-06-12 00:00:00,2.4,2.52,2.3,2.38,37251,2019
14,2019-06-13 00:00:00,2.475,2.475,2.28,2.33,9197,2019
15,2019-06-14 00:00:00,2.3,2.32,2.16,2.19,30793,2019
16,2019-06-17 00:00:00,2.15,2.198,2.0,2.05,52076,2019
17,2019-06-18 00:00:00,2.031,2.031,1.95,2.0,12620,2019
18,2019-06-19 00:00:00,1.84,1.9956,1.788,1.93,41653,2019
19,2019-06-21 00:00:00,1.8398,1.9598,1.8,1.8,56296,2019
20,2019-06-24 00:00:00,1.89,1.89,1.83,1.89,949,2019
21,2019-06-25 00:00:00,1.88,1.88,1.8,1.82,5105,2019
22,2019-06-26 00:00:00,1.825,1.95,1.81,1.95,5405,2019
23,2019-06-27 00:00:00,1.98,2.19,1.98,2.12,18005,2019
24,2019-06-28 00:00:00,2.12,2.13,2.06,2.06,4164,2019
25,2019-07-01 00:00:00,2.06,2.255,2.06,2.24,8366,2019
26,2019-07-02 00:00:00,2.2565,2.29,2.2565,2.29,915,2019
27,2019-07-03 00:00:00,2.28,2.2895,2.27,2.27,994,2019
28,2019-07-04 00:00:00,2.2695,2.32,2.12,2.32,14584,2019
29,2019-07-05 00:00:00,2.38,2.54,2.35,2.54,30591,2019
30,2019-07-08 00:00:00,2.55,2.55,2.472,2.47,6528,2019
31,2019-07-09 00:00:00,2.472,2.48,2.45,2.48,6340,2019
32,2019-07-10 00:00:00,2.48,2.48,2.352,2.4,4948,2019
33,2019-07-11 00:00:00,2.4,2.4,2.36,2.4,4830,2019
34,2019-07-12 00:00:00,2.352,2.49,2.2,2.48,9324,2019
35,2019-07-15 00:00:00,2.45,2.8,2.38,2.8,44124,2019
36,2019-07-16 00:00:00,2.8295,2.84,2.66,2.8,8386,2019
37,2019-07-17 00:00:00,2.64,2.78,2.512,2.61,5430,2019
38,2019-07-18 00:00:00,2.728,2.74,2.5,2.64,2428,2019
39,2019-07-19 00:00:00,2.61,2.64,2.57,2.64,1751,2019
40,2019-07-22 00:00:00,2.59,2.6,2.57,2.59,725,2019
41,2019-07-23 00:00:00,2.5895,2.784,2.58,2.68,4090,2019
42,2019-07-24 00:00:00,2.8,2.8,2.66,2.66,615,2019
43,2019-07-25 00:00:00,2.6995,2.78,2.63,2.7,2153,2019
44,2019-07-26 00:00:00,2.695,2.73,2.662,2.7,12936,2019
45,2019-07-29 00:00:00,2.7,2.7,2.6,2.7,3954,2019
46,2019-07-30 00:00:00,2.695,3.05,2.64,2.97,80841,2019
47,2019-07-31 00:00:00,2.97,3.15,2.8,2.87,80065,2019
48,2019-08-01 00:00:00,2.866,2.96,2.75,2.7515,22481,2019
49,2019-08-02 00:00:00,2.8,2.93,2.76,2.929,4956,2019
50,2019-08-05 00:00:00,2.95,2.98,2.86,2.95,11345,2019
51,2019-08-06 00:00:00,2.97,3.04,2.88,2.95,39300,2019
52,2019-08-07 00:00:00,2.99,2.99,2.92,2.92,4502,2019
53,2019-08-08 00:00:00,2.898,2.898,2.65,2.71,14890,2019
54,2019-08-09 00:00:00,2.55,2.68,2.5,2.68,16579,2019
55,2019-08-12 00:00:00,2.75,2.75,2.68,2.68,2586,2019
56,2019-08-13 00:00:00,2.68,2.68,2.15,2.4695,16936,2019
57,2019-08-14 00:00:00,2.45,2.45,2.45,2.45,50,2019
58,2019-08-16 00:00:00,2.438,2.6,2.3,2.51,8041,2019
59,2019-08-19 00:00:00,2.5,2.64,2.5,2.64,1916,2019
60,2019-08-20 00:00:00,2.64,2.65,2.63,2.63,584,2019
61,2019-08-21 00:00:00,2.63,2.7,2.58,2.7,7472,2019
62,2019-08-22 00:00:00,2.65,2.7495,2.65,2.7495,4638,2019
63,2019-08-23 00:00:00,2.72,2.72,2.67,2.72,588,2019
64,2019-08-26 00:00:00,2.72,2.74,2.46,2.74,2902,2019
65,2019-08-27 00:00:00,2.7,2.84,2.7,2.8,7075,2019
66,2019-08-28 00:00:00,2.84,2.84,2.73,2.7695,7220,2019
67,2019-08-29 00:00:00,2.73,2.8,2.7,2.7995,1964,2019
68,2019-08-30 00:00:00,2.77,2.7995,2.72,2.7595,981,2019
69,2019-09-02 00:00:00,2.7,2.7,2.38,2.48,13906,2019
70,2019-09-03 00:00:00,2.5,2.5,2.3,2.3995,9997,2019
71,2019-09-04 00:00:00,2.4,2.45,2.33,2.45,2857,2019
72,2019-09-05 00:00:00,2.38,2.45,2.3,2.45,2510,2019
73,2019-09-06 00:00:00,2.4395,2.4395,2.37,2.42,880,2019
74,2019-09-09 00:00:00,2.35,2.35,2.18,2.28,12247,2019
75,2019-09-10 00:00:00,2.278,2.4,2.278,2.38,17812,2019
76,2019-09-11 00:00:00,2.38,2.54,2.38,2.5,26826,2019
77,2019-09-12 00:00:00,2.5,2.63,2.38,2.41,51636,2019
78,2019-09-13 00:00:00,2.41,2.41,2.3,2.4,3942,2019
79,2019-09-16 00:00:00,2.4,2.48,2.27,2.48,6706,2019
80,2019-09-17 00:00:00,2.48,2.55,2.4,2.45,11805,2019
81,2019-09-18 00:00:00,2.45,2.6,2.45,2.54,17607,2019
82,2019-09-19 00:00:00,2.45,2.58,2.43,2.56,8315,2019
83,2019-09-20 00:00:00,2.53,2.54,2.35,2.54,8647,2019
84,2019-09-23 00:00:00,2.55,2.55,2.4,2.45,13416,2019
85,2019-09-24 00:00:00,2.45,2.45,2.32,2.38,8816,2019
86,2019-09-25 00:00:00,2.33,2.37,2.26,2.37,5000,2019
87,2019-09-26 00:00:00,2.3695,2.3695,2.27,2.355,2150,2019
88,2019-09-27 00:00:00,2.33,2.33,2.21,2.33,1415,2019
89,2019-09-30 00:00:00,2.25,2.35,2.2,2.35,18342,2019
90,2019-10-01 00:00:00,2.38,2.4,2.38,2.4,401,2019
91,2019-10-02 00:00:00,2.39,2.39,2.11,2.26,5325,2019
92,2019-10-03 00:00:00,2.26,2.26,2.08,2.15,11899,2019
93,2019-10-04 00:00:00,2.15,2.15,2.14,2.15,2928,2019
94,2019-10-07 00:00:00,2.15,2.2,2.12,2.2,6133,2019
