,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-12-05 00:00:00,0.7,0.9,0.7,0.9,181767,2012
1,2012-12-06 00:00:00,0.95,1.05,0.58,0.59,802898,2012
2,2012-12-07 00:00:00,0.6,0.63,0.53,0.57,274224,2012
3,2012-12-10 00:00:00,0.6,0.78,0.57,0.66,833925,2012
4,2012-12-11 00:00:00,0.68,0.69,0.44,0.46,790858,2012
5,2012-12-12 00:00:00,0.45,0.54,0.45,0.52,320356,2012
6,2012-12-13 00:00:00,0.51,0.62,0.48,0.59,214096,2012
7,2012-12-14 00:00:00,0.59,0.65,0.48,0.53,236539,2012
8,2012-12-17 00:00:00,0.5,0.55,0.46,0.49,157148,2012
9,2012-12-18 00:00:00,0.47,0.48,0.41,0.44,182136,2012
10,2012-12-19 00:00:00,0.4,0.42,0.37,0.42,55417,2012
11,2012-12-20 00:00:00,0.41,0.43,0.37,0.4,26779,2012
12,2012-12-21 00:00:00,0.4,0.41,0.37,0.38,24695,2012
13,2012-12-27 00:00:00,0.39,0.41,0.35,0.37,22473,2012
14,2012-12-28 00:00:00,0.35,0.38,0.33,0.36,69143,2012
15,2013-01-02 00:00:00,0.36,0.36,0.29,0.31,46509,2013
16,2013-01-03 00:00:00,0.31,0.42,0.31,0.38,157983,2013
17,2013-01-04 00:00:00,0.38,0.39,0.34,0.36,41895,2013
18,2013-01-07 00:00:00,0.37,0.37,0.29,0.31,38062,2013
19,2013-01-08 00:00:00,0.3,0.32,0.28,0.32,43163,2013
20,2013-01-09 00:00:00,0.33,0.33,0.28,0.28,64166,2013
21,2013-01-10 00:00:00,0.29,0.31,0.27,0.3,84373,2013
22,2013-01-11 00:00:00,0.29,0.3,0.27,0.29,7561,2013
23,2013-01-14 00:00:00,0.28,0.29,0.26,0.29,38284,2013
24,2013-01-15 00:00:00,0.29,0.32,0.28,0.31,52281,2013
25,2013-01-16 00:00:00,0.3,0.31,0.25,0.3,97636,2013
26,2013-01-17 00:00:00,0.3,0.3,0.28,0.29,9798,2013
27,2013-01-18 00:00:00,0.28,0.28,0.24,0.25,48912,2013
28,2013-01-21 00:00:00,0.26,0.29,0.22,0.25,37080,2013
29,2013-01-22 00:00:00,0.25,0.26,0.23,0.25,13833,2013
30,2013-01-23 00:00:00,0.24,0.24,0.21,0.23,67232,2013
31,2013-01-24 00:00:00,0.23,0.24,0.22,0.22,40461,2013
32,2013-01-25 00:00:00,0.22,0.3,0.22,0.3,279564,2013
33,2013-01-28 00:00:00,0.32,0.37,0.3,0.32,198433,2013
34,2013-01-29 00:00:00,0.34,0.34,0.28,0.3,36790,2013
35,2013-01-30 00:00:00,0.31,0.33,0.26,0.27,68077,2013
36,2013-01-31 00:00:00,0.3,0.3,0.25,0.28,87939,2013
37,2013-02-01 00:00:00,0.27,0.28,0.26,0.28,20138,2013
38,2013-02-04 00:00:00,0.26,0.27,0.25,0.26,19680,2013
39,2013-02-05 00:00:00,0.26,0.26,0.22,0.24,44158,2013
40,2013-02-06 00:00:00,0.24,0.26,0.24,0.26,18553,2013
41,2013-02-07 00:00:00,0.24,0.24,0.24,0.24,15306,2013
42,2013-02-08 00:00:00,0.25,0.28,0.25,0.28,64784,2013
43,2013-02-11 00:00:00,0.29,0.29,0.25,0.27,21355,2013
44,2013-02-12 00:00:00,0.26,0.29,0.25,0.29,24545,2013
45,2013-02-13 00:00:00,0.29,0.29,0.26,0.29,2094,2013
46,2013-02-14 00:00:00,0.26,0.28,0.24,0.25,20187,2013
47,2013-02-15 00:00:00,0.25,0.27,0.25,0.27,22820,2013
48,2013-02-18 00:00:00,0.27,0.28,0.24,0.28,16780,2013
49,2013-02-19 00:00:00,0.27,0.27,0.23,0.25,54101,2013
50,2013-02-20 00:00:00,0.25,0.25,0.25,0.25,100,2013
51,2013-02-21 00:00:00,0.25,0.27,0.25,0.25,22200,2013
52,2013-02-22 00:00:00,0.25,0.25,0.21,0.24,66679,2013
53,2013-02-25 00:00:00,0.24,0.24,0.22,0.22,7622,2013
54,2013-02-26 00:00:00,0.23,0.23,0.22,0.23,13175,2013
55,2013-02-27 00:00:00,0.23,0.23,0.22,0.23,5380,2013
56,2013-02-28 00:00:00,0.23,0.24,0.23,0.23,12291,2013
57,2013-03-01 00:00:00,0.22,0.23,0.21,0.23,1880,2013
58,2013-03-04 00:00:00,0.24,0.24,0.2,0.23,14201,2013
59,2013-03-05 00:00:00,0.23,0.23,0.22,0.22,2800,2013
60,2013-03-07 00:00:00,0.22,0.24,0.22,0.24,1100,2013
61,2013-03-08 00:00:00,0.24,0.24,0.23,0.23,8444,2013
62,2013-03-11 00:00:00,0.23,0.23,0.2,0.2,19024,2013
