,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-04-09 00:00:00,0.7529,0.8941,0.7529,0.8941,725257,2010
1,2010-04-12 00:00:00,0.9412,0.9412,0.7059,0.7059,963125,2010
2,2010-04-13 00:00:00,0.7059,0.7529,0.6588,0.7059,508626,2010
3,2010-04-14 00:00:00,0.7059,0.7059,0.6588,0.7059,160091,2010
4,2010-04-15 00:00:00,0.7059,0.7059,0.5647,0.5647,640188,2010
5,2010-04-16 00:00:00,0.5176,0.5647,0.4235,0.4706,1036728,2010
6,2010-04-19 00:00:00,0.4706,0.4706,0.4235,0.4706,45805,2010
7,2010-04-20 00:00:00,0.4706,0.5176,0.3765,0.4706,357275,2010
8,2010-04-21 00:00:00,0.4706,0.4706,0.3765,0.4235,265436,2010
9,2010-04-22 00:00:00,0.4706,0.4706,0.3765,0.4235,353367,2010
10,2010-04-23 00:00:00,0.42,0.42,0.42,0.42,9775,2010
11,2010-04-26 00:00:00,0.4235,0.4235,0.3765,0.4235,276499,2010
12,2010-04-27 00:00:00,0.3765,0.4235,0.3294,0.3765,668094,2010
13,2010-04-28 00:00:00,0.3765,0.3765,0.3294,0.3765,25232,2010
14,2010-04-29 00:00:00,0.3294,0.3765,0.3294,0.3294,304034,2010
15,2010-04-30 00:00:00,0.3765,0.3765,0.3294,0.3294,62826,2010
16,2010-05-04 00:00:00,0.2824,0.3765,0.2824,0.3765,34422,2010
17,2010-05-05 00:00:00,0.3294,0.3294,0.2824,0.2824,27827,2010
18,2010-05-06 00:00:00,0.3294,0.3765,0.2824,0.3294,235793,2010
19,2010-05-07 00:00:00,0.3294,0.3294,0.2824,0.3294,31657,2010
20,2010-05-10 00:00:00,0.3294,0.3294,0.2824,0.2824,17383,2010
21,2010-05-11 00:00:00,0.3294,0.3765,0.2824,0.3294,99144,2010
22,2010-05-12 00:00:00,0.3294,0.3765,0.3294,0.3294,194333,2010
23,2010-05-13 00:00:00,0.3765,0.3765,0.3294,0.3294,33869,2010
24,2010-05-14 00:00:00,0.3294,0.3294,0.2824,0.3294,283360,2010
25,2010-05-17 00:00:00,0.2824,0.3294,0.2824,0.2824,196119,2010
26,2010-05-18 00:00:00,0.2824,0.3294,0.2353,0.2353,166657,2010
27,2010-05-19 00:00:00,0.2353,0.2824,0.2353,0.2353,272311,2010
28,2010-05-20 00:00:00,0.2824,0.2824,0.2353,0.2824,17374,2010
29,2010-05-21 00:00:00,0.2824,0.2824,0.2353,0.2353,236656,2010
30,2010-05-24 00:00:00,0.2353,0.2824,0.1882,0.2824,36238,2010
31,2010-05-25 00:00:00,0.2353,0.2353,0.1882,0.2353,127413,2010
32,2010-05-26 00:00:00,0.2353,0.2353,0.1882,0.1882,46154,2010
33,2010-05-27 00:00:00,0.2353,0.2353,0.2353,0.2353,28201,2010
34,2010-05-28 00:00:00,0.2353,0.2824,0.2353,0.2353,236105,2010
35,2010-05-31 00:00:00,0.24,0.24,0.19,0.24,51506,2010
36,2010-06-01 00:00:00,0.2353,0.2353,0.2353,0.2353,6588,2010
37,2010-06-02 00:00:00,0.2353,0.2353,0.2353,0.2353,12963,2010
38,2010-06-07 00:00:00,0.2353,0.2353,0.1882,0.1882,24956,2010
39,2010-06-08 00:00:00,0.1882,0.2353,0.1882,0.2353,268193,2010
40,2010-06-09 00:00:00,0.2353,0.2824,0.1882,0.2353,69376,2010
41,2010-06-10 00:00:00,0.2353,0.2353,0.1882,0.2353,213,2010
42,2010-06-11 00:00:00,0.2353,0.2353,0.1882,0.1882,41984,2010
43,2010-06-14 00:00:00,0.1882,0.1882,0.1882,0.1882,304288,2010
44,2010-06-15 00:00:00,0.1882,0.1882,0.1882,0.1882,216096,2010
45,2010-06-16 00:00:00,0.1882,0.1882,0.1882,0.1882,67044,2010
46,2010-06-17 00:00:00,0.1882,0.1882,0.1882,0.1882,11032,2010
47,2010-06-18 00:00:00,0.1882,0.1882,0.1882,0.1882,268423,2010
48,2010-06-21 00:00:00,0.1882,0.1882,0.1882,0.1882,127462,2010
49,2010-06-22 00:00:00,0.1882,0.1882,0.1882,0.1882,136477,2010
50,2010-06-23 00:00:00,0.1882,0.2353,0.1882,0.2353,260914,2010
51,2010-06-24 00:00:00,0.1882,0.2353,0.1882,0.2353,475239,2010
52,2010-06-25 00:00:00,0.2353,0.2353,0.1882,0.1882,169729,2010
53,2010-06-28 00:00:00,0.1882,0.1882,0.1882,0.1882,21367,2010
54,2010-06-29 00:00:00,0.1882,0.1882,0.1882,0.1882,138478,2010
55,2010-06-30 00:00:00,0.19,0.19,0.19,0.19,105962,2010
56,2010-07-01 00:00:00,0.1882,0.1882,0.1882,0.1882,16130,2010
57,2010-07-02 00:00:00,0.1882,0.1882,0.1882,0.1882,27275,2010
58,2010-07-05 00:00:00,0.1882,0.2353,0.1882,0.2353,670272,2010
59,2010-07-06 00:00:00,0.1882,0.1882,0.1882,0.1882,558432,2010
60,2010-07-07 00:00:00,0.1882,0.1882,0.1882,0.1882,43118,2010
61,2010-07-08 00:00:00,0.1882,0.1882,0.1882,0.1882,213,2010
62,2010-07-09 00:00:00,0.1882,0.1882,0.1882,0.1882,75010,2010
63,2010-07-12 00:00:00,0.1882,0.1882,0.1882,0.1882,2763,2010
64,2010-07-13 00:00:00,0.1882,0.2353,0.1882,0.2353,125483,2010
65,2010-07-14 00:00:00,0.2353,0.2353,0.1882,0.2353,25585,2010
66,2010-07-15 00:00:00,0.2353,0.2353,0.1882,0.1882,378993,2010
67,2010-07-16 00:00:00,0.1882,0.1882,0.1882,0.1882,64584,2010
68,2010-07-19 00:00:00,0.1882,0.1882,0.1882,0.1882,7198,2010
69,2010-07-20 00:00:00,0.1882,0.1882,0.1882,0.1882,2554,2010
70,2010-07-21 00:00:00,0.1882,0.1882,0.1412,0.1882,5419,2010
71,2010-07-22 00:00:00,0.1882,0.1882,0.1882,0.1882,6163,2010
72,2010-07-23 00:00:00,0.1882,0.1882,0.1882,0.1882,161772,2010
73,2010-07-26 00:00:00,0.1882,0.1882,0.1882,0.1882,271749,2010
74,2010-07-27 00:00:00,0.1882,0.1882,0.1882,0.1882,66657,2010
75,2010-07-28 00:00:00,0.1882,0.1882,0.1882,0.1882,16418,2010
76,2010-07-29 00:00:00,0.1882,0.1882,0.1882,0.1882,2869,2010
77,2010-07-30 00:00:00,0.19,0.19,0.19,0.19,213,2010
78,2010-08-02 00:00:00,0.1412,0.1882,0.1412,0.1882,160674,2010
79,2010-08-03 00:00:00,0.1882,0.1882,0.1412,0.1412,13605,2010
80,2010-08-04 00:00:00,0.1412,0.1882,0.1412,0.1882,44265,2010
81,2010-08-05 00:00:00,0.1882,0.1882,0.1882,0.1882,1339,2010
82,2010-08-06 00:00:00,0.1882,0.1882,0.1412,0.1882,188648,2010
83,2010-08-09 00:00:00,0.1882,0.1882,0.1412,0.1412,867180,2010
84,2010-08-10 00:00:00,0.1412,0.1412,0.1412,0.1412,611985,2010
85,2010-08-11 00:00:00,0.1412,0.1412,0.1412,0.1412,323075,2010
86,2010-08-12 00:00:00,0.1412,0.1882,0.1412,0.1882,54435,2010
87,2010-08-13 00:00:00,0.1882,0.1882,0.1882,0.1882,340830,2010
88,2010-08-16 00:00:00,0.1882,0.2353,0.1882,0.1882,821139,2010
89,2010-08-17 00:00:00,0.1882,0.2353,0.1882,0.1882,442179,2010
90,2010-08-18 00:00:00,0.1882,0.2353,0.1882,0.1882,1290526,2010
91,2010-08-19 00:00:00,0.1882,0.1882,0.1882,0.1882,108724,2010
92,2010-08-20 00:00:00,0.1882,0.1882,0.1882,0.1882,22620,2010
93,2010-08-23 00:00:00,0.1882,0.1882,0.1882,0.1882,22036,2010
94,2010-08-24 00:00:00,0.1882,0.1882,0.1882,0.1882,135416,2010
95,2010-08-25 00:00:00,0.1882,0.1882,0.1882,0.1882,19724,2010
96,2010-08-26 00:00:00,0.1882,0.1882,0.1412,0.1412,739505,2010
97,2010-08-27 00:00:00,0.1882,0.1882,0.1412,0.1412,358586,2010
98,2010-08-30 00:00:00,0.1412,0.1882,0.1412,0.1882,404950,2010
99,2010-08-31 00:00:00,0.19,0.19,0.14,0.19,897209,2010
100,2010-09-01 00:00:00,0.1412,0.1882,0.1412,0.1412,199947,2010
101,2010-09-02 00:00:00,0.1412,0.1412,0.1412,0.1412,585108,2010
102,2010-09-03 00:00:00,0.1412,0.1412,0.1412,0.1412,606563,2010
103,2010-09-06 00:00:00,0.1412,0.1412,0.1412,0.1412,112151,2010
104,2010-09-07 00:00:00,0.1412,0.1882,0.1412,0.1882,4707,2010
105,2010-09-08 00:00:00,0.1412,0.1882,0.1412,0.1882,23101,2010
106,2010-09-09 00:00:00,0.1882,0.1882,0.1412,0.1882,267281,2010
107,2010-09-10 00:00:00,0.1882,0.1882,0.1412,0.1412,4382,2010
108,2010-09-13 00:00:00,0.1882,0.1882,0.1412,0.1882,42725,2010
109,2010-09-14 00:00:00,0.1882,0.1882,0.1882,0.1882,34298,2010
110,2010-09-15 00:00:00,0.1882,0.1882,0.1882,0.1882,46144,2010
111,2010-09-16 00:00:00,0.19,0.28,0.19,0.28,3773233,2010
112,2010-09-17 00:00:00,0.2824,0.2824,0.2353,0.2353,2245448,2010
113,2010-09-20 00:00:00,0.2353,0.2824,0.2353,0.2824,2615793,2010
114,2010-09-21 00:00:00,0.2353,0.2824,0.1882,0.2824,2443349,2010
115,2010-09-22 00:00:00,0.2353,0.2824,0.1882,0.2353,418619,2010
116,2010-09-23 00:00:00,0.2353,0.2353,0.1882,0.2353,32465,2010
117,2010-09-24 00:00:00,0.2353,0.2353,0.1882,0.2353,82327,2010
118,2010-09-27 00:00:00,0.2353,0.2353,0.1882,0.2353,51085,2010
119,2010-09-28 00:00:00,0.2353,0.2353,0.1882,0.2353,102510,2010
120,2010-09-29 00:00:00,0.24,0.24,0.19,0.24,153349,2010
121,2010-09-30 00:00:00,0.24,0.24,0.19,0.24,100810,2010
122,2010-10-01 00:00:00,0.2353,0.2353,0.1882,0.2353,29476,2010
123,2010-10-04 00:00:00,0.2353,0.2353,0.1882,0.2353,5886,2010
124,2010-10-05 00:00:00,0.1882,0.2353,0.1882,0.2353,23446,2010
125,2010-10-06 00:00:00,0.2353,0.2353,0.1882,0.2353,199757,2010
126,2010-10-07 00:00:00,0.2353,0.2353,0.1882,0.1882,726858,2010
127,2010-10-08 00:00:00,0.1882,0.2353,0.1882,0.2353,189817,2010
