,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-04-12 00:00:00,9.812000000000001,10.047,7.8497,7.8497,13177,2012
1,2012-04-13 00:00:00,7.9717,8.2628,7.5116,7.5116,1018,2012
2,2012-04-16 00:00:00,7.6055,8.4506,7.6055,7.8872,1858,2012
3,2012-04-17 00:00:00,7.5116,7.5116,7.5116,7.5116,498,2012
4,2012-04-18 00:00:00,7.2299,7.5022,7.0328,7.3238,1128,2012
5,2012-04-19 00:00:00,7.2299,7.2299,7.2299,7.2299,351,2012
6,2012-04-20 00:00:00,7.2769,7.2769,7.2769,7.2769,11,2012
7,2012-04-23 00:00:00,7.2675,7.2769,7.2675,7.2769,214,2012
8,2012-04-25 00:00:00,7.5961,7.5961,7.0703,7.0703,380,2012
9,2012-04-27 00:00:00,6.9013,7.5961,6.9013,7.5961,398,2012
10,2012-04-30 00:00:00,7.5961,7.5961,7.5867,7.5961,214,2012
11,2012-05-02 00:00:00,7.5961,7.5961,7.5961,7.5961,27,2012
12,2012-05-04 00:00:00,7.5961,7.5961,7.5961,7.5961,11,2012
13,2012-05-07 00:00:00,7.5961,7.5961,7.5961,7.5961,14,2012
14,2012-05-08 00:00:00,7.5961,7.5961,7.5961,7.5961,16,2012
15,2012-05-09 00:00:00,7.5961,7.5961,7.136,7.183,664,2012
16,2012-05-10 00:00:00,7.4928,7.4928,7.4928,7.4928,1,2012
17,2012-05-11 00:00:00,7.5961,7.5961,7.5961,7.5961,16,2012
18,2012-05-14 00:00:00,7.5961,7.5961,7.4177,7.4928,202,2012
19,2012-05-15 00:00:00,7.5961,7.5961,7.5961,7.5961,11,2012
20,2012-05-16 00:00:00,7.5961,7.5961,7.1548,7.5116,231,2012
21,2012-05-18 00:00:00,7.2299,7.2299,7.2299,7.2299,107,2012
22,2012-05-21 00:00:00,7.2769,7.2769,7.2769,7.2769,346,2012
23,2012-05-22 00:00:00,7.5116,7.5116,7.2299,7.2299,367,2012
24,2012-05-23 00:00:00,7.5116,7.5116,7.1173,7.4647,94,2012
25,2012-05-24 00:00:00,7.5116,7.5116,7.5116,7.5116,11,2012
26,2012-05-25 00:00:00,7.5116,7.5116,7.5116,7.5116,11,2012
27,2012-05-28 00:00:00,7.5116,7.5116,7.5116,7.5116,11,2012
28,2012-05-30 00:00:00,7.1173,7.1173,7.1173,7.1173,373,2012
29,2012-05-31 00:00:00,7.1079,7.1173,7.1079,7.1173,170,2012
30,2012-06-01 00:00:00,7.1173,7.1173,7.1173,7.1173,11,2012
31,2012-06-04 00:00:00,7.1173,7.1173,7.1173,7.1173,11,2012
32,2012-06-05 00:00:00,7.1173,7.1173,7.1173,7.1173,7,2012
33,2012-06-06 00:00:00,7.1173,7.1173,7.1173,7.1173,11,2012
34,2012-06-11 00:00:00,7.1173,7.1173,7.1173,7.1173,11,2012
35,2012-06-12 00:00:00,7.1173,7.1173,7.1173,7.1173,7,2012
36,2012-06-13 00:00:00,7.1173,7.1173,7.1079,7.1079,368,2012
37,2012-06-14 00:00:00,7.1173,7.1173,7.1173,7.1173,21,2012
38,2012-06-15 00:00:00,7.1173,7.1173,7.1173,7.1173,11,2012
39,2012-06-18 00:00:00,7.1173,7.1173,7.1173,7.1173,186,2012
40,2012-06-19 00:00:00,7.1173,7.1454,7.1173,7.1454,280,2012
41,2012-06-21 00:00:00,7.2957,7.5961,6.5727,7.183,3028,2012
42,2012-06-27 00:00:00,7.0891,7.0891,6.797999999999999,6.797999999999999,486,2012
43,2012-06-29 00:00:00,6.8074,6.8074,6.8074,6.8074,293,2012
44,2012-07-05 00:00:00,6.7135,6.8074,6.7135,6.8074,107,2012
45,2012-07-09 00:00:00,6.5727,6.5727,5.6337,5.6337,447,2012
46,2012-07-10 00:00:00,5.352,5.352,5.352,5.352,298,2012
47,2012-07-18 00:00:00,5.352,5.352,4.6009,4.6009,575,2012
48,2012-07-25 00:00:00,4.6009,5.5117,4.6009,5.5117,1029,2012
49,2012-07-26 00:00:00,6.5727,7.8778,6.0093,7.8778,3264,2012
50,2012-07-27 00:00:00,7.4928,7.4928,6.5727,6.5727,426,2012
51,2012-07-30 00:00:00,6.5727,7.4177,6.3098,6.3098,1140,2012
52,2012-08-10 00:00:00,6.1971,6.1971,6.0656,6.0656,107,2012
53,2012-08-20 00:00:00,6.244,7.0328,6.244,7.0328,203,2012
54,2012-08-21 00:00:00,6.9013,6.9013,6.9013,6.9013,234,2012
55,2012-08-22 00:00:00,6.4318,7.2299,6.4318,7.2299,431,2012
56,2012-08-23 00:00:00,6.6666,7.3708,6.6008,7.3708,1757,2012
57,2012-08-24 00:00:00,7.3238,7.4083,7.3238,7.4083,1156,2012
58,2012-08-27 00:00:00,7.3238,7.4083,6.9483,7.4083,2572,2012
59,2012-08-28 00:00:00,7.4083,7.4083,7.4083,7.4083,11,2012
60,2012-08-29 00:00:00,7.4083,7.4083,6.9670000000000005,7.4083,857,2012
61,2012-08-30 00:00:00,6.9670000000000005,7.3238,6.9670000000000005,7.3238,831,2012
62,2012-08-31 00:00:00,7.2299,7.4083,6.9576,7.4083,618,2012
63,2012-09-03 00:00:00,7.399,7.399,7.0422,7.0422,21,2012
64,2012-09-04 00:00:00,7.1079,7.3802,7.1079,7.3802,320,2012
65,2012-09-05 00:00:00,7.0891,7.0891,7.0891,7.0891,320,2012
66,2012-09-06 00:00:00,7.3238,7.3238,7.3238,7.3238,11,2012
67,2012-09-07 00:00:00,7.3238,7.3238,7.3238,7.3238,5,2012
68,2012-09-10 00:00:00,7.3238,7.3238,7.3238,7.3238,5,2012
69,2012-09-11 00:00:00,7.3614,7.3614,7.3614,7.3614,5,2012
70,2012-09-12 00:00:00,7.3614,7.3614,7.3614,7.3614,5,2012
71,2012-09-13 00:00:00,7.3614,7.3614,7.3614,7.3614,11,2012
72,2012-09-14 00:00:00,7.3614,7.3614,7.0891,7.352,293,2012
73,2012-09-17 00:00:00,7.3238,7.3238,7.0422,7.0422,16,2012
74,2012-09-18 00:00:00,7.0422,7.0422,6.6196,6.6196,96,2012
75,2012-09-19 00:00:00,6.5727,6.6196,6.2534,6.6196,936,2012
76,2012-09-20 00:00:00,6.6196,6.6196,6.3004,6.3004,277,2012
77,2012-09-21 00:00:00,6.4318,6.4318,6.4318,6.4318,1,2012
78,2012-09-24 00:00:00,6.4318,6.7323,6.4318,6.7323,32,2012
79,2012-09-25 00:00:00,6.8544,6.9483,6.8544,6.9483,12,2012
80,2012-09-26 00:00:00,6.9483,6.9483,6.7792,6.9483,431,2012
81,2012-09-28 00:00:00,6.7792,6.8544,6.5069,6.5069,246,2012
82,2012-10-01 00:00:00,6.5727,6.6008,6.5727,6.6008,453,2012
83,2012-10-02 00:00:00,6.6008,6.9013,6.6008,6.9013,34,2012
84,2012-10-04 00:00:00,6.9013,6.9013,6.9013,6.9013,107,2012
85,2012-10-05 00:00:00,6.9013,6.9013,6.9013,6.9013,107,2012
86,2012-10-08 00:00:00,6.7323,6.9013,6.7323,6.9013,214,2012
87,2012-10-09 00:00:00,6.8919,6.8919,6.8919,6.8919,3,2012
88,2012-10-11 00:00:00,6.7229,6.7229,6.7229,6.7229,220,2012
89,2012-10-15 00:00:00,6.5727,6.5727,5.6243,6.4788,959,2012
90,2012-10-16 00:00:00,6.4788,6.7135,6.4788,6.7135,2183,2012
91,2012-10-17 00:00:00,6.7229,6.7229,5.9905,5.9905,1337,2012
92,2012-10-18 00:00:00,6.2347,6.5539,6.2347,6.5539,27,2012
93,2012-10-19 00:00:00,6.5633,6.5633,6.5633,6.5633,11,2012
94,2012-10-22 00:00:00,6.5633,6.5633,6.5633,6.5633,21,2012
95,2012-10-23 00:00:00,6.5633,6.5633,6.5633,6.5633,5,2012
96,2012-10-24 00:00:00,6.5633,6.5633,6.5633,6.5633,11,2012
97,2012-10-25 00:00:00,6.5633,6.5633,6.4506,6.4506,8623,2012
98,2012-10-26 00:00:00,6.4694,6.4694,6.4694,6.4694,5,2012
99,2012-10-30 00:00:00,6.4694,6.4694,6.4694,6.4694,5,2012
100,2012-10-31 00:00:00,6.4694,6.4694,6.4694,6.4694,5,2012
101,2012-11-02 00:00:00,6.3098,6.4694,6.3098,6.4694,2481,2012
102,2012-11-05 00:00:00,6.3473,6.7323,6.3379,6.7323,2897,2012
103,2012-11-06 00:00:00,6.7323,6.7323,6.7323,6.7323,11,2012
104,2012-11-07 00:00:00,6.7323,6.7792,6.4788,6.7792,3095,2012
105,2012-11-08 00:00:00,6.7792,7.3614,6.7792,7.2112,5157,2012
106,2012-11-09 00:00:00,7.136,7.3614,6.9952,7.3614,2566,2012
107,2012-11-12 00:00:00,7.3238,7.3238,7.2299,7.3238,3111,2012
108,2012-11-13 00:00:00,7.2299,7.3238,7.183,7.183,3394,2012
109,2012-11-14 00:00:00,7.3144,7.3144,7.2299,7.2769,2081,2012
110,2012-11-15 00:00:00,7.183,7.3051,7.183,7.3051,2910,2012
111,2012-11-16 00:00:00,7.2299,7.2299,7.183,7.2112,921,2012
112,2012-11-19 00:00:00,7.2206,7.3238,7.2206,7.3238,201,2012
113,2012-11-20 00:00:00,7.3238,7.3238,7.0234,7.136,511,2012
114,2012-11-21 00:00:00,7.0891,7.0891,6.8074,6.8074,240,2012
115,2012-11-22 00:00:00,6.797999999999999,6.797999999999999,6.7605,6.7886,170,2012
116,2012-11-23 00:00:00,6.7886,6.7886,6.5821,6.7886,362,2012
117,2012-11-26 00:00:00,6.7792,6.7886,6.6666,6.6666,2182,2012
118,2012-11-27 00:00:00,6.6666,6.7792,6.629,6.7511,937,2012
119,2012-11-29 00:00:00,6.7511,6.7511,6.5915,6.7511,220,2012
120,2012-11-30 00:00:00,6.7511,6.7511,6.7511,6.7511,5,2012
121,2012-12-03 00:00:00,6.7511,6.7511,6.5727,6.5727,64,2012
122,2012-12-04 00:00:00,6.5727,6.5727,6.5727,6.5727,95,2012
123,2012-12-10 00:00:00,6.5727,6.5727,6.075,6.1032,340,2012
124,2012-12-11 00:00:00,5.8591,5.8591,5.4553,5.4553,596,2012
125,2012-12-12 00:00:00,5.2394,5.2394,4.6948,4.8826,323,2012
126,2012-12-13 00:00:00,4.6948,4.8826,4.5164,4.6948,1154,2012
127,2012-12-14 00:00:00,4.7887,4.7887,4.7887,4.7887,5,2012
128,2012-12-18 00:00:00,4.7887,4.7887,4.7887,4.7887,740,2012
129,2012-12-19 00:00:00,4.8826,6.1032,4.8826,6.1032,1279,2012
130,2013-01-03 00:00:00,6.5727,6.5727,6.5727,6.5727,266,2013
131,2013-01-04 00:00:00,6.5727,6.5727,6.5727,6.5727,5,2013
132,2013-01-07 00:00:00,6.5727,7.2206,6.5727,7.0328,2454,2013
133,2013-01-08 00:00:00,6.9483,6.9483,6.9483,6.9483,11,2013
134,2013-01-09 00:00:00,6.9013,6.9013,6.9013,6.9013,5,2013
135,2013-01-10 00:00:00,6.9013,6.9013,6.9013,6.9013,4,2013
136,2013-01-11 00:00:00,6.9013,6.9013,6.9013,6.9013,3,2013
137,2013-01-14 00:00:00,6.9013,6.9013,6.7135,6.7135,35,2013
138,2013-01-15 00:00:00,6.7135,6.7135,6.7135,6.7135,2,2013
139,2013-01-16 00:00:00,6.7135,6.7135,6.7135,6.7135,2,2013
140,2013-01-17 00:00:00,6.7135,6.7135,6.7135,6.7135,2,2013
141,2013-01-18 00:00:00,6.7135,6.7135,6.7135,6.7135,2,2013
142,2013-01-21 00:00:00,6.7135,6.7135,6.7135,6.7135,2,2013
143,2013-01-22 00:00:00,6.7135,6.7135,6.7135,6.7135,2,2013
144,2013-01-23 00:00:00,6.7135,6.7135,6.7135,6.7135,2,2013
145,2013-01-24 00:00:00,6.7135,6.7135,6.5727,6.5727,309,2013
146,2013-02-04 00:00:00,6.3849,6.3849,6.3098,6.3098,245,2013
147,2013-02-05 00:00:00,6.3379,6.3379,6.3379,6.3379,43,2013
148,2013-02-07 00:00:00,6.6666,6.8262,5.6337,6.8262,2588,2013
149,2013-02-08 00:00:00,6.8262,6.8262,6.8262,6.8262,5,2013
150,2013-02-11 00:00:00,6.8262,6.8262,6.5727,6.5727,59,2013
151,2013-02-12 00:00:00,6.5727,6.5727,6.5727,6.5727,11,2013
152,2013-02-13 00:00:00,6.6572,6.6572,6.6572,6.6572,11,2013
153,2013-02-14 00:00:00,6.6572,6.6572,6.6572,6.6572,5,2013
154,2013-02-15 00:00:00,6.6572,6.6572,6.6572,6.6572,5,2013
155,2013-02-18 00:00:00,6.6196,6.6196,6.6196,6.6196,5,2013
156,2013-02-19 00:00:00,6.6196,6.6196,6.6196,6.6196,5,2013
157,2013-02-20 00:00:00,6.6196,6.6196,6.6196,6.6196,5,2013
158,2013-02-21 00:00:00,6.6196,6.6196,6.6196,6.6196,5,2013
159,2013-02-22 00:00:00,6.6196,6.6196,6.6196,6.6196,11,2013
160,2013-02-25 00:00:00,6.6196,6.6196,6.6196,6.6196,3,2013
161,2013-02-26 00:00:00,6.6196,6.6196,6.6196,6.6196,7,2013
162,2013-02-27 00:00:00,6.6196,6.6196,6.6196,6.6196,5,2013
163,2013-02-28 00:00:00,6.6196,6.6196,6.6196,6.6196,4,2013
164,2013-03-01 00:00:00,6.6196,6.6196,6.6196,6.6196,118,2013
165,2013-03-04 00:00:00,6.6196,6.6196,6.2628,6.2628,110,2013
166,2013-03-26 00:00:00,6.291,6.291,5.952999999999999,5.952999999999999,178,2013
167,2013-04-04 00:00:00,5.9624,6.5727,5.9624,6.5727,959,2013
168,2013-04-05 00:00:00,6.5727,6.5727,6.5727,6.5727,107,2013
169,2013-04-08 00:00:00,6.6196,6.6196,6.6196,6.6196,5,2013
170,2013-04-09 00:00:00,6.6196,6.6196,6.2628,6.3379,292,2013
171,2013-04-15 00:00:00,6.4318,6.9201,6.4318,6.9201,511,2013
172,2013-04-17 00:00:00,6.9201,6.9201,6.5445,6.8825,265,2013
173,2013-04-18 00:00:00,6.7605,6.7605,6.7605,6.7605,11,2013
174,2013-04-19 00:00:00,6.7605,6.7605,6.3943,6.3943,256,2013
175,2013-04-22 00:00:00,6.3943,6.3943,6.3943,6.3943,5,2013
176,2013-04-23 00:00:00,6.3849,6.3849,6.3849,6.3849,11,2013
177,2013-04-24 00:00:00,6.3849,6.3849,6.3849,6.3849,5,2013
178,2013-04-25 00:00:00,6.3849,6.3849,6.3849,6.3849,11,2013
179,2013-04-26 00:00:00,6.3849,6.3849,6.3849,6.3849,5,2013
180,2013-04-29 00:00:00,6.3849,6.3849,6.1314,6.3849,227,2013
181,2013-04-30 00:00:00,6.3849,6.3849,6.3849,6.3849,5,2013
182,2013-05-02 00:00:00,6.3849,6.3849,6.3849,6.3849,5,2013
183,2013-05-06 00:00:00,6.3849,6.3849,6.3849,6.3849,5,2013
184,2013-05-07 00:00:00,6.3849,6.3849,6.3849,6.3849,5,2013
185,2013-05-08 00:00:00,6.3849,6.3849,6.3849,6.3849,5,2013
186,2013-05-09 00:00:00,6.3849,6.3849,6.3849,6.3849,5,2013
187,2013-05-10 00:00:00,6.3849,6.3849,6.3849,6.3849,5,2013
188,2013-05-13 00:00:00,6.3849,6.3849,6.3849,6.3849,5,2013
189,2013-05-14 00:00:00,6.3849,6.3849,6.3849,6.3849,11,2013
190,2013-05-15 00:00:00,6.3849,6.3849,6.3849,6.3849,9,2013
191,2013-05-16 00:00:00,6.3849,6.3849,6.0375,6.0375,220,2013
192,2013-05-20 00:00:00,5.7276,5.7558,5.6337,5.6807,607,2013
193,2013-05-22 00:00:00,5.6713,5.6713,5.6525,5.6525,53,2013
194,2013-05-28 00:00:00,5.6337,5.6337,5.6243,5.6243,138,2013
195,2013-05-31 00:00:00,5.6337,5.6337,5.6337,5.6337,11,2013
196,2013-06-05 00:00:00,5.6337,5.6337,5.6243,5.6243,293,2013
197,2013-06-06 00:00:00,5.6337,5.6337,5.6337,5.6337,11,2013
198,2013-06-07 00:00:00,5.6337,5.6337,5.6337,5.6337,5,2013
199,2013-06-10 00:00:00,5.6337,5.6337,5.6337,5.6337,5,2013
200,2013-06-11 00:00:00,5.5398,5.5398,5.4459,5.4459,21,2013
201,2013-06-14 00:00:00,5.4459,5.4459,5.4459,5.4459,11,2013
202,2013-06-17 00:00:00,5.4365,5.4365,5.1642,5.1642,85,2013
203,2013-06-18 00:00:00,5.0703,5.0703,5.0703,5.0703,13,2013
204,2013-06-21 00:00:00,5.2112,5.2112,5.2112,5.2112,11,2013
205,2013-07-01 00:00:00,5.0703,5.0703,4.2253,4.3192,1632,2013
206,2013-07-02 00:00:00,4.3192,4.3192,4.3192,4.3192,320,2013
207,2013-07-04 00:00:00,4.3192,4.3192,4.3192,4.3192,47,2013
208,2013-07-05 00:00:00,4.3192,4.4131,4.3192,4.3192,753,2013
209,2013-07-08 00:00:00,4.507,4.507,3.7558,4.2253,996,2013
210,2013-07-09 00:00:00,4.2253,4.8826,4.2253,4.6948,2668,2013
211,2013-07-10 00:00:00,4.6009,4.6009,4.6009,4.6009,312,2013
212,2013-07-11 00:00:00,4.6009,4.6009,4.4131,4.4131,27,2013
213,2013-07-12 00:00:00,4.4131,4.507,3.5774,3.5774,2312,2013
214,2013-07-15 00:00:00,3.6431,3.7558,3.568,3.6619,575,2013
215,2013-07-16 00:00:00,4.0844,4.3192,3.7558,4.3192,399,2013
216,2013-07-17 00:00:00,4.2253,5.013999999999999,4.1877,5.013999999999999,724,2013
217,2013-07-18 00:00:00,5.6431,6.3943,5.4178,6.0093,617,2013
218,2013-07-19 00:00:00,5.3051,5.3051,4.6948,5.0797,927,2013
219,2013-07-22 00:00:00,4.6948,4.8826,3.9436,3.9812,2011,2013
220,2013-07-24 00:00:00,4.0844,4.0844,4.0844,4.0844,11,2013
221,2013-07-25 00:00:00,4.0844,4.0844,4.0844,4.0844,48,2013
222,2013-07-26 00:00:00,4.0844,4.1314,4.0844,4.1314,60,2013
223,2013-07-30 00:00:00,3.9436,3.9906,3.7652,3.7652,457,2013
224,2013-07-31 00:00:00,3.7652,3.8967,3.7652,3.8497,1043,2013
225,2013-08-01 00:00:00,3.8967,3.9906,3.8028,3.8967,1284,2013
226,2013-08-02 00:00:00,3.8967,4.2816,3.8028,4.2816,1580,2013
227,2013-08-05 00:00:00,4.1126,4.1126,3.8497,3.9436,884,2013
228,2013-08-06 00:00:00,3.8967,3.8967,3.7652,3.7652,39,2013
229,2013-08-07 00:00:00,3.7652,3.7652,3.7652,3.7652,21,2013
230,2013-08-08 00:00:00,3.7652,3.7652,3.7652,3.7652,11,2013
231,2013-08-09 00:00:00,3.7652,3.8497,3.0985,3.0985,658,2013
232,2013-08-12 00:00:00,3.7089,3.7089,3.1924,3.2863,1012,2013
233,2013-08-13 00:00:00,3.3333,3.4272,3.2863,3.4272,2748,2013
234,2013-08-14 00:00:00,3.4741,3.5305,3.4741,3.5305,32,2013
235,2013-08-16 00:00:00,3.568,3.7934,3.568,3.7934,554,2013
236,2013-08-19 00:00:00,3.7934,3.7934,3.2957,3.2957,80,2013
237,2013-08-20 00:00:00,3.2957,3.3145,3.2957,3.3145,43,2013
238,2013-08-21 00:00:00,3.2957,3.2957,3.2957,3.2957,11,2013
239,2013-08-22 00:00:00,3.3896,3.7934,3.3145,3.3802,636,2013
240,2013-08-23 00:00:00,3.9436,4.6948,3.7558,4.2253,3160,2013
241,2013-08-26 00:00:00,4.4037,5.23,4.4037,5.1642,1142,2013
242,2013-08-27 00:00:00,5.1642,5.8215,4.9765,5.8215,1486,2013
243,2013-08-28 00:00:00,5.6525,6.3849,5.6525,6.3849,3091,2013
244,2013-08-29 00:00:00,6.1971,6.1971,6.1971,6.1971,107,2013
245,2013-08-30 00:00:00,6.291,6.4788,6.1971,6.4788,1092,2013
246,2013-09-02 00:00:00,6.4788,6.4788,6.4788,6.4788,5,2013
247,2013-09-03 00:00:00,6.4788,6.4788,6.4788,6.4788,5,2013
248,2013-09-04 00:00:00,6.4788,6.4788,6.2534,6.2534,112,2013
249,2013-09-05 00:00:00,6.1032,6.1032,5.9154,5.9154,692,2013
250,2013-09-06 00:00:00,6.0469,6.4318,5.9717,6.4318,9060,2013
251,2013-09-09 00:00:00,6.4318,6.5727,6.2159,6.5727,13501,2013
252,2013-09-10 00:00:00,6.1971,6.4318,5.2018,6.4318,2240,2013
253,2013-09-11 00:00:00,6.4318,6.4318,5.8778,6.3285,18098,2013
254,2013-09-12 00:00:00,6.3379,6.3379,6.3379,6.3379,5,2013
255,2013-09-13 00:00:00,6.1501,6.1501,5.6337,5.6337,357,2013
256,2013-09-23 00:00:00,5.7276,5.7276,5.7276,5.7276,1,2013
257,2013-09-30 00:00:00,5.7276,5.7276,5.7276,5.7276,159,2013
258,2013-10-01 00:00:00,5.8215,5.8215,5.8215,5.8215,5,2013
259,2013-10-02 00:00:00,5.8215,5.8215,5.8215,5.8215,5,2013
260,2013-10-03 00:00:00,5.8215,5.8215,5.8215,5.8215,229,2013
261,2013-10-04 00:00:00,5.8215,5.8215,5.5304,5.5304,367,2013
262,2013-10-07 00:00:00,5.5398,5.5398,4.507,5.0703,1086,2013
263,2013-10-09 00:00:00,4.7229,4.7229,3.8497,4.2722,799,2013
264,2013-10-10 00:00:00,4.1314,4.1314,3.3708,3.3802,2668,2013
265,2013-10-11 00:00:00,3.7558,4.6948,3.7558,4.6948,5631,2013
266,2013-10-14 00:00:00,4.7887,5.0703,4.7887,4.7887,1193,2013
