,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-12-21 00:00:00,0.25,0.26,0.17,0.17,333143,2011
1,2011-12-22 00:00:00,0.2,0.2,0.16,0.17,51747,2011
2,2011-12-23 00:00:00,0.15,0.15,0.12,0.12,47553,2011
3,2011-12-27 00:00:00,0.12,0.16,0.1,0.15,368308,2011
4,2011-12-28 00:00:00,0.15,0.21,0.12,0.15,122579,2011
5,2011-12-29 00:00:00,0.16,0.2,0.15,0.2,69558,2011
6,2011-12-30 00:00:00,0.22,0.25,0.18,0.25,102382,2011
7,2012-01-02 00:00:00,0.23,0.23,0.2,0.22,18850,2012
8,2012-01-03 00:00:00,0.22,0.24,0.22,0.24,11000,2012
9,2012-01-05 00:00:00,0.21,0.21,0.21,0.21,2000,2012
10,2012-01-09 00:00:00,0.21,0.21,0.18,0.21,4601,2012
11,2012-01-12 00:00:00,0.18,0.21,0.18,0.21,26150,2012
12,2012-01-18 00:00:00,0.18,0.19,0.17,0.18,52830,2012
13,2012-01-20 00:00:00,0.16,0.16,0.16,0.16,2000,2012
14,2012-01-25 00:00:00,0.16,0.18,0.16,0.17,14500,2012
15,2012-01-31 00:00:00,0.17,0.17,0.16,0.16,20501,2012
16,2012-02-03 00:00:00,0.16,0.16,0.16,0.16,1300,2012
17,2012-02-06 00:00:00,0.18,0.18,0.18,0.18,1000,2012
18,2012-02-09 00:00:00,0.17,0.17,0.15,0.15,5050,2012
19,2012-02-10 00:00:00,0.18,0.18,0.18,0.18,800,2012
20,2012-02-20 00:00:00,0.17,0.2,0.17,0.2,18383,2012
21,2012-03-01 00:00:00,0.19,0.19,0.19,0.19,500,2012
22,2012-03-02 00:00:00,0.19,0.19,0.19,0.19,385,2012
23,2012-03-05 00:00:00,0.19,0.19,0.19,0.19,100,2012
24,2012-03-06 00:00:00,0.17,0.17,0.17,0.17,5000,2012
25,2012-03-19 00:00:00,0.17,0.17,0.17,0.17,5000,2012
26,2012-03-21 00:00:00,0.16,0.16,0.15,0.16,37550,2012
27,2012-03-22 00:00:00,0.16,0.16,0.16,0.16,7450,2012
28,2012-03-28 00:00:00,0.17,0.17,0.17,0.17,1000,2012
29,2012-04-10 00:00:00,0.14,0.14,0.14,0.14,38000,2012
30,2012-04-13 00:00:00,0.14,0.14,0.14,0.14,1,2012
31,2012-04-17 00:00:00,0.15,0.15,0.15,0.15,1008,2012
32,2012-04-27 00:00:00,0.14,0.14,0.14,0.14,2800,2012
33,2012-05-24 00:00:00,0.12,0.12,0.12,0.12,5000,2012
34,2012-05-25 00:00:00,0.12,0.12,0.12,0.12,5000,2012
35,2012-06-04 00:00:00,0.12,0.16,0.12,0.16,91991,2012
36,2012-06-05 00:00:00,0.17,0.17,0.14,0.16,12501,2012
37,2012-06-08 00:00:00,0.12,0.13,0.11,0.13,24950,2012
38,2012-06-12 00:00:00,0.14,0.14,0.11,0.11,1985,2012
39,2012-06-22 00:00:00,0.13,0.13,0.13,0.13,1980,2012
40,2012-06-26 00:00:00,0.14,0.15,0.14,0.15,7012,2012
41,2012-06-28 00:00:00,0.15,0.15,0.15,0.15,101,2012
42,2012-07-13 00:00:00,0.15,0.17,0.15,0.17,22899,2012
43,2012-07-19 00:00:00,0.16,0.16,0.16,0.16,100,2012
44,2012-07-31 00:00:00,0.13,0.13,0.11,0.11,24300,2012
45,2012-08-01 00:00:00,0.13,0.13,0.13,0.13,1000,2012
46,2012-08-02 00:00:00,0.15,0.15,0.15,0.15,1000,2012
47,2012-08-29 00:00:00,0.1,0.1,0.1,0.1,230,2012
48,2012-09-25 00:00:00,0.1,0.1,0.1,0.1,19642,2012
49,2012-10-18 00:00:00,0.12,0.12,0.12,0.12,3500,2012
50,2012-10-22 00:00:00,0.1,0.13,0.1,0.13,3591,2012
51,2012-10-31 00:00:00,0.13,0.13,0.13,0.13,10,2012
52,2012-11-09 00:00:00,0.13,0.13,0.13,0.13,6490,2012
53,2012-11-12 00:00:00,0.14,0.14,0.14,0.14,800,2012
54,2012-12-13 00:00:00,0.14,0.14,0.14,0.14,50,2012
55,2012-12-14 00:00:00,0.14,0.14,0.14,0.14,700,2012
56,2013-02-01 00:00:00,0.09,0.09,0.09,0.09,10050,2013
57,2013-02-11 00:00:00,0.1,0.1,0.1,0.1,9999,2013
58,2013-02-14 00:00:00,0.1,0.1,0.09,0.09,2600,2013
59,2013-03-11 00:00:00,0.12,0.12,0.12,0.12,100,2013
60,2013-03-12 00:00:00,0.12,0.12,0.12,0.12,11900,2013
61,2013-03-13 00:00:00,0.14,0.14,0.14,0.14,1016,2013
62,2013-05-27 00:00:00,0.13,0.13,0.13,0.13,3570,2013
63,2013-06-11 00:00:00,0.09,0.09,0.09,0.09,3570,2013
64,2013-06-14 00:00:00,0.11,0.11,0.11,0.11,3500,2013
65,2013-06-24 00:00:00,0.13,0.13,0.13,0.13,1000,2013
66,2013-06-25 00:00:00,0.09,0.09,0.09,0.09,2000,2013
67,2013-07-09 00:00:00,0.12,0.12,0.12,0.12,1000,2013
68,2013-07-15 00:00:00,0.12,0.13,0.12,0.13,2000,2013
69,2013-08-06 00:00:00,0.13,0.13,0.13,0.13,2200,2013
70,2013-08-08 00:00:00,0.15,0.15,0.15,0.15,1000,2013
71,2013-08-12 00:00:00,0.14,0.14,0.14,0.14,1000,2013
72,2013-09-03 00:00:00,0.14,0.14,0.14,0.14,200,2013
73,2013-09-30 00:00:00,0.12,0.12,0.12,0.12,5000,2013
74,2013-11-12 00:00:00,0.1,0.1,0.1,0.1,5000,2013
75,2013-11-14 00:00:00,0.12,0.12,0.12,0.12,5000,2013
76,2013-11-15 00:00:00,0.14,0.16,0.14,0.16,13000,2013
77,2013-12-10 00:00:00,0.12,0.12,0.12,0.12,6000,2013
78,2013-12-17 00:00:00,0.11,0.11,0.11,0.11,5000,2013
79,2013-12-19 00:00:00,0.12,0.13,0.12,0.13,5000,2013
80,2013-12-30 00:00:00,0.11,0.11,0.11,0.11,1000,2013
81,2014-01-02 00:00:00,0.11,0.11,0.11,0.11,10000,2014
82,2014-01-22 00:00:00,0.11,0.11,0.11,0.11,1000,2014
83,2014-01-24 00:00:00,0.11,0.11,0.11,0.11,4000,2014
84,2014-01-31 00:00:00,0.11,0.11,0.11,0.11,5000,2014
85,2014-03-21 00:00:00,0.11,0.11,0.11,0.11,300,2014
86,2014-04-01 00:00:00,0.1,0.12,0.1,0.12,10400,2014
87,2014-04-04 00:00:00,0.11,0.11,0.11,0.11,1000,2014
88,2014-04-09 00:00:00,0.11,0.11,0.11,0.11,4000,2014
89,2014-04-25 00:00:00,0.11,0.12,0.11,0.12,6000,2014
90,2014-05-14 00:00:00,0.1,0.1,0.1,0.1,3700,2014
91,2014-05-20 00:00:00,0.1,0.1,0.1,0.1,300,2014
92,2014-05-28 00:00:00,0.1,0.1,0.1,0.1,1000,2014
93,2014-06-03 00:00:00,0.1,0.11,0.1,0.11,6000,2014
94,2014-06-09 00:00:00,0.11,0.11,0.11,0.11,1000,2014
95,2014-06-25 00:00:00,0.11,0.11,0.11,0.11,4000,2014
96,2014-06-26 00:00:00,0.12,0.12,0.1,0.1,11000,2014
97,2014-07-04 00:00:00,0.09,0.09,0.09,0.09,152060,2014
98,2014-07-30 00:00:00,0.1,0.1,0.1,0.1,1500,2014
99,2014-11-24 00:00:00,0.08,0.08,0.08,0.08,16250,2014
100,2015-01-07 00:00:00,0.06,0.06,0.06,0.06,8334,2015
101,2015-01-08 00:00:00,0.06,0.06,0.06,0.06,91,2015
102,2015-01-26 00:00:00,0.08,0.08,0.08,0.08,6000,2015
103,2015-01-28 00:00:00,0.09,0.09,0.09,0.09,1000,2015
104,2015-02-11 00:00:00,0.08,0.08,0.08,0.08,3000,2015
105,2015-02-20 00:00:00,0.08,0.08,0.08,0.08,1000,2015
106,2015-03-04 00:00:00,0.09,0.09,0.09,0.09,1100,2015
107,2015-10-12 00:00:00,0.08,0.08,0.08,0.08,1,2015
108,2015-10-14 00:00:00,0.09,0.09,0.09,0.09,900,2015
109,2015-11-16 00:00:00,0.08,0.08,0.08,0.08,99,2015
110,2015-11-18 00:00:00,0.07,0.07,0.07,0.07,3901,2015
