,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-07-27 00:00:00,4.5,5.4,4.5,5.4,235170,2010
1,2010-07-28 00:00:00,6.47,7.76,6.01,7.76,90188,2010
2,2010-07-29 00:00:00,8.5,8.99,7.77,8.99,107759,2010
3,2010-07-30 00:00:00,8.69,8.69,7.58,7.62,46417,2010
4,2010-08-02 00:00:00,7.9,8.32,7.62,8.06,11954,2010
5,2010-08-03 00:00:00,8.1,8.1,7.5,7.79,11715,2010
6,2010-08-04 00:00:00,7.75,7.77,7.4,7.75,6783,2010
7,2010-08-05 00:00:00,7.75,7.82,7.3,7.82,7323,2010
8,2010-08-06 00:00:00,7.82,8.79,7.82,8.6,19372,2010
9,2010-08-09 00:00:00,8.58,8.58,8.0,8.48,6156,2010
10,2010-08-10 00:00:00,8.47,8.47,8.05,8.2,5142,2010
11,2010-08-11 00:00:00,8.31,8.31,8.1,8.18,6353,2010
12,2010-08-12 00:00:00,8.24,8.24,7.9,8.08,6205,2010
13,2010-08-13 00:00:00,8.07,8.15,8.0,8.14,2562,2010
14,2010-08-16 00:00:00,7.7,7.7,6.5,6.8,2658,2010
15,2010-08-17 00:00:00,7.4,7.4,6.75,6.75,2926,2010
16,2010-08-18 00:00:00,6.75,6.75,6.5,6.5,1601,2010
17,2010-08-19 00:00:00,6.5,6.55,6.5,6.55,650,2010
18,2010-08-20 00:00:00,6.55,6.96,6.55,6.96,300,2010
19,2010-08-23 00:00:00,6.55,6.65,6.55,6.65,244,2010
20,2010-08-24 00:00:00,6.55,6.55,6.5,6.5,960,2010
21,2010-08-26 00:00:00,6.85,7.8,6.69,7.7,18541,2010
22,2010-08-27 00:00:00,7.7,9.45,7.7,9.45,29313,2010
23,2010-08-30 00:00:00,9.45,10.85,9.0,10.6,8143,2010
24,2010-08-31 00:00:00,10.8,11.15,9.6,11.0,10462,2010
25,2010-09-01 00:00:00,10.95,10.95,9.02,9.99,7818,2010
26,2010-09-02 00:00:00,9.97,9.97,9.1,9.12,2512,2010
27,2010-09-03 00:00:00,9.55,10.0,8.26,10.0,3026,2010
28,2010-09-06 00:00:00,10.39,10.5,10.35,10.5,2906,2010
29,2010-09-07 00:00:00,10.5,10.5,10.4,10.45,2055,2010
30,2010-09-08 00:00:00,10.45,11.0,9.7,11.0,3812,2010
31,2010-09-09 00:00:00,11.0,11.0,10.99,11.0,1623,2010
32,2010-09-10 00:00:00,11.05,12.3,9.5,12.3,28134,2010
33,2010-09-13 00:00:00,12.3,12.99,12.3,12.99,4583,2010
34,2010-09-14 00:00:00,13.0,13.0,12.7,13.0,3080,2010
35,2010-09-15 00:00:00,13.0,13.5,13.0,13.48,4554,2010
36,2010-09-16 00:00:00,13.5,14.0,13.2,14.0,2526,2010
37,2010-09-17 00:00:00,14.0,15.3,14.0,15.3,5756,2010
38,2010-09-20 00:00:00,15.4,15.4,14.4,15.4,5595,2010
39,2010-09-21 00:00:00,15.4,16.1,15.4,16.1,4084,2010
40,2010-09-22 00:00:00,16.15,18.0,16.0,17.8,5455,2010
41,2010-09-23 00:00:00,17.85,17.97,16.22,17.97,1981,2010
42,2010-09-24 00:00:00,17.97,18.88,17.6,18.88,8126,2010
43,2010-09-27 00:00:00,18.7,19.6,18.7,19.6,5677,2010
44,2010-09-28 00:00:00,19.6,19.7,18.15,19.3,4030,2010
45,2010-09-29 00:00:00,19.65,19.65,15.9,17.1,4348,2010
46,2010-09-30 00:00:00,19.0,19.2,18.8,19.2,1084,2010
47,2010-10-01 00:00:00,17.8,18.99,16.5,17.99,2660,2010
48,2010-10-04 00:00:00,16.52,16.52,14.4,15.0,2214,2010
49,2010-10-05 00:00:00,15.25,15.7,15.25,15.7,520,2010
50,2010-10-06 00:00:00,15.94,15.94,15.0,15.8,125,2010
51,2010-10-07 00:00:00,15.7,15.7,13.52,14.4,575,2010
52,2010-10-08 00:00:00,14.2,14.9,14.2,14.9,873,2010
53,2010-10-11 00:00:00,14.5,15.89,13.72,15.89,905,2010
54,2010-10-12 00:00:00,15.79,15.79,14.0,15.55,553,2010
55,2010-10-13 00:00:00,14.0,15.29,14.0,14.69,845,2010
56,2010-10-15 00:00:00,13.75,14.63,13.5,14.61,2490,2010
57,2010-10-18 00:00:00,13.7,13.74,13.26,13.74,451,2010
58,2010-10-19 00:00:00,12.66,13.1,12.51,13.1,156,2010
59,2010-10-20 00:00:00,13.0,13.95,13.0,13.95,788,2010
60,2010-10-21 00:00:00,13.5,13.5,13.5,13.5,1,2010
61,2010-10-22 00:00:00,13.72,13.72,12.75,13.47,206,2010
62,2010-10-25 00:00:00,12.22,12.94,11.21,12.9,375,2010
63,2010-10-26 00:00:00,12.9,13.0,11.5,11.99,566,2010
64,2010-10-27 00:00:00,12.0,12.0,10.01,11.17,2771,2010
65,2010-10-28 00:00:00,11.1,11.1,10.15,10.95,1487,2010
66,2010-10-29 00:00:00,10.96,12.0,10.96,12.0,1712,2010
67,2010-11-02 00:00:00,12.0,12.0,12.0,12.0,415,2010
68,2010-11-03 00:00:00,12.0,12.0,11.6,12.0,430,2010
69,2010-11-04 00:00:00,11.8,12.0,11.8,12.0,260,2010
70,2010-11-05 00:00:00,12.0,12.0,10.3,12.0,1265,2010
71,2010-11-08 00:00:00,11.76,12.0,11.76,12.0,655,2010
72,2010-11-09 00:00:00,12.0,12.0,11.6,12.0,338,2010
73,2010-11-10 00:00:00,12.0,12.0,12.0,12.0,100,2010
74,2010-11-12 00:00:00,12.0,12.0,11.94,11.94,103,2010
