,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-11-22 00:00:00,3.4203,3.8502,2.9316,3.3616,7134,2012
1,2012-11-23 00:00:00,3.3226,3.3616,3.3226,3.3616,307,2012
2,2012-11-26 00:00:00,3.3421,3.3421,2.9316,3.1271,765,2012
3,2012-11-27 00:00:00,3.0782,3.0782,2.8339999999999996,2.8339999999999996,317,2012
4,2012-11-28 00:00:00,2.9316,3.0001,2.9316,3.0001,77,2012
5,2012-11-29 00:00:00,3.0294,3.0294,3.0294,3.0294,10,2012
6,2012-11-30 00:00:00,2.8829,3.2249,2.8339999999999996,3.2249,2415,2012
7,2012-12-03 00:00:00,3.0294,3.0294,2.8829,3.0294,1044,2012
8,2012-12-04 00:00:00,2.9805,3.0782,2.7363,3.0782,9537,2012
9,2012-12-05 00:00:00,2.8339999999999996,3.1271,2.8339999999999996,3.1271,1037,2012
10,2012-12-06 00:00:00,3.1271,3.2249,3.1271,3.2249,717,2012
11,2012-12-07 00:00:00,3.2346,3.6157,2.9316,3.6157,1969,2012
12,2012-12-10 00:00:00,3.3715,3.3715,3.3715,3.3715,450,2012
13,2012-12-11 00:00:00,3.3226,3.3226,3.1271,3.3226,128,2012
14,2012-12-12 00:00:00,3.1271,3.6157,3.0782,3.6157,10448,2012
15,2012-12-13 00:00:00,3.6060000000000003,3.6549,3.4203,3.5180000000000002,1557,2012
16,2012-12-14 00:00:00,3.5083,3.5083,3.2249,3.4203,1785,2012
17,2012-12-17 00:00:00,3.4203,3.6157,3.4203,3.6157,368,2012
18,2012-12-18 00:00:00,3.6157,3.6157,3.3421,3.5864,1121,2012
19,2012-12-19 00:00:00,3.5864,3.6549,3.4691,3.6549,614,2012
20,2012-12-20 00:00:00,3.4398,3.6549,3.4398,3.6157,15474,2012
21,2012-12-21 00:00:00,3.5180000000000002,3.5864,3.3519,3.5864,1305,2012
22,2012-12-27 00:00:00,3.6060000000000003,3.6060000000000003,3.6060000000000003,3.6060000000000003,10,2012
23,2012-12-28 00:00:00,3.5962,3.6939,3.4203,3.6842,2037,2012
24,2013-01-02 00:00:00,3.6842,3.6842,3.3226,3.4105,1530,2013
25,2013-01-03 00:00:00,3.4203,3.4203,3.4203,3.4203,41,2013
26,2013-01-07 00:00:00,3.4203,3.5083,3.3226,3.4203,835,2013
27,2013-01-11 00:00:00,3.3226,3.3715,3.2835,3.3715,573,2013
28,2013-01-14 00:00:00,3.2737,3.2737,3.1271,3.2151,730,2013
29,2013-01-15 00:00:00,3.2249,3.4203,3.2249,3.4203,5434,2013
30,2013-01-16 00:00:00,3.4203,3.4203,3.2835,3.3715,277,2013
31,2013-01-17 00:00:00,3.3616,3.3715,3.2737,3.2737,378,2013
32,2013-01-18 00:00:00,3.2737,3.2737,3.2737,3.2737,10,2013
33,2013-01-21 00:00:00,3.2249,3.2249,3.2249,3.2249,15,2013
34,2013-01-23 00:00:00,3.0978,3.4203,3.0978,3.4203,2455,2013
35,2013-01-24 00:00:00,3.4203,3.4203,3.1271,3.1271,609,2013
36,2013-01-28 00:00:00,3.1271,3.1271,3.1271,3.1271,36,2013
37,2013-01-29 00:00:00,3.0782,3.0782,3.0782,3.0782,36,2013
38,2013-02-01 00:00:00,2.9805,2.9805,2.9805,2.9805,51,2013
39,2013-02-04 00:00:00,2.9316,2.9316,2.9316,2.9316,1535,2013
40,2013-02-05 00:00:00,3.0196,3.0294,3.0196,3.0294,552,2013
41,2013-02-07 00:00:00,3.0294,3.0294,3.0294,3.0294,20,2013
42,2013-02-08 00:00:00,3.0587,3.1271,2.9610000000000003,2.9610000000000003,614,2013
43,2013-02-12 00:00:00,2.9316,2.9316,2.9316,2.9316,25,2013
44,2013-02-13 00:00:00,2.9805,2.9805,2.9805,2.9805,41,2013
45,2013-02-14 00:00:00,2.9805,2.9805,2.9805,2.9805,36,2013
46,2013-02-15 00:00:00,2.9805,2.9805,2.9805,2.9805,36,2013
47,2013-02-18 00:00:00,2.9805,2.9805,2.9805,2.9805,20,2013
48,2013-02-19 00:00:00,2.9805,2.9805,2.9805,2.9805,36,2013
