,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-05-18 00:00:00,1.8,1.8,1.8,1.8,67500,2011
1,2011-05-19 00:00:00,1.93,2.1,1.83,1.97,290521,2011
2,2011-05-20 00:00:00,1.99,2.0,1.71,1.8,46417,2011
3,2011-05-23 00:00:00,1.8,1.8,1.72,1.77,6290,2011
4,2011-05-24 00:00:00,1.67,1.67,1.42,1.42,7845,2011
5,2011-05-25 00:00:00,1.5,1.62,1.47,1.6,17333,2011
6,2011-05-26 00:00:00,1.62,1.94,1.6,1.64,160179,2011
7,2011-05-27 00:00:00,1.73,1.78,1.48,1.53,28268,2011
8,2011-05-30 00:00:00,1.66,1.79,1.65,1.79,49584,2011
9,2011-05-31 00:00:00,1.78,1.78,1.7,1.75,10616,2011
10,2011-06-01 00:00:00,1.72,1.72,1.63,1.64,6525,2011
11,2011-06-02 00:00:00,1.72,1.72,1.6,1.69,9995,2011
12,2011-06-03 00:00:00,1.62,2.42,1.62,2.42,286031,2011
13,2011-06-06 00:00:00,2.9,3.61,2.4,3.35,274240,2011
14,2011-06-07 00:00:00,3.38,3.38,2.17,2.25,285215,2011
15,2011-06-08 00:00:00,2.25,2.69,2.09,2.27,100218,2011
16,2011-06-09 00:00:00,2.3,2.57,2.24,2.33,56919,2011
17,2011-06-10 00:00:00,2.32,2.47,2.31,2.34,26280,2011
18,2011-06-13 00:00:00,2.43,2.87,2.34,2.57,65993,2011
19,2011-06-14 00:00:00,2.62,2.62,2.35,2.39,30011,2011
20,2011-06-15 00:00:00,2.39,2.43,2.22,2.38,31789,2011
21,2011-06-16 00:00:00,2.37,2.42,2.23,2.42,16393,2011
22,2011-06-17 00:00:00,2.42,2.42,2.29,2.31,9180,2011
23,2011-06-20 00:00:00,2.3,2.36,2.24,2.34,18857,2011
24,2011-06-21 00:00:00,2.25,2.28,2.18,2.28,16257,2011
25,2011-06-22 00:00:00,2.18,2.2,2.11,2.2,5489,2011
26,2011-06-24 00:00:00,2.19,2.2,2.11,2.11,6129,2011
27,2011-06-27 00:00:00,2.1,2.23,2.08,2.14,5952,2011
28,2011-06-28 00:00:00,2.11,2.13,2.11,2.12,6800,2011
29,2011-06-29 00:00:00,2.11,2.2,2.1,2.2,2800,2011
30,2011-06-30 00:00:00,2.2,2.3,1.98,1.99,20930,2011
31,2011-07-01 00:00:00,2.04,2.16,1.92,1.95,20900,2011
32,2011-07-04 00:00:00,1.91,1.91,1.8,1.89,4788,2011
33,2011-07-05 00:00:00,1.8,1.84,1.79,1.79,7690,2011
34,2011-07-06 00:00:00,1.8,1.81,1.78,1.78,1980,2011
35,2011-07-07 00:00:00,1.72,1.81,1.67,1.74,20667,2011
36,2011-07-08 00:00:00,1.7,1.7,1.7,1.7,9,2011
37,2011-07-11 00:00:00,1.62,1.64,1.55,1.6,17518,2011
38,2011-07-12 00:00:00,1.53,1.6,1.3,1.6,15680,2011
39,2011-07-13 00:00:00,1.4,1.47,1.35,1.45,4802,2011
40,2011-07-14 00:00:00,1.44,1.44,1.44,1.44,250,2011
41,2011-07-15 00:00:00,1.43,1.72,1.43,1.57,47345,2011
42,2011-07-18 00:00:00,1.58,1.64,1.55,1.64,5090,2011
43,2011-07-19 00:00:00,1.55,1.56,1.5,1.56,2506,2011
44,2011-07-20 00:00:00,1.55,1.57,1.5,1.5,5666,2011
45,2011-07-21 00:00:00,1.52,1.52,1.52,1.52,5,2011
46,2011-07-22 00:00:00,1.42,1.48,1.38,1.48,1275,2011
47,2011-07-25 00:00:00,1.38,1.41,1.38,1.41,2462,2011
48,2011-07-26 00:00:00,1.44,1.44,1.44,1.44,10,2011
49,2011-07-27 00:00:00,1.35,1.35,1.35,1.35,200,2011
50,2011-07-28 00:00:00,1.36,1.36,1.1,1.18,26114,2011
51,2011-07-29 00:00:00,1.2,1.25,1.2,1.22,6999,2011
52,2011-08-01 00:00:00,1.23,1.29,1.18,1.25,3506,2011
53,2011-08-02 00:00:00,1.25,1.25,1.16,1.2,1884,2011
54,2011-08-03 00:00:00,1.2,1.2,1.04,1.1,4303,2011
55,2011-08-04 00:00:00,1.04,1.04,0.86,0.86,26631,2011
56,2011-08-05 00:00:00,0.9,0.9,0.86,0.89,12770,2011
57,2011-08-08 00:00:00,0.95,0.95,0.86,0.86,9696,2011
58,2011-08-09 00:00:00,0.86,0.9,0.7,0.9,1717,2011
59,2011-08-10 00:00:00,0.84,0.84,0.84,0.84,1000,2011
60,2011-08-11 00:00:00,0.79,0.79,0.79,0.79,395,2011
61,2011-08-12 00:00:00,0.79,0.79,0.79,0.79,2800,2011
62,2011-08-16 00:00:00,0.8,0.9,0.79,0.79,6283,2011
63,2011-08-17 00:00:00,0.78,0.78,0.78,0.78,1245,2011
64,2011-08-18 00:00:00,0.76,0.76,0.72,0.72,3891,2011
65,2011-08-19 00:00:00,0.7,0.7,0.7,0.7,600,2011
66,2011-08-22 00:00:00,0.75,0.75,0.75,0.75,2000,2011
67,2011-08-25 00:00:00,0.71,0.71,0.67,0.69,11958,2011
68,2011-08-26 00:00:00,0.69,0.82,0.69,0.82,29509,2011
69,2011-08-29 00:00:00,0.86,0.89,0.8,0.82,12130,2011
70,2011-08-30 00:00:00,0.79,0.79,0.79,0.79,3300,2011
71,2011-08-31 00:00:00,0.75,0.75,0.75,0.75,1150,2011
72,2011-09-01 00:00:00,0.74,0.74,0.74,0.74,1030,2011
73,2011-09-02 00:00:00,0.75,0.78,0.73,0.73,1060,2011
74,2011-09-06 00:00:00,0.78,0.78,0.78,0.78,3000,2011
75,2011-09-08 00:00:00,0.81,0.81,0.79,0.79,4150,2011
76,2011-09-09 00:00:00,0.83,0.83,0.83,0.83,1,2011
77,2011-09-12 00:00:00,0.78,0.79,0.75,0.75,4100,2011
78,2011-09-14 00:00:00,0.76,1.0,0.76,0.98,14000,2011
79,2011-09-15 00:00:00,0.99,0.99,0.99,0.99,1,2011
80,2011-09-19 00:00:00,0.85,0.98,0.82,0.86,7639,2011
81,2011-09-20 00:00:00,0.81,0.85,0.75,0.8,12000,2011
82,2011-09-21 00:00:00,0.78,0.78,0.78,0.78,3200,2011
