,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-01-24 00:00:00,5.25,6.3,4.75,5.1,373518,2011
1,2011-01-25 00:00:00,5.29,5.69,4.63,4.84,143801,2011
2,2011-01-26 00:00:00,5.0,5.91,4.97,5.29,193003,2011
3,2011-01-27 00:00:00,5.35,7.0,5.21,7.0,138139,2011
4,2011-01-28 00:00:00,6.88,8.24,6.5,7.79,114226,2011
5,2011-01-31 00:00:00,7.9,8.6,7.41,7.44,55703,2011
6,2011-02-01 00:00:00,7.2,7.2,5.66,5.66,101428,2011
7,2011-02-02 00:00:00,5.4,6.09,5.17,5.49,73737,2011
8,2011-02-03 00:00:00,5.3,5.5,4.95,4.95,32015,2011
9,2011-02-04 00:00:00,4.95,5.15,4.78,4.95,10813,2011
10,2011-02-07 00:00:00,5.0,5.58,4.85,5.19,15557,2011
11,2011-02-08 00:00:00,5.28,5.38,5.1,5.22,7755,2011
12,2011-02-09 00:00:00,5.25,5.38,5.0,5.15,5511,2011
13,2011-02-10 00:00:00,5.2,5.2,4.92,5.13,7251,2011
14,2011-02-11 00:00:00,5.13,5.13,4.8,4.97,7814,2011
15,2011-02-14 00:00:00,4.81,5.1,4.41,4.89,16126,2011
16,2011-02-15 00:00:00,4.89,4.89,4.6,4.88,6010,2011
17,2011-02-16 00:00:00,4.8,4.97,4.8,4.93,3193,2011
18,2011-02-17 00:00:00,5.06,5.14,4.9,5.1,4470,2011
19,2011-02-18 00:00:00,5.1,5.19,4.92,5.17,6881,2011
20,2011-02-21 00:00:00,5.14,5.2,4.9,4.91,15956,2011
21,2011-02-22 00:00:00,4.89,5.0,4.71,4.8,19714,2011
22,2011-02-23 00:00:00,4.75,4.89,4.33,4.77,4137,2011
23,2011-02-24 00:00:00,4.65,4.76,4.65,4.76,970,2011
24,2011-02-25 00:00:00,4.61,4.76,4.61,4.76,598,2011
25,2011-02-28 00:00:00,4.61,4.88,4.53,4.88,1315,2011
26,2011-03-01 00:00:00,4.88,4.97,4.75,4.95,3892,2011
27,2011-03-02 00:00:00,4.93,4.93,4.7,4.88,1237,2011
28,2011-03-03 00:00:00,4.74,4.87,4.74,4.87,101,2011
29,2011-03-04 00:00:00,4.7,4.9,4.7,4.86,1225,2011
30,2011-03-07 00:00:00,4.68,4.88,4.6,4.88,3507,2011
31,2011-03-08 00:00:00,4.65,4.88,4.65,4.88,722,2011
32,2011-03-09 00:00:00,4.69,4.85,4.6,4.8,671,2011
33,2011-03-10 00:00:00,4.6,4.78,4.6,4.78,205,2011
34,2011-03-11 00:00:00,4.77,4.77,4.77,4.77,918,2011
35,2011-03-14 00:00:00,4.6,4.74,4.6,4.74,903,2011
36,2011-03-15 00:00:00,4.54,4.73,4.54,4.73,2558,2011
37,2011-03-16 00:00:00,4.53,4.53,4.42,4.5,211,2011
38,2011-03-17 00:00:00,4.7,5.4,4.7,4.74,36379,2011
39,2011-03-18 00:00:00,5.07,5.07,4.4,4.72,8202,2011
40,2011-03-21 00:00:00,4.72,4.79,4.46,4.5,5942,2011
41,2011-03-22 00:00:00,4.46,4.48,4.14,4.4,6504,2011
42,2011-03-23 00:00:00,4.37,4.39,4.15,4.3,2059,2011
43,2011-03-24 00:00:00,4.2,4.2,3.94,4.11,6870,2011
44,2011-03-25 00:00:00,3.92,4.45,3.92,4.45,4936,2011
45,2011-03-28 00:00:00,4.15,4.3,4.11,4.3,290,2011
46,2011-03-29 00:00:00,4.0,4.2,4.0,4.2,8785,2011
47,2011-03-30 00:00:00,3.95,4.39,3.95,4.38,2942,2011
48,2011-03-31 00:00:00,4.3,4.38,4.3,4.38,517,2011
49,2011-04-01 00:00:00,4.39,4.64,4.39,4.49,2733,2011
50,2011-04-04 00:00:00,4.35,4.59,4.3,4.59,1456,2011
51,2011-04-05 00:00:00,4.3,4.54,4.14,4.5,1377,2011
52,2011-04-06 00:00:00,4.2,4.59,4.15,4.59,2093,2011
53,2011-04-08 00:00:00,4.29,4.45,4.2,4.45,1488,2011
54,2011-04-11 00:00:00,4.3,4.3,4.15,4.3,743,2011
55,2011-04-12 00:00:00,4.35,4.35,3.97,4.27,498,2011
56,2011-04-13 00:00:00,3.94,4.47,3.9,4.4,2772,2011
57,2011-04-14 00:00:00,4.16,4.34,4.16,4.34,100,2011
58,2011-04-15 00:00:00,4.43,4.99,4.43,4.85,27363,2011
59,2011-04-18 00:00:00,4.87,5.3,4.5,5.18,16157,2011
60,2011-04-19 00:00:00,5.18,5.6,5.0,5.3,22501,2011
61,2011-04-20 00:00:00,5.43,6.98,5.43,6.9,33178,2011
62,2011-04-21 00:00:00,6.95,7.54,5.6,6.99,32820,2011
63,2011-04-26 00:00:00,6.6,7.08,6.6,6.9,5911,2011
64,2011-04-27 00:00:00,6.98,7.04,5.7,6.05,28578,2011
65,2011-04-28 00:00:00,6.34,6.49,5.86,6.29,4721,2011
66,2011-04-29 00:00:00,6.28,6.29,5.96,6.22,6347,2011
67,2011-05-02 00:00:00,6.24,6.24,5.8,6.14,5180,2011
68,2011-05-04 00:00:00,5.84,6.09,5.81,6.03,22405,2011
69,2011-05-05 00:00:00,6.06,6.07,5.83,6.03,4260,2011
70,2011-05-06 00:00:00,5.84,6.03,5.75,6.0,2211,2011
71,2011-05-09 00:00:00,6.0,6.43,6.0,6.42,3225,2011
72,2011-05-10 00:00:00,6.42,6.55,5.93,6.14,10560,2011
73,2011-05-11 00:00:00,6.45,6.45,6.14,6.35,460,2011
74,2011-05-12 00:00:00,6.13,6.19,5.87,6.19,1379,2011
75,2011-05-13 00:00:00,6.1,6.82,5.86,6.82,2970,2011
76,2011-05-16 00:00:00,6.82,6.83,6.55,6.8,2289,2011
77,2011-05-17 00:00:00,6.14,6.75,6.12,6.7,2114,2011
78,2011-05-18 00:00:00,6.36,6.67,6.02,6.67,2643,2011
79,2011-05-19 00:00:00,6.02,6.5,6.02,6.5,889,2011
80,2011-05-20 00:00:00,6.03,6.18,5.2,5.6,2663,2011
81,2011-05-23 00:00:00,5.76,6.0,5.2,6.0,1119,2011
82,2011-05-24 00:00:00,5.34,5.83,5.1,5.69,3950,2011
83,2011-05-25 00:00:00,5.5,5.69,5.11,5.31,2153,2011
84,2011-05-26 00:00:00,5.3,5.3,4.9,5.27,4635,2011
85,2011-05-27 00:00:00,4.94,5.08,4.62,5.08,3612,2011
86,2011-05-30 00:00:00,5.07,5.15,4.89,5.14,3062,2011
87,2011-05-31 00:00:00,5.1,5.58,5.07,5.58,1145,2011
88,2011-06-01 00:00:00,5.22,5.5,5.21,5.5,629,2011
89,2011-06-02 00:00:00,5.22,5.49,5.21,5.47,1066,2011
90,2011-06-03 00:00:00,5.39,6.3,5.39,5.98,3500,2011
91,2011-06-06 00:00:00,5.98,5.98,5.68,5.97,3432,2011
92,2011-06-07 00:00:00,5.98,6.68,5.75,6.68,8740,2011
93,2011-06-08 00:00:00,6.73,6.79,6.06,6.5,2448,2011
94,2011-06-09 00:00:00,6.32,6.63,5.9,6.32,4004,2011
95,2011-06-10 00:00:00,6.5,6.5,6.06,6.43,567,2011
96,2011-06-13 00:00:00,6.1,6.31,5.88,6.3,2421,2011
97,2011-06-14 00:00:00,6.0,6.25,5.92,6.23,312,2011
98,2011-06-15 00:00:00,5.92,6.1,5.41,5.88,2113,2011
99,2011-06-16 00:00:00,5.5,5.8,5.31,5.31,153,2011
100,2011-06-17 00:00:00,5.75,5.85,5.75,5.85,2,2011
101,2011-06-20 00:00:00,5.12,5.74,5.12,5.74,2601,2011
102,2011-06-21 00:00:00,5.77,5.77,5.11,5.11,526,2011
103,2011-06-22 00:00:00,5.48,5.48,5.1,5.48,957,2011
104,2011-06-24 00:00:00,5.48,5.48,4.9,5.47,5151,2011
105,2011-06-27 00:00:00,5.4,5.4,4.75,5.19,3534,2011
106,2011-06-28 00:00:00,5.09,5.18,4.75,5.18,1111,2011
107,2011-06-29 00:00:00,4.75,4.95,4.5,4.95,1901,2011
108,2011-06-30 00:00:00,5.14,5.14,5.14,5.14,11,2011
109,2011-07-04 00:00:00,5.1,6.09,4.55,5.69,20268,2011
110,2011-07-05 00:00:00,5.69,5.69,5.25,5.55,505,2011
111,2011-07-06 00:00:00,5.26,5.57,4.95,5.57,3306,2011
112,2011-07-07 00:00:00,4.92,5.24,4.8,5.24,2064,2011
113,2011-07-08 00:00:00,5.2,5.2,4.9,5.14,531,2011
114,2011-07-11 00:00:00,4.8,5.19,4.8,5.0,522,2011
115,2011-07-12 00:00:00,4.82,5.0,4.6,4.99,945,2011
116,2011-07-13 00:00:00,4.99,5.09,4.8,5.09,1313,2011
117,2011-07-14 00:00:00,5.22,5.22,5.22,5.22,1,2011
118,2011-07-15 00:00:00,5.2,5.2,5.2,5.2,5,2011
119,2011-07-18 00:00:00,5.0,5.19,5.0,5.19,351,2011
120,2011-07-19 00:00:00,4.9,5.19,4.9,5.19,701,2011
121,2011-07-20 00:00:00,5.2,5.5,4.85,5.21,974,2011
122,2011-07-21 00:00:00,5.15,5.15,5.15,5.15,500,2011
123,2011-07-22 00:00:00,5.13,5.15,5.13,5.15,505,2011
124,2011-07-25 00:00:00,4.9,8.96,4.9,8.96,24601,2011
125,2011-07-26 00:00:00,8.97,10.1,7.8,8.37,20385,2011
126,2011-07-27 00:00:00,8.65,8.65,7.27,7.88,15989,2011
127,2011-07-28 00:00:00,7.49,7.74,7.25,7.5,958,2011
128,2011-07-29 00:00:00,7.64,7.64,7.27,7.6,2098,2011
129,2011-08-01 00:00:00,7.3,7.5,7.3,7.35,1400,2011
130,2011-08-02 00:00:00,7.59,9.4,7.59,8.47,16263,2011
131,2011-08-03 00:00:00,8.01,8.09,7.0,7.97,5998,2011
132,2011-08-04 00:00:00,7.5,7.63,6.83,6.83,2819,2011
133,2011-08-05 00:00:00,6.84,7.24,6.1,7.0,2174,2011
134,2011-08-08 00:00:00,7.24,7.8,6.5,7.7,6122,2011
135,2011-08-09 00:00:00,7.04,7.89,6.76,7.2,3127,2011
136,2011-08-10 00:00:00,7.4,7.8,7.12,7.75,4674,2011
137,2011-08-11 00:00:00,7.21,7.69,7.11,7.69,1135,2011
138,2011-08-12 00:00:00,7.17,8.47,7.17,8.35,6417,2011
139,2011-08-16 00:00:00,8.34,8.47,7.9,8.1,1597,2011
140,2011-08-17 00:00:00,8.68,8.68,7.52,8.1,4526,2011
141,2011-08-18 00:00:00,7.61,7.61,7.0,7.4,2275,2011
142,2011-08-19 00:00:00,6.89,7.89,6.5,7.79,2787,2011
143,2011-08-22 00:00:00,7.15,7.65,7.07,7.55,447,2011
144,2011-08-23 00:00:00,7.5,7.5,7.0,7.24,571,2011
145,2011-08-24 00:00:00,7.08,7.08,7.0,7.0,1150,2011
146,2011-08-25 00:00:00,7.43,7.43,6.9,7.15,624,2011
147,2011-08-26 00:00:00,6.89,7.12,6.71,7.12,292,2011
148,2011-08-29 00:00:00,6.58,6.97,6.53,6.97,827,2011
149,2011-08-30 00:00:00,6.96,7.42,6.96,7.42,499,2011
150,2011-08-31 00:00:00,6.9,7.09,6.62,6.63,758,2011
151,2011-09-01 00:00:00,6.62,6.99,6.25,6.58,3533,2011
152,2011-09-02 00:00:00,6.59,6.59,5.75,6.09,845,2011
153,2011-09-05 00:00:00,6.09,6.09,5.52,6.09,116,2011
154,2011-09-06 00:00:00,6.35,6.48,6.0,6.0,1152,2011
155,2011-09-07 00:00:00,6.47,6.48,5.51,6.0,2120,2011
156,2011-09-08 00:00:00,5.58,6.16,5.58,5.6,822,2011
157,2011-09-09 00:00:00,5.51,6.04,5.5,5.89,3658,2011
158,2011-09-12 00:00:00,5.26,6.0,5.26,6.0,420,2011
159,2011-09-13 00:00:00,5.39,5.95,5.36,5.95,7834,2011
160,2011-09-14 00:00:00,5.99,5.99,5.32,5.87,1091,2011
161,2011-09-15 00:00:00,5.41,5.93,5.31,5.7,1552,2011
162,2011-09-16 00:00:00,5.55,5.55,5.11,5.55,1858,2011
163,2011-09-19 00:00:00,5.55,5.55,5.55,5.55,850,2011
164,2011-09-21 00:00:00,4.85,5.54,4.85,5.54,120,2011
165,2011-09-22 00:00:00,5.36,5.36,5.36,5.36,5,2011
166,2011-09-23 00:00:00,5.0,5.15,4.66,5.07,2511,2011
167,2011-09-26 00:00:00,5.1,5.95,4.81,5.94,1818,2011
168,2011-09-27 00:00:00,5.0,5.2,4.86,5.1,2919,2011
169,2011-09-28 00:00:00,5.05,5.47,4.8,5.47,2560,2011
170,2011-09-29 00:00:00,4.9,5.46,4.9,5.29,724,2011
171,2011-09-30 00:00:00,4.68,5.29,4.68,5.29,211,2011
172,2011-10-03 00:00:00,5.24,5.28,4.9,5.0,761,2011
173,2011-10-04 00:00:00,4.9,5.05,4.71,5.0,1747,2011
174,2011-10-05 00:00:00,4.98,5.28,4.8,5.2,2422,2011
175,2011-10-06 00:00:00,4.9,5.19,4.9,5.19,610,2011
176,2011-10-07 00:00:00,4.9,5.14,4.7,5.14,3458,2011
177,2011-10-10 00:00:00,5.14,5.6,5.0,5.6,1961,2011
178,2011-10-11 00:00:00,5.55,5.89,5.3,5.89,1326,2011
179,2011-10-12 00:00:00,4.88,4.88,4.88,4.88,50,2011
180,2011-10-13 00:00:00,5.67,5.67,5.01,5.03,803,2011
181,2011-10-14 00:00:00,5.65,5.67,5.2,5.65,1315,2011
182,2011-10-17 00:00:00,5.11,5.7,5.11,5.31,1280,2011
183,2011-10-18 00:00:00,5.31,5.67,5.11,5.49,249,2011
184,2011-10-19 00:00:00,5.44,5.45,5.44,5.45,150,2011
185,2011-10-20 00:00:00,5.12,5.45,4.9,5.44,554,2011
186,2011-10-21 00:00:00,5.48,5.68,5.2,5.67,907,2011
187,2011-10-24 00:00:00,5.67,5.94,5.3,5.94,820,2011
188,2011-10-25 00:00:00,5.94,5.97,5.36,5.97,1227,2011
189,2011-10-27 00:00:00,5.41,5.85,5.4,5.85,336,2011
190,2011-10-28 00:00:00,5.45,5.75,5.45,5.7,330,2011
191,2011-10-31 00:00:00,5.4,5.7,4.96,5.45,1970,2011
192,2011-11-02 00:00:00,5.0,5.2,4.41,5.2,2642,2011
193,2011-11-03 00:00:00,5.24,5.24,5.18,5.19,405,2011
194,2011-11-04 00:00:00,5.2,5.5,5.2,5.5,2721,2011
195,2011-11-07 00:00:00,5.55,5.8,5.55,5.79,1829,2011
196,2011-11-08 00:00:00,5.5,6.78,5.5,6.0,4365,2011
197,2011-11-09 00:00:00,6.72,6.72,5.5,6.0,3408,2011
198,2011-11-10 00:00:00,6.0,6.0,6.0,6.0,50,2011
199,2011-11-14 00:00:00,5.8,6.5,5.4,5.85,9651,2011
200,2011-11-15 00:00:00,5.32,5.4,4.76,5.24,2662,2011
201,2011-11-16 00:00:00,4.86,5.19,4.3,4.7,4536,2011
202,2011-11-17 00:00:00,4.7,4.89,4.35,4.65,620,2011
203,2011-11-18 00:00:00,4.35,4.45,3.81,3.94,9775,2011
204,2011-11-21 00:00:00,3.94,4.04,3.48,3.85,3929,2011
205,2011-11-22 00:00:00,4.2,4.2,3.85,3.93,475,2011
206,2011-11-23 00:00:00,4.0,4.0,3.88,3.88,1711,2011
207,2011-11-24 00:00:00,3.97,3.97,3.7,3.7,1085,2011
208,2011-11-25 00:00:00,3.89,3.89,3.65,3.85,3533,2011
209,2011-11-28 00:00:00,3.85,3.85,3.85,3.85,253,2011
210,2011-11-29 00:00:00,3.75,3.75,3.25,3.42,5257,2011
211,2011-11-30 00:00:00,3.42,3.7,2.74,3.3,2346,2011
212,2011-12-01 00:00:00,3.06,3.5,3.06,3.5,2010,2011
213,2011-12-02 00:00:00,3.69,3.75,3.69,3.75,295,2011
214,2011-12-05 00:00:00,3.77,4.05,3.74,3.74,2471,2011
215,2011-12-06 00:00:00,3.98,3.98,3.2,3.98,1302,2011
216,2011-12-07 00:00:00,3.8,3.8,3.31,3.37,132,2011
217,2011-12-08 00:00:00,3.8,3.84,3.8,3.84,11,2011
218,2011-12-09 00:00:00,3.84,4.2,3.76,4.2,715,2011
219,2011-12-12 00:00:00,4.28,4.39,3.65,3.98,1450,2011
220,2011-12-13 00:00:00,4.19,4.19,4.19,4.19,1,2011
221,2011-12-14 00:00:00,4.19,4.19,3.8,4.17,44,2011
222,2011-12-15 00:00:00,4.0,4.18,3.52,3.52,731,2011
223,2011-12-16 00:00:00,4.0,4.0,3.15,3.15,298,2011
224,2011-12-19 00:00:00,3.64,3.64,3.3,3.64,1615,2011
225,2011-12-20 00:00:00,3.4,3.55,3.11,3.14,1986,2011
226,2011-12-21 00:00:00,3.2,4.04,3.15,3.98,3631,2011
227,2011-12-22 00:00:00,3.98,3.98,3.98,3.98,2,2011
228,2011-12-23 00:00:00,3.51,3.94,3.51,3.94,762,2011
229,2011-12-27 00:00:00,3.6,3.93,3.4,3.92,871,2011
230,2011-12-28 00:00:00,3.92,3.93,3.3,3.3,949,2011
231,2011-12-29 00:00:00,3.79,3.9,3.79,3.9,1400,2011
232,2011-12-30 00:00:00,3.55,3.85,3.52,3.85,612,2011
233,2012-01-02 00:00:00,3.86,3.86,3.51,3.86,212,2012
234,2012-01-03 00:00:00,3.51,3.6,3.4,3.6,3405,2012
235,2012-01-04 00:00:00,3.42,3.5,3.2,3.5,4955,2012
236,2012-01-05 00:00:00,3.2,3.4,3.2,3.4,4750,2012
237,2012-01-09 00:00:00,3.23,3.23,3.0,3.1,3977,2012
238,2012-01-10 00:00:00,3.1,3.25,2.84,2.88,5343,2012
239,2012-01-11 00:00:00,2.7,2.89,2.56,2.89,910,2012
240,2012-01-12 00:00:00,2.89,2.98,2.72,2.97,1137,2012
241,2012-01-13 00:00:00,2.97,3.0,2.97,3.0,909,2012
242,2012-01-16 00:00:00,3.1,3.1,3.05,3.1,1012,2012
243,2012-01-17 00:00:00,3.1,3.1,3.04,3.08,2343,2012
244,2012-01-18 00:00:00,2.8,3.08,2.8,3.0,952,2012
245,2012-01-19 00:00:00,2.85,3.0,2.85,3.0,3150,2012
246,2012-01-20 00:00:00,3.0,3.0,3.0,3.0,500,2012
247,2012-01-23 00:00:00,2.8,3.0,2.8,3.0,150,2012
248,2012-01-24 00:00:00,2.99,2.99,2.9,2.95,1110,2012
249,2012-01-25 00:00:00,2.95,2.95,2.95,2.95,5,2012
250,2012-01-26 00:00:00,2.95,2.95,2.52,2.94,4229,2012
251,2012-01-30 00:00:00,2.57,2.68,2.39,2.39,5650,2012
252,2012-01-31 00:00:00,2.32,2.65,2.1,2.21,4996,2012
253,2012-02-01 00:00:00,2.21,2.65,2.12,2.49,17802,2012
254,2012-02-02 00:00:00,2.62,2.64,2.35,2.35,2348,2012
255,2012-02-03 00:00:00,2.28,2.47,2.28,2.44,4022,2012
256,2012-02-06 00:00:00,2.58,2.58,2.44,2.45,1253,2012
257,2012-02-07 00:00:00,2.44,2.44,2.31,2.43,1320,2012
258,2012-02-08 00:00:00,2.42,2.63,2.33,2.33,2132,2012
259,2012-02-09 00:00:00,2.5,2.64,2.5,2.64,3185,2012
260,2012-02-10 00:00:00,2.64,2.64,2.5,2.5,1990,2012
261,2012-02-13 00:00:00,2.45,2.65,2.45,2.5,1739,2012
262,2012-02-14 00:00:00,2.65,2.65,2.6,2.65,1570,2012
263,2012-02-15 00:00:00,2.66,3.29,2.42,3.09,22671,2012
264,2012-02-16 00:00:00,2.96,2.96,2.48,2.56,9974,2012
265,2012-02-17 00:00:00,2.51,2.89,2.51,2.59,2448,2012
266,2012-02-20 00:00:00,2.89,2.89,2.59,2.72,7525,2012
267,2012-02-21 00:00:00,2.58,2.58,2.51,2.56,2144,2012
268,2012-02-22 00:00:00,2.56,2.56,2.39,2.44,5353,2012
269,2012-02-23 00:00:00,2.41,2.83,2.31,2.35,5686,2012
270,2012-02-24 00:00:00,2.48,2.48,2.45,2.45,472,2012
271,2012-02-27 00:00:00,2.37,2.43,2.3,2.43,5231,2012
272,2012-02-28 00:00:00,2.3,2.43,2.3,2.43,310,2012
273,2012-02-29 00:00:00,2.43,2.43,2.43,2.43,100,2012
274,2012-03-01 00:00:00,2.43,2.91,2.43,2.91,9172,2012
275,2012-03-02 00:00:00,2.83,3.39,2.75,3.3,59426,2012
276,2012-03-05 00:00:00,3.3,3.49,2.75,3.31,33568,2012
277,2012-03-06 00:00:00,3.09,3.49,3.01,3.09,28284,2012
278,2012-03-07 00:00:00,3.02,3.03,2.82,3.03,1196,2012
279,2012-03-08 00:00:00,2.83,3.08,2.83,2.85,29694,2012
280,2012-03-09 00:00:00,3.0,3.0,3.0,3.0,10,2012
281,2012-03-12 00:00:00,3.0,3.0,2.85,2.9,1030,2012
282,2012-03-13 00:00:00,2.9,3.29,2.78,3.19,13263,2012
283,2012-03-14 00:00:00,3.1,3.1,2.95,3.07,3853,2012
284,2012-03-15 00:00:00,2.95,3.05,2.87,2.99,4737,2012
285,2012-03-16 00:00:00,2.91,3.14,2.88,2.99,7572,2012
286,2012-03-19 00:00:00,2.99,2.99,2.99,2.99,558,2012
287,2012-03-20 00:00:00,3.0,3.05,2.95,3.05,1330,2012
288,2012-03-21 00:00:00,3.05,3.05,2.83,2.99,3265,2012
289,2012-03-22 00:00:00,2.85,2.85,2.8,2.8,2919,2012
290,2012-03-23 00:00:00,2.98,2.98,2.98,2.98,10,2012
291,2012-03-26 00:00:00,2.79,2.98,2.75,2.98,1084,2012
292,2012-03-27 00:00:00,2.85,2.99,2.85,2.99,310,2012
293,2012-03-28 00:00:00,2.8,2.9,2.47,2.87,1385,2012
294,2012-03-29 00:00:00,2.8,2.8,2.3,2.46,18291,2012
295,2012-03-30 00:00:00,2.56,2.63,2.01,2.25,22047,2012
296,2012-04-02 00:00:00,2.06,2.19,2.01,2.19,5982,2012
297,2012-04-03 00:00:00,2.2,2.2,2.2,2.2,26,2012
298,2012-04-04 00:00:00,2.21,2.22,2.21,2.22,2069,2012
299,2012-04-05 00:00:00,2.1,2.21,2.02,2.2,1833,2012
300,2012-04-10 00:00:00,2.2,2.2,2.05,2.19,2209,2012
301,2012-04-11 00:00:00,2.05,2.1,1.86,2.1,5705,2012
302,2012-04-12 00:00:00,2.0,2.0,1.98,1.98,600,2012
303,2012-04-13 00:00:00,1.9,1.98,1.65,1.79,3167,2012
304,2012-04-16 00:00:00,1.92,1.97,1.78,1.96,1101,2012
305,2012-04-17 00:00:00,1.97,2.09,1.83,2.0,6789,2012
306,2012-04-19 00:00:00,2.08,2.1,2.08,2.1,105,2012
307,2012-04-20 00:00:00,1.9,2.09,1.8,2.09,1294,2012
308,2012-04-23 00:00:00,1.8,1.98,1.68,1.8,11433,2012
309,2012-04-24 00:00:00,1.79,1.94,1.5,1.85,8242,2012
310,2012-04-25 00:00:00,1.67,1.88,1.66,1.88,1400,2012
311,2012-04-27 00:00:00,1.86,1.86,1.86,1.86,7,2012
312,2012-04-30 00:00:00,1.6,1.94,1.55,1.55,13926,2012
313,2012-05-02 00:00:00,1.81,2.1,1.48,1.95,41412,2012
314,2012-05-04 00:00:00,2.14,2.56,2.14,2.56,25101,2012
315,2012-05-07 00:00:00,2.85,3.0,2.55,3.0,48682,2012
316,2012-05-08 00:00:00,3.49,3.8,2.8,3.03,50646,2012
317,2012-05-09 00:00:00,3.02,3.05,2.41,2.41,12209,2012
318,2012-05-10 00:00:00,2.59,2.66,2.08,2.2,136825,2012
319,2012-05-11 00:00:00,2.3,2.34,2.14,2.22,7672,2012
320,2012-05-14 00:00:00,2.11,2.15,2.08,2.15,4365,2012
321,2012-05-15 00:00:00,2.02,2.23,1.81,2.23,10343,2012
322,2012-05-16 00:00:00,2.27,2.72,2.27,2.72,22638,2012
323,2012-05-17 00:00:00,2.9,3.45,2.72,2.98,33326,2012
324,2012-05-18 00:00:00,2.6,2.75,2.33,2.74,5900,2012
