,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-09-19 00:00:00,2.1556,2.2005,2.0209,2.1467,11371,2012
1,2012-09-20 00:00:00,2.0568,2.1556,1.9669999999999999,1.985,6794,2012
2,2012-09-21 00:00:00,2.0479,2.0568,1.994,1.994,1400,2012
3,2012-09-24 00:00:00,2.0658,2.0658,2.0209,2.0658,1144,2012
4,2012-09-25 00:00:00,2.0658,2.0658,2.0658,2.0658,2029,2012
5,2012-09-26 00:00:00,2.0658,2.0658,2.0479,2.0479,635,2012
6,2012-09-27 00:00:00,2.0658,2.0658,2.0568,2.0568,412,2012
7,2012-09-28 00:00:00,2.0658,2.0658,2.0479,2.0479,156,2012
8,2012-10-01 00:00:00,2.0568,2.0568,2.0209,2.0209,1364,2012
9,2012-10-02 00:00:00,2.0568,2.0658,2.003,2.003,833,2012
10,2012-10-03 00:00:00,2.0479,2.0479,1.9759,1.994,2880,2012
11,2012-10-04 00:00:00,2.0209,2.0209,1.9401,1.9401,434,2012
12,2012-10-05 00:00:00,2.0209,2.0209,2.0209,2.0209,178,2012
13,2012-10-08 00:00:00,2.0299,2.0299,2.0299,2.0299,114,2012
14,2012-10-09 00:00:00,2.0479,2.0479,1.9491,2.0299,1128,2012
15,2012-10-10 00:00:00,2.0209,2.0209,2.0209,2.0209,112,2012
16,2012-10-11 00:00:00,1.9759,1.9759,1.9759,1.9759,22,2012
17,2012-10-12 00:00:00,1.9759,1.9759,1.9759,1.9759,34,2012
18,2012-10-15 00:00:00,1.9759,1.9759,1.9759,1.9759,457,2012
19,2012-10-16 00:00:00,1.9759,2.0299,1.9759,2.0299,602,2012
20,2012-10-17 00:00:00,2.0299,2.0299,2.0299,2.0299,45,2012
21,2012-10-18 00:00:00,1.9401,1.9401,1.9401,1.9401,675,2012
22,2012-10-19 00:00:00,1.9759,1.9759,1.9759,1.9759,445,2012
23,2012-10-22 00:00:00,1.9311,1.9311,1.9131,1.9131,724,2012
24,2012-10-23 00:00:00,1.9131,1.9131,1.9131,1.9131,223,2012
25,2012-10-24 00:00:00,1.9131,1.9131,1.9131,1.9131,47,2012
26,2012-10-26 00:00:00,1.994,1.994,1.994,1.994,27,2012
27,2012-10-29 00:00:00,1.994,1.994,1.994,1.994,11,2012
28,2012-10-30 00:00:00,1.9131,1.9131,1.9131,1.9131,668,2012
29,2012-10-31 00:00:00,1.9759,1.9759,1.9759,1.9759,223,2012
30,2012-11-05 00:00:00,1.9131,1.9131,1.9131,1.9131,223,2012
31,2012-11-06 00:00:00,1.9491,1.9759,1.9491,1.9759,841,2012
32,2012-11-07 00:00:00,1.9759,1.9759,1.9759,1.9759,22,2012
33,2012-11-08 00:00:00,1.9759,1.9759,1.9759,1.9759,112,2012
34,2012-11-09 00:00:00,1.9759,1.9759,1.9759,1.9759,45,2012
35,2012-11-12 00:00:00,1.994,1.994,1.9759,1.9759,61,2012
36,2012-11-13 00:00:00,1.994,1.994,1.994,1.994,22,2012
37,2012-11-14 00:00:00,1.994,1.994,1.994,1.994,22,2012
38,2012-11-15 00:00:00,1.994,1.994,1.994,1.994,11,2012
39,2012-11-16 00:00:00,1.994,2.0479,1.994,2.0479,1516,2012
40,2012-11-19 00:00:00,1.9221,1.9759,1.9221,1.9759,679,2012
41,2012-11-20 00:00:00,1.9759,1.9759,1.9759,1.9759,56,2012
42,2012-11-21 00:00:00,1.9042,1.994,1.9042,1.994,613,2012
43,2012-11-22 00:00:00,1.9311,1.9311,1.9311,1.9311,112,2012
44,2012-11-23 00:00:00,1.994,1.994,1.994,1.994,212,2012
45,2012-11-26 00:00:00,1.9759,1.9759,1.9759,1.9759,45,2012
46,2012-11-27 00:00:00,1.9759,1.9759,1.9759,1.9759,61,2012
47,2012-11-28 00:00:00,1.9759,1.9759,1.9759,1.9759,22,2012
48,2012-11-29 00:00:00,1.9759,1.9759,1.9759,1.9759,22,2012
49,2012-11-30 00:00:00,1.9759,1.9759,1.9759,1.9759,223,2012
50,2012-12-03 00:00:00,1.9759,1.9759,1.9759,1.9759,11,2012
51,2012-12-04 00:00:00,1.9759,1.9759,1.9759,1.9759,11,2012
52,2012-12-05 00:00:00,1.9759,1.9759,1.9759,1.9759,356,2012
53,2012-12-06 00:00:00,1.9759,1.9759,1.9759,1.9759,22,2012
54,2012-12-07 00:00:00,1.9759,1.9759,1.9759,1.9759,11,2012
55,2012-12-10 00:00:00,1.9759,1.9759,1.9759,1.9759,11,2012
56,2012-12-11 00:00:00,1.9759,1.9759,1.9759,1.9759,13,2012
57,2012-12-12 00:00:00,1.9759,1.9759,1.9759,1.9759,12,2012
58,2012-12-13 00:00:00,1.9311,1.9759,1.9311,1.9759,234,2012
59,2012-12-14 00:00:00,1.9759,1.9759,1.9759,1.9759,11,2012
60,2012-12-17 00:00:00,1.9759,1.9759,1.9759,1.9759,11,2012
61,2012-12-18 00:00:00,1.9759,1.9759,1.9759,1.9759,17,2012
62,2012-12-19 00:00:00,1.9759,1.9759,1.9759,1.9759,11,2012
63,2012-12-20 00:00:00,1.9759,1.9759,1.9759,1.9759,17,2012
64,2012-12-21 00:00:00,1.9759,1.9759,1.9759,1.9759,144,2012
65,2012-12-27 00:00:00,1.9759,1.9759,1.9759,1.9759,11,2012
66,2012-12-28 00:00:00,1.9311,1.9759,1.9311,1.9759,1058,2012
67,2013-01-02 00:00:00,1.994,1.994,1.994,1.994,112,2013
68,2013-01-04 00:00:00,1.994,2.0209,1.994,2.0209,322,2013
69,2013-01-07 00:00:00,2.0209,2.0209,2.0209,2.0209,112,2013
70,2013-01-08 00:00:00,1.9401,1.9401,1.9401,1.9401,56,2013
71,2013-01-09 00:00:00,2.0209,2.0209,1.9759,1.9759,134,2013
72,2013-01-10 00:00:00,2.0209,2.3353,2.0209,2.2814,2506,2013
73,2013-01-11 00:00:00,2.2724,2.2904,2.2005,2.2185,1141,2013
74,2013-01-14 00:00:00,2.2455,2.3264,2.2455,2.2455,2799,2013
75,2013-01-15 00:00:00,2.2005,2.6047,2.2005,2.6047,5529,2013
76,2013-01-16 00:00:00,2.6047,2.6047,2.4341,2.4341,5303,2013
77,2013-01-17 00:00:00,2.452,2.4701,2.452,2.452,153,2013
78,2013-01-18 00:00:00,2.452,2.452,2.3442,2.3442,551,2013
79,2013-01-21 00:00:00,2.4251,2.4251,2.3442,2.3442,89,2013
80,2013-01-22 00:00:00,2.4251,2.4251,2.2904,2.2904,3115,2013
81,2013-01-23 00:00:00,2.3264,2.3264,2.3264,2.3264,11,2013
82,2013-01-24 00:00:00,2.3264,2.3264,2.2544,2.3083,1110,2013
83,2013-01-25 00:00:00,2.3083,2.3083,2.2005,2.2005,3118,2013
84,2013-01-28 00:00:00,2.2275,2.2275,2.1556,2.1556,445,2013
85,2013-01-29 00:00:00,2.1556,2.1556,2.1556,2.1556,223,2013
86,2013-01-30 00:00:00,2.1556,2.2005,2.1556,2.2005,301,2013
87,2013-01-31 00:00:00,2.1916,2.1916,2.1916,2.1916,183,2013
88,2013-02-01 00:00:00,2.1916,2.2005,2.1916,2.2005,1553,2013
89,2013-02-04 00:00:00,2.1916,2.1916,2.1916,2.1916,110,2013
90,2013-02-05 00:00:00,2.1916,2.1916,2.1916,2.1916,162,2013
91,2013-02-06 00:00:00,2.1916,2.1916,2.1827,2.1827,82,2013
92,2013-02-07 00:00:00,2.1827,2.1827,2.1827,2.1827,87,2013
93,2013-02-08 00:00:00,2.1827,2.1827,2.1827,2.1827,78,2013
94,2013-02-11 00:00:00,2.1827,2.1827,2.1827,2.1827,78,2013
95,2013-02-12 00:00:00,2.1827,2.1827,2.1827,2.1827,51,2013
96,2013-02-13 00:00:00,2.1736,2.1827,2.1736,2.1827,439,2013
97,2013-02-14 00:00:00,2.1287,2.1736,2.1287,2.1736,50,2013
98,2013-02-15 00:00:00,2.1736,2.1736,2.1377,2.1467,1810,2013
99,2013-02-18 00:00:00,2.1736,2.1736,2.1736,2.1736,22,2013
100,2013-02-19 00:00:00,2.1736,2.1736,2.1736,2.1736,751,2013
101,2013-02-20 00:00:00,2.1736,2.1827,2.1736,2.1827,122,2013
102,2013-02-21 00:00:00,2.1827,2.1827,2.1827,2.1827,56,2013
103,2013-02-22 00:00:00,2.1736,2.1736,2.1736,2.1736,34,2013
104,2013-02-25 00:00:00,2.1736,2.1736,2.1736,2.1736,67,2013
105,2013-02-26 00:00:00,2.1736,2.1827,2.1018,2.1556,3907,2013
106,2013-02-27 00:00:00,2.0748,2.1736,2.0299,2.1556,4611,2013
107,2013-02-28 00:00:00,2.1467,2.1827,1.9669999999999999,2.1827,5781,2013
108,2013-03-01 00:00:00,2.1556,2.2275,2.1556,2.2275,2914,2013
109,2013-03-04 00:00:00,2.1736,2.2904,2.1736,2.2904,612,2013
110,2013-03-05 00:00:00,2.2904,2.2904,2.2275,2.2814,1235,2013
111,2013-03-06 00:00:00,2.2814,2.2814,2.2814,2.2814,22,2013
112,2013-03-07 00:00:00,2.2814,2.2814,2.2724,2.2724,122,2013
113,2013-03-08 00:00:00,2.2814,2.2814,2.2814,2.2814,22,2013
114,2013-03-11 00:00:00,2.2814,2.2814,2.2724,2.2814,190,2013
115,2013-03-12 00:00:00,2.2814,2.2814,2.2724,2.2814,214,2013
116,2013-03-13 00:00:00,2.2724,2.2904,2.2724,2.2904,144,2013
117,2013-03-14 00:00:00,2.2814,2.2814,2.2544,2.2544,120,2013
118,2013-03-15 00:00:00,2.2904,2.2904,2.2904,2.2904,156,2013
119,2013-03-18 00:00:00,2.2904,2.2904,2.2365,2.2904,378,2013
120,2013-03-19 00:00:00,2.2904,2.2904,2.2904,2.2904,51,2013
121,2013-03-20 00:00:00,2.2365,2.2814,2.2275,2.2455,1650,2013
122,2013-03-21 00:00:00,2.2455,2.2455,2.2455,2.2455,56,2013
123,2013-03-22 00:00:00,2.1556,2.1556,2.1467,2.1467,2061,2013
124,2013-03-25 00:00:00,2.0658,2.1467,2.003,2.0479,1959,2013
125,2013-03-26 00:00:00,2.0479,2.0479,2.0479,2.0479,11,2013
126,2013-03-28 00:00:00,2.0568,2.0568,2.0568,2.0568,74,2013
127,2013-04-02 00:00:00,2.0568,2.0568,2.0568,2.0568,51,2013
128,2013-04-03 00:00:00,2.0568,2.0568,2.0568,2.0568,61,2013
129,2013-04-04 00:00:00,2.0568,2.0568,2.0568,2.0568,27,2013
130,2013-04-05 00:00:00,2.0568,2.0568,2.0568,2.0568,34,2013
131,2013-04-08 00:00:00,2.0568,2.0568,2.0568,2.0568,27,2013
132,2013-04-09 00:00:00,2.0568,2.0568,2.0568,2.0568,45,2013
133,2013-04-10 00:00:00,2.0568,2.0568,2.0568,2.0568,34,2013
134,2013-04-11 00:00:00,2.0568,2.0568,2.0568,2.0568,27,2013
135,2013-04-12 00:00:00,2.0568,2.0568,2.0568,2.0568,27,2013
136,2013-04-15 00:00:00,2.0568,2.0568,2.0568,2.0568,30,2013
137,2013-04-17 00:00:00,2.0568,2.0568,2.0568,2.0568,39,2013
138,2013-04-18 00:00:00,2.0658,2.0658,2.0658,2.0658,22,2013
139,2013-04-19 00:00:00,2.0568,2.0568,2.0568,2.0568,27,2013
140,2013-04-22 00:00:00,2.0568,2.0568,2.0568,2.0568,27,2013
141,2013-04-23 00:00:00,2.0568,2.0568,2.0568,2.0568,27,2013
142,2013-04-24 00:00:00,2.0568,2.0568,2.0568,2.0568,27,2013
143,2013-04-25 00:00:00,2.0658,2.0658,2.0568,2.0568,34,2013
144,2013-04-26 00:00:00,2.0568,2.0568,2.0568,2.0568,34,2013
145,2013-04-29 00:00:00,2.0568,2.0568,2.0568,2.0568,27,2013
146,2013-04-30 00:00:00,2.0568,2.0748,2.0568,2.0748,758,2013
147,2013-05-02 00:00:00,2.0928,2.1287,2.0928,2.1287,857,2013
148,2013-05-06 00:00:00,2.1287,2.1287,1.985,2.1018,2770,2013
149,2013-05-07 00:00:00,2.1018,2.1018,1.9221,1.9669999999999999,1876,2013
150,2013-05-08 00:00:00,1.9759,1.9759,1.9759,1.9759,1659,2013
151,2013-05-09 00:00:00,1.9759,2.003,1.9759,1.994,835,2013
152,2013-05-10 00:00:00,1.994,1.994,1.994,1.994,27,2013
153,2013-05-13 00:00:00,2.003,2.003,2.003,2.003,25,2013
154,2013-05-14 00:00:00,2.003,2.003,1.9042,2.003,2978,2013
155,2013-05-15 00:00:00,2.003,2.0119,2.003,2.0119,106,2013
156,2013-05-16 00:00:00,2.0119,2.0119,1.9401,1.9580000000000002,807,2013
157,2013-05-17 00:00:00,1.9580000000000002,1.9759,1.9580000000000002,1.9759,212,2013
158,2013-05-21 00:00:00,1.9669999999999999,1.9669999999999999,1.9669999999999999,1.9669999999999999,22,2013
159,2013-05-22 00:00:00,1.9669999999999999,1.9669999999999999,1.7964,1.9311,5683,2013
160,2013-05-23 00:00:00,1.9580000000000002,1.994,1.9580000000000002,1.994,312,2013
161,2013-05-24 00:00:00,1.994,2.2455,1.994,2.2455,19469,2013
162,2013-05-27 00:00:00,2.2455,2.2455,2.2365,2.2455,1136,2013
163,2013-05-28 00:00:00,2.2455,2.2455,2.2455,2.2455,45,2013
164,2013-05-29 00:00:00,2.2365,2.2365,2.0209,2.1556,1066,2013
165,2013-05-31 00:00:00,2.1107,2.1556,2.1107,2.1556,725,2013
166,2013-06-03 00:00:00,1.985,2.1556,1.9759,2.0838,4308,2013
167,2013-06-04 00:00:00,2.0838,2.1018,2.0209,2.1018,1492,2013
168,2013-06-05 00:00:00,1.9759,1.9759,1.9669999999999999,1.9759,1280,2013
169,2013-06-06 00:00:00,2.0209,2.0209,2.0209,2.0209,112,2013
170,2013-06-07 00:00:00,1.9759,1.9759,1.9759,1.9759,66,2013
171,2013-06-10 00:00:00,1.9759,1.9759,1.9580000000000002,1.9580000000000002,22,2013
