,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-11-21 00:00:00,9.28,11.13,8.3,11.13,6748,2011
1,2011-11-22 00:00:00,16.04,16.04,16.04,16.04,871,2011
2,2011-11-23 00:00:00,17.88,17.88,11.45,11.45,4690,2011
3,2011-11-24 00:00:00,10.9,10.9,8.72,8.72,5428,2011
4,2011-11-25 00:00:00,7.01,8.41,6.0,8.41,4700,2011
5,2011-11-28 00:00:00,8.2,10.0,7.0,8.01,4779,2011
6,2011-11-29 00:00:00,8.01,9.0,7.5,7.5,1674,2011
7,2011-11-30 00:00:00,6.71,7.1,6.4,6.9,278,2011
8,2011-12-01 00:00:00,7.0,8.5,7.0,8.0,1804,2011
9,2011-12-02 00:00:00,8.1,11.52,7.0,11.5,6641,2011
10,2011-12-05 00:00:00,11.5,16.56,11.3,13.0,2611,2011
11,2011-12-06 00:00:00,13.0,13.66,11.01,12.39,756,2011
12,2011-12-07 00:00:00,12.37,12.37,10.0,10.0,557,2011
13,2011-12-08 00:00:00,10.0,10.9,8.0,8.0,739,2011
14,2011-12-09 00:00:00,7.8,7.8,6.5,6.5,624,2011
15,2011-12-12 00:00:00,6.5,7.0,6.1,7.0,816,2011
16,2011-12-13 00:00:00,7.05,7.05,7.05,7.05,10,2011
17,2011-12-14 00:00:00,6.7,8.0,6.5,8.0,785,2011
18,2011-12-15 00:00:00,7.79,7.79,6.7,6.7,32,2011
19,2011-12-16 00:00:00,6.4,7.0,6.4,7.0,67,2011
20,2011-12-19 00:00:00,6.4,8.12,6.3,7.95,1192,2011
21,2011-12-20 00:00:00,7.88,7.88,7.0,7.0,98,2011
22,2011-12-21 00:00:00,7.2,7.2,7.0,7.0,20,2011
23,2011-12-22 00:00:00,6.95,6.95,6.95,6.95,5,2011
24,2011-12-23 00:00:00,6.8,6.8,6.6,6.6,250,2011
25,2011-12-27 00:00:00,5.36,5.36,4.29,4.29,2071,2011
26,2011-12-28 00:00:00,4.51,4.51,4.51,4.51,5,2011
27,2011-12-29 00:00:00,4.51,5.38,4.49,5.38,1320,2011
28,2012-01-02 00:00:00,5.3,5.3,5.3,5.3,5,2012
29,2012-01-03 00:00:00,5.3,5.3,5.3,5.3,105,2012
30,2012-01-04 00:00:00,5.25,5.25,5.25,5.25,94,2012
31,2012-01-05 00:00:00,5.25,5.25,4.5,4.5,1831,2012
32,2012-01-09 00:00:00,4.5,4.5,4.19,4.19,336,2012
33,2012-01-10 00:00:00,4.12,4.2,4.12,4.2,99,2012
34,2012-01-11 00:00:00,4.2,4.2,4.0,4.0,136,2012
35,2012-01-12 00:00:00,4.0,4.0,4.0,4.0,64,2012
36,2012-01-13 00:00:00,4.0,4.0,4.0,4.0,487,2012
37,2012-01-16 00:00:00,4.0,4.0,4.0,4.0,5,2012
38,2012-01-17 00:00:00,4.0,4.0,4.0,4.0,4,2012
39,2012-01-18 00:00:00,4.0,4.0,4.0,4.0,265,2012
40,2012-01-19 00:00:00,4.0,4.0,4.0,4.0,10,2012
41,2012-01-20 00:00:00,4.0,4.0,4.0,4.0,10,2012
42,2012-01-23 00:00:00,4.0,4.0,4.0,4.0,10,2012
43,2012-01-24 00:00:00,4.0,4.0,3.75,3.75,195,2012
44,2012-01-25 00:00:00,3.75,3.75,3.75,3.75,115,2012
45,2012-01-26 00:00:00,3.75,3.75,3.7,3.7,236,2012
46,2012-01-27 00:00:00,4.0,4.0,4.0,4.0,5,2012
47,2012-01-30 00:00:00,4.0,4.0,4.0,4.0,10,2012
48,2012-01-31 00:00:00,3.9,3.9,3.9,3.9,10,2012
49,2012-02-01 00:00:00,3.9,3.9,3.9,3.9,438,2012
50,2012-02-02 00:00:00,3.9,3.9,3.9,3.9,10,2012
51,2012-02-03 00:00:00,3.95,3.99,3.6,3.6,2249,2012
52,2012-02-06 00:00:00,3.7,3.99,3.7,3.75,1750,2012
53,2012-02-07 00:00:00,3.7,4.5,3.7,4.5,13397,2012
54,2012-02-08 00:00:00,5.25,5.38,4.25,5.3,7611,2012
55,2012-02-09 00:00:00,5.28,5.28,5.28,5.28,5,2012
56,2012-02-10 00:00:00,5.28,5.37,5.11,5.11,604,2012
57,2012-02-13 00:00:00,5.11,5.11,5.11,5.11,2,2012
58,2012-02-14 00:00:00,5.11,5.11,5.11,5.11,5,2012
59,2012-02-15 00:00:00,5.11,5.11,4.91,4.91,158,2012
60,2012-02-16 00:00:00,5.11,5.11,5.11,5.11,2,2012
61,2012-02-17 00:00:00,5.11,5.11,5.11,5.11,10,2012
62,2012-02-20 00:00:00,5.11,5.11,5.11,5.11,2,2012
63,2012-02-21 00:00:00,5.15,5.2,5.0,5.0,513,2012
64,2012-02-22 00:00:00,4.7,4.7,4.7,4.7,1,2012
65,2012-02-23 00:00:00,5.0,5.0,5.0,5.0,40,2012
