,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2015-04-01 00:00:00,7.2288,7.8583,6.4912,6.5601,14290,2015
1,2015-04-02 00:00:00,7.1797,8.4976,7.1797,7.8485,14662,2015
2,2015-04-07 00:00:00,8.8516,8.8516,7.9566,8.0353,2223,2015
3,2015-04-08 00:00:00,8.2615,8.2615,8.232000000000001,8.2615,2265,2015
4,2015-04-09 00:00:00,8.0648,8.0648,8.0648,8.0648,386,2015
5,2015-04-10 00:00:00,7.877999999999999,7.877999999999999,7.8681,7.8681,550,2015
6,2015-04-13 00:00:00,7.8681,7.8681,7.8386,7.8386,507,2015
7,2015-04-14 00:00:00,7.5239,7.5239,7.5239,7.5239,336,2015
8,2015-04-15 00:00:00,7.1993,7.5731,7.1993,7.5731,600,2015
9,2015-04-16 00:00:00,7.8485,7.8485,7.8485,7.8485,10,2015
10,2015-04-17 00:00:00,7.7698,7.7698,7.7108,7.7108,351,2015
11,2015-04-20 00:00:00,7.4059,7.8583,7.4059,7.8583,2564,2015
12,2015-04-22 00:00:00,7.6714,7.6714,7.6714,7.6714,2095,2015
13,2015-04-23 00:00:00,7.6714,7.6714,7.6714,7.6714,305,2015
14,2015-04-24 00:00:00,7.7206,7.7206,7.7206,7.7206,93,2015
15,2015-04-27 00:00:00,7.7993,7.7993,7.7993,7.7993,325,2015
16,2015-04-28 00:00:00,7.7698,7.7698,7.7698,7.7698,325,2015
17,2015-04-29 00:00:00,7.3862,7.3862,7.3764,7.3764,4697,2015
18,2015-05-05 00:00:00,7.7599,7.7599,7.7599,7.7599,109,2015
19,2015-05-07 00:00:00,7.7206,7.7206,7.3764,7.3764,1252,2015
20,2015-05-08 00:00:00,7.3764,7.3764,7.3764,7.3764,6258,2015
21,2015-05-11 00:00:00,7.819,7.819,7.819,7.819,714,2015
22,2015-05-14 00:00:00,7.6911,8.2615,7.6911,8.2615,5314,2015
23,2015-05-15 00:00:00,8.5566,8.8221,8.5468,8.8221,659,2015
24,2015-05-18 00:00:00,8.8516,8.8516,8.0452,8.6254,722,2015
25,2015-05-19 00:00:00,8.6254,8.6254,8.2615,8.2615,508,2015
26,2015-05-21 00:00:00,8.2615,8.2615,8.2615,8.2615,813,2015
27,2015-05-22 00:00:00,8.2615,8.2615,8.2615,8.2615,529,2015
28,2015-05-25 00:00:00,8.3599,8.3599,8.3599,8.3599,51,2015
29,2015-05-26 00:00:00,8.3599,8.3599,8.1632,8.1632,356,2015
30,2015-05-27 00:00:00,8.2615,8.2615,8.2615,8.2615,153,2015
31,2015-06-01 00:00:00,8.3501,8.3501,8.3501,8.3501,24,2015
32,2015-06-03 00:00:00,8.1927,8.1927,8.1632,8.1632,1652,2015
33,2015-06-05 00:00:00,7.877999999999999,7.877999999999999,7.877999999999999,7.877999999999999,75,2015
34,2015-06-08 00:00:00,8.1927,8.1927,8.1927,8.1927,20,2015
35,2015-06-10 00:00:00,8.1632,8.1632,8.1632,8.1632,305,2015
36,2015-06-11 00:00:00,8.2615,8.4484,8.2615,8.4484,182,2015
37,2015-06-12 00:00:00,8.4582,8.4582,8.4582,8.4582,59,2015
38,2015-06-15 00:00:00,8.1632,8.3992,8.1632,8.3992,336,2015
39,2015-06-16 00:00:00,8.1632,8.1632,8.1632,8.1632,336,2015
40,2015-06-17 00:00:00,7.8976,7.8976,7.8976,7.8976,763,2015
41,2015-06-18 00:00:00,7.9075,7.9075,7.9075,7.9075,203,2015
42,2015-06-22 00:00:00,7.9075,7.9075,7.9075,7.9075,315,2015
43,2015-06-24 00:00:00,7.9173,7.9173,7.8878,7.9075,1237,2015
44,2015-06-25 00:00:00,7.7796,8.173,7.7796,7.8681,671,2015
45,2015-06-29 00:00:00,7.819,7.819,7.7796,7.7895,2354,2015
46,2015-07-09 00:00:00,7.7403,7.7403,7.7403,7.7403,325,2015
47,2015-07-14 00:00:00,7.7501,7.877999999999999,7.7403,7.8681,6365,2015
48,2015-07-16 00:00:00,7.6223,7.6223,7.6223,7.6223,81,2015
49,2015-07-20 00:00:00,7.7599,7.7599,7.7599,7.7599,203,2015
50,2015-07-22 00:00:00,7.7599,7.7599,7.7206,7.7206,442,2015
51,2015-07-23 00:00:00,7.8681,7.8681,7.8681,7.8681,1017,2015
52,2015-07-24 00:00:00,7.7206,7.8681,7.7206,7.8681,813,2015
53,2015-07-27 00:00:00,7.877999999999999,7.877999999999999,7.877999999999999,7.877999999999999,183,2015
54,2015-07-28 00:00:00,7.877999999999999,7.877999999999999,7.877999999999999,7.877999999999999,2237,2015
55,2015-07-30 00:00:00,7.9173,7.9665,7.9173,7.9665,1266,2015
56,2015-07-31 00:00:00,8.0648,8.0648,8.0648,8.0648,508,2015
57,2015-08-03 00:00:00,8.1632,8.4287,8.1632,8.4287,3849,2015
58,2015-08-04 00:00:00,8.4582,8.4582,8.4582,8.4582,873,2015
59,2015-08-05 00:00:00,8.8418,8.8418,8.8418,8.8418,51,2015
60,2015-08-07 00:00:00,8.8418,9.1467,8.8418,9.1467,2706,2015
61,2015-08-10 00:00:00,9.3336,9.629,9.3336,9.629,61,2015
