,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2017-07-12 00:00:00,2.4879,3.6558,2.4879,3.5609,492441,2017
1,2017-07-13 00:00:00,3.6843,5.2986,3.6653,5.2986,1166211,2017
2,2017-07-14 00:00:00,5.9822,6.5520000000000005,4.387,5.0707,777715,2017
3,2017-07-17 00:00:00,5.1276,5.308,4.5674,4.8428,281019,2017
4,2017-07-18 00:00:00,4.7953,5.0232,4.5674,4.6054,109130,2017
5,2017-07-19 00:00:00,4.6054,4.7288,3.6843,3.8267,270708,2017
6,2017-07-20 00:00:00,3.9027,4.5104,3.4184,4.5009,156434,2017
7,2017-07-21 00:00:00,4.7573,4.9852,4.5104,4.6054,171733,2017
8,2017-07-24 00:00:00,4.4914,4.6529,4.1781,4.2445,48579,2017
9,2017-07-25 00:00:00,4.2255,4.5579,3.9597,4.273,73555,2017
10,2017-07-26 00:00:00,4.273,4.273,3.9977,4.0071,17599,2017
11,2017-07-27 00:00:00,4.0071,4.0166,3.6843,3.7033,62524,2017
12,2017-07-28 00:00:00,3.6178,3.7888,3.5134,3.6558,44378,2017
13,2017-07-31 00:00:00,3.7603,4.5104,3.6368,4.1306,136065,2017
14,2017-08-01 00:00:00,4.5009,4.5009,4.0641,4.1876,47438,2017
15,2017-08-02 00:00:00,4.2635,4.2635,3.8552,3.9407,39911,2017
16,2017-08-03 00:00:00,4.0356,4.425,3.8932,4.1781,37663,2017
17,2017-08-04 00:00:00,4.3395,4.5199,4.0831,4.1971,72075,2017
18,2017-08-07 00:00:00,4.273,4.2825,4.0166,4.1591,14060,2017
19,2017-08-08 00:00:00,4.1591,4.235,3.9882,4.1781,28498,2017
20,2017-08-09 00:00:00,4.1686,4.1686,3.9882,4.1306,7648,2017
21,2017-08-10 00:00:00,4.1306,4.1306,4.0166,4.1116,5121,2017
22,2017-08-11 00:00:00,4.1021,4.3205,4.0831,4.2635,35131,2017
23,2017-08-14 00:00:00,4.3395,4.3395,3.9882,4.0166,31759,2017
24,2017-08-16 00:00:00,3.9407,4.1021,3.8932,3.9122,11795,2017
25,2017-08-17 00:00:00,3.8932,4.1211,3.7128,3.9882,26448,2017
26,2017-08-18 00:00:00,4.0166,4.0166,3.8647,3.9692,3756,2017
27,2017-08-21 00:00:00,3.9217,4.0071,3.8172,3.9882,9983,2017
28,2017-08-22 00:00:00,3.8742,3.9407,3.7888,3.8647,13959,2017
29,2017-08-23 00:00:00,3.8457,3.9502,3.7982,3.8172,20505,2017
30,2017-08-24 00:00:00,3.9027,3.9027,3.7982,3.8552,5433,2017
31,2017-08-25 00:00:00,3.8552,3.8932,3.8552,3.8932,3503,2017
32,2017-08-28 00:00:00,3.8077,3.8932,3.7603,3.8932,8702,2017
33,2017-08-29 00:00:00,3.8932,3.9122,3.8172,3.8647,4466,2017
34,2017-08-30 00:00:00,3.8172,3.9217,3.7223,3.7603,3574,2017
35,2017-08-31 00:00:00,3.7603,3.8932,3.7508,3.7603,19372,2017
36,2017-09-01 00:00:00,3.8837,3.9027,3.7698,3.8362,4010,2017
37,2017-09-04 00:00:00,3.8172,4.4155,3.8077,4.368,68316,2017
38,2017-09-05 00:00:00,4.406000000000001,4.4155,4.0926,4.3965,23377,2017
39,2017-09-06 00:00:00,4.2825,4.406000000000001,3.8552,3.9787,41377,2017
40,2017-09-07 00:00:00,3.9787,4.2255,3.9787,3.9977,11620,2017
41,2017-09-08 00:00:00,4.0831,4.1971,3.9122,4.0736,9002,2017
42,2017-09-11 00:00:00,4.1781,4.4155,4.0831,4.368,24330,2017
43,2017-09-12 00:00:00,4.4155,4.4345,4.1781,4.1876,16705,2017
44,2017-09-13 00:00:00,4.1971,4.3965,4.1306,4.3585,4547,2017
45,2017-09-14 00:00:00,4.273,4.4914,4.273,4.4914,48875,2017
46,2017-09-15 00:00:00,4.5009,4.5484,4.273,4.5484,32198,2017
47,2017-09-18 00:00:00,4.5674,4.8428,4.5674,4.7763,110445,2017
48,2017-09-19 00:00:00,4.8428,5.5075,4.6813,5.3175,53052,2017
49,2017-09-20 00:00:00,5.3745,5.7354,5.1751,5.6974,141217,2017
50,2017-09-21 00:00:00,5.7543,8.2802,5.6974,7.8434,324427,2017
51,2017-09-22 00:00:00,7.492000000000001,7.6914,6.1247,6.9318,284412,2017
52,2017-09-25 00:00:00,6.9318,8.1662,6.5615,7.8719,205929,2017
53,2017-09-26 00:00:00,8.0048,8.3277,7.3116,7.4066,80866,2017
54,2017-09-27 00:00:00,7.5965,7.9668,7.4066,7.5015,74310,2017
55,2017-09-28 00:00:00,7.3211,7.9004,7.3116,7.6914,49149,2017
56,2017-09-29 00:00:00,7.5965,7.8814,7.3116,7.7579,25292,2017
