,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-06-27 00:00:00,26.0,26.0,21.99,22.0,51964,2011
1,2011-06-28 00:00:00,22.0,22.0,19.5,21.7,7713,2011
2,2011-06-29 00:00:00,21.1,23.15,19.75,23.01,15834,2011
3,2011-06-30 00:00:00,23.01,23.34,22.0,23.0,10864,2011
4,2011-07-01 00:00:00,23.28,23.29,21.8,22.99,1193,2011
5,2011-07-04 00:00:00,23.0,23.0,21.5,22.0,2701,2011
6,2011-07-05 00:00:00,21.81,22.1,20.5,20.52,2931,2011
7,2011-07-06 00:00:00,21.78,21.78,20.52,21.6,973,2011
8,2011-07-07 00:00:00,20.0,21.8,20.0,21.8,2269,2011
9,2011-07-08 00:00:00,21.48,21.8,20.2,21.0,14221,2011
10,2011-07-11 00:00:00,20.1,21.29,20.1,20.3,1253,2011
11,2011-07-12 00:00:00,21.0,21.0,19.3,20.0,4693,2011
12,2011-07-13 00:00:00,20.2,20.95,19.25,20.0,2078,2011
13,2011-07-14 00:00:00,20.0,20.69,20.0,20.38,1379,2011
14,2011-07-15 00:00:00,20.7,20.7,20.0,20.41,735,2011
15,2011-07-18 00:00:00,20.49,20.49,18.0,20.0,1240,2011
16,2011-07-19 00:00:00,21.3,21.3,18.5,20.0,611,2011
17,2011-07-20 00:00:00,20.0,20.0,19.0,19.0,108,2011
18,2011-07-21 00:00:00,19.99,19.99,18.81,19.4,1014,2011
19,2011-07-22 00:00:00,19.89,21.4,19.7,20.8,5529,2011
20,2011-07-25 00:00:00,21.2,21.8,21.0,21.7,3376,2011
21,2011-07-26 00:00:00,21.0,21.7,21.0,21.0,722,2011
22,2011-07-27 00:00:00,20.01,21.6,19.5,19.6,1541,2011
23,2011-07-28 00:00:00,20.5,21.7,19.01,21.69,2739,2011
24,2011-07-29 00:00:00,21.0,21.69,20.02,21.69,1970,2011
25,2011-08-01 00:00:00,21.69,22.5,21.69,22.49,652,2011
26,2011-08-02 00:00:00,22.5,23.2,21.7,21.7,5152,2011
27,2011-08-03 00:00:00,21.0,22.0,19.7,20.99,1961,2011
28,2011-08-04 00:00:00,22.0,22.0,19.0,21.95,2891,2011
29,2011-08-05 00:00:00,20.5,22.5,19.5,22.0,5652,2011
