,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-01-27 00:00:00,135.0,162.0,135.0,162.0,4674,2011
1,2011-01-28 00:00:00,175.0,206.0,175.0,193.0,5420,2011
2,2011-01-31 00:00:00,190.0,196.0,160.0,166.0,3181,2011
3,2011-02-01 00:00:00,161.0,165.0,135.0,160.0,728,2011
4,2011-02-02 00:00:00,160.0,162.0,148.0,155.0,299,2011
5,2011-02-03 00:00:00,150.0,160.0,135.0,145.0,1743,2011
6,2011-02-04 00:00:00,147.0,150.0,118.0,127.0,4807,2011
7,2011-02-07 00:00:00,132.0,149.0,127.0,139.0,5046,2011
8,2011-02-08 00:00:00,150.0,150.0,130.0,140.0,2037,2011
9,2011-02-09 00:00:00,137.0,138.0,112.0,135.0,5206,2011
10,2011-02-10 00:00:00,140.0,140.0,120.0,137.0,262,2011
11,2011-02-11 00:00:00,138.0,138.0,125.0,132.0,1837,2011
12,2011-02-14 00:00:00,135.0,135.0,121.0,123.0,189,2011
13,2011-02-15 00:00:00,125.0,126.0,116.0,123.0,268,2011
14,2011-02-16 00:00:00,120.0,126.0,120.0,122.0,239,2011
15,2011-02-17 00:00:00,124.0,126.0,113.0,122.0,15491,2011
16,2011-02-18 00:00:00,121.0,121.0,115.0,117.0,346,2011
17,2011-02-21 00:00:00,117.0,135.0,111.0,126.0,14517,2011
18,2011-02-22 00:00:00,130.0,132.0,104.0,105.0,66526,2011
19,2011-02-23 00:00:00,105.0,109.0,95.0,102.0,10050,2011
20,2011-02-24 00:00:00,102.0,103.0,93.0,99.0,2709,2011
21,2011-02-25 00:00:00,97.0,97.0,93.0,97.0,1196,2011
22,2011-02-28 00:00:00,99.0,99.0,93.0,93.0,1555,2011
23,2011-03-01 00:00:00,91.0,95.0,87.0,93.0,523,2011
24,2011-03-02 00:00:00,93.0,93.0,86.0,90.0,919,2011
25,2011-03-03 00:00:00,89.0,89.0,80.0,83.0,1458,2011
26,2011-03-04 00:00:00,84.0,96.0,84.0,84.0,13564,2011
27,2011-03-07 00:00:00,86.0,87.0,83.0,85.0,2346,2011
28,2011-03-08 00:00:00,85.0,85.0,76.0,78.0,3456,2011
29,2011-03-09 00:00:00,75.0,79.0,66.0,70.0,4009,2011
30,2011-03-10 00:00:00,70.0,70.0,59.0,60.0,9546,2011
31,2011-03-11 00:00:00,59.0,61.0,59.0,60.0,3919,2011
32,2011-03-14 00:00:00,60.0,61.0,59.0,59.0,4608,2011
33,2011-03-15 00:00:00,59.0,61.0,59.0,60.0,1880,2011
34,2011-03-16 00:00:00,59.0,61.0,59.0,60.0,1146,2011
35,2011-03-17 00:00:00,60.0,61.0,60.0,60.0,526,2011
36,2011-03-18 00:00:00,60.0,61.0,59.0,61.0,611,2011
37,2011-03-21 00:00:00,61.0,67.0,59.0,60.0,19528,2011
38,2011-03-22 00:00:00,59.0,61.0,59.0,59.0,2795,2011
39,2011-03-23 00:00:00,59.0,63.0,59.0,62.0,14840,2011
40,2011-03-24 00:00:00,62.0,62.0,60.0,60.0,589,2011
41,2011-03-25 00:00:00,59.0,62.0,59.0,60.0,1288,2011
42,2011-03-28 00:00:00,61.0,62.0,60.0,62.0,1362,2011
43,2011-03-29 00:00:00,62.0,65.0,62.0,64.0,6502,2011
44,2011-03-30 00:00:00,64.0,66.0,59.0,60.0,8723,2011
45,2011-03-31 00:00:00,60.0,61.0,59.0,61.0,878,2011
46,2011-04-01 00:00:00,60.0,63.0,59.0,62.0,5008,2011
47,2011-04-04 00:00:00,61.0,62.0,59.0,60.0,6268,2011
48,2011-04-05 00:00:00,60.0,61.0,59.0,61.0,644,2011
49,2011-04-06 00:00:00,61.0,65.0,59.0,64.0,19848,2011
50,2011-04-07 00:00:00,64.0,64.0,60.0,61.0,14236,2011
51,2011-04-08 00:00:00,61.0,73.0,59.0,67.0,50443,2011
52,2011-04-11 00:00:00,67.0,73.0,66.0,70.0,24681,2011
53,2011-04-12 00:00:00,71.0,74.0,70.0,72.0,9734,2011
54,2011-04-13 00:00:00,72.0,72.0,67.0,69.0,3245,2011
55,2011-04-14 00:00:00,68.0,70.0,65.0,68.0,4552,2011
56,2011-04-15 00:00:00,67.0,69.0,63.0,65.0,4338,2011
