,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2007-12-14 00:00:00,5.37,5.8,4.59,5.39,83425,2007
1,2007-12-17 00:00:00,5.88,9.54,5.88,9.54,62766,2007
2,2007-12-18 00:00:00,10.54,11.07,7.91,8.48,27750,2007
3,2007-12-19 00:00:00,8.48,9.15,7.91,9.07,12902,2007
4,2007-12-20 00:00:00,8.96,10.52,8.96,10.01,8072,2007
5,2007-12-21 00:00:00,10.01,14.5,10.01,12.78,35183,2007
6,2007-12-27 00:00:00,11.59,13.8,11.59,13.79,21707,2007
7,2007-12-28 00:00:00,14.23,15.37,12.95,15.36,15661,2007
8,2008-01-02 00:00:00,15.78,15.78,13.7,15.36,8313,2008
9,2008-01-03 00:00:00,14.36,15.76,13.17,13.7,12904,2008
10,2008-01-04 00:00:00,13.18,13.7,11.97,12.37,18026,2008
11,2008-01-07 00:00:00,12.12,12.65,10.8,10.8,18867,2008
12,2008-01-08 00:00:00,11.59,12.01,10.12,11.75,6545,2008
13,2008-01-09 00:00:00,12.12,12.12,10.54,10.54,6368,2008
14,2008-01-10 00:00:00,11.07,11.07,10.01,10.8,5901,2008
15,2008-01-11 00:00:00,11.33,11.59,11.07,11.59,3269,2008
16,2008-01-14 00:00:00,11.59,12.88,11.07,11.42,7317,2008
17,2008-01-15 00:00:00,10.97,11.32,10.96,11.3,817,2008
18,2008-01-16 00:00:00,11.27,11.32,10.54,10.67,922,2008
19,2008-01-17 00:00:00,10.54,11.07,10.54,10.86,4958,2008
20,2008-01-18 00:00:00,10.75,11.28,9.76,11.28,3932,2008
21,2008-01-21 00:00:00,11.07,11.51,10.54,10.8,2698,2008
22,2008-01-22 00:00:00,10.33,10.54,9.99,10.53,5406,2008
23,2008-01-23 00:00:00,10.54,11.06,10.49,11.06,4903,2008
24,2008-01-24 00:00:00,11.06,11.07,10.64,11.07,2799,2008
25,2008-01-25 00:00:00,11.01,11.33,10.01,10.54,1886,2008
26,2008-01-28 00:00:00,11.05,11.51,10.59,11.07,4296,2008
27,2008-01-29 00:00:00,11.43,11.48,10.39,10.39,2220,2008
28,2008-01-30 00:00:00,11.07,11.07,9.33,10.49,5070,2008
29,2008-01-31 00:00:00,10.01,11.07,9.49,11.05,9553,2008
30,2008-02-01 00:00:00,11.09,11.09,10.54,11.01,1531,2008
31,2008-02-04 00:00:00,11.07,11.32,11.07,11.22,8750,2008
32,2008-02-05 00:00:00,10.54,11.22,10.54,10.91,1922,2008
33,2008-02-06 00:00:00,10.8,11.59,10.8,11.07,4641,2008
34,2008-02-07 00:00:00,11.59,12.07,11.07,12.07,1525,2008
35,2008-02-08 00:00:00,10.96,11.43,10.96,11.43,9498,2008
36,2008-02-11 00:00:00,11.38,11.59,11.07,11.57,2531,2008
37,2008-02-12 00:00:00,11.13,11.59,10.8,11.59,5044,2008
38,2008-02-13 00:00:00,11.53,11.53,10.81,11.14,4738,2008
39,2008-02-14 00:00:00,10.8,11.17,10.8,11.17,4131,2008
40,2008-02-15 00:00:00,11.07,11.28,10.89,11.28,1058,2008
41,2008-02-18 00:00:00,11.07,11.07,10.81,10.81,571,2008
42,2008-02-19 00:00:00,11.07,11.07,11.07,11.07,5002,2008
43,2008-02-20 00:00:00,10.81,10.81,10.81,10.81,1413,2008
44,2008-02-21 00:00:00,11.04,11.04,10.54,10.54,1246,2008
45,2008-02-22 00:00:00,10.54,10.72,10.33,10.72,1658,2008
46,2008-02-25 00:00:00,10.72,10.72,10.72,10.72,134,2008
47,2008-02-26 00:00:00,10.8,10.8,10.43,10.43,1102,2008
48,2008-02-27 00:00:00,10.54,10.54,10.49,10.54,612,2008
49,2008-02-28 00:00:00,10.49,10.49,9.96,10.01,6074,2008
50,2008-02-29 00:00:00,9.49,9.51,9.48,9.48,3715,2008
