,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-06-08 00:00:00,5.5109,6.431,4.7841,6.1548,75240,2010
1,2010-06-09 00:00:00,6.5782,7.8938,5.8236,7.8938,33542,2010
2,2010-06-10 00:00:00,8.1882,9.0899,7.3969,7.3969,19446,2010
3,2010-06-11 00:00:00,7.3601,7.4062,6.9277,7.0841,17264,2010
4,2010-06-14 00:00:00,6.6241,8.087,6.6241,7.4062,6263,2010
5,2010-06-15 00:00:00,7.0933,7.4521,7.0933,7.1761,848,2010
6,2010-06-16 00:00:00,7.1761,7.3141,7.0933,7.3141,2804,2010
7,2010-06-17 00:00:00,7.2221,7.3417,7.1761,7.3417,856,2010
8,2010-06-18 00:00:00,7.3417,7.3417,7.0933,7.0933,927,2010
9,2010-06-21 00:00:00,7.0933,7.1301,6.7161,6.9001,1933,2010
10,2010-06-22 00:00:00,6.8541,7.9949,6.4952,7.3877,6570,2010
11,2010-06-23 00:00:00,7.4521,7.4521,7.0841,7.1761,3017,2010
12,2010-06-24 00:00:00,7.2221,7.2221,6.9921,7.1761,945,2010
13,2010-06-25 00:00:00,7.1761,7.4062,7.0841,7.2681,272,2010
14,2010-06-28 00:00:00,7.0841,7.0841,6.9001,6.9001,1044,2010
15,2010-06-29 00:00:00,6.9921,6.9921,6.8082,6.9921,228,2010
16,2010-06-30 00:00:00,6.8082,6.9921,6.8082,6.8082,826,2010
17,2010-07-01 00:00:00,6.8082,7.0381,6.8082,7.0381,228,2010
18,2010-07-02 00:00:00,7.2589999999999995,7.2589999999999995,7.0381,7.0381,98,2010
19,2010-07-05 00:00:00,6.8082,6.8082,6.7989,6.7989,163,2010
20,2010-07-06 00:00:00,6.8082,7.0841,6.8082,6.8082,404,2010
21,2010-07-07 00:00:00,6.8082,6.8082,6.8082,6.8082,76,2010
22,2010-07-08 00:00:00,6.9921,6.9921,6.9001,6.9001,185,2010
23,2010-07-09 00:00:00,6.9921,7.1761,6.9921,7.0381,254,2010
24,2010-07-12 00:00:00,6.9921,7.1301,6.9921,7.1301,136,2010
25,2010-07-13 00:00:00,7.1301,7.2589999999999995,7.1301,7.2589999999999995,1087,2010
26,2010-07-14 00:00:00,7.2589999999999995,7.3509,7.2589999999999995,7.3325,985,2010
27,2010-07-15 00:00:00,7.3049,7.3049,7.3049,7.3049,55,2010
28,2010-07-16 00:00:00,7.3417,7.3417,7.2221,7.2221,223,2010
29,2010-07-19 00:00:00,7.2221,7.3417,7.2221,7.3417,924,2010
30,2010-07-20 00:00:00,7.3969,7.3969,7.2405,7.2405,1744,2010
31,2010-07-21 00:00:00,7.4062,7.4521,7.2681,7.2681,880,2010
32,2010-07-22 00:00:00,7.2681,7.2681,7.2681,7.2681,272,2010
33,2010-07-23 00:00:00,7.3417,7.3417,7.3141,7.3141,120,2010
34,2010-07-26 00:00:00,7.3417,7.3417,7.3417,7.3417,402,2010
35,2010-07-27 00:00:00,7.3232,7.3232,7.2681,7.3232,185,2010
36,2010-07-28 00:00:00,7.3232,7.3232,7.2221,7.2681,1860,2010
37,2010-07-29 00:00:00,7.2221,7.3417,7.1301,7.2681,12155,2010
38,2010-07-30 00:00:00,7.2681,7.3417,7.1761,7.3417,3157,2010
39,2010-08-02 00:00:00,7.3509,7.3509,7.1486,7.1486,3516,2010
40,2010-08-03 00:00:00,7.1486,7.2221,7.1301,7.2221,859,2010
41,2010-08-04 00:00:00,7.1486,7.1761,7.1486,7.1761,22,2010
42,2010-08-05 00:00:00,7.1761,7.1761,7.1761,7.1761,26,2010
43,2010-08-06 00:00:00,7.1301,7.1761,6.9921,7.1761,1033,2010
44,2010-08-09 00:00:00,7.1301,7.1301,7.1301,7.1301,543,2010
45,2010-08-10 00:00:00,7.0933,8.0042,7.0933,8.0042,10689,2010
46,2010-08-11 00:00:00,7.6362,8.1882,7.4981,8.1882,674,2010
47,2010-08-12 00:00:00,8.0961,8.0961,8.0961,8.0961,663,2010
48,2010-08-13 00:00:00,7.8201,7.8201,7.4613,7.7281,3286,2010
49,2010-08-16 00:00:00,7.5441,7.9121,7.4798,7.4798,1631,2010
50,2010-08-17 00:00:00,7.4521,7.4521,7.4062,7.4062,3765,2010
51,2010-08-18 00:00:00,7.3601,7.4981,7.3601,7.4981,1103,2010
52,2010-08-19 00:00:00,7.5257,7.7741,7.4981,7.4981,6424,2010
53,2010-08-20 00:00:00,7.4981,7.4981,7.4981,7.4981,24,2010
54,2010-08-23 00:00:00,7.5441,7.6638,7.5441,7.6638,517,2010
55,2010-08-24 00:00:00,7.6729,7.6729,7.5901,7.5901,2891,2010
