,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-03-31 00:00:00,62.0,62.0,41.0,42.0,59291,2010
1,2010-04-01 00:00:00,44.0,55.0,43.0,50.0,38245,2010
2,2010-04-06 00:00:00,51.0,54.0,47.0,49.0,9895,2010
3,2010-04-07 00:00:00,48.0,49.0,46.0,49.0,4454,2010
4,2010-04-08 00:00:00,49.0,49.0,46.0,46.0,2990,2010
5,2010-04-09 00:00:00,47.0,47.0,45.0,46.0,3237,2010
6,2010-04-12 00:00:00,46.0,46.0,45.0,46.0,1271,2010
7,2010-04-13 00:00:00,46.0,48.0,46.0,48.0,2069,2010
8,2010-04-14 00:00:00,47.0,47.0,46.0,46.0,1963,2010
9,2010-04-15 00:00:00,46.0,47.0,45.0,46.0,4019,2010
10,2010-04-16 00:00:00,46.0,47.0,45.0,47.0,732,2010
11,2010-04-19 00:00:00,46.0,47.0,46.0,46.0,649,2010
12,2010-04-20 00:00:00,46.0,48.0,46.0,47.0,748,2010
13,2010-04-21 00:00:00,46.0,47.0,45.0,47.0,1919,2010
14,2010-04-22 00:00:00,46.0,46.0,45.0,46.0,828,2010
15,2010-04-23 00:00:00,46.0,47.0,42.0,46.0,1882,2010
16,2010-04-26 00:00:00,45.0,45.0,43.0,45.0,782,2010
17,2010-04-27 00:00:00,43.0,43.0,42.0,43.0,4438,2010
18,2010-04-28 00:00:00,43.0,43.0,41.0,41.0,458,2010
19,2010-04-29 00:00:00,41.0,41.0,33.0,40.0,15057,2010
20,2010-04-30 00:00:00,41.0,41.0,37.0,40.0,3786,2010
21,2010-05-04 00:00:00,39.0,42.0,38.0,39.0,6786,2010
22,2010-05-05 00:00:00,38.0,39.0,37.0,38.0,1270,2010
23,2010-05-06 00:00:00,38.0,38.0,35.0,35.0,2085,2010
24,2010-05-07 00:00:00,34.0,35.0,31.0,34.0,5053,2010
25,2010-05-10 00:00:00,35.0,36.0,34.0,35.0,297,2010
26,2010-05-11 00:00:00,36.0,36.0,33.0,33.0,599,2010
27,2010-05-12 00:00:00,35.0,35.0,32.0,35.0,1202,2010
28,2010-05-13 00:00:00,35.0,36.0,34.0,36.0,449,2010
29,2010-05-14 00:00:00,36.0,36.0,34.0,35.0,415,2010
30,2010-05-17 00:00:00,34.0,35.0,34.0,35.0,873,2010
31,2010-05-18 00:00:00,34.0,35.0,33.0,35.0,4189,2010
32,2010-05-19 00:00:00,33.0,34.0,32.0,34.0,822,2010
33,2010-05-20 00:00:00,33.0,33.0,32.0,33.0,1311,2010
34,2010-05-21 00:00:00,33.0,33.0,33.0,33.0,114,2010
35,2010-05-24 00:00:00,33.0,33.0,31.0,33.0,552,2010
36,2010-05-25 00:00:00,31.0,31.0,29.0,31.0,4240,2010
37,2010-05-26 00:00:00,30.0,32.0,30.0,31.0,1449,2010
38,2010-05-27 00:00:00,30.0,32.0,30.0,32.0,468,2010
39,2010-05-28 00:00:00,32.0,32.0,29.0,31.0,1372,2010
40,2010-05-31 00:00:00,30.0,32.0,30.0,32.0,461,2010
41,2010-06-01 00:00:00,31.0,32.0,30.0,32.0,359,2010
42,2010-06-02 00:00:00,31.0,32.0,31.0,32.0,604,2010
43,2010-06-04 00:00:00,31.0,31.0,31.0,31.0,1113,2010
44,2010-06-07 00:00:00,31.0,31.0,31.0,31.0,156,2010
45,2010-06-08 00:00:00,31.0,31.0,30.0,31.0,497,2010
46,2010-06-09 00:00:00,30.0,31.0,30.0,31.0,670,2010
47,2010-06-10 00:00:00,30.0,31.0,30.0,31.0,493,2010
48,2010-06-11 00:00:00,30.0,31.0,30.0,31.0,294,2010
49,2010-06-14 00:00:00,30.0,30.0,30.0,30.0,398,2010
50,2010-06-15 00:00:00,30.0,31.0,30.0,31.0,528,2010
51,2010-06-16 00:00:00,29.0,31.0,27.0,30.0,985,2010
52,2010-06-17 00:00:00,30.0,33.0,30.0,32.0,1654,2010
53,2010-06-18 00:00:00,32.0,33.0,29.0,31.0,1067,2010
54,2010-06-21 00:00:00,31.0,31.0,30.0,31.0,130,2010
55,2010-06-22 00:00:00,31.0,31.0,30.0,31.0,76,2010
56,2010-06-23 00:00:00,31.0,32.0,30.0,31.0,288,2010
57,2010-06-24 00:00:00,32.0,32.0,27.0,31.0,114,2010
58,2010-06-25 00:00:00,32.0,32.0,29.0,31.0,44,2010
59,2010-06-28 00:00:00,30.0,30.0,29.0,30.0,9,2010
60,2010-06-29 00:00:00,30.0,30.0,30.0,30.0,1,2010
61,2010-06-30 00:00:00,30.0,30.0,28.0,29.0,92,2010
62,2010-07-01 00:00:00,30.0,30.0,28.0,28.0,109,2010
63,2010-07-02 00:00:00,30.0,30.0,29.0,29.0,190,2010
64,2010-07-05 00:00:00,30.0,30.0,27.0,28.0,384,2010
65,2010-07-06 00:00:00,29.0,29.0,28.0,28.0,69,2010
66,2010-07-07 00:00:00,28.0,29.0,27.0,29.0,539,2010
