,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-05-14 00:00:00,3.4505,3.6262,2.798,3.0176,318150,2010
1,2010-05-17 00:00:00,3.0553,3.1807,2.9235,3.1054,67197,2010
2,2010-05-18 00:00:00,3.1242,3.4189999999999996,3.1054,3.1681,52144,2010
3,2010-05-19 00:00:00,3.1681,3.1681,3.0741,3.1681,29098,2010
4,2010-05-20 00:00:00,3.1994,3.1994,2.9863,3.0113,32556,2010
5,2010-05-21 00:00:00,3.0928,3.0928,2.8607,3.049,5129,2010
6,2010-05-24 00:00:00,3.0364,3.0991,2.9799,3.0991,998,2010
7,2010-05-25 00:00:00,2.9548,2.9548,2.9548,2.9548,8846,2010
8,2010-05-26 00:00:00,3.0928,3.0928,2.9612,2.9612,2659,2010
9,2010-05-27 00:00:00,3.0176,3.0176,2.8984,3.0176,5725,2010
10,2010-05-28 00:00:00,3.0176,3.049,2.9422,3.049,13885,2010
11,2010-05-31 00:00:00,3.0468,3.0468,2.8296,2.9893,9640,2010
12,2010-06-01 00:00:00,3.0426,3.0615,2.9548,3.0615,9242,2010
13,2010-06-02 00:00:00,3.049,3.049,3.0176,3.0176,1014,2010
14,2010-06-04 00:00:00,3.0803,3.1054,3.0301,3.0803,12748,2010
15,2010-06-07 00:00:00,3.0928,3.0928,3.0301,3.0301,4049,2010
16,2010-06-08 00:00:00,3.0301,3.0301,3.0301,3.0301,3084,2010
17,2010-06-09 00:00:00,3.1054,3.1117,3.0615,3.0803,12449,2010
18,2010-06-10 00:00:00,3.1054,3.1994,3.1054,3.1994,24395,2010
19,2010-06-11 00:00:00,3.2246,3.2246,3.1431,3.1431,2805,2010
20,2010-06-14 00:00:00,3.1994,3.2058,3.1933,3.2058,6539,2010
21,2010-06-15 00:00:00,3.1994,3.2309,3.1994,3.1994,1650,2010
22,2010-06-16 00:00:00,3.2309,3.2309,3.2058,3.2183,11279,2010
23,2010-06-17 00:00:00,3.1994,3.2936,3.1994,3.2936,8057,2010
24,2010-06-18 00:00:00,3.3876,3.3876,3.2371,3.2371,2569,2010
25,2010-06-21 00:00:00,3.2873,3.2936,3.2748,3.2936,7918,2010
26,2010-06-22 00:00:00,3.2936,3.2936,3.1807,3.2309,5449,2010
27,2010-06-23 00:00:00,3.3062,3.3062,3.1431,3.1681,1762,2010
28,2010-06-24 00:00:00,3.3062,3.3062,3.2246,3.2246,173,2010
29,2010-06-25 00:00:00,3.2246,3.3062,3.1681,3.3062,3685,2010
30,2010-06-28 00:00:00,3.3062,3.3062,3.1994,3.1994,650,2010
31,2010-06-29 00:00:00,3.2246,3.2246,3.1681,3.1681,2251,2010
32,2010-06-30 00:00:00,3.2306,3.2306,3.1073,3.1073,6756,2010
33,2010-07-01 00:00:00,3.3062,3.3062,3.1305,3.1305,654,2010
34,2010-07-02 00:00:00,3.3062,3.3062,3.1869,3.1869,955,2010
35,2010-07-05 00:00:00,3.3062,3.3187,3.2309,3.2811,7608,2010
36,2010-07-06 00:00:00,3.3563,3.4189999999999996,3.325,3.4189999999999996,11708,2010
37,2010-07-07 00:00:00,3.4189999999999996,3.4505,3.325,3.325,3627,2010
38,2010-07-08 00:00:00,3.4441,3.4441,3.3563,3.3563,732,2010
39,2010-07-09 00:00:00,3.4505,3.4505,3.3563,3.4189999999999996,6798,2010
