,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-10-09 00:00:00,4.5,4.8,2.9,3.04,42766,2008
1,2008-10-10 00:00:00,2.67,2.67,2.23,2.57,21116,2008
2,2008-10-13 00:00:00,2.68,3.85,2.68,3.85,21981,2008
3,2008-10-14 00:00:00,4.05,4.74,3.83,4.5,18435,2008
4,2008-10-15 00:00:00,4.3,4.5,3.78,4.07,18195,2008
5,2008-10-16 00:00:00,3.65,4.2,3.5,3.76,5358,2008
6,2008-10-17 00:00:00,3.47,4.0,3.45,3.9,5095,2008
7,2008-10-20 00:00:00,3.78,4.35,3.78,4.35,4011,2008
8,2008-10-21 00:00:00,4.35,4.49,4.02,4.08,1891,2008
9,2008-10-22 00:00:00,4.43,4.43,4.0,4.17,373,2008
10,2008-10-24 00:00:00,3.99,4.39,3.98,4.39,4683,2008
11,2008-10-27 00:00:00,4.4,5.5,4.4,5.5,3460,2008
12,2008-10-28 00:00:00,5.98,5.99,5.3,5.98,2469,2008
13,2008-10-29 00:00:00,6.04,6.35,5.0,5.72,6087,2008
14,2008-10-30 00:00:00,5.71,5.99,5.21,5.97,2549,2008
15,2008-10-31 00:00:00,6.2,6.2,5.3,6.05,1001,2008
16,2008-11-03 00:00:00,6.25,6.25,5.5,6.25,1928,2008
17,2008-11-04 00:00:00,6.25,6.46,5.6,6.46,5553,2008
18,2008-11-05 00:00:00,7.0,7.0,4.0,4.0,3838,2008
19,2008-11-06 00:00:00,5.0,6.24,5.0,6.24,4352,2008
20,2008-11-07 00:00:00,5.9,7.7,5.9,7.0,6154,2008
21,2008-11-10 00:00:00,7.0,7.0,6.3,6.85,3632,2008
22,2008-11-12 00:00:00,6.25,6.92,6.2,6.92,1179,2008
23,2008-11-13 00:00:00,6.83,6.83,5.74,6.7,21,2008
24,2008-11-14 00:00:00,5.55,5.95,5.55,5.55,2531,2008
25,2008-11-17 00:00:00,6.0,6.0,5.4,5.93,1366,2008
26,2008-11-18 00:00:00,5.9,6.0,5.9,6.0,831,2008
27,2008-11-19 00:00:00,6.18,6.18,5.6,6.18,903,2008
28,2008-11-20 00:00:00,5.6,6.18,5.6,5.95,543,2008
29,2008-11-21 00:00:00,6.0,6.42,5.95,6.04,816,2008
30,2008-11-24 00:00:00,6.47,6.47,5.9,5.9,1472,2008
31,2008-11-25 00:00:00,5.89,5.89,5.03,5.8,354,2008
32,2008-11-26 00:00:00,6.1,6.1,5.1,6.08,124,2008
33,2008-11-27 00:00:00,5.5,5.99,5.5,5.99,595,2008
34,2008-12-01 00:00:00,5.6,6.08,5.6,6.0,149,2008
35,2008-12-02 00:00:00,5.6,6.0,5.6,6.0,78,2008
36,2008-12-05 00:00:00,5.6,5.95,5.6,5.95,2010,2008
37,2008-12-08 00:00:00,5.6,5.89,5.6,5.89,177,2008
