,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2017-09-08 00:00:00,3.6959,3.6959,3.4041,3.5403,23778,2017
1,2017-09-11 00:00:00,3.6181,3.6181,3.0248,3.3360000000000003,11752,2017
2,2017-09-12 00:00:00,3.3458,3.4333,3.3068,3.3847,9315,2017
3,2017-09-13 00:00:00,3.3847,3.3944,3.3068,3.3944,1381,2017
4,2017-09-14 00:00:00,3.3847,3.3847,3.0345,3.1999,40066,2017
5,2017-09-15 00:00:00,3.1123,3.1901,2.5774,2.9762,18019,2017
6,2017-09-18 00:00:00,3.0053,3.0832,2.947,2.9664,16210,2017
7,2017-09-19 00:00:00,2.9859,2.9956,2.4412,2.9567,52696,2017
8,2017-09-20 00:00:00,2.947,2.9956,2.947,2.9956,19920,2017
9,2017-09-21 00:00:00,2.9956,2.9956,2.9275,2.9859,4561,2017
10,2017-09-22 00:00:00,2.9859,2.9859,2.9859,2.9859,1250,2017
11,2017-09-25 00:00:00,2.6941,2.9762,2.6941,2.9178,1567,2017
12,2017-09-26 00:00:00,2.9081,3.2971,2.7914,2.8497,13433,2017
13,2017-09-27 00:00:00,2.8497,2.8497,2.8497,2.8497,969,2017
14,2017-09-28 00:00:00,2.8886,2.9859,2.8886,2.9859,605,2017
15,2017-09-29 00:00:00,2.9859,2.9859,2.9859,2.9859,335,2017
16,2017-10-03 00:00:00,2.8984,2.8984,2.7233,2.7233,1981,2017
17,2017-10-04 00:00:00,2.7136,2.7233,2.7136,2.7233,1043,2017
18,2017-10-05 00:00:00,2.7427,2.9567,2.7427,2.9567,3006,2017
19,2017-10-09 00:00:00,2.8692,2.8692,2.6358,2.7038,3033,2017
20,2017-10-10 00:00:00,2.8205,2.8205,2.6260000000000003,2.7136,3629,2017
21,2017-10-11 00:00:00,2.5871,2.6163,2.5288,2.6163,555,2017
22,2017-10-12 00:00:00,2.5288,2.6747,2.4412,2.5579,2134,2017
23,2017-10-13 00:00:00,2.5579,2.6747,2.5579,2.5579,4791,2017
24,2017-10-16 00:00:00,2.4315,2.9081,2.3342,2.8984,19383,2017
25,2017-10-17 00:00:00,2.8886,2.8886,2.6455,2.6455,1574,2017
26,2017-10-18 00:00:00,2.7136,2.8595,2.7136,2.7719,1439,2017
27,2017-10-19 00:00:00,2.7233,2.8011,2.7233,2.8011,514,2017
28,2017-10-20 00:00:00,2.8205,2.8886,2.5871,2.8886,1821,2017
29,2017-10-23 00:00:00,2.8692,2.8692,2.7233,2.7233,1191,2017
30,2017-10-24 00:00:00,2.7136,2.7136,2.5871,2.5871,2032,2017
31,2017-10-25 00:00:00,2.6066,2.8984,2.4607,2.8789,3118,2017
32,2017-10-27 00:00:00,2.7525,2.9081,2.519,2.9081,40580,2017
33,2017-10-30 00:00:00,2.7719,3.2096,2.5482,3.2096,113454,2017
34,2017-10-31 00:00:00,3.2679,3.3263,2.9664,3.2289999999999996,25774,2017
35,2017-11-02 00:00:00,3.2485,3.2485,2.9178,2.9567,17627,2017
36,2017-11-03 00:00:00,2.9567,3.3847,2.7233,3.1804,30492,2017
37,2017-11-06 00:00:00,3.2582,3.2582,2.7914,2.9762,14085,2017
38,2017-11-07 00:00:00,2.9664,3.0151,2.8692,3.0151,2815,2017
39,2017-11-08 00:00:00,2.9178,2.9664,2.8789,2.9664,1131,2017
40,2017-11-09 00:00:00,2.8789,3.0053,2.8011,3.0053,4624,2017
41,2017-11-10 00:00:00,3.0053,3.0053,2.8692,3.0053,2479,2017
42,2017-11-13 00:00:00,2.8595,2.9956,2.7816,2.8886,948,2017
43,2017-11-14 00:00:00,2.9664,2.9956,2.8984,2.9664,7343,2017
44,2017-11-15 00:00:00,2.8886,2.8886,2.8692,2.8692,4401,2017
45,2017-11-16 00:00:00,2.8886,3.0151,2.8692,2.8692,4998,2017
46,2017-11-17 00:00:00,2.8595,2.947,2.4704,2.733,15276,2017
47,2017-11-20 00:00:00,2.9081,2.9567,2.6260000000000003,2.8984,8198,2017
48,2017-11-21 00:00:00,2.7233,2.9373,2.7038,2.8984,3398,2017
49,2017-11-22 00:00:00,2.7719,2.9664,2.7622,2.8692,4425,2017
50,2017-11-23 00:00:00,2.7719,2.8692,2.7719,2.8205,3301,2017
51,2017-11-24 00:00:00,2.7525,2.9178,2.7525,2.8984,3397,2017
52,2017-11-27 00:00:00,2.7622,2.8692,2.5968,2.8108,2490,2017
53,2017-11-28 00:00:00,2.7233,2.7719,2.7233,2.7719,1825,2017
54,2017-11-29 00:00:00,2.7719,2.9081,2.7719,2.8692,1218,2017
55,2017-11-30 00:00:00,2.7233,2.7719,2.6260000000000003,2.7622,4166,2017
56,2017-12-01 00:00:00,2.6260000000000003,2.7622,2.6260000000000003,2.6260000000000003,215,2017
57,2017-12-04 00:00:00,2.5871,2.8886,2.4315,2.8886,33771,2017
58,2017-12-05 00:00:00,2.6747,2.7719,2.6747,2.7719,1081,2017
59,2017-12-06 00:00:00,2.7719,2.7719,2.5871,2.7719,327,2017
60,2017-12-07 00:00:00,2.6747,2.6747,2.5871,2.5871,1616,2017
61,2017-12-08 00:00:00,2.5871,2.6455,2.4607,2.4801,2815,2017
62,2017-12-11 00:00:00,2.5288,2.7233,2.4607,2.7233,4093,2017
63,2017-12-12 00:00:00,2.5871,2.7719,2.5871,2.7719,20799,2017
64,2017-12-13 00:00:00,2.7525,2.7719,2.5871,2.5871,25,2017
65,2017-12-18 00:00:00,2.6163,2.6163,2.6163,2.6163,596,2017
66,2017-12-19 00:00:00,2.5968,2.5968,2.344,2.451,4413,2017
67,2017-12-20 00:00:00,2.4412,2.4412,2.1592,2.4315,5495,2017
68,2017-12-21 00:00:00,2.5093,2.6844,2.3342,2.5774,974,2017
69,2017-12-22 00:00:00,2.4121,2.5288,2.4121,2.5288,1029,2017
70,2017-12-27 00:00:00,2.5774,2.5774,2.4023,2.5288,677,2017
71,2017-12-28 00:00:00,2.5288,2.9081,2.5288,2.7038,5163,2017
72,2017-12-29 00:00:00,2.8789,2.9081,2.8205,2.8205,1563,2017
73,2018-01-03 00:00:00,2.9178,3.5014,2.6163,2.8205,53059,2018
74,2018-01-04 00:00:00,2.8205,2.9081,2.733,2.8984,15503,2018
75,2018-01-05 00:00:00,2.8984,2.9081,2.84,2.8984,12716,2018
76,2018-01-08 00:00:00,2.9081,2.9081,2.8692,2.8692,8330,2018
77,2018-01-09 00:00:00,2.8692,2.8692,2.8205,2.8692,6899,2018
78,2018-01-10 00:00:00,2.84,2.8692,2.84,2.8692,1758,2018
79,2018-01-11 00:00:00,2.8497,2.8692,2.733,2.8692,5143,2018
80,2018-01-12 00:00:00,2.7233,2.8692,2.6747,2.7719,11955,2018
81,2018-01-15 00:00:00,2.84,2.8595,2.7427,2.7427,7686,2018
