,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-07-04 00:00:00,21.0,22.0,19.0,21.94,5320,2012
1,2012-07-05 00:00:00,21.94,22.0,20.5,22.0,3850,2012
2,2012-07-06 00:00:00,21.98,22.0,21.5,22.0,1065,2012
3,2012-07-09 00:00:00,22.0,22.0,22.0,22.0,5,2012
4,2012-07-11 00:00:00,20.5,21.49,20.05,21.49,616,2012
5,2012-07-12 00:00:00,20.11,20.11,20.11,20.11,83,2012
6,2012-07-13 00:00:00,20.01,22.5,20.01,22.5,157,2012
7,2012-07-16 00:00:00,21.1,21.5,20.1,21.5,160,2012
8,2012-07-18 00:00:00,21.45,21.5,21.45,21.5,92,2012
9,2012-07-20 00:00:00,22.5,22.5,22.5,22.5,5,2012
10,2012-07-23 00:00:00,22.5,22.5,21.0,21.5,139,2012
11,2012-07-25 00:00:00,21.98,21.98,21.98,21.98,10,2012
12,2012-07-26 00:00:00,21.9,21.9,21.9,21.9,2,2012
13,2012-07-27 00:00:00,21.9,21.9,20.5,20.5,52,2012
14,2012-07-30 00:00:00,20.1,20.1,20.1,20.1,2,2012
15,2012-07-31 00:00:00,20.1,22.3,20.1,21.0,173,2012
16,2012-08-01 00:00:00,20.1,20.1,20.1,20.1,2,2012
17,2012-08-02 00:00:00,20.1,20.1,20.1,20.1,1,2012
18,2012-08-03 00:00:00,20.1,20.1,20.1,20.1,1,2012
19,2012-08-06 00:00:00,21.4,21.4,21.4,21.4,2,2012
20,2012-08-07 00:00:00,21.0,21.0,21.0,21.0,2,2012
21,2012-08-08 00:00:00,20.0,20.0,20.0,20.0,175,2012
22,2012-08-10 00:00:00,19.5,21.5,19.5,20.0,326,2012
23,2012-08-13 00:00:00,20.9,20.9,20.8,20.8,98,2012
24,2012-08-14 00:00:00,20.0,20.0,20.0,20.0,2,2012
25,2012-08-16 00:00:00,19.9,19.9,19.2,19.2,35,2012
26,2012-08-17 00:00:00,20.5,20.5,19.2,19.2,40,2012
27,2012-08-20 00:00:00,20.0,20.0,20.0,20.0,1,2012
28,2012-08-22 00:00:00,19.1,19.1,19.1,19.1,4,2012
29,2012-08-23 00:00:00,19.1,19.1,18.01,18.01,125,2012
30,2012-08-27 00:00:00,19.35,21.3,19.35,21.3,105,2012
31,2012-09-14 00:00:00,19.0,19.0,19.0,19.0,3,2012
32,2012-09-17 00:00:00,20.1,20.1,20.1,20.1,2,2012
33,2012-09-18 00:00:00,20.15,20.15,20.15,20.15,2,2012
34,2012-09-19 00:00:00,20.16,20.17,20.16,20.17,4,2012
35,2012-09-20 00:00:00,20.17,20.18,20.17,20.18,22,2012
36,2012-09-21 00:00:00,20.19,20.19,20.19,20.19,8,2012
37,2012-09-24 00:00:00,20.2,20.2,20.2,20.2,1,2012
38,2012-09-25 00:00:00,20.21,20.21,20.2,20.2,35,2012
39,2012-09-26 00:00:00,20.21,20.22,20.21,20.22,16,2012
40,2012-09-27 00:00:00,20.2,20.3,20.2,20.2,59,2012
41,2012-10-04 00:00:00,20.5,20.5,20.5,20.5,2,2012
42,2012-10-08 00:00:00,21.0,21.0,21.0,21.0,10,2012
43,2012-10-09 00:00:00,20.9,20.9,20.9,20.9,2,2012
44,2012-10-10 00:00:00,20.1,20.9,20.1,20.9,48,2012
45,2012-10-11 00:00:00,20.9,20.9,20.9,20.9,3,2012
46,2012-10-12 00:00:00,20.9,20.9,20.9,20.9,5,2012
47,2012-10-15 00:00:00,20.9,20.9,20.9,20.9,2,2012
48,2012-10-17 00:00:00,20.7,20.7,20.7,20.7,25,2012
49,2012-10-18 00:00:00,20.9,20.9,20.9,20.9,2,2012
50,2012-10-22 00:00:00,20.9,20.9,20.9,20.9,10,2012
51,2012-10-23 00:00:00,20.8,20.8,20.8,20.8,9,2012
52,2012-10-24 00:00:00,20.9,20.9,20.9,20.9,1,2012
53,2012-10-26 00:00:00,20.9,20.9,19.55,20.9,14,2012
54,2012-10-29 00:00:00,20.9,20.9,20.9,20.9,2,2012
55,2012-10-31 00:00:00,20.9,22.0,20.9,22.0,528,2012
56,2012-11-02 00:00:00,21.2,21.2,21.2,21.2,5,2012
57,2012-11-07 00:00:00,21.2,21.2,20.5,20.5,97,2012
58,2012-11-12 00:00:00,20.4,20.4,20.4,20.4,15,2012
59,2012-11-16 00:00:00,20.1,20.99,19.54,20.99,106,2012
60,2012-11-19 00:00:00,20.99,20.99,20.99,20.99,31,2012
61,2012-11-20 00:00:00,20.98,20.99,20.98,20.99,1602,2012
62,2012-11-22 00:00:00,20.98,20.98,20.98,20.98,2,2012
63,2012-11-23 00:00:00,20.97,20.97,20.97,20.97,2,2012
64,2012-11-27 00:00:00,20.97,20.97,20.97,20.97,2,2012
65,2012-12-04 00:00:00,20.98,20.98,20.98,20.98,2,2012
66,2012-12-06 00:00:00,20.5,20.5,20.5,20.5,20,2012
67,2012-12-07 00:00:00,20.98,20.98,20.98,20.98,2,2012
68,2012-12-10 00:00:00,20.5,20.5,20.5,20.5,30,2012
69,2012-12-13 00:00:00,20.5,20.5,20.5,20.5,2,2012
70,2012-12-14 00:00:00,20.5,20.5,20.5,20.5,2,2012
71,2012-12-17 00:00:00,20.5,20.5,20.5,20.5,40,2012
72,2012-12-20 00:00:00,20.5,20.5,20.5,20.5,30,2012
73,2012-12-21 00:00:00,20.5,20.5,20.5,20.5,100,2012
74,2012-12-27 00:00:00,20.5,21.8,20.5,21.8,986,2012
75,2012-12-28 00:00:00,21.74,21.8,21.74,21.8,202,2012
76,2013-01-04 00:00:00,20.6,20.6,20.5,20.5,185,2013
77,2013-01-07 00:00:00,21.66,21.66,20.5,20.5,106,2013
78,2013-01-09 00:00:00,20.5,20.5,20.5,20.5,2,2013
79,2013-01-10 00:00:00,20.5,20.5,20.5,20.5,2,2013
80,2013-01-15 00:00:00,20.5,20.5,20.16,20.16,77,2013
81,2013-01-25 00:00:00,20.28,20.28,19.45,19.45,108,2013
82,2013-01-28 00:00:00,20.28,20.28,20.28,20.28,2,2013
83,2013-01-29 00:00:00,20.28,20.29,20.28,20.29,403,2013
84,2013-01-30 00:00:00,19.45,20.29,19.45,20.29,277,2013
85,2013-01-31 00:00:00,20.28,20.28,20.28,20.28,75,2013
86,2013-02-01 00:00:00,20.2,20.2,20.2,20.2,151,2013
