,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-06-15 00:00:00,31.909000000000002,38.214,25.605,27.182,5709,2012
1,2012-06-18 00:00:00,22.85,27.182,18.515,22.455,1302,2012
2,2012-06-19 00:00:00,22.06,22.06,18.121,18.121,238,2012
3,2012-06-20 00:00:00,18.515,18.515,14.575999999999999,16.545,185,2012
4,2012-06-21 00:00:00,16.545,19.697,14.182,19.697,508,2012
5,2012-06-22 00:00:00,23.636,27.968000000000004,23.636,27.968000000000004,407,2012
6,2012-06-25 00:00:00,32.305,32.695,26.0,26.0,1566,2012
7,2012-06-26 00:00:00,25.605,28.364,21.666999999999998,24.031999999999996,438,2012
8,2012-06-27 00:00:00,24.423000000000002,34.273,20.485,28.364,1837,2012
9,2012-06-28 00:00:00,29.545,29.545,23.636,25.605,262,2012
10,2012-06-29 00:00:00,21.666999999999998,25.605,20.879,25.605,123,2012
11,2012-07-02 00:00:00,25.605,29.941,25.605,25.605,198,2012
12,2012-07-03 00:00:00,24.818,24.818,20.485,21.666999999999998,629,2012
13,2012-07-04 00:00:00,21.666999999999998,21.666999999999998,17.727,17.727,295,2012
14,2012-07-05 00:00:00,16.545,19.697,14.182,19.697,246,2012
15,2012-07-06 00:00:00,19.697,19.697,15.758,18.909000000000002,583,2012
16,2012-07-09 00:00:00,18.909000000000002,18.909000000000002,15.758,17.727,383,2012
17,2012-07-10 00:00:00,15.758,15.758,14.182,15.758,249,2012
18,2012-07-11 00:00:00,15.758,15.758,14.182,14.182,42,2012
19,2012-07-12 00:00:00,13.788,13.788,13.788,13.788,64,2012
20,2012-07-13 00:00:00,13.788,19.697,13.788,19.697,741,2012
21,2012-07-16 00:00:00,20.879,24.818,19.697,22.85,867,2012
22,2012-07-17 00:00:00,23.636,23.636,18.909000000000002,20.090999999999998,348,2012
23,2012-07-18 00:00:00,18.121,20.090999999999998,16.151,18.515,172,2012
24,2012-07-19 00:00:00,16.545,16.545,14.97,15.758,572,2012
25,2012-07-20 00:00:00,13.788,15.758,12.606,15.758,660,2012
26,2012-07-23 00:00:00,15.364,18.515,12.606,13.394,1685,2012
27,2012-07-24 00:00:00,14.575999999999999,14.575999999999999,11.818,13.788,1448,2012
28,2012-07-25 00:00:00,11.818,13.0,10.242,11.03,2070,2012
29,2012-07-26 00:00:00,10.636,11.424000000000001,8.6668,8.6668,5850,2012
30,2012-07-27 00:00:00,8.6668,8.6668,7.0909,8.6668,447,2012
31,2012-07-30 00:00:00,9.849,9.849,7.8786,8.6668,799,2012
32,2012-07-31 00:00:00,9.0605,9.4545,8.2727,8.6668,53,2012
33,2012-08-01 00:00:00,7.8786,11.03,7.0909,11.03,1126,2012
34,2012-08-02 00:00:00,12.606,14.97,10.242,10.636,865,2012
35,2012-08-03 00:00:00,10.636,10.636,8.6668,9.849,398,2012
36,2012-08-06 00:00:00,9.4545,9.4545,7.8786,7.8786,493,2012
37,2012-08-07 00:00:00,7.0909,9.4545,7.0909,9.4545,398,2012
38,2012-08-08 00:00:00,9.4545,9.4545,8.2727,8.2727,48,2012
39,2012-08-09 00:00:00,8.2727,8.2727,6.6968,6.6968,363,2012
40,2012-08-10 00:00:00,6.3032,7.485,5.9091,7.485,198,2012
41,2012-08-13 00:00:00,7.485,7.8786,7.485,7.8786,75,2012
42,2012-08-14 00:00:00,7.485,7.485,6.3032,7.485,205,2012
43,2012-08-16 00:00:00,6.6968,7.8786,6.6968,7.8786,42,2012
44,2012-08-17 00:00:00,7.8786,7.8786,6.3032,7.485,18,2012
45,2012-08-20 00:00:00,7.485,7.485,6.6968,7.0909,15,2012
46,2012-08-21 00:00:00,7.0909,8.2727,5.9091,7.8786,453,2012
47,2012-08-22 00:00:00,6.6968,9.0605,6.6968,8.2727,227,2012
48,2012-08-23 00:00:00,8.6668,8.6668,7.8786,8.2727,22,2012
49,2012-08-24 00:00:00,8.6668,9.849,8.6668,9.849,231,2012
50,2012-08-27 00:00:00,9.0605,11.818,8.6668,11.818,6230,2012
51,2012-08-28 00:00:00,13.0,14.182,9.4545,11.424000000000001,1621,2012
52,2012-08-29 00:00:00,11.03,11.818,9.849,11.03,1322,2012
53,2012-08-30 00:00:00,10.636,16.151,10.636,16.151,2145,2012
54,2012-08-31 00:00:00,16.545,23.636,16.545,23.636,3291,2012
55,2012-09-03 00:00:00,24.818,28.364,19.697,28.364,1912,2012
56,2012-09-04 00:00:00,29.15,41.364,28.759,38.605,2699,2012
57,2012-09-05 00:00:00,42.545,46.091,34.273,34.273,2523,2012
58,2012-09-06 00:00:00,32.305,48.85,31.514,48.85,1386,2012
59,2012-09-07 00:00:00,50.423,67.759,50.423,67.759,1221,2012
60,2012-09-10 00:00:00,68.15,81.545,66.968,78.395,856,2012
61,2012-09-11 00:00:00,78.786,94.545,78.786,79.968,1621,2012
62,2012-09-12 00:00:00,80.759,102.42,65.0,100.45,3040,2012
63,2012-09-13 00:00:00,108.33,108.33,69.332,82.727,1800,2012
64,2012-09-14 00:00:00,88.63600000000001,88.63600000000001,60.668,60.668,1307,2012
65,2012-09-17 00:00:00,62.24100000000001,70.90899999999999,59.876999999999995,65.0,953,2012
66,2012-09-18 00:00:00,61.059,81.545,59.091,63.032,1582,2012
67,2012-09-19 00:00:00,63.032,63.032,50.423,50.423,1934,2012
68,2012-09-20 00:00:00,52.395,59.876999999999995,46.486000000000004,49.636,977,2012
69,2012-09-21 00:00:00,54.75899999999999,65.786,49.636,65.395,2081,2012
70,2012-09-24 00:00:00,67.759,71.305,66.577,70.90899999999999,1148,2012
71,2012-09-25 00:00:00,73.273,73.273,64.214,70.123,796,2012
72,2012-09-26 00:00:00,69.727,73.273,66.968,73.273,315,2012
73,2012-09-27 00:00:00,73.273,73.273,62.636,66.968,227,2012
74,2012-09-28 00:00:00,68.545,70.90899999999999,55.15,63.818000000000005,1566,2012
75,2012-10-01 00:00:00,61.059,64.214,53.968,62.636,341,2012
76,2012-10-02 00:00:00,62.636,63.032,51.214,55.15,497,2012
77,2012-10-03 00:00:00,55.15,66.182,51.214,66.182,832,2012
78,2012-10-04 00:00:00,68.15,69.727,57.123000000000005,61.85,812,2012
79,2012-10-05 00:00:00,62.636,65.786,61.85,63.032,86,2012
80,2012-10-08 00:00:00,63.423,66.577,61.059,66.577,156,2012
81,2012-10-09 00:00:00,66.968,66.968,59.876999999999995,65.0,103,2012
82,2012-10-10 00:00:00,65.0,69.332,64.605,68.941,341,2012
83,2012-10-11 00:00:00,68.941,69.727,65.0,68.545,517,2012
84,2012-10-12 00:00:00,65.0,67.759,62.24100000000001,66.968,125,2012
85,2012-10-15 00:00:00,61.85,66.577,59.091,59.091,154,2012
86,2012-10-16 00:00:00,64.214,64.214,46.876999999999995,46.876999999999995,480,2012
87,2012-10-17 00:00:00,51.214,51.214,40.181999999999995,42.545,816,2012
88,2012-10-18 00:00:00,42.941,49.24100000000001,40.577,45.305,554,2012
89,2012-10-19 00:00:00,45.305,47.273,40.181999999999995,40.181999999999995,499,2012
90,2012-10-22 00:00:00,42.15,43.332,40.181999999999995,41.364,332,2012
91,2012-10-23 00:00:00,42.545,42.545,40.181999999999995,41.364,187,2012
92,2012-10-24 00:00:00,44.513999999999996,44.513999999999996,39.786,40.181999999999995,609,2012
93,2012-10-25 00:00:00,41.364,46.091,40.577,46.091,660,2012
94,2012-10-26 00:00:00,41.364,42.941,40.181999999999995,40.577,374,2012
95,2012-10-29 00:00:00,40.577,42.545,39.786,40.577,651,2012
96,2012-10-30 00:00:00,42.545,42.941,39.786,42.15,990,2012
97,2012-10-31 00:00:00,42.15,42.15,40.181999999999995,40.181999999999995,13,2012
98,2012-11-02 00:00:00,40.577,42.15,40.181999999999995,40.181999999999995,242,2012
99,2012-11-05 00:00:00,39.786,42.545,39.786,39.786,249,2012
100,2012-11-06 00:00:00,40.968,41.364,39.786,39.786,220,2012
101,2012-11-07 00:00:00,39.786,39.786,24.031999999999996,24.031999999999996,3274,2012
102,2012-11-08 00:00:00,23.636,23.636,13.788,13.788,21538,2012
103,2012-11-09 00:00:00,11.818,20.090999999999998,11.818,20.090999999999998,82650,2012
104,2012-11-12 00:00:00,24.423000000000002,28.759,22.455,27.576999999999998,45342,2012
105,2012-11-13 00:00:00,28.759,40.968,25.605,40.968,34401,2012
106,2012-11-14 00:00:00,42.941,53.577,40.968,42.15,28578,2012
107,2012-11-15 00:00:00,41.364,45.305,33.876999999999995,37.032,21080,2012
108,2012-11-16 00:00:00,39.395,42.15,35.059,40.181999999999995,9878,2012
109,2012-11-19 00:00:00,39.0,55.545,37.423,55.545,11400,2012
110,2012-11-20 00:00:00,72.877,75.63600000000001,40.577,40.577,21146,2012
111,2012-11-21 00:00:00,42.545,58.305,42.545,52.395,19712,2012
112,2012-11-22 00:00:00,54.75899999999999,55.545,48.455,52.395,8081,2012
113,2012-11-23 00:00:00,49.636,53.181999999999995,43.332,46.091,8021,2012
114,2012-11-26 00:00:00,47.273,47.273,38.214,41.75899999999999,4233,2012
115,2012-11-27 00:00:00,40.181999999999995,53.181999999999995,39.395,48.059,9068,2012
116,2012-11-28 00:00:00,50.423,50.423,43.332,47.273,3265,2012
117,2012-11-29 00:00:00,45.305,48.85,39.786,42.941,6965,2012
118,2012-11-30 00:00:00,44.123000000000005,48.85,42.941,46.876999999999995,3313,2012
119,2012-12-03 00:00:00,46.486000000000004,49.24100000000001,43.332,45.305,2787,2012
120,2012-12-04 00:00:00,43.727,44.909,40.968,41.75899999999999,4222,2012
121,2012-12-05 00:00:00,42.15,45.695,41.364,42.15,2374,2012
122,2012-12-06 00:00:00,42.545,43.727,39.395,39.786,3879,2012
123,2012-12-07 00:00:00,38.605,39.786,31.123,35.455,6972,2012
124,2012-12-10 00:00:00,33.876999999999995,35.455,30.726999999999997,30.726999999999997,3645,2012
125,2012-12-11 00:00:00,31.909000000000002,32.305,27.576999999999998,28.364,1553,2012
126,2012-12-12 00:00:00,29.545,39.0,25.605,39.0,9071,2012
127,2012-12-13 00:00:00,39.395,42.15,35.455,36.241,6186,2012
128,2012-12-14 00:00:00,36.241,36.241,33.486,34.273,1934,2012
129,2012-12-17 00:00:00,33.876999999999995,40.577,32.305,38.605,4484,2012
130,2012-12-18 00:00:00,40.181999999999995,40.181999999999995,36.635999999999996,38.214,1214,2012
131,2012-12-19 00:00:00,36.635999999999996,37.032,34.273,36.241,669,2012
132,2012-12-20 00:00:00,35.059,35.059,32.305,33.876999999999995,1357,2012
133,2012-12-21 00:00:00,34.273,39.786,34.273,34.273,1540,2012
134,2012-12-27 00:00:00,36.635999999999996,37.032,32.305,35.455,1382,2012
135,2012-12-28 00:00:00,34.273,35.059,32.695,35.059,462,2012
136,2013-01-02 00:00:00,33.486,33.486,29.941,31.514,829,2013
137,2013-01-03 00:00:00,30.726999999999997,33.876999999999995,27.576999999999998,31.514,1562,2013
138,2013-01-04 00:00:00,31.123,32.305,27.968000000000004,29.545,1643,2013
139,2013-01-07 00:00:00,29.545,37.423,29.545,37.423,2136,2013
140,2013-01-08 00:00:00,38.214,42.15,30.331999999999997,36.241,5234,2013
141,2013-01-09 00:00:00,34.668,37.423,33.486,33.876999999999995,1525,2013
142,2013-01-10 00:00:00,33.876999999999995,35.059,32.305,33.486,750,2013
143,2013-01-11 00:00:00,34.273,34.273,30.726999999999997,33.091,629,2013
144,2013-01-14 00:00:00,31.514,35.455,30.331999999999997,33.091,689,2013
145,2013-01-15 00:00:00,33.091,33.091,30.331999999999997,32.305,438,2013
146,2013-01-16 00:00:00,30.726999999999997,31.514,29.545,31.123,495,2013
147,2013-01-17 00:00:00,29.941,30.726999999999997,29.15,29.941,275,2013
148,2013-01-18 00:00:00,29.15,29.545,27.182,28.364,838,2013
149,2013-01-21 00:00:00,27.182,30.726999999999997,27.182,29.545,422,2013
150,2013-01-22 00:00:00,29.941,31.909000000000002,28.364,30.726999999999997,587,2013
151,2013-01-23 00:00:00,31.514,31.514,27.968000000000004,28.364,634,2013
152,2013-01-24 00:00:00,27.968000000000004,28.759,27.576999999999998,28.759,686,2013
