,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-02-06 00:00:00,0.25,0.29,0.21,0.26,16287294,2008
1,2008-02-07 00:00:00,0.25,0.26,0.21,0.23,5402150,2008
2,2008-02-08 00:00:00,0.24,0.25,0.21,0.23,3858309,2008
3,2008-02-11 00:00:00,0.22,0.23,0.2,0.21,1660090,2008
4,2008-02-12 00:00:00,0.22,0.22,0.18,0.2,2541648,2008
5,2008-02-13 00:00:00,0.2,0.21,0.19,0.2,1069257,2008
6,2008-02-14 00:00:00,0.2,0.23,0.2,0.23,2177783,2008
7,2008-02-15 00:00:00,0.22,0.22,0.2,0.21,758689,2008
8,2008-02-18 00:00:00,0.21,0.23,0.2,0.22,1502531,2008
9,2008-02-19 00:00:00,0.22,0.26,0.21,0.26,5083101,2008
10,2008-02-20 00:00:00,0.26,0.31,0.25,0.31,7681949,2008
11,2008-02-21 00:00:00,0.31,0.34,0.25,0.29,6743187,2008
12,2008-02-22 00:00:00,0.27,0.29,0.26,0.26,1423094,2008
13,2008-02-25 00:00:00,0.26,0.29,0.26,0.27,846938,2008
14,2008-02-26 00:00:00,0.28,0.31,0.27,0.28,2478206,2008
15,2008-02-27 00:00:00,0.28,0.33,0.28,0.33,8008863,2008
16,2008-02-28 00:00:00,0.33,0.35,0.3,0.3,4827253,2008
17,2008-02-29 00:00:00,0.3,0.3,0.27,0.28,2743131,2008
18,2008-03-03 00:00:00,0.27,0.3,0.27,0.3,2459154,2008
19,2008-03-04 00:00:00,0.3,0.31,0.28,0.3,1051381,2008
20,2008-03-05 00:00:00,0.3,0.32,0.3,0.31,1451542,2008
21,2008-03-06 00:00:00,0.32,0.33,0.31,0.31,2157657,2008
22,2008-03-07 00:00:00,0.3,0.31,0.3,0.31,416122,2008
23,2008-03-10 00:00:00,0.3,0.31,0.29,0.3,287295,2008
24,2008-03-11 00:00:00,0.29,0.3,0.28,0.29,1150277,2008
25,2008-03-12 00:00:00,0.28,0.29,0.27,0.28,782166,2008
