,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-04-04 00:00:00,2.0089,2.0089,1.8602,2.0089,129697,2013
1,2013-04-05 00:00:00,2.0238,2.0238,1.7486,2.0089,47157,2013
2,2013-04-08 00:00:00,1.9718,1.9718,1.7857,1.8973,9405,2013
3,2013-04-09 00:00:00,1.9345,1.9345,1.8229,1.8973,10146,2013
4,2013-04-10 00:00:00,1.9345,1.9345,1.7486,1.9345,24366,2013
5,2013-04-11 00:00:00,1.9269999999999998,1.9345,1.8229,1.9345,6088,2013
6,2013-04-12 00:00:00,1.9269999999999998,1.9269999999999998,1.9269999999999998,1.9269999999999998,671,2013
7,2013-04-15 00:00:00,1.9345,1.9345,1.5996,1.9269999999999998,1108,2013
8,2013-04-17 00:00:00,1.5476,1.8304,1.5476,1.7039,13058,2013
9,2013-04-18 00:00:00,1.4137,1.6295,1.4137,1.6221,13730,2013
10,2013-04-19 00:00:00,1.3765,1.6221,1.3765,1.6221,3145,2013
11,2013-04-22 00:00:00,1.3765,1.3765,1.1904,1.1904,9160,2013
12,2013-04-23 00:00:00,1.1161,1.1904,0.8929,0.9896,31893,2013
13,2013-04-24 00:00:00,0.9077,1.2648,0.9077,1.2648,15156,2013
14,2013-04-26 00:00:00,1.0342,1.0789,1.0342,1.0789,3116,2013
15,2013-04-29 00:00:00,1.0789,1.0789,1.0789,1.0789,1207,2013
16,2013-04-30 00:00:00,1.1161,1.3394,1.1161,1.3394,4104,2013
17,2013-05-02 00:00:00,1.1904,1.1904,1.1904,1.1904,3777,2013
18,2013-05-07 00:00:00,1.2648,1.3244,1.2648,1.3244,1344,2013
19,2013-05-08 00:00:00,1.3244,1.3394,1.3244,1.3394,403,2013
20,2013-05-09 00:00:00,1.2277,1.3394,1.2277,1.3394,2990,2013
21,2013-05-13 00:00:00,1.1904,1.1904,1.1904,1.1904,561,2013
22,2013-05-14 00:00:00,1.1904,1.1904,1.1904,1.1904,1074,2013
23,2013-05-15 00:00:00,1.1904,1.1904,1.1904,1.1904,857,2013
24,2013-05-16 00:00:00,1.2277,1.3394,1.2277,1.3394,5887,2013
25,2013-05-17 00:00:00,1.2053,1.2277,1.2053,1.2277,2771,2013
26,2013-05-20 00:00:00,1.2724,1.2724,1.2724,1.2724,511,2013
27,2013-05-22 00:00:00,1.3467,1.5625,1.3467,1.5625,5723,2013
28,2013-05-23 00:00:00,1.3839,1.3839,1.3765,1.3765,5450,2013
29,2013-05-27 00:00:00,1.4881,1.5996,1.4881,1.5996,12258,2013
30,2013-05-28 00:00:00,1.5996,1.6369,1.5996,1.6369,11305,2013
31,2013-05-29 00:00:00,1.4881,1.7113,1.4881,1.7113,309,2013
32,2013-05-31 00:00:00,1.7113,1.7857,1.7113,1.7783,3023,2013
33,2013-06-04 00:00:00,1.6369,1.6369,1.6369,1.6369,4150,2013
34,2013-06-06 00:00:00,1.5996,1.5996,1.5996,1.5996,4126,2013
35,2013-06-07 00:00:00,1.7708,1.7708,1.5996,1.5996,1234,2013
36,2013-06-10 00:00:00,1.5996,1.5996,1.5996,1.5996,1052,2013
37,2013-06-11 00:00:00,1.5996,1.7783,1.5996,1.7783,2018,2013
38,2013-06-12 00:00:00,1.5996,1.6072,1.5996,1.6072,2016,2013
39,2013-06-14 00:00:00,1.7113,1.7113,1.7113,1.7113,2359,2013
40,2013-06-17 00:00:00,1.6072,1.7261,1.6072,1.7261,4621,2013
41,2013-06-18 00:00:00,1.5625,1.5625,1.5625,1.5625,2688,2013
42,2013-06-19 00:00:00,1.5775,1.5775,1.5775,1.5775,28,2013
43,2013-06-20 00:00:00,1.5775,1.6518,1.5775,1.6518,2725,2013
44,2013-06-24 00:00:00,1.5923,1.6221,1.5848,1.6221,9492,2013
45,2013-06-25 00:00:00,1.6740000000000002,1.7337,1.6740000000000002,1.7337,6722,2013
46,2013-06-26 00:00:00,1.6221,1.6221,1.5625,1.5699,19962,2013
47,2013-06-28 00:00:00,1.5996,1.7113,1.5996,1.7113,2954,2013
48,2013-07-01 00:00:00,1.5625,1.7039,1.5625,1.7039,1347,2013
49,2013-07-02 00:00:00,1.5030000000000001,1.6369,1.4881,1.6369,3130,2013
50,2013-07-10 00:00:00,1.555,1.555,1.555,1.555,67,2013
51,2013-07-11 00:00:00,1.5030000000000001,1.6369,1.5030000000000001,1.6369,1441,2013
52,2013-07-12 00:00:00,1.6369,1.6369,1.6369,1.6369,3178,2013
53,2013-07-16 00:00:00,1.4881,1.6369,1.4881,1.6369,4350,2013
54,2013-07-18 00:00:00,1.4881,1.6369,1.4137,1.6369,4349,2013
55,2013-07-19 00:00:00,1.4137,1.6295,1.4137,1.6295,19516,2013
56,2013-07-22 00:00:00,1.4137,1.4137,1.4137,1.4137,644,2013
57,2013-07-23 00:00:00,1.4137,1.4137,1.4137,1.4137,66,2013
58,2013-07-25 00:00:00,1.4211,1.4211,1.4137,1.4137,11424,2013
59,2013-07-26 00:00:00,1.4211,1.4211,1.4211,1.4211,1344,2013
60,2013-07-29 00:00:00,1.3467,1.4137,1.3467,1.4137,1634,2013
61,2013-07-30 00:00:00,1.4137,1.4137,1.4137,1.4137,135,2013
62,2013-07-31 00:00:00,1.4881,1.4881,1.4881,1.4881,268,2013
63,2013-08-02 00:00:00,1.4285,1.4881,1.3467,1.4881,7694,2013
64,2013-08-05 00:00:00,1.4137,1.4137,1.4137,1.4137,1748,2013
65,2013-08-06 00:00:00,1.3616,1.3616,1.3616,1.3616,2658,2013
66,2013-08-07 00:00:00,1.3394,1.3394,1.2946,1.2946,5085,2013
67,2013-08-08 00:00:00,1.183,1.2277,1.183,1.2277,3792,2013
68,2013-08-12 00:00:00,1.2946,1.3095,1.2872,1.3095,1494,2013
69,2013-08-13 00:00:00,1.3244,1.3394,1.3244,1.3394,3058,2013
70,2013-08-14 00:00:00,1.3616,1.4807,1.3542,1.4807,13126,2013
71,2013-08-16 00:00:00,1.3913,1.3913,1.3913,1.3913,1079,2013
72,2013-08-19 00:00:00,1.3913,1.3913,1.3616,1.3616,3658,2013
73,2013-08-20 00:00:00,1.3394,1.555,1.3394,1.4881,18162,2013
74,2013-08-21 00:00:00,1.5327,1.5327,1.3542,1.3542,2421,2013
75,2013-08-22 00:00:00,1.3542,1.3542,1.3542,1.3542,1616,2013
76,2013-08-23 00:00:00,1.3542,1.3542,1.3542,1.3542,2259,2013
77,2013-08-26 00:00:00,1.3765,1.3989,1.3765,1.3989,2956,2013
78,2013-08-27 00:00:00,1.3765,1.3765,1.3765,1.3765,1774,2013
79,2013-08-28 00:00:00,1.3765,1.3765,1.3765,1.3765,1788,2013
80,2013-08-29 00:00:00,1.3765,1.3765,1.3765,1.3765,2299,2013
81,2013-08-30 00:00:00,1.3765,1.4732,1.3765,1.4732,3718,2013
82,2013-09-02 00:00:00,1.4732,1.5476,1.4509999999999998,1.5476,7656,2013
83,2013-09-05 00:00:00,1.3394,1.3394,1.3394,1.3394,6921,2013
84,2013-09-06 00:00:00,1.5253,1.5253,1.5253,1.5253,11,2013
85,2013-09-09 00:00:00,1.4285,1.4881,1.4285,1.4881,1171,2013
86,2013-09-10 00:00:00,1.4881,1.4881,1.3394,1.3394,3804,2013
87,2013-09-11 00:00:00,1.4881,1.4881,1.4881,1.4881,4,2013
88,2013-09-12 00:00:00,1.4881,1.5030000000000001,1.4881,1.5030000000000001,14280,2013
