,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2009-05-19 00:00:00,128.8,137.6,81.0,81.0,2989,2009
1,2009-05-20 00:00:00,82.2,96.0,66.0,75.0,2481,2009
2,2009-05-21 00:00:00,83.2,88.0,66.6,76.0,799,2009
3,2009-05-22 00:00:00,76.0,78.0,68.2,78.0,10,2009
4,2009-05-25 00:00:00,70.0,78.4,70.0,72.0,128,2009
5,2009-05-26 00:00:00,71.0,75.8,71.0,75.8,22,2009
6,2009-05-27 00:00:00,75.0,75.0,70.0,70.0,33,2009
7,2009-05-28 00:00:00,74.4,77.8,70.0,77.8,81,2009
8,2009-06-01 00:00:00,74.0,76.6,74.0,76.6,28,2009
9,2009-06-02 00:00:00,77.8,77.8,77.8,77.8,13,2009
10,2009-06-03 00:00:00,77.0,89.0,74.0,77.8,36,2009
11,2009-06-04 00:00:00,70.0,77.8,68.0,77.8,93,2009
12,2009-06-05 00:00:00,77.8,77.8,76.0,76.0,8,2009
13,2009-06-09 00:00:00,78.0,78.0,78.0,78.0,3,2009
14,2009-06-10 00:00:00,80.0,80.0,67.0,71.0,37,2009
15,2009-06-12 00:00:00,79.0,79.0,79.0,79.0,1,2009
16,2009-06-15 00:00:00,72.0,77.0,72.0,77.0,105,2009
17,2009-06-16 00:00:00,77.0,77.0,77.0,77.0,5,2009
18,2009-06-17 00:00:00,72.0,76.8,72.0,76.8,21,2009
19,2009-06-18 00:00:00,77.8,77.8,77.8,77.8,10,2009
20,2009-06-19 00:00:00,72.0,76.0,68.6,75.8,18,2009
21,2009-06-22 00:00:00,69.0,75.4,69.0,74.6,45,2009
22,2009-06-23 00:00:00,69.0,74.0,66.0,72.8,43,2009
23,2009-06-24 00:00:00,72.8,76.8,72.8,76.8,13,2009
24,2009-06-25 00:00:00,75.8,75.8,75.8,75.8,15,2009
25,2009-06-26 00:00:00,75.8,75.8,75.8,75.8,0,2009
26,2009-06-29 00:00:00,75.8,75.8,75.8,75.8,0,2009
27,2009-06-30 00:00:00,75.8,75.8,75.8,75.8,3,2009
28,2009-07-01 00:00:00,75.8,75.8,75.8,75.8,3,2009
29,2009-07-02 00:00:00,72.0,73.0,72.0,73.0,15,2009
30,2009-07-03 00:00:00,75.6,75.6,75.6,75.6,3,2009
31,2009-07-07 00:00:00,75.6,75.6,62.0,62.0,118,2009
32,2009-07-08 00:00:00,56.4,71.0,56.4,70.8,29,2009
33,2009-07-09 00:00:00,62.0,69.6,57.0,69.6,156,2009
34,2009-07-16 00:00:00,68.0,68.0,56.0,66.0,28,2009
35,2009-07-17 00:00:00,67.2,70.0,67.2,70.0,34,2009
36,2009-07-21 00:00:00,70.0,72.0,70.0,72.0,16,2009
37,2009-07-22 00:00:00,70.0,77.8,70.0,77.8,146,2009
38,2009-07-23 00:00:00,70.0,76.8,66.2,66.2,62,2009
39,2009-07-24 00:00:00,65.8,67.0,65.8,67.0,63,2009
40,2009-07-27 00:00:00,73.2,73.2,66.0,66.0,16,2009
41,2009-07-28 00:00:00,64.4,69.0,62.4,69.0,109,2009
42,2009-07-29 00:00:00,72.8,73.2,72.8,73.2,3,2009
43,2009-07-30 00:00:00,68.0,68.0,68.0,68.0,62,2009
44,2009-08-04 00:00:00,68.0,68.0,68.0,68.0,0,2009
45,2009-08-05 00:00:00,63.2,66.0,62.0,66.0,61,2009
46,2009-08-06 00:00:00,68.0,68.0,68.0,68.0,23,2009
47,2009-08-07 00:00:00,66.0,68.0,66.0,68.0,173,2009
48,2009-08-10 00:00:00,68.0,75.6,68.0,75.6,44,2009
49,2009-08-11 00:00:00,72.0,75.6,72.0,75.6,2,2009
50,2009-08-14 00:00:00,75.8,75.8,75.8,75.8,3,2009
51,2009-08-24 00:00:00,64.2,64.2,64.2,64.2,50,2009
52,2009-08-25 00:00:00,73.6,73.6,67.0,73.2,103,2009
53,2009-08-27 00:00:00,73.2,73.2,64.0,68.0,58,2009
54,2009-08-31 00:00:00,68.0,75.0,66.6,73.0,535,2009
55,2009-09-01 00:00:00,68.0,75.0,67.2,73.8,1092,2009
56,2009-09-02 00:00:00,66.4,74.2,66.4,68.0,691,2009
57,2009-09-04 00:00:00,66.0,74.8,65.6,73.0,416,2009
58,2009-09-07 00:00:00,68.0,72.8,67.0,72.8,269,2009
59,2009-09-08 00:00:00,67.0,72.4,65.8,71.8,898,2009
60,2009-09-09 00:00:00,69.4,69.4,63.4,67.8,487,2009
61,2009-09-10 00:00:00,61.8,67.4,61.8,67.4,340,2009
62,2009-09-11 00:00:00,64.0,72.6,63.0,68.0,362,2009
63,2009-09-14 00:00:00,63.0,67.8,60.6,67.8,197,2009
64,2009-09-15 00:00:00,60.2,71.0,60.2,70.8,454,2009
65,2009-09-16 00:00:00,63.0,68.4,62.6,68.4,220,2009
66,2009-09-17 00:00:00,66.8,66.8,60.0,60.0,111,2009
67,2009-09-18 00:00:00,60.0,63.8,60.0,63.8,49,2009
68,2009-09-21 00:00:00,62.6,62.6,62.6,62.6,5,2009
69,2009-09-22 00:00:00,62.2,62.4,62.2,62.4,56,2009
70,2009-09-24 00:00:00,63.6,63.6,63.6,63.6,1,2009
71,2009-09-25 00:00:00,60.4,60.4,60.0,60.0,59,2009
72,2009-09-28 00:00:00,63.2,63.2,63.2,63.2,1,2009
73,2009-09-29 00:00:00,63.2,63.2,56.4,60.0,115,2009
74,2009-09-30 00:00:00,57.2,60.8,57.2,60.8,55,2009
75,2009-10-01 00:00:00,57.4,59.8,57.2,59.8,121,2009
76,2009-10-02 00:00:00,59.8,59.8,54.4,58.6,126,2009
77,2009-10-06 00:00:00,58.6,59.0,54.4,58.0,106,2009
78,2009-10-07 00:00:00,59.0,62.0,55.2,56.0,255,2009
79,2009-10-08 00:00:00,56.0,59.0,56.0,59.0,25,2009
80,2009-10-09 00:00:00,56.2,59.4,56.2,59.4,40,2009
81,2009-10-12 00:00:00,59.8,60.0,56.2,60.0,78,2009
82,2009-10-13 00:00:00,61.6,61.6,56.4,60.0,107,2009
83,2009-10-14 00:00:00,60.4,60.4,60.4,60.4,0,2009
84,2009-10-15 00:00:00,60.4,60.4,57.0,57.0,25,2009
85,2009-10-16 00:00:00,60.8,61.2,56.0,61.2,131,2009
86,2009-10-19 00:00:00,60.8,61.0,56.0,61.0,122,2009
87,2009-10-20 00:00:00,58.0,58.0,58.0,58.0,2,2009
88,2009-10-21 00:00:00,60.8,60.8,55.8,56.0,274,2009
89,2009-10-22 00:00:00,57.6,58.0,54.4,58.0,293,2009
90,2009-10-23 00:00:00,55.2,58.0,55.0,58.0,53,2009
91,2009-10-26 00:00:00,56.6,57.8,52.2,56.0,85,2009
92,2009-10-27 00:00:00,57.6,57.6,57.6,57.6,0,2009
93,2009-10-28 00:00:00,50.6,57.4,50.6,57.4,100,2009
94,2009-10-29 00:00:00,57.0,57.0,50.6,56.2,203,2009
95,2009-10-30 00:00:00,50.6,56.0,50.6,56.0,151,2009
96,2009-11-02 00:00:00,50.6,56.0,50.6,56.0,248,2009
97,2009-11-03 00:00:00,55.4,55.4,50.4,55.4,193,2009
98,2009-11-04 00:00:00,56.0,59.8,52.0,55.8,114,2009
99,2009-11-05 00:00:00,56.0,56.0,51.2,55.8,345,2009
100,2009-11-06 00:00:00,58.2,58.2,58.2,58.2,1,2009
