,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2017-11-10 00:00:00,8.29,8.29,6.21,6.21,5873,2017
1,2017-11-13 00:00:00,6.16,6.16,5.5,5.98,1713,2017
2,2017-11-14 00:00:00,6.0,7.2,5.6,6.65,4081,2017
3,2017-11-15 00:00:00,6.65,6.65,5.6,6.2,5040,2017
4,2017-11-16 00:00:00,6.2,6.2,5.8,6.0,188,2017
5,2017-11-17 00:00:00,5.8,6.19,5.4,6.19,452,2017
6,2017-11-20 00:00:00,5.9,6.2,5.8,6.2,755,2017
7,2017-11-21 00:00:00,5.81,6.9,5.7,6.32,1155,2017
8,2017-11-22 00:00:00,6.32,6.5,5.9,6.5,357,2017
9,2017-11-24 00:00:00,6.43,6.43,5.8,6.0,1006,2017
10,2017-11-27 00:00:00,5.6,5.6,4.57,5.32,5347,2017
11,2017-11-28 00:00:00,5.0,5.0,4.6,4.9,582,2017
12,2017-11-29 00:00:00,4.9,4.9,3.92,3.92,6259,2017
13,2017-11-30 00:00:00,4.19,4.19,3.8,3.97,1542,2017
14,2017-12-01 00:00:00,3.97,4.5,3.97,4.5,1360,2017
15,2017-12-04 00:00:00,4.6,4.8,4.6,4.8,95,2017
16,2017-12-05 00:00:00,4.5,4.5,3.75,4.4,1440,2017
17,2017-12-06 00:00:00,4.4,4.4,3.76,4.39,1110,2017
18,2017-12-07 00:00:00,3.9,4.19,3.7,4.0,5468,2017
19,2017-12-08 00:00:00,3.9,4.13,3.9,4.13,440,2017
20,2017-12-11 00:00:00,4.13,4.13,3.9,4.12,170,2017
21,2017-12-12 00:00:00,3.9,4.12,3.9,3.9,3240,2017
22,2017-12-13 00:00:00,3.9,4.6,3.9,4.0,2868,2017
23,2017-12-14 00:00:00,4.29,4.29,4.19,4.29,100,2017
24,2017-12-15 00:00:00,4.29,4.29,4.1,4.1,560,2017
25,2017-12-18 00:00:00,4.29,4.39,3.9,4.0,32865,2017
26,2017-12-19 00:00:00,4.13,4.59,4.13,4.59,707,2017
27,2017-12-20 00:00:00,4.56,4.7,4.56,4.65,922,2017
28,2017-12-21 00:00:00,4.65,4.65,4.65,4.65,10,2017
29,2017-12-22 00:00:00,4.55,4.78,4.55,4.78,11504,2017
30,2017-12-28 00:00:00,4.5,4.5,4.39,4.4,2510,2017
31,2017-12-29 00:00:00,4.45,4.45,4.35,4.4,3076,2017
32,2018-01-03 00:00:00,4.3,4.39,4.1,4.1,350,2018
33,2018-01-04 00:00:00,4.15,4.19,4.15,4.19,50,2018
34,2018-01-05 00:00:00,4.18,4.18,3.9,4.15,10178,2018
35,2018-01-08 00:00:00,4.19,4.3,4.19,4.3,337,2018
36,2018-01-10 00:00:00,4.3,4.5,4.2,4.39,115,2018
37,2018-01-11 00:00:00,4.39,4.39,4.39,4.39,5,2018
38,2018-01-12 00:00:00,4.39,4.39,3.61,4.1,1112,2018
39,2018-01-15 00:00:00,3.85,3.85,3.8,3.8,705,2018
40,2018-01-16 00:00:00,3.8,3.93,3.7,3.93,1235,2018
41,2018-01-17 00:00:00,3.93,3.98,3.93,3.98,510,2018
42,2018-01-18 00:00:00,3.98,3.98,3.8,3.8,290,2018
43,2018-01-19 00:00:00,3.86,3.86,3.86,3.86,5,2018
44,2018-01-22 00:00:00,3.86,3.86,3.86,3.86,50,2018
45,2018-01-24 00:00:00,3.87,3.87,3.6,3.6,15,2018
46,2018-01-25 00:00:00,3.86,3.99,3.86,3.99,100,2018
