,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2019-05-08 00:00:00,7.8347,11.752,5.5303,11.752,25738,2019
1,2019-05-09 00:00:00,14.103,16.775,12.905,15.946,34333,2019
2,2019-05-10 00:00:00,14.01,14.748,11.982000000000001,11.982000000000001,11733,2019
3,2019-05-13 00:00:00,11.338,11.384,7.8347,9.1712,22449,2019
4,2019-05-14 00:00:00,9.1252,12.443,8.2956,10.139,24695,2019
5,2019-05-15 00:00:00,11.880999999999998,14.01,11.522,13.817,18818,2019
6,2019-05-16 00:00:00,14.84,17.421,12.175999999999998,13.089,45081,2019
7,2019-05-17 00:00:00,14.470999999999998,15.578,13.918,14.655999999999999,13715,2019
8,2019-05-20 00:00:00,14.748,15.024000000000001,13.640999999999998,14.470999999999998,4084,2019
9,2019-05-21 00:00:00,13.273,13.503,12.185,13.171,3244,2019
10,2019-05-22 00:00:00,13.282,13.282,10.876,10.876,6815,2019
11,2019-05-23 00:00:00,11.475999999999999,13.089,10.876,12.435,3543,2019
12,2019-05-24 00:00:00,12.72,12.72,11.199000000000002,12.047,2391,2019
13,2019-05-27 00:00:00,12.157,12.259,11.522,12.259,1078,2019
14,2019-05-28 00:00:00,11.623,12.886,10.139,11.199000000000002,8724,2019
15,2019-05-29 00:00:00,11.927,11.927,10.415999999999999,11.06,992,2019
16,2019-05-30 00:00:00,10.876,11.06,10.738,10.738,1584,2019
17,2019-05-31 00:00:00,10.185,11.43,10.139,10.342,1147,2019
18,2019-06-03 00:00:00,10.415999999999999,11.06,10.15,10.6,1710,2019
19,2019-06-04 00:00:00,10.139,10.6,9.771,9.955,4188,2019
20,2019-06-05 00:00:00,10.231,10.323,9.4474,9.863,2579,2019
21,2019-06-06 00:00:00,9.863,9.863,8.7564,9.2173,2093,2019
22,2019-06-07 00:00:00,8.8486,9.679,8.3878,9.679,4009,2019
23,2019-06-10 00:00:00,9.586,9.679,8.5076,8.7564,5838,2019
24,2019-06-11 00:00:00,8.7656,9.669,8.7564,9.586,4434,2019
25,2019-06-12 00:00:00,9.4014,9.539,8.3878,8.5721,1787,2019
26,2019-06-13 00:00:00,8.5997,9.116,8.5997,9.116,416,2019
27,2019-06-14 00:00:00,9.033,9.2173,8.8486,9.2173,320,2019
28,2019-06-17 00:00:00,9.2173,9.2173,8.4818,8.6643,694,2019
29,2019-06-18 00:00:00,8.5076,8.6643,7.6688,7.9085,4921,2019
30,2019-06-19 00:00:00,7.8992,8.2219,7.7057,7.7057,2932,2019
31,2019-06-21 00:00:00,7.7794,8.2035,7.7794,8.2035,468,2019
32,2019-06-24 00:00:00,8.019,8.019,7.6688,7.6964,851,2019
33,2019-06-25 00:00:00,7.8347,8.2956,7.8347,7.8347,853,2019
34,2019-06-26 00:00:00,8.2035,8.2035,7.5582,7.7241,1513,2019
35,2019-06-27 00:00:00,7.5398,7.5398,6.8208,7.1895,3712,2019
36,2019-06-28 00:00:00,7.1895,8.1112,7.0421,8.102,4688,2019
37,2019-07-01 00:00:00,7.9269,8.6735,7.9269,8.2956,3090,2019
38,2019-07-02 00:00:00,8.1297,8.1297,7.3739,7.4661,3176,2019
39,2019-07-03 00:00:00,7.385,7.9177,7.3739,7.7794,2981,2019
40,2019-07-04 00:00:00,7.7887,7.9269,7.4661,7.9269,2035,2019
41,2019-07-05 00:00:00,7.5213,7.8255,7.4015,7.8255,915,2019
42,2019-07-08 00:00:00,7.8255,7.8347,7.3932,7.8255,505,2019
43,2019-07-09 00:00:00,8.2271,8.2271,7.0518,7.4925,4245,2019
44,2019-07-10 00:00:00,7.4915,7.6786,7.3652,7.5415,1771,2019
45,2019-07-11 00:00:00,7.5415,7.5415,7.4435,7.4435,48,2019
46,2019-07-12 00:00:00,7.3456,7.5806,7.0518,7.5806,1809,2019
47,2019-07-15 00:00:00,7.1507,7.2457,7.0537,7.2476,1316,2019
48,2019-07-16 00:00:00,7.3848,7.3848,7.0537,7.3456,675,2019
49,2019-07-17 00:00:00,7.3299,7.3299,7.0518,7.3162,1681,2019
50,2019-07-18 00:00:00,7.0714,7.2868,7.0714,7.2476,143,2019
51,2019-07-19 00:00:00,7.1105,7.1987,7.1007,7.1497,1540,2019
52,2019-07-22 00:00:00,6.8755,7.1497,6.4641,6.4739,4962,2019
53,2019-07-23 00:00:00,6.5033,6.5131,5.6806,6.4641,15584,2019
54,2019-07-24 00:00:00,6.4602,7.0518,6.3662,6.66,4908,2019
55,2019-07-25 00:00:00,6.6404,6.6404,6.0919,6.3662,7182,2019
56,2019-07-26 00:00:00,6.3662,6.4641,6.0919,6.0919,824,2019
57,2019-07-29 00:00:00,6.0919,6.3172,6.0919,6.3172,598,2019
58,2019-07-30 00:00:00,6.4151,6.4151,6.0959,6.4151,362,2019
59,2019-07-31 00:00:00,6.3466,6.3466,6.1703,6.3260000000000005,1861,2019
60,2019-08-01 00:00:00,6.3260000000000005,6.3260000000000005,6.3260000000000005,6.3260000000000005,64,2019
61,2019-08-02 00:00:00,6.2584,6.2584,5.9744,5.9744,840,2019
62,2019-08-05 00:00:00,6.2486,6.3662,5.9862,6.0724,945,2019
63,2019-08-06 00:00:00,6.0724,6.4151,5.9754,6.4151,1038,2019
64,2019-08-07 00:00:00,6.3662,8.6188,6.3662,8.0312,14956,2019
65,2019-08-08 00:00:00,8.0312,9.4513,8.0312,8.6678,3751,2019
66,2019-08-09 00:00:00,8.7168,11.652999999999999,8.7168,10.607000000000001,21293,2019
67,2019-08-12 00:00:00,9.912,11.763,9.912,11.067,8082,2019
68,2019-08-13 00:00:00,11.360999999999999,12.732000000000001,10.088,10.774000000000001,10478,2019
69,2019-08-14 00:00:00,11.44,11.44,9.3632,9.775,4857,2019
70,2019-08-16 00:00:00,9.706,9.775,7.7667,9.3044,2666,2019
71,2019-08-19 00:00:00,9.0106,9.597999999999999,8.1516,8.6276,5357,2019
72,2019-08-20 00:00:00,9.3034,9.3034,8.1977,8.7755,1396,2019
73,2019-08-21 00:00:00,8.991,8.991,8.1095,8.2026,680,2019
74,2019-08-22 00:00:00,8.7148,9.1085,8.2026,8.4131,750,2019
75,2019-08-26 00:00:00,7.8353,8.3152,7.7374,8.1291,2979,2019
76,2019-08-27 00:00:00,7.7374,8.1281,7.3554,7.5415,813,2019
77,2019-08-28 00:00:00,7.3652,8.8245,7.3652,8.8245,4487,2019
78,2019-08-29 00:00:00,8.9224,10.578,8.9224,10.578,13044,2019
79,2019-08-30 00:00:00,10.284,10.48,9.5,10.088,5956,2019
80,2019-09-02 00:00:00,10.284,10.284,9.2065,9.4024,2645,2019
81,2019-09-03 00:00:00,10.284,10.284,9.0596,9.2554,2790,2019
82,2019-09-04 00:00:00,9.2554,9.4611,8.4425,8.7168,2193,2019
83,2019-09-05 00:00:00,9.0057,9.0498,8.5111,9.0498,731,2019
84,2019-09-06 00:00:00,9.1281,9.794,9.1281,9.597999999999999,2280,2019
85,2019-09-09 00:00:00,9.597999999999999,10.107999999999999,9.4513,10.039,1329,2019
86,2019-09-10 00:00:00,9.657,10.068,9.5,9.892000000000001,1104,2019
87,2019-09-11 00:00:00,9.941,11.753,9.941,10.774000000000001,10504,2019
88,2019-09-12 00:00:00,10.685,12.145,10.137,11.459000000000001,10715,2019
89,2019-09-13 00:00:00,11.459000000000001,11.459000000000001,10.284,10.284,3561,2019
90,2019-09-16 00:00:00,11.214,11.263,10.482000000000001,11.263,2003,2019
91,2019-09-17 00:00:00,11.459000000000001,11.655,10.186,10.186,2792,2019
92,2019-09-18 00:00:00,10.343,11.017999999999999,10.039,10.039,1649,2019
93,2019-09-19 00:00:00,10.043,10.774000000000001,9.4024,10.774000000000001,1820,2019
94,2019-09-20 00:00:00,10.774000000000001,10.774000000000001,10.284,10.284,387,2019
95,2019-09-23 00:00:00,10.725,10.725,9.4513,10.107999999999999,1027,2019
96,2019-09-24 00:00:00,9.696,10.186,9.597999999999999,10.186,2648,2019
97,2019-09-25 00:00:00,10.205,10.529000000000002,10.137,10.529000000000002,408,2019
98,2019-09-26 00:00:00,10.529000000000002,10.674000000000001,10.01,10.587,149,2019
99,2019-09-27 00:00:00,9.99,10.774000000000001,9.99,10.529000000000002,694,2019
100,2019-09-30 00:00:00,10.205,10.205,10.088,10.088,882,2019
101,2019-10-01 00:00:00,10.48,10.48,10.088,10.088,163,2019
102,2019-10-02 00:00:00,10.127,10.127,10.127,10.127,1,2019
103,2019-10-03 00:00:00,10.088,10.088,9.696,9.696,439,2019
104,2019-10-04 00:00:00,9.706,9.706,9.696,9.696,306,2019
105,2019-10-07 00:00:00,10.0,10.284,9.99,10.284,397,2019
106,2019-10-08 00:00:00,9.735,9.99,9.735,9.99,56,2019
107,2019-10-10 00:00:00,10.284,11.263,10.284,10.823,3647,2019
