,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2018-05-25 00:00:00,22.0,32.9,18.0,32.0,130417,2018
1,2018-05-28 00:00:00,32.3,36.0,28.0,31.0,58601,2018
2,2018-05-29 00:00:00,30.8,34.0,26.5,32.0,32841,2018
3,2018-05-30 00:00:00,32.99,35.0,28.3,35.0,31045,2018
4,2018-06-01 00:00:00,32.02,37.99,30.6,30.9,10845,2018
5,2018-06-04 00:00:00,32.4,32.58,28.85,31.0,3203,2018
6,2018-06-05 00:00:00,31.0,33.79,28.9,32.35,4888,2018
7,2018-06-06 00:00:00,33.2,33.7,30.0,33.7,4299,2018
8,2018-06-07 00:00:00,33.5,35.0,31.4,34.0,8170,2018
9,2018-06-08 00:00:00,34.0,34.0,31.5,33.45,1575,2018
10,2018-06-11 00:00:00,33.65,33.66,31.18,31.2,3304,2018
11,2018-06-12 00:00:00,32.9,32.9,31.0,31.0,298,2018
12,2018-06-13 00:00:00,31.94,31.94,30.5,30.6,484,2018
13,2018-06-14 00:00:00,31.0,31.92,30.5,31.8,1486,2018
14,2018-06-15 00:00:00,31.91,32.9,31.0,31.0,2131,2018
15,2018-06-18 00:00:00,32.37,32.37,30.7,32.34,1004,2018
16,2018-06-19 00:00:00,32.0,32.79,31.5,32.79,268,2018
17,2018-06-20 00:00:00,32.9,35.6,32.8,35.6,10694,2018
18,2018-06-21 00:00:00,35.59,36.4,32.5,36.4,12015,2018
19,2018-06-22 00:00:00,36.4,36.4,33.8,35.5,2283,2018
20,2018-06-25 00:00:00,35.9,35.9,33.71,34.25,1119,2018
21,2018-06-26 00:00:00,34.77,34.77,31.36,33.4,3806,2018
22,2018-06-27 00:00:00,33.4,34.0,31.5,34.0,5014,2018
23,2018-06-28 00:00:00,34.3,36.0,32.3,36.0,8107,2018
24,2018-06-29 00:00:00,35.5,38.0,34.5,38.0,6895,2018
25,2018-07-02 00:00:00,38.0,38.9,36.0,36.0,7177,2018
26,2018-07-03 00:00:00,37.22,37.22,34.5,36.68,600,2018
27,2018-07-04 00:00:00,36.7,37.9,36.7,37.9,775,2018
28,2018-07-05 00:00:00,35.61,38.9,35.61,38.9,2072,2018
29,2018-07-06 00:00:00,38.9,39.0,37.6,38.31,2002,2018
30,2018-07-09 00:00:00,38.95,39.89,36.51,39.7,4437,2018
31,2018-07-10 00:00:00,39.8,41.2,39.7,41.0,3952,2018
32,2018-07-11 00:00:00,41.5,49.0,41.5,43.48,15815,2018
33,2018-07-12 00:00:00,45.0,45.0,43.52,43.52,14350,2018
34,2018-07-13 00:00:00,43.5,44.95,43.5,43.94,4819,2018
35,2018-07-16 00:00:00,45.57,45.57,43.01,43.96,3611,2018
36,2018-07-17 00:00:00,44.9,44.9,42.6,43.7,3770,2018
37,2018-07-18 00:00:00,43.6,43.6,43.0,43.4,2722,2018
38,2018-07-19 00:00:00,44.4,44.4,42.9,43.75,3035,2018
39,2018-07-20 00:00:00,43.98,44.1,43.0,43.0,4623,2018
40,2018-07-23 00:00:00,42.7,43.0,42.0,43.0,2627,2018
41,2018-07-24 00:00:00,43.0,43.0,42.1,42.85,3093,2018
42,2018-07-25 00:00:00,43.0,43.0,42.2,42.2,3058,2018
43,2018-07-26 00:00:00,44.2,44.2,40.4,42.99,3651,2018
44,2018-07-27 00:00:00,43.21,44.9,42.71,43.78,12048,2018
45,2018-07-30 00:00:00,44.0,47.7,44.0,44.1,32431,2018
46,2018-07-31 00:00:00,44.5,46.5,43.42,46.5,7769,2018
47,2018-08-01 00:00:00,46.4,46.4,45.0,45.85,7641,2018
48,2018-08-02 00:00:00,46.09,49.5,46.0,49.5,17882,2018
49,2018-08-03 00:00:00,51.5,55.55,50.5,53.0,39897,2018
50,2018-08-06 00:00:00,54.0,54.85,48.6,50.6,10553,2018
51,2018-08-07 00:00:00,50.0,50.0,46.7,48.5,9281,2018
52,2018-08-08 00:00:00,50.79,51.8,48.0,48.11,9175,2018
53,2018-08-09 00:00:00,49.6,49.6,45.5,46.95,8968,2018
54,2018-08-10 00:00:00,47.2,47.39,44.0,46.14,19301,2018
55,2018-08-13 00:00:00,46.15,48.6,45.01,46.0,34826,2018
56,2018-08-14 00:00:00,46.5,47.75,45.51,46.9,19317,2018
57,2018-08-16 00:00:00,35.0,40.0,29.0,30.8,101551,2018
58,2018-08-17 00:00:00,32.8,32.87,27.5,31.35,73518,2018
59,2018-08-20 00:00:00,32.0,32.99,30.0,30.0,22624,2018
60,2018-08-21 00:00:00,29.1,31.59,28.0,31.5,14179,2018
61,2018-08-22 00:00:00,30.91,31.6,29.5,30.0,14075,2018
62,2018-08-23 00:00:00,30.19,30.19,26.0,27.3,21253,2018
63,2018-08-24 00:00:00,27.5,29.51,27.0,28.6,7353,2018
64,2018-08-27 00:00:00,30.0,30.0,27.04,27.04,11887,2018
65,2018-08-28 00:00:00,27.95,27.95,24.9,25.9,7945,2018
66,2018-08-29 00:00:00,24.51,28.0,23.9,27.7,13473,2018
67,2018-08-30 00:00:00,28.0,28.65,26.22,27.45,4643,2018
68,2018-08-31 00:00:00,27.4,27.4,24.5,24.75,7175,2018
69,2018-09-03 00:00:00,25.5,25.5,22.65,24.4,8149,2018
70,2018-09-04 00:00:00,24.9,24.9,19.92,20.25,22665,2018
71,2018-09-05 00:00:00,21.0,21.8,18.15,20.98,22513,2018
72,2018-09-06 00:00:00,20.11,20.98,18.5,20.95,11216,2018
73,2018-09-07 00:00:00,20.5,20.5,18.5,19.13,8276,2018
74,2018-09-10 00:00:00,19.49,19.7,17.0,17.99,5890,2018
75,2018-09-11 00:00:00,19.05,19.8,17.6,18.89,6576,2018
76,2018-09-12 00:00:00,19.35,19.5,18.17,19.35,1903,2018
77,2018-09-13 00:00:00,19.39,21.7,19.0,20.88,4985,2018
78,2018-09-14 00:00:00,20.9,23.8,20.9,22.99,16356,2018
79,2018-09-17 00:00:00,23.0,23.49,21.12,21.12,3537,2018
80,2018-09-18 00:00:00,22.0,22.0,21.01,21.01,1483,2018
81,2018-09-19 00:00:00,21.94,21.94,19.91,20.0,3427,2018
82,2018-09-20 00:00:00,21.0,21.0,18.5,18.75,4867,2018
83,2018-09-21 00:00:00,20.0,20.49,19.1,19.6,2111,2018
84,2018-09-24 00:00:00,20.44,20.44,19.7,19.7,973,2018
85,2018-09-25 00:00:00,20.08,20.08,18.4,19.5,322,2018
86,2018-09-26 00:00:00,19.85,20.3,16.2,17.42,16616,2018
87,2018-09-27 00:00:00,17.42,17.42,16.3,16.46,15334,2018
88,2018-09-28 00:00:00,16.5,17.19,16.4,16.42,6921,2018
89,2018-10-01 00:00:00,16.5,17.0,14.11,16.79,50917,2018
90,2018-10-02 00:00:00,17.29,17.3,16.3,16.3,9255,2018
91,2018-10-03 00:00:00,16.86,16.86,16.13,16.32,2841,2018
92,2018-10-04 00:00:00,16.31,17.0,16.0,16.36,3226,2018
93,2018-10-05 00:00:00,16.7,16.7,15.95,16.49,1874,2018
94,2018-10-08 00:00:00,16.5,16.5,15.0,15.5,4520,2018
95,2018-10-09 00:00:00,15.48,16.49,14.75,15.5,5165,2018
96,2018-10-10 00:00:00,15.5,16.1,15.0,15.1,12749,2018
97,2018-10-11 00:00:00,14.6,16.0,14.22,16.0,3240,2018
