,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-12-06 00:00:00,4.7736,4.8672,4.7268,4.8391,6942,2011
1,2011-12-07 00:00:00,4.8672,4.9608,4.8204,4.8204,646,2011
2,2011-12-08 00:00:00,4.8672,4.8672,4.8486,4.8578,1124,2011
3,2011-12-09 00:00:00,4.8111,4.8111,4.7736,4.7736,4,2011
4,2011-12-12 00:00:00,5.5224,5.5224,4.7736,5.4755,46,2011
5,2011-12-13 00:00:00,5.4943,5.4943,4.914,5.3446,2011,2011
6,2011-12-14 00:00:00,5.3446,5.3446,4.7923,5.3071,7,2011
7,2011-12-15 00:00:00,5.3071,5.3071,5.3071,5.3071,2,2011
8,2011-12-16 00:00:00,5.2416,5.2416,5.2416,5.2416,4,2011
9,2011-12-19 00:00:00,5.3165,5.3165,5.2416,5.2416,105,2011
10,2011-12-20 00:00:00,5.3165,5.3165,5.3165,5.3165,4,2011
11,2011-12-21 00:00:00,5.3165,5.3165,4.7549,4.7549,462,2011
12,2011-12-22 00:00:00,5.3165,5.3165,5.3165,5.3165,4,2011
13,2011-12-23 00:00:00,5.3165,6.3649,5.3165,6.3649,4,2011
14,2011-12-27 00:00:00,5.1012,5.1012,4.6801,4.6801,122,2011
15,2011-12-28 00:00:00,4.6801,5.6160000000000005,4.6801,5.6160000000000005,12,2011
16,2011-12-29 00:00:00,4.6801,5.6160000000000005,4.6801,4.7736,601,2011
17,2011-12-30 00:00:00,4.7736,5.6067,4.212,4.212,476,2011
18,2012-01-09 00:00:00,4.7736,4.7736,4.7736,4.7736,58,2012
19,2012-01-12 00:00:00,4.6801,4.6801,4.6801,4.6801,32,2012
20,2012-01-16 00:00:00,4.6801,4.6801,4.6801,4.6801,9,2012
21,2012-02-01 00:00:00,5.1012,5.1012,5.1012,5.1012,161,2012
22,2012-02-03 00:00:00,5.1012,5.1012,5.1012,5.1012,3,2012
23,2012-02-06 00:00:00,5.0544,5.0544,5.0544,5.0544,5,2012
24,2012-02-08 00:00:00,4.9235,4.9235,4.9235,4.9235,128,2012
25,2012-02-15 00:00:00,4.914,4.914,4.914,4.914,299,2012
26,2012-02-20 00:00:00,4.9608,4.9608,4.9608,4.9608,473,2012
27,2012-02-21 00:00:00,4.8672,4.8672,4.8672,4.8672,5,2012
28,2012-02-28 00:00:00,4.7268,4.7268,4.7268,4.7268,192,2012
29,2012-03-27 00:00:00,4.914,4.914,4.914,4.914,512,2012
30,2012-03-30 00:00:00,5.4288,5.4288,5.4288,5.4288,2,2012
31,2012-04-05 00:00:00,5.1574,5.1574,5.1574,5.1574,105,2012
32,2012-04-17 00:00:00,5.1386,5.148,5.1386,5.148,4,2012
33,2012-04-18 00:00:00,5.148,5.148,5.148,5.148,4,2012
34,2012-04-19 00:00:00,5.148,5.148,5.148,5.148,4,2012
35,2012-04-20 00:00:00,5.148,5.1574,5.148,5.1574,4,2012
36,2012-04-23 00:00:00,5.1574,5.1949,5.1574,5.1949,4,2012
37,2012-04-25 00:00:00,5.148,5.148,5.148,5.148,2,2012
38,2012-04-26 00:00:00,5.148,5.148,5.148,5.148,4,2012
39,2012-04-27 00:00:00,5.148,5.148,5.148,5.148,4,2012
40,2012-04-30 00:00:00,5.148,5.148,5.148,5.148,4,2012
41,2012-05-17 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
42,2012-05-18 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
43,2012-05-21 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
44,2012-05-22 00:00:00,5.148,5.148,5.148,5.148,1,2012
45,2012-05-23 00:00:00,5.148,5.148,5.148,5.148,1,2012
46,2012-05-24 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
47,2012-05-25 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
48,2012-05-28 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
49,2012-05-29 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
50,2012-05-30 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
51,2012-05-31 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
52,2012-06-01 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
53,2012-06-04 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
54,2012-06-05 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
55,2012-06-06 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
56,2012-06-08 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
57,2012-06-11 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
58,2012-06-12 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
59,2012-06-13 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
60,2012-06-14 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
61,2012-06-15 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
62,2012-06-18 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
63,2012-06-19 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
64,2012-06-20 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
65,2012-06-21 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
66,2012-06-22 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
67,2012-06-25 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
68,2012-06-26 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
69,2012-06-27 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
70,2012-06-28 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
71,2012-06-29 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
72,2012-07-02 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
73,2012-07-03 00:00:00,5.3539,5.3539,5.3539,5.3539,1,2012
74,2012-07-04 00:00:00,5.4288,5.4288,5.4288,5.4288,95,2012
75,2012-07-05 00:00:00,5.382000000000001,5.382000000000001,4.6801,5.0076,120,2012
76,2012-07-06 00:00:00,5.0076,5.0076,5.0076,5.0076,1,2012
77,2012-07-09 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
78,2012-07-10 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
79,2012-07-11 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
80,2012-07-12 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
81,2012-07-13 00:00:00,4.6801,4.6801,4.6801,4.6801,1,2012
82,2012-07-16 00:00:00,4.6801,4.6801,4.6801,4.6801,26,2012
83,2012-07-17 00:00:00,4.6801,4.6801,4.6801,4.6801,1,2012
84,2012-07-18 00:00:00,4.6801,4.6801,4.6801,4.6801,1,2012
85,2012-07-19 00:00:00,4.6801,4.6801,4.6801,4.6801,1,2012
86,2012-07-20 00:00:00,4.6801,4.6801,4.6801,4.6801,1,2012
87,2012-07-23 00:00:00,4.6801,4.6801,4.6801,4.6801,1,2012
88,2012-07-24 00:00:00,4.6801,4.6801,4.6801,4.6801,1,2012
89,2012-07-25 00:00:00,4.6801,4.6801,4.6801,4.6801,1,2012
90,2012-07-26 00:00:00,4.6801,4.6801,4.6801,4.6801,1,2012
91,2012-07-27 00:00:00,4.6801,4.6801,4.6801,4.6801,1,2012
92,2012-07-30 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
93,2012-07-31 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
94,2012-08-01 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
95,2012-08-02 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
96,2012-08-03 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
97,2012-08-06 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
98,2012-08-07 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
99,2012-08-08 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
100,2012-08-09 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
101,2012-08-10 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
102,2012-08-13 00:00:00,5.382000000000001,5.382000000000001,5.382000000000001,5.382000000000001,1,2012
103,2012-08-14 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
104,2012-08-16 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
105,2012-08-17 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
106,2012-08-21 00:00:00,5.4288,5.4288,5.4288,5.4288,2,2012
107,2012-08-22 00:00:00,5.3259,5.3259,5.3259,5.3259,2,2012
108,2012-08-23 00:00:00,5.3259,5.3259,5.3259,5.3259,3,2012
109,2012-08-24 00:00:00,5.3259,5.3259,5.3259,5.3259,2,2012
110,2012-08-27 00:00:00,5.3259,5.3259,5.3259,5.3259,1,2012
111,2012-08-28 00:00:00,5.3259,5.3259,5.3259,5.3259,1,2012
112,2012-08-29 00:00:00,5.3259,5.3259,5.3259,5.3259,1,2012
113,2012-08-30 00:00:00,5.3259,5.3259,5.3259,5.3259,1,2012
114,2012-08-31 00:00:00,5.3259,5.3259,5.3259,5.3259,1,2012
115,2012-09-03 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
116,2012-09-04 00:00:00,4.914,4.914,4.914,4.914,1,2012
117,2012-09-05 00:00:00,4.914,4.914,4.914,4.914,1,2012
118,2012-09-06 00:00:00,4.914,4.914,4.914,4.914,1,2012
119,2012-09-07 00:00:00,4.914,4.914,4.914,4.914,1,2012
120,2012-09-10 00:00:00,4.914,4.914,4.914,4.914,1,2012
121,2012-09-11 00:00:00,4.914,4.914,4.914,4.914,1,2012
122,2012-09-12 00:00:00,4.914,4.914,4.914,4.914,1,2012
123,2012-09-13 00:00:00,4.914,4.914,4.914,4.914,1,2012
124,2012-09-14 00:00:00,4.914,4.914,4.914,4.914,1,2012
125,2012-09-17 00:00:00,4.914,4.914,4.914,4.914,1,2012
126,2012-09-18 00:00:00,4.914,4.914,4.914,4.914,114,2012
127,2012-09-19 00:00:00,4.914,4.914,4.914,4.914,1,2012
128,2012-09-20 00:00:00,4.914,4.914,4.914,4.914,1,2012
129,2012-09-21 00:00:00,4.914,4.914,4.914,4.914,1,2012
130,2012-09-24 00:00:00,4.914,4.914,4.914,4.914,1,2012
131,2012-09-25 00:00:00,4.914,4.914,4.914,4.914,1,2012
132,2012-09-26 00:00:00,4.914,4.914,4.914,4.914,1,2012
133,2012-09-27 00:00:00,4.914,4.914,4.914,4.914,1,2012
134,2012-09-28 00:00:00,4.914,4.914,4.914,4.914,1,2012
135,2012-10-01 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
136,2012-10-02 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
137,2012-10-03 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
138,2012-10-04 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
139,2012-10-05 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
140,2012-10-08 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
141,2012-10-09 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
142,2012-10-10 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
143,2012-10-11 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
144,2012-10-12 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
145,2012-10-15 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
146,2012-10-16 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
147,2012-10-17 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
148,2012-10-18 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
149,2012-10-19 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
150,2012-10-22 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
151,2012-10-23 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
152,2012-10-24 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
153,2012-10-25 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
154,2012-10-26 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
155,2012-10-29 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
156,2012-10-30 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
157,2012-10-31 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
158,2012-11-02 00:00:00,5.3353,5.3353,5.3353,5.3353,2,2012
159,2012-11-05 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
160,2012-11-06 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
161,2012-11-07 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
162,2012-11-08 00:00:00,5.3353,5.3353,5.2041,5.3353,109,2012
163,2012-11-09 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
164,2012-11-12 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
165,2012-11-13 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
166,2012-11-14 00:00:00,5.3353,5.3353,5.3353,5.3353,1,2012
167,2012-11-15 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
168,2012-11-16 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
169,2012-11-19 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
170,2012-11-20 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
171,2012-11-21 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
172,2012-11-22 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
173,2012-11-23 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
174,2012-11-26 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
175,2012-11-27 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
176,2012-11-28 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
177,2012-11-29 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
178,2012-11-30 00:00:00,5.4288,5.4288,5.4288,5.4288,2,2012
179,2012-12-03 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
180,2012-12-04 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
181,2012-12-05 00:00:00,5.4288,5.4288,5.4288,5.4288,12,2012
182,2012-12-06 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
183,2012-12-07 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
184,2012-12-10 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
185,2012-12-11 00:00:00,5.4288,5.4288,5.4288,5.4288,2,2012
186,2012-12-12 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
187,2012-12-13 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
188,2012-12-14 00:00:00,5.4288,5.4288,5.0544,5.4288,109,2012
189,2012-12-17 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
190,2012-12-18 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2012
191,2012-12-19 00:00:00,5.4288,5.4288,4.8486,5.0544,312,2012
192,2012-12-20 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2012
193,2012-12-21 00:00:00,5.0544,5.0544,4.6801,5.0544,322,2012
194,2012-12-27 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2012
195,2012-12-28 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2012
196,2013-01-02 00:00:00,5.4288,5.4288,5.4288,5.4288,1,2013
197,2013-01-03 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
198,2013-01-04 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
199,2013-01-07 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
200,2013-01-08 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
201,2013-01-09 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
202,2013-01-10 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
203,2013-01-11 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
204,2013-01-14 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
205,2013-01-15 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
206,2013-01-16 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
207,2013-01-17 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
208,2013-01-18 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
209,2013-01-21 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
210,2013-01-22 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
211,2013-01-23 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
212,2013-01-24 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
213,2013-01-25 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
214,2013-01-28 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
215,2013-01-29 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
216,2013-01-30 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
217,2013-01-31 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
218,2013-02-01 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
219,2013-02-04 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
220,2013-02-05 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
221,2013-02-06 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
222,2013-02-07 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
223,2013-02-08 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
224,2013-02-11 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
225,2013-02-12 00:00:00,5.0544,5.0544,4.8672,4.8672,55,2013
226,2013-02-13 00:00:00,4.8672,5.1012,4.8672,5.1012,2,2013
227,2013-02-14 00:00:00,5.1012,5.1012,5.1012,5.1012,1,2013
228,2013-02-15 00:00:00,5.1012,5.1012,5.1012,5.1012,1,2013
229,2013-02-18 00:00:00,5.1012,5.1012,5.1012,5.1012,1,2013
230,2013-02-19 00:00:00,5.1012,5.1012,4.5302,4.8204,103,2013
231,2013-02-20 00:00:00,4.8204,5.1012,4.8204,5.1012,2,2013
232,2013-02-21 00:00:00,5.1012,5.1012,5.1012,5.1012,1,2013
233,2013-02-22 00:00:00,5.1012,5.1012,5.1012,5.1012,1,2013
234,2013-02-25 00:00:00,5.1012,5.1012,5.1012,5.1012,1,2013
235,2013-02-26 00:00:00,5.1012,5.1012,5.1012,5.1012,1,2013
236,2013-02-27 00:00:00,5.1012,5.1012,5.1012,5.1012,1,2013
237,2013-02-28 00:00:00,5.0996,5.0996,5.0996,5.0996,1,2013
238,2013-03-01 00:00:00,5.1012,5.1012,4.9608,4.9608,1070,2013
239,2013-03-04 00:00:00,4.9608,4.9608,4.9608,4.9608,1,2013
240,2013-03-05 00:00:00,4.9608,5.1012,4.9608,5.1012,2,2013
241,2013-03-06 00:00:00,5.0544,5.0544,5.0544,5.0544,1,2013
