,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2017-11-24 00:00:00,80.0,99.8,80.0,82.1,10575,2017
1,2017-11-27 00:00:00,85.0,104.5,85.0,95.1,7488,2017
2,2017-11-28 00:00:00,113.8,113.8,95.15,100.0,2765,2017
3,2017-11-29 00:00:00,103.8,110.0,103.5,110.0,3548,2017
4,2017-11-30 00:00:00,110.0,114.9,108.0,114.0,2989,2017
5,2017-12-01 00:00:00,113.95,118.45,108.0,108.1,445,2017
6,2017-12-04 00:00:00,110.0,114.0,108.0,108.0,2848,2017
7,2017-12-05 00:00:00,108.0,108.0,93.6,101.0,453,2017
8,2017-12-06 00:00:00,104.0,104.0,99.0,99.0,137,2017
9,2017-12-07 00:00:00,99.1,103.95,99.0,99.65,450,2017
10,2017-12-08 00:00:00,105.9,105.9,98.0,98.0,557,2017
11,2017-12-11 00:00:00,100.0,105.0,96.0,105.0,2922,2017
12,2017-12-12 00:00:00,105.5,118.95,105.5,110.9,1020,2017
13,2017-12-13 00:00:00,110.2,111.5,110.2,111.0,628,2017
14,2017-12-14 00:00:00,112.0,116.0,110.0,112.0,611,2017
15,2017-12-15 00:00:00,110.2,118.45,88.2,103.9,2897,2017
16,2017-12-18 00:00:00,109.0,109.0,103.0,107.9,630,2017
17,2017-12-19 00:00:00,113.0,117.4,113.0,115.95,1890,2017
18,2017-12-20 00:00:00,112.0,114.75,107.0,112.8,226,2017
19,2017-12-21 00:00:00,112.65,118.35,106.0,117.95,639,2017
20,2017-12-22 00:00:00,118.0,118.0,111.0,115.95,1005,2017
21,2017-12-27 00:00:00,108.2,118.8,108.2,116.85,451,2017
22,2017-12-28 00:00:00,116.4,116.4,110.0,110.0,916,2017
23,2017-12-29 00:00:00,112.3,129.35,111.55,117.0,2412,2017
24,2018-01-03 00:00:00,114.5,114.5,114.5,114.5,2,2018
25,2018-01-04 00:00:00,114.5,116.0,110.0,116.0,219,2018
26,2018-01-05 00:00:00,111.0,111.0,111.0,111.0,10,2018
27,2018-01-08 00:00:00,111.0,111.0,111.0,111.0,33,2018
28,2018-01-09 00:00:00,114.0,118.0,114.0,118.0,184,2018
29,2018-01-10 00:00:00,111.1,111.1,111.1,111.1,23,2018
30,2018-01-11 00:00:00,116.8,116.8,116.7,116.7,6,2018
31,2018-01-15 00:00:00,112.5,113.0,112.5,113.0,20,2018
32,2018-01-16 00:00:00,113.0,115.9,111.0,111.1,207,2018
33,2018-01-17 00:00:00,115.0,115.0,110.0,115.0,48,2018
34,2018-01-18 00:00:00,114.9,114.9,114.9,114.9,4,2018
35,2018-01-19 00:00:00,114.0,114.0,114.0,114.0,2,2018
36,2018-01-22 00:00:00,112.0,112.0,110.0,110.5,137,2018
37,2018-01-23 00:00:00,110.5,113.0,110.0,111.0,62,2018
38,2018-01-24 00:00:00,110.5,110.5,110.0,110.0,230,2018
39,2018-01-25 00:00:00,110.0,121.0,110.0,120.0,1400,2018
40,2018-01-26 00:00:00,126.0,138.5,124.0,138.5,1409,2018
41,2018-01-29 00:00:00,135.0,143.0,135.0,137.5,1437,2018
42,2018-01-30 00:00:00,128.0,138.0,128.0,138.0,1685,2018
43,2018-01-31 00:00:00,133.0,141.0,133.0,137.5,6418,2018
44,2018-02-01 00:00:00,136.0,141.0,132.0,132.0,17,2018
45,2018-02-02 00:00:00,132.0,133.0,128.0,129.0,127,2018
46,2018-02-05 00:00:00,130.0,130.0,120.5,129.5,376,2018
