,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-05-04 00:00:00,16.17,19.39,16.17,19.39,568,2011
1,2011-05-05 00:00:00,23.24,24.64,14.84,14.84,8230,2011
2,2011-05-06 00:00:00,15.82,15.82,11.9,11.9,5375,2011
3,2011-05-09 00:00:00,11.2,11.55,9.52,9.52,3287,2011
4,2011-05-10 00:00:00,10.43,10.43,7.91,8.05,2784,2011
5,2011-05-11 00:00:00,8.05,8.4,7.84,8.26,744,2011
6,2011-05-12 00:00:00,8.26,8.4,8.26,8.33,533,2011
7,2011-05-13 00:00:00,8.4,8.4,7.7,8.33,601,2011
8,2011-05-16 00:00:00,8.4,8.4,8.12,8.12,171,2011
9,2011-05-17 00:00:00,8.19,8.19,6.58,6.58,851,2011
10,2011-05-18 00:00:00,6.58,7.84,5.6,7.7,1115,2011
11,2011-05-19 00:00:00,7.7,7.7,7.7,7.7,14,2011
12,2011-05-20 00:00:00,7.0,7.0,6.44,7.0,149,2011
13,2011-05-23 00:00:00,6.86,6.86,5.6,6.72,676,2011
14,2011-05-24 00:00:00,6.58,7.0,5.6,7.0,1009,2011
15,2011-05-25 00:00:00,6.86,7.0,6.09,6.3,679,2011
16,2011-05-26 00:00:00,6.3,6.3,5.74,6.02,436,2011
17,2011-05-27 00:00:00,6.23,6.86,6.23,6.51,405,2011
18,2011-05-30 00:00:00,6.65,6.86,6.51,6.86,392,2011
19,2011-05-31 00:00:00,6.86,6.86,6.09,6.3,834,2011
20,2011-06-01 00:00:00,6.3,6.86,6.3,6.44,2972,2011
21,2011-06-02 00:00:00,6.3,6.3,6.3,6.3,17,2011
22,2011-06-03 00:00:00,6.51,6.86,6.51,6.86,253,2011
23,2011-06-06 00:00:00,6.86,6.86,6.23,6.23,229,2011
24,2011-06-07 00:00:00,6.23,6.23,6.16,6.16,1029,2011
25,2011-06-08 00:00:00,6.23,6.58,6.23,6.58,490,2011
26,2011-06-09 00:00:00,6.65,6.65,6.51,6.58,2014,2011
27,2011-06-10 00:00:00,6.65,6.65,6.37,6.37,57,2011
28,2011-06-13 00:00:00,6.37,6.37,6.37,6.37,1,2011
29,2011-06-14 00:00:00,6.23,6.23,6.23,6.23,14,2011
30,2011-06-15 00:00:00,6.23,6.23,6.16,6.23,937,2011
31,2011-06-16 00:00:00,6.23,6.23,5.95,5.95,471,2011
32,2011-06-17 00:00:00,6.16,6.16,6.16,6.16,43,2011
33,2011-06-20 00:00:00,6.23,6.3,5.6,5.6,1225,2011
34,2011-06-21 00:00:00,5.32,5.39,4.9,5.25,1332,2011
35,2011-06-22 00:00:00,5.25,5.95,5.25,5.81,714,2011
36,2011-06-24 00:00:00,5.88,6.86,5.81,6.23,2411,2011
37,2011-06-27 00:00:00,6.65,6.65,5.53,6.23,764,2011
38,2011-06-28 00:00:00,6.3,6.37,6.02,6.02,582,2011
39,2011-06-29 00:00:00,5.95,6.23,5.95,6.23,72,2011
40,2011-06-30 00:00:00,6.16,6.16,6.16,6.16,43,2011
41,2011-07-04 00:00:00,6.23,6.23,6.23,6.23,16,2011
42,2011-07-06 00:00:00,6.44,6.44,6.23,6.23,114,2011
43,2011-07-07 00:00:00,6.23,6.23,5.95,5.95,123,2011
44,2011-07-08 00:00:00,6.02,6.02,6.02,6.02,14,2011
45,2011-07-11 00:00:00,6.02,6.02,6.02,6.02,500,2011
46,2011-07-12 00:00:00,6.02,6.02,4.9,4.97,1065,2011
47,2011-07-13 00:00:00,4.55,4.69,3.92,4.69,1230,2011
48,2011-07-14 00:00:00,4.69,4.69,4.34,4.34,39,2011
49,2011-07-15 00:00:00,4.41,4.41,4.41,4.41,171,2011
50,2011-07-18 00:00:00,4.41,4.41,3.92,3.92,995,2011
51,2011-07-19 00:00:00,3.92,3.92,3.22,3.22,1607,2011
52,2011-07-20 00:00:00,3.29,3.57,3.29,3.5,821,2011
53,2011-07-21 00:00:00,3.64,3.64,3.5,3.5,321,2011
54,2011-07-22 00:00:00,3.64,3.64,3.43,3.43,487,2011
55,2011-07-25 00:00:00,3.43,3.43,3.01,3.29,3364,2011
56,2011-07-27 00:00:00,3.29,3.78,3.29,3.78,800,2011
57,2011-07-29 00:00:00,3.92,3.99,3.71,3.71,257,2011
58,2011-08-01 00:00:00,3.85,3.99,3.85,3.92,74,2011
59,2011-08-02 00:00:00,3.92,3.92,3.78,3.85,448,2011
60,2011-08-03 00:00:00,3.85,3.92,3.22,3.5,616,2011
61,2011-08-04 00:00:00,3.85,5.04,3.85,4.2,738,2011
62,2011-08-05 00:00:00,4.2,4.2,3.5,4.2,279,2011
63,2011-08-08 00:00:00,4.2,4.2,4.2,4.2,2,2011
64,2011-08-09 00:00:00,4.2,4.2,3.43,3.5,243,2011
65,2011-08-10 00:00:00,3.5,3.5,3.5,3.5,275,2011
66,2011-08-11 00:00:00,3.43,3.43,3.43,3.43,143,2011
67,2011-08-12 00:00:00,3.5,3.5,2.8,3.29,956,2011
68,2011-08-16 00:00:00,3.29,3.29,2.87,2.87,314,2011
69,2011-08-17 00:00:00,2.87,3.08,2.87,3.08,100,2011
70,2011-08-18 00:00:00,2.94,2.94,2.94,2.94,50,2011
71,2011-08-23 00:00:00,2.87,2.87,2.87,2.87,86,2011
72,2011-08-25 00:00:00,2.94,3.43,2.94,3.43,246,2011
73,2011-08-26 00:00:00,3.43,3.43,3.43,3.43,83,2011
74,2011-08-29 00:00:00,3.43,3.43,3.29,3.29,107,2011
75,2011-08-30 00:00:00,3.29,3.29,3.22,3.22,100,2011
76,2011-08-31 00:00:00,3.29,3.29,3.29,3.29,14,2011
77,2011-09-01 00:00:00,3.15,3.15,2.94,3.01,1000,2011
78,2011-09-05 00:00:00,3.01,3.01,3.01,3.01,29,2011
79,2011-09-07 00:00:00,3.01,3.01,3.01,3.01,43,2011
80,2011-09-08 00:00:00,2.8,2.8,2.8,2.8,57,2011
81,2011-09-09 00:00:00,2.66,2.66,2.24,2.31,6112,2011
82,2011-09-12 00:00:00,2.38,2.38,2.38,2.38,43,2011
83,2011-09-14 00:00:00,2.24,2.24,2.1,2.1,2429,2011
84,2011-09-15 00:00:00,2.1,2.1,2.1,2.1,43,2011
85,2011-09-16 00:00:00,2.1,2.1,2.1,2.1,21,2011
86,2011-09-19 00:00:00,2.17,2.17,2.17,2.17,29,2011
87,2011-09-20 00:00:00,2.1,2.1,1.96,1.96,493,2011
88,2011-09-21 00:00:00,2.03,2.31,2.03,2.31,1430,2011
89,2011-09-22 00:00:00,2.1,2.1,1.89,1.89,249,2011
90,2011-09-23 00:00:00,2.1,2.1,1.68,1.68,1187,2011
91,2011-09-27 00:00:00,1.68,1.68,1.47,1.47,207,2011
92,2011-09-28 00:00:00,1.4,1.75,1.4,1.47,349,2011
93,2011-09-29 00:00:00,1.61,1.68,1.61,1.61,257,2011
94,2011-09-30 00:00:00,1.75,2.24,1.75,2.1,4183,2011
95,2011-10-03 00:00:00,2.17,2.73,2.17,2.73,2043,2011
96,2011-10-04 00:00:00,2.87,2.87,2.31,2.45,2317,2011
97,2011-10-05 00:00:00,2.45,2.45,2.38,2.45,219,2011
98,2011-10-06 00:00:00,2.31,2.31,1.96,2.1,92,2011
99,2011-10-07 00:00:00,2.1,2.1,2.1,2.1,86,2011
100,2011-10-11 00:00:00,2.1,2.1,2.1,2.1,43,2011
101,2011-10-12 00:00:00,2.1,2.1,1.75,1.75,1469,2011
102,2011-10-13 00:00:00,1.75,1.75,1.75,1.75,300,2011
103,2011-10-14 00:00:00,1.68,1.68,1.68,1.68,257,2011
104,2011-10-18 00:00:00,1.68,1.68,1.61,1.68,328,2011
105,2011-10-19 00:00:00,1.68,1.96,1.61,1.96,4040,2011
106,2011-10-20 00:00:00,1.96,1.96,1.96,1.96,14,2011
107,2011-10-21 00:00:00,1.96,2.31,1.96,2.31,200,2011
108,2011-10-24 00:00:00,2.31,2.73,2.31,2.66,500,2011
109,2011-10-25 00:00:00,2.59,2.8,2.59,2.8,378,2011
110,2011-10-27 00:00:00,2.8,2.87,2.8,2.87,86,2011
111,2011-10-28 00:00:00,2.87,3.01,2.8,3.01,300,2011
112,2011-10-31 00:00:00,3.01,3.01,3.01,3.01,21,2011
113,2011-11-02 00:00:00,3.01,3.01,2.8,2.8,100,2011
114,2011-11-03 00:00:00,2.8,2.8,2.8,2.8,29,2011
115,2011-11-04 00:00:00,2.59,2.59,2.52,2.52,86,2011
116,2011-11-07 00:00:00,2.52,2.66,2.52,2.66,211,2011
117,2011-11-08 00:00:00,2.66,2.66,2.59,2.59,264,2011
118,2011-11-09 00:00:00,2.38,2.38,2.31,2.31,71,2011
119,2011-11-10 00:00:00,2.45,2.66,2.31,2.66,457,2011
120,2011-11-14 00:00:00,2.66,2.8,2.24,2.8,1507,2011
121,2011-11-15 00:00:00,2.66,3.08,2.66,3.08,457,2011
122,2011-11-16 00:00:00,3.08,3.08,2.66,2.94,296,2011
123,2011-11-17 00:00:00,2.94,2.94,2.1,2.8,7213,2011
124,2011-11-18 00:00:00,3.01,3.71,2.8,3.71,8288,2011
125,2011-11-21 00:00:00,3.71,4.55,3.43,3.5,9244,2011
126,2011-11-22 00:00:00,3.85,4.48,3.5,3.5,6161,2011
127,2011-11-23 00:00:00,3.5,3.85,2.8,2.8,3543,2011
128,2011-11-24 00:00:00,2.94,3.15,2.8,3.15,820,2011
129,2011-11-25 00:00:00,3.08,4.27,3.08,3.78,6860,2011
130,2011-11-28 00:00:00,3.71,4.27,3.5,3.71,2907,2011
131,2011-11-29 00:00:00,3.71,3.99,3.5,3.85,1090,2011
132,2011-11-30 00:00:00,3.92,3.92,3.71,3.92,445,2011
133,2011-12-01 00:00:00,3.78,3.78,3.78,3.78,39,2011
134,2011-12-02 00:00:00,3.5,3.78,3.22,3.57,1973,2011
135,2011-12-05 00:00:00,3.64,3.64,3.43,3.43,57,2011
136,2011-12-06 00:00:00,3.43,3.43,3.43,3.43,36,2011
137,2011-12-07 00:00:00,3.43,3.43,2.8,2.8,1650,2011
138,2011-12-08 00:00:00,2.8,2.94,2.8,2.94,77,2011
139,2011-12-09 00:00:00,2.8,3.08,2.8,2.94,709,2011
140,2011-12-12 00:00:00,2.87,2.87,2.8,2.8,43,2011
141,2011-12-14 00:00:00,2.8,2.94,2.8,2.8,57,2011
142,2011-12-15 00:00:00,2.8,2.8,2.31,2.45,3409,2011
143,2011-12-16 00:00:00,2.52,2.52,2.31,2.31,1086,2011
144,2011-12-19 00:00:00,2.24,2.45,2.24,2.45,319,2011
145,2011-12-20 00:00:00,2.52,2.73,2.24,2.38,1272,2011
146,2011-12-21 00:00:00,2.31,2.31,1.96,1.96,2500,2011
