,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2014-12-19 00:00:00,1.46,2.19,1.46,2.19,174554,2014
1,2014-12-22 00:00:00,2.3,2.85,1.87,2.85,227741,2014
2,2014-12-23 00:00:00,3.0,3.49,2.4,2.65,127309,2014
3,2014-12-29 00:00:00,2.89,3.18,2.12,2.25,289320,2014
4,2014-12-30 00:00:00,2.3,2.3,2.01,2.1,44895,2014
5,2015-01-02 00:00:00,2.17,2.17,1.6,1.6,201832,2015
6,2015-01-05 00:00:00,1.6,2.3,1.5,2.28,262124,2015
7,2015-01-07 00:00:00,2.36,2.57,1.8,2.0,245750,2015
8,2015-01-08 00:00:00,2.26,2.26,1.81,1.83,313072,2015
9,2015-01-09 00:00:00,1.89,1.89,1.42,1.54,280512,2015
10,2015-01-12 00:00:00,1.58,1.69,1.27,1.44,261598,2015
11,2015-01-13 00:00:00,1.45,1.46,1.16,1.16,381457,2015
12,2015-01-14 00:00:00,1.2,1.23,0.94,0.94,636250,2015
13,2015-01-15 00:00:00,0.93,0.97,0.81,0.9,168536,2015
14,2015-01-16 00:00:00,0.95,1.25,0.88,0.95,330548,2015
15,2015-01-19 00:00:00,0.97,1.02,0.78,0.82,266071,2015
16,2015-01-20 00:00:00,0.86,0.86,0.69,0.76,131296,2015
17,2015-01-21 00:00:00,0.77,0.78,0.66,0.74,55595,2015
18,2015-01-22 00:00:00,0.76,0.76,0.67,0.69,70537,2015
19,2015-01-23 00:00:00,0.72,0.78,0.66,0.7,90424,2015
20,2015-01-26 00:00:00,0.68,0.72,0.63,0.67,63717,2015
21,2015-01-27 00:00:00,0.59,0.64,0.56,0.59,58396,2015
22,2015-01-28 00:00:00,0.59,0.74,0.53,0.64,63312,2015
23,2015-01-29 00:00:00,0.64,0.67,0.62,0.62,15996,2015
24,2015-01-30 00:00:00,0.67,0.67,0.56,0.56,22799,2015
25,2015-02-02 00:00:00,0.6,0.6,0.53,0.58,22717,2015
26,2015-02-03 00:00:00,0.53,0.58,0.53,0.57,16836,2015
27,2015-02-04 00:00:00,0.54,0.62,0.53,0.61,49635,2015
28,2015-02-05 00:00:00,0.57,0.66,0.56,0.6,52845,2015
29,2015-02-06 00:00:00,0.65,0.65,0.58,0.64,13346,2015
30,2015-02-09 00:00:00,0.56,0.64,0.56,0.56,17522,2015
31,2015-02-10 00:00:00,0.57,0.63,0.56,0.56,32253,2015
32,2015-02-11 00:00:00,0.56,0.56,0.5,0.53,66794,2015
33,2015-02-12 00:00:00,0.53,0.53,0.45,0.46,16498,2015
34,2015-02-13 00:00:00,0.52,0.52,0.45,0.46,19685,2015
35,2015-02-16 00:00:00,0.46,0.47,0.38,0.42,27375,2015
36,2015-02-17 00:00:00,0.42,0.46,0.4,0.46,12152,2015
37,2015-02-18 00:00:00,0.44,0.44,0.39,0.44,3482,2015
38,2015-02-19 00:00:00,0.44,0.44,0.38,0.39,9003,2015
39,2015-02-20 00:00:00,0.39,0.43,0.39,0.43,9347,2015
40,2015-02-23 00:00:00,0.42,0.42,0.35,0.39,28051,2015
41,2015-02-24 00:00:00,0.36,0.48,0.36,0.45,80652,2015
42,2015-02-25 00:00:00,0.46,0.6,0.46,0.6,107070,2015
43,2015-02-26 00:00:00,0.6,0.64,0.53,0.53,73811,2015
44,2015-02-27 00:00:00,0.53,0.6,0.47,0.52,56143,2015
45,2015-03-02 00:00:00,0.53,0.53,0.43,0.47,45005,2015
46,2015-03-03 00:00:00,0.45,0.52,0.44,0.46,22643,2015
47,2015-03-04 00:00:00,0.46,0.5,0.45,0.45,8246,2015
48,2015-03-05 00:00:00,0.45,0.5,0.45,0.5,615,2015
49,2015-03-06 00:00:00,0.5,0.5,0.44,0.45,49901,2015
50,2015-03-09 00:00:00,0.45,0.5,0.41,0.44,22582,2015
51,2015-03-10 00:00:00,0.41,0.47,0.41,0.45,25304,2015
52,2015-03-11 00:00:00,0.45,0.45,0.43,0.43,1600,2015
53,2015-03-12 00:00:00,0.42,0.43,0.39,0.39,33480,2015
54,2015-03-13 00:00:00,0.4,0.41,0.39,0.4,34339,2015
55,2015-03-16 00:00:00,0.42,0.42,0.42,0.42,1250,2015
56,2015-03-17 00:00:00,0.42,0.42,0.37,0.41,977,2015
57,2015-03-18 00:00:00,0.41,0.43,0.41,0.43,5100,2015
58,2015-03-19 00:00:00,0.43,0.43,0.37,0.37,14450,2015
59,2015-03-20 00:00:00,0.37,0.41,0.37,0.41,8707,2015
60,2015-03-23 00:00:00,0.42,0.43,0.42,0.43,4000,2015
61,2015-03-24 00:00:00,0.4,0.44,0.4,0.44,4502,2015
62,2015-03-25 00:00:00,0.44,0.48,0.44,0.48,18450,2015
63,2015-03-26 00:00:00,0.49,0.49,0.44,0.46,6030,2015
64,2015-03-27 00:00:00,0.43,0.43,0.41,0.41,9942,2015
65,2015-03-30 00:00:00,0.44,0.44,0.38,0.43,9004,2015
66,2015-03-31 00:00:00,0.4,0.44,0.38,0.44,10456,2015
67,2015-04-01 00:00:00,0.44,0.52,0.43,0.51,55173,2015
68,2015-04-02 00:00:00,0.52,0.59,0.5,0.52,24866,2015
69,2015-04-07 00:00:00,0.52,0.52,0.42,0.48,10813,2015
70,2015-04-08 00:00:00,0.45,0.51,0.45,0.51,2630,2015
71,2015-04-09 00:00:00,0.51,0.51,0.46,0.5,1630,2015
72,2015-04-10 00:00:00,0.5,0.5,0.42,0.45,9440,2015
73,2015-04-13 00:00:00,0.46,0.46,0.46,0.46,1030,2015
74,2015-04-15 00:00:00,0.43,0.46,0.4,0.46,6401,2015
75,2015-04-16 00:00:00,0.42,0.44,0.39,0.44,4660,2015
76,2015-04-17 00:00:00,0.45,0.45,0.45,0.45,30,2015
77,2015-04-20 00:00:00,0.45,0.45,0.45,0.45,2075,2015
78,2015-04-22 00:00:00,0.46,0.46,0.46,0.46,1,2015
79,2015-04-27 00:00:00,0.45,0.45,0.45,0.45,115,2015
80,2015-04-28 00:00:00,0.45,0.48,0.41,0.43,9071,2015
81,2015-04-29 00:00:00,0.47,0.5,0.44,0.48,11145,2015
82,2015-04-30 00:00:00,0.45,0.49,0.44,0.49,6289,2015
83,2015-05-04 00:00:00,0.5,0.5,0.5,0.5,20,2015
84,2015-05-05 00:00:00,0.5,0.57,0.5,0.56,6218,2015
85,2015-05-06 00:00:00,0.57,0.57,0.56,0.56,1625,2015
86,2015-05-07 00:00:00,0.57,0.57,0.5,0.53,3158,2015
87,2015-05-08 00:00:00,0.55,0.55,0.45,0.5,6631,2015
88,2015-05-11 00:00:00,0.5,0.5,0.5,0.5,30,2015
89,2015-05-12 00:00:00,0.51,0.56,0.48,0.55,14473,2015
90,2015-05-13 00:00:00,0.5,0.5,0.48,0.5,730,2015
91,2015-05-14 00:00:00,0.5,0.54,0.5,0.54,2300,2015
92,2015-05-15 00:00:00,0.5,0.57,0.47,0.55,7567,2015
93,2015-05-18 00:00:00,0.56,0.56,0.55,0.55,870,2015
94,2015-05-19 00:00:00,0.54,0.54,0.44,0.5,15390,2015
95,2015-05-20 00:00:00,0.51,0.51,0.51,0.51,30,2015
96,2015-05-21 00:00:00,0.5,0.5,0.5,0.5,20,2015
97,2015-05-22 00:00:00,0.49,0.49,0.44,0.49,3685,2015
98,2015-05-25 00:00:00,0.58,0.62,0.49,0.62,92082,2015
99,2015-05-26 00:00:00,0.62,0.67,0.57,0.61,147420,2015
100,2015-05-27 00:00:00,0.61,0.62,0.49,0.49,112826,2015
101,2015-05-28 00:00:00,0.44,0.5,0.4,0.46,72733,2015
102,2015-05-29 00:00:00,0.43,0.45,0.38,0.44,103008,2015
103,2015-06-01 00:00:00,0.41,0.45,0.33,0.34,259109,2015
104,2015-06-02 00:00:00,0.3,0.35,0.29,0.31,27838,2015
105,2015-06-03 00:00:00,0.34,0.34,0.34,0.34,50,2015
106,2015-06-05 00:00:00,0.34,0.34,0.34,0.34,150,2015
107,2015-06-08 00:00:00,0.34,0.34,0.34,0.34,2040,2015
108,2015-06-09 00:00:00,0.35,0.35,0.29,0.29,16773,2015
109,2015-06-10 00:00:00,0.31,0.31,0.31,0.31,545,2015
110,2015-06-11 00:00:00,0.3,0.3,0.3,0.3,2540,2015
111,2015-06-12 00:00:00,0.31,0.31,0.31,0.31,60,2015
112,2015-06-15 00:00:00,0.31,0.31,0.31,0.31,40,2015
113,2015-06-16 00:00:00,0.31,0.31,0.3,0.3,290,2015
114,2015-06-17 00:00:00,0.31,0.31,0.29,0.29,5833,2015
115,2015-06-18 00:00:00,0.29,0.29,0.29,0.29,100,2015
116,2015-06-19 00:00:00,0.29,0.29,0.29,0.29,50,2015
117,2015-06-22 00:00:00,0.29,0.29,0.29,0.29,50,2015
118,2015-06-23 00:00:00,0.3,0.3,0.3,0.3,100,2015
119,2015-06-24 00:00:00,0.29,0.31,0.29,0.31,18031,2015
120,2015-06-25 00:00:00,0.31,0.32,0.29,0.31,1391,2015
121,2015-06-26 00:00:00,0.3,0.3,0.29,0.29,4170,2015
122,2015-06-29 00:00:00,0.29,0.29,0.29,0.29,740,2015
123,2015-06-30 00:00:00,0.29,0.29,0.29,0.29,50,2015
124,2015-07-01 00:00:00,0.29,0.29,0.29,0.29,40,2015
125,2015-07-02 00:00:00,0.29,0.29,0.29,0.29,7550,2015
126,2015-07-03 00:00:00,0.29,0.29,0.29,0.29,6920,2015
127,2015-07-06 00:00:00,0.29,0.29,0.29,0.29,2736,2015
128,2015-07-07 00:00:00,0.31,0.31,0.31,0.31,4350,2015
129,2015-07-08 00:00:00,0.29,0.29,0.29,0.29,200,2015
130,2015-07-10 00:00:00,0.29,0.29,0.29,0.29,100,2015
131,2015-07-13 00:00:00,0.29,0.29,0.29,0.29,40,2015
132,2015-07-14 00:00:00,0.29,0.29,0.29,0.29,50,2015
