,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2019-04-24 00:00:00,35.0,40.0,35.0,40.0,50,2019
1,2019-04-25 00:00:00,41.0,48.5,41.0,48.5,88,2019
2,2019-04-29 00:00:00,48.4,55.0,48.4,53.0,73,2019
3,2019-05-07 00:00:00,53.0,53.0,53.0,53.0,1,2019
4,2019-05-08 00:00:00,51.0,51.0,51.0,51.0,3,2019
5,2019-05-10 00:00:00,51.0,51.0,48.0,48.0,28,2019
6,2019-05-15 00:00:00,47.0,47.0,47.0,47.0,1,2019
7,2019-05-17 00:00:00,49.4,56.0,49.4,56.0,36,2019
8,2019-05-20 00:00:00,56.0,58.5,56.0,58.5,23,2019
9,2019-05-21 00:00:00,57.0,57.0,56.5,56.5,8,2019
10,2019-05-22 00:00:00,56.5,56.5,56.5,56.5,1,2019
11,2019-05-23 00:00:00,56.5,56.5,56.5,56.5,1,2019
12,2019-05-24 00:00:00,56.5,56.5,56.5,56.5,1,2019
13,2019-05-27 00:00:00,56.5,56.5,56.5,56.5,1,2019
14,2019-05-28 00:00:00,57.5,65.0,57.5,65.0,30,2019
15,2019-05-29 00:00:00,78.0,93.6,70.0,70.0,100,2019
16,2019-05-30 00:00:00,69.5,69.5,65.0,65.0,41,2019
17,2019-06-03 00:00:00,64.0,64.0,60.5,60.5,32,2019
18,2019-06-04 00:00:00,58.0,58.0,57.0,57.0,22,2019
19,2019-06-05 00:00:00,54.5,60.0,50.0,59.0,77,2019
20,2019-06-11 00:00:00,61.0,61.0,61.0,61.0,6,2019
21,2019-06-17 00:00:00,60.0,60.0,59.0,59.0,22,2019
22,2019-06-24 00:00:00,57.0,57.0,57.0,57.0,1,2019
23,2019-07-03 00:00:00,59.5,60.0,59.5,60.0,10,2019
24,2019-07-09 00:00:00,60.0,63.5,60.0,63.5,13,2019
25,2019-08-05 00:00:00,64.0,64.0,64.0,64.0,2,2019
26,2019-08-07 00:00:00,64.45,64.45,64.45,64.45,2,2019
27,2019-08-09 00:00:00,65.0,65.0,65.0,65.0,1,2019
28,2019-08-27 00:00:00,63.5,63.5,62.5,62.5,3,2019
29,2019-09-13 00:00:00,66.0,77.0,66.0,77.0,42,2019
30,2019-09-16 00:00:00,85.0,85.0,68.0,70.0,73,2019
31,2019-09-17 00:00:00,67.0,67.0,62.0,62.0,40,2019
32,2019-09-19 00:00:00,61.5,61.5,61.5,61.5,2,2019
33,2019-09-25 00:00:00,59.0,59.0,56.0,56.0,22,2019
34,2019-09-27 00:00:00,55.0,55.0,55.0,55.0,1,2019
35,2019-10-02 00:00:00,54.0,54.0,52.0,52.0,24,2019
36,2019-10-03 00:00:00,51.0,60.0,49.3,60.0,47,2019
37,2019-10-07 00:00:00,60.0,60.0,60.0,60.0,1,2019
38,2019-10-16 00:00:00,60.0,60.0,60.0,60.0,1,2019
39,2019-10-23 00:00:00,60.0,61.0,60.0,61.0,93,2019
40,2019-10-25 00:00:00,61.0,61.0,61.0,61.0,1,2019
41,2019-10-31 00:00:00,64.0,68.5,64.0,68.5,36,2019
42,2019-11-04 00:00:00,68.0,68.0,62.0,62.0,70,2019
43,2019-11-14 00:00:00,61.0,61.0,55.0,56.5,69,2019
44,2019-11-25 00:00:00,58.0,58.0,58.0,58.0,2,2019
45,2019-12-02 00:00:00,58.0,58.0,58.0,58.0,2,2019
46,2019-12-04 00:00:00,60.0,60.0,60.0,60.0,4,2019
47,2019-12-11 00:00:00,60.0,60.0,60.0,60.0,1,2019
48,2019-12-12 00:00:00,60.0,60.0,60.0,60.0,1,2019
49,2019-12-19 00:00:00,60.0,60.0,50.0,50.5,805,2019
50,2019-12-20 00:00:00,50.0,50.0,50.0,50.0,517,2019
51,2019-12-23 00:00:00,50.0,50.0,50.0,50.0,1,2019
52,2019-12-27 00:00:00,49.3,55.0,49.3,55.0,39,2019
53,2020-01-02 00:00:00,53.0,53.0,50.0,52.5,407,2020
54,2020-01-08 00:00:00,52.0,52.0,52.0,52.0,1,2020
55,2020-01-09 00:00:00,51.0,51.0,51.0,51.0,1,2020
56,2020-01-13 00:00:00,59.6,59.6,59.6,59.6,50,2020
57,2020-01-14 00:00:00,59.6,59.6,59.6,59.6,1,2020
58,2020-01-15 00:00:00,58.5,58.5,58.5,58.5,1,2020
59,2020-01-20 00:00:00,58.5,58.5,55.4,55.4,12,2020
60,2020-01-24 00:00:00,56.0,57.0,56.0,57.0,3,2020
61,2020-02-07 00:00:00,56.0,56.0,56.0,56.0,1,2020
62,2020-02-12 00:00:00,58.0,58.2,58.0,58.0,17,2020
63,2020-02-13 00:00:00,58.0,58.0,50.0,50.0,723,2020
64,2020-02-14 00:00:00,53.0,57.0,53.0,57.0,26,2020
65,2020-02-25 00:00:00,55.5,55.5,51.0,51.0,25,2020
66,2020-02-27 00:00:00,53.5,60.0,53.5,60.0,30,2020
67,2020-03-04 00:00:00,60.0,60.0,60.0,60.0,1,2020
68,2020-03-05 00:00:00,60.0,60.0,56.5,56.5,40,2020
69,2020-03-13 00:00:00,56.4,56.4,56.4,56.4,1,2020
70,2020-03-18 00:00:00,54.0,54.0,53.0,53.0,6,2020
71,2020-03-25 00:00:00,53.0,53.0,51.0,51.0,25,2020
72,2020-03-26 00:00:00,52.0,60.0,52.0,60.0,70,2020
73,2020-03-31 00:00:00,59.0,67.0,57.5,57.5,102,2020
74,2020-04-02 00:00:00,55.0,55.0,54.0,54.0,20,2020
75,2020-04-06 00:00:00,54.0,54.0,53.0,53.0,20,2020
76,2020-04-07 00:00:00,53.0,53.5,53.0,53.5,21,2020
77,2020-04-15 00:00:00,56.0,67.0,56.0,67.0,85,2020
78,2020-04-16 00:00:00,65.0,73.0,52.0,73.0,840,2020
79,2020-04-17 00:00:00,73.0,73.0,65.0,65.0,77,2020
80,2020-04-20 00:00:00,65.0,65.0,65.0,65.0,1,2020
81,2020-04-21 00:00:00,65.0,69.0,65.0,69.0,28,2020
82,2020-05-04 00:00:00,69.5,69.5,69.5,69.5,2,2020
83,2020-05-05 00:00:00,69.5,69.5,69.5,69.5,1,2020
84,2020-05-07 00:00:00,70.0,71.0,70.0,71.0,3,2020
85,2020-05-19 00:00:00,71.0,85.0,71.0,85.0,171,2020
86,2020-05-20 00:00:00,85.0,100.0,73.0,73.0,210,2020
87,2020-05-21 00:00:00,75.0,75.0,60.0,60.0,87,2020
88,2020-05-22 00:00:00,60.5,60.5,50.0,56.0,556,2020
89,2020-05-26 00:00:00,57.0,57.0,57.0,57.0,8,2020
90,2020-05-27 00:00:00,56.0,56.0,55.5,55.5,3,2020
91,2020-05-28 00:00:00,56.5,56.5,56.5,56.5,1,2020
92,2020-05-29 00:00:00,55.5,57.5,55.5,57.5,72,2020
93,2020-06-01 00:00:00,58.0,60.0,58.0,60.0,24,2020
94,2020-06-03 00:00:00,61.0,62.5,61.0,62.5,23,2020
95,2020-06-04 00:00:00,65.0,65.0,65.0,65.0,1,2020
96,2020-06-05 00:00:00,65.0,65.0,60.0,60.0,21,2020
97,2020-06-08 00:00:00,62.0,62.0,62.0,62.0,3,2020
98,2020-06-09 00:00:00,60.5,60.5,60.0,60.0,3,2020
99,2020-06-12 00:00:00,60.0,60.0,60.0,60.0,1,2020
100,2020-06-15 00:00:00,60.0,60.0,60.0,60.0,1,2020
101,2020-06-17 00:00:00,58.0,59.0,55.0,59.0,61,2020
102,2020-06-19 00:00:00,60.0,60.0,60.0,60.0,3,2020
103,2020-06-22 00:00:00,60.0,60.0,60.0,60.0,1,2020
104,2020-06-23 00:00:00,60.5,60.5,60.5,60.5,2,2020
105,2020-06-24 00:00:00,58.0,60.0,58.0,60.0,5,2020
106,2020-06-25 00:00:00,58.0,58.0,56.0,57.0,13,2020
107,2020-06-29 00:00:00,57.0,57.0,57.0,57.0,1,2020
108,2020-06-30 00:00:00,57.0,58.0,57.0,58.0,2,2020
109,2020-07-01 00:00:00,58.0,58.0,58.0,58.0,1,2020
