,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2018-08-06 00:00:00,100.0,114.0,90.0,98.78,33060,2018
1,2018-08-07 00:00:00,98.7,103.4,93.0,93.2,4841,2018
2,2018-08-08 00:00:00,94.8,98.89,90.91,97.49,2461,2018
3,2018-08-09 00:00:00,98.9,98.9,92.0,92.0,1619,2018
4,2018-08-10 00:00:00,92.1,92.3,84.0,87.9,2027,2018
5,2018-08-13 00:00:00,84.0,95.0,82.0,92.0,1185,2018
6,2018-08-14 00:00:00,93.0,98.5,92.0,94.0,731,2018
7,2018-08-16 00:00:00,98.5,111.5,98.5,107.0,5568,2018
8,2018-08-17 00:00:00,110.0,122.0,107.0,117.5,3394,2018
9,2018-08-20 00:00:00,119.0,124.0,115.0,115.0,1771,2018
10,2018-08-21 00:00:00,114.5,115.5,107.0,112.0,1987,2018
11,2018-08-22 00:00:00,110.0,113.0,106.0,111.0,1951,2018
12,2018-08-23 00:00:00,108.0,113.0,106.0,109.0,706,2018
13,2018-08-24 00:00:00,106.0,108.9,103.0,108.9,367,2018
14,2018-08-27 00:00:00,110.9,110.9,97.1,103.0,2864,2018
15,2018-08-28 00:00:00,106.0,107.0,100.0,102.0,3911,2018
16,2018-08-29 00:00:00,100.0,118.0,93.1,98.0,24110,2018
17,2018-08-30 00:00:00,96.8,97.0,82.5,85.1,15868,2018
18,2018-08-31 00:00:00,86.8,92.5,75.51,88.0,9804,2018
19,2018-09-03 00:00:00,105.0,126.0,102.0,119.0,22954,2018
20,2018-09-04 00:00:00,121.0,163.0,118.0,141.0,29682,2018
21,2018-09-05 00:00:00,139.9,155.0,131.1,140.0,13014,2018
22,2018-09-06 00:00:00,140.02,148.0,130.0,137.0,6744,2018
23,2018-09-07 00:00:00,138.0,145.0,133.0,145.0,3734,2018
24,2018-09-10 00:00:00,154.0,159.0,147.0,155.3,4017,2018
25,2018-09-11 00:00:00,159.0,186.0,152.0,180.8,7998,2018
26,2018-09-12 00:00:00,175.0,177.9,167.0,170.0,3130,2018
27,2018-09-13 00:00:00,168.0,175.0,152.0,166.0,4674,2018
28,2018-09-14 00:00:00,166.0,169.0,158.0,168.5,1858,2018
29,2018-09-17 00:00:00,162.0,167.0,158.5,162.0,2002,2018
30,2018-09-18 00:00:00,165.0,165.0,155.22,162.5,1846,2018
31,2018-09-19 00:00:00,163.0,194.0,163.0,185.0,8426,2018
32,2018-09-20 00:00:00,185.0,194.98,180.1,183.0,870,2018
33,2018-09-21 00:00:00,180.1,185.0,175.0,178.0,913,2018
34,2018-09-24 00:00:00,180.0,184.0,178.0,180.0,647,2018
35,2018-09-25 00:00:00,180.0,194.98,180.0,193.0,1562,2018
