,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-12-09 00:00:00,15.0,15.0,11.0,12.21,2190,2013
1,2013-12-10 00:00:00,12.05,12.25,12.05,12.2,566,2013
2,2013-12-11 00:00:00,12.2,12.2,12.1,12.1,422,2013
3,2013-12-13 00:00:00,12.05,12.59,12.0,12.59,115,2013
4,2013-12-18 00:00:00,12.64,12.64,12.64,12.64,3,2013
5,2013-12-19 00:00:00,12.62,12.62,12.62,12.62,5,2013
6,2013-12-20 00:00:00,12.6,12.6,12.6,12.6,3,2013
7,2013-12-23 00:00:00,12.6,12.6,12.6,12.6,4,2013
8,2013-12-27 00:00:00,12.58,12.58,12.58,12.58,2,2013
9,2013-12-30 00:00:00,12.58,12.58,12.58,12.58,5,2013
10,2014-01-02 00:00:00,12.55,12.55,12.5,12.5,10,2014
11,2014-01-03 00:00:00,12.57,12.57,12.57,12.57,3,2014
12,2014-01-07 00:00:00,12.49,12.5,12.49,12.5,470,2014
13,2014-01-08 00:00:00,12.41,12.41,12.41,12.41,115,2014
14,2014-01-09 00:00:00,12.41,12.42,11.7,12.25,550,2014
15,2014-01-15 00:00:00,12.2,12.2,12.2,12.2,15,2014
16,2014-01-20 00:00:00,12.2,12.2,12.2,12.2,10,2014
17,2014-01-23 00:00:00,12.3,12.3,12.2,12.2,30,2014
18,2014-01-31 00:00:00,12.0,12.05,11.99,12.05,340,2014
19,2014-02-03 00:00:00,12.04,12.09,12.04,12.07,315,2014
20,2014-02-05 00:00:00,12.1,12.1,12.07,12.07,255,2014
21,2014-02-06 00:00:00,12.1,12.1,12.08,12.08,124,2014
22,2014-02-07 00:00:00,12.1,12.1,12.09,12.09,15,2014
23,2014-02-10 00:00:00,12.08,12.1,12.08,12.1,215,2014
24,2014-02-11 00:00:00,12.11,12.12,12.1,12.12,225,2014
25,2014-02-12 00:00:00,12.12,12.13,12.0,12.06,395,2014
26,2014-02-13 00:00:00,12.07,12.6,12.07,12.6,545,2014
27,2014-02-14 00:00:00,12.6,12.6,12.6,12.6,5,2014
28,2014-02-17 00:00:00,12.59,12.59,12.57,12.58,232,2014
29,2014-02-18 00:00:00,12.5,12.58,12.49,12.58,230,2014
30,2014-02-19 00:00:00,12.5,12.5,12.0,12.0,345,2014
31,2014-02-20 00:00:00,12.1,12.12,12.09,12.12,370,2014
32,2014-02-21 00:00:00,11.96,11.96,11.96,11.96,10,2014
33,2014-02-24 00:00:00,11.9,11.9,11.89,11.89,170,2014
34,2014-02-25 00:00:00,11.9,11.95,11.89,11.95,155,2014
35,2014-02-26 00:00:00,11.94,11.94,11.94,11.94,95,2014
36,2014-02-27 00:00:00,11.95,11.95,11.93,11.93,93,2014
37,2014-02-28 00:00:00,11.93,11.93,11.93,11.93,95,2014
38,2014-03-03 00:00:00,11.9,11.9,11.9,11.9,2,2014
39,2014-03-04 00:00:00,11.89,12.14,11.89,12.14,100,2014
40,2014-03-05 00:00:00,12.05,12.05,12.05,12.05,95,2014
41,2014-03-11 00:00:00,12.04,12.04,12.04,12.04,95,2014
42,2014-03-17 00:00:00,12.03,12.03,12.03,12.03,97,2014
43,2014-03-19 00:00:00,12.03,12.03,12.03,12.03,2,2014
44,2014-03-20 00:00:00,12.02,12.1,12.02,12.1,103,2014
45,2014-03-21 00:00:00,12.03,12.04,12.03,12.04,112,2014
46,2014-03-24 00:00:00,12.04,12.04,11.9,11.9,113,2014
47,2014-03-25 00:00:00,12.01,12.01,11.7,11.7,117,2014
48,2014-03-26 00:00:00,11.93,11.93,11.93,11.93,105,2014
49,2014-03-27 00:00:00,11.8,11.8,11.75,11.75,113,2014
50,2014-03-28 00:00:00,11.8,11.8,11.75,11.75,108,2014
51,2014-03-31 00:00:00,11.8,11.8,11.8,11.8,2,2014
52,2014-04-01 00:00:00,11.8,11.8,11.75,11.75,163,2014
53,2014-04-02 00:00:00,11.8,11.9,11.8,11.88,168,2014
54,2014-04-03 00:00:00,11.88,11.88,11.87,11.87,110,2014
55,2014-04-04 00:00:00,11.88,11.88,11.88,11.88,2,2014
56,2014-04-07 00:00:00,11.88,11.88,11.85,11.85,155,2014
57,2014-04-08 00:00:00,11.88,11.88,11.86,11.86,155,2014
58,2014-04-09 00:00:00,11.88,11.88,11.87,11.87,167,2014
59,2014-04-10 00:00:00,11.88,11.88,11.87,11.87,173,2014
60,2014-04-11 00:00:00,11.88,11.88,11.88,11.88,4,2014
61,2014-04-14 00:00:00,11.88,11.88,11.82,11.86,179,2014
62,2014-04-15 00:00:00,11.86,11.86,11.86,11.86,171,2014
63,2014-04-16 00:00:00,11.9,11.9,11.87,11.87,187,2014
64,2014-04-17 00:00:00,11.87,11.87,11.86,11.86,190,2014
65,2014-04-22 00:00:00,11.86,11.86,11.86,11.86,188,2014
66,2014-04-23 00:00:00,11.87,11.87,11.87,11.87,2,2014
67,2014-04-24 00:00:00,11.86,11.88,11.86,11.87,190,2014
68,2014-04-25 00:00:00,11.85,11.87,11.83,11.87,223,2014
69,2014-04-28 00:00:00,11.88,11.88,11.88,11.88,3,2014
70,2014-04-29 00:00:00,11.88,11.88,11.88,11.88,1,2014
71,2014-04-30 00:00:00,11.88,11.88,11.88,11.88,1,2014
72,2014-05-02 00:00:00,11.88,11.88,11.88,11.88,90,2014
73,2014-05-05 00:00:00,11.89,11.89,11.87,11.87,96,2014
74,2014-05-06 00:00:00,11.86,11.86,11.85,11.85,99,2014
75,2014-05-07 00:00:00,11.85,11.85,11.83,11.83,100,2014
76,2014-05-08 00:00:00,11.85,11.85,11.85,11.85,1,2014
77,2014-05-09 00:00:00,11.85,11.85,11.0,11.0,465,2014
78,2014-05-12 00:00:00,11.0,11.01,11.0,11.0,100,2014
79,2014-05-13 00:00:00,11.01,11.01,10.99,10.99,104,2014
80,2014-05-14 00:00:00,11.01,11.01,11.0,11.0,91,2014
81,2014-05-15 00:00:00,11.01,11.01,11.01,11.01,2,2014
82,2014-05-16 00:00:00,11.01,11.01,10.99,10.99,91,2014
83,2014-05-19 00:00:00,11.01,11.01,10.74,10.74,117,2014
84,2014-05-20 00:00:00,10.75,10.75,10.75,10.75,101,2014
85,2014-05-21 00:00:00,10.77,11.01,10.77,11.01,63,2014
86,2014-05-22 00:00:00,11.0,11.0,11.0,11.0,110,2014
87,2014-05-23 00:00:00,10.92,10.92,10.55,10.55,35,2014
88,2014-05-26 00:00:00,10.63,11.94,10.63,11.66,244,2014
89,2014-05-27 00:00:00,11.72,11.72,11.7,11.7,112,2014
90,2014-05-28 00:00:00,11.6,11.6,11.3,11.3,125,2014
91,2014-05-29 00:00:00,11.3,11.3,11.3,11.3,1,2014
92,2014-05-30 00:00:00,11.27,11.27,11.26,11.27,136,2014
93,2014-06-02 00:00:00,11.26,11.92,11.26,11.9,160,2014
94,2014-06-03 00:00:00,11.9,11.9,11.87,11.87,77,2014
95,2014-06-04 00:00:00,11.9,11.9,11.9,11.9,2,2014
96,2014-06-05 00:00:00,11.9,11.9,11.87,11.87,94,2014
97,2014-06-06 00:00:00,11.9,11.9,11.9,11.9,2,2014
98,2014-06-09 00:00:00,11.9,11.9,11.62,11.62,17,2014
99,2014-06-10 00:00:00,11.7,11.89,11.7,11.89,20,2014
100,2014-06-11 00:00:00,11.87,11.89,11.87,11.89,97,2014
101,2014-06-12 00:00:00,11.89,11.89,11.8,11.8,142,2014
102,2014-06-13 00:00:00,11.8,11.8,11.78,11.78,92,2014
103,2014-06-16 00:00:00,11.8,11.8,11.78,11.78,124,2014
104,2014-06-17 00:00:00,11.8,11.8,11.8,11.8,2,2014
105,2014-06-18 00:00:00,11.8,11.8,11.8,11.8,2,2014
106,2014-06-20 00:00:00,11.8,11.8,11.78,11.78,140,2014
107,2014-06-23 00:00:00,11.8,11.8,11.78,11.78,122,2014
108,2014-06-24 00:00:00,11.78,11.78,11.76,11.76,123,2014
109,2014-06-25 00:00:00,11.78,11.78,11.76,11.76,112,2014
110,2014-06-26 00:00:00,11.76,11.76,11.55,11.55,127,2014
111,2014-06-27 00:00:00,11.5,11.5,11.48,11.48,121,2014
112,2014-06-30 00:00:00,11.48,11.48,11.0,11.0,37,2014
113,2014-07-03 00:00:00,10.98,10.98,10.98,10.98,132,2014
114,2014-07-04 00:00:00,10.95,10.95,10.95,10.95,110,2014
115,2014-07-07 00:00:00,10.95,10.95,10.95,10.95,101,2014
