,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-12-23 00:00:00,1.5163,1.5163,1.5163,1.5163,697558,2010
1,2010-12-27 00:00:00,1.8151,2.1723,1.56,2.1723,1372998,2010
2,2010-12-28 00:00:00,2.1505,2.1578,1.735,1.735,321191,2010
3,2010-12-29 00:00:00,1.8151,1.8735,1.5163,1.8516,80389,2010
4,2010-12-30 00:00:00,1.8079,1.9391,1.6183,1.8297,93764,2010
5,2010-12-31 00:00:00,1.9099,2.114,1.6912,2.114,351638,2010
6,2011-01-03 00:00:00,1.9391,2.2598,1.7641,1.9245,133182,2011
7,2011-01-04 00:00:00,1.8880000000000001,1.8953,1.6037,1.786,84033,2011
8,2011-01-05 00:00:00,1.6766,1.735,1.5163,1.5965,95034,2011
9,2011-01-07 00:00:00,1.5236,1.6256,1.5236,1.5527,18521,2011
10,2011-01-10 00:00:00,1.5673,1.5673,1.5308,1.5308,12042,2011
11,2011-01-11 00:00:00,1.5308,1.6402,1.5308,1.6402,18748,2011
12,2011-01-12 00:00:00,1.6766,1.8151,1.5454,1.7568,53633,2011
13,2011-01-13 00:00:00,1.8151,1.8151,1.6475,1.7058,55245,2011
14,2011-01-14 00:00:00,1.786,1.8808,1.6183,1.8224,43568,2011
15,2011-01-17 00:00:00,1.8224,1.8953,1.7131,1.8224,11660,2011
16,2011-01-18 00:00:00,1.7495,1.8224,1.7495,1.8224,10630,2011
17,2011-01-19 00:00:00,1.8079,1.8224,1.7495,1.7933,20655,2011
18,2011-01-20 00:00:00,1.8079,1.8079,1.6766,1.7495,22426,2011
19,2011-01-21 00:00:00,1.7495,1.786,1.6766,1.7641,26935,2011
20,2011-01-24 00:00:00,1.7641,1.8079,1.735,1.735,6324,2011
21,2011-01-25 00:00:00,1.8079,1.8224,1.7568,1.8224,5701,2011
22,2011-01-26 00:00:00,1.837,1.837,1.7568,1.8224,6266,2011
23,2011-01-27 00:00:00,1.8224,1.9755,1.8224,1.9755,84905,2011
24,2011-01-28 00:00:00,1.9099,2.0047,1.6912,1.8953,51057,2011
25,2011-01-31 00:00:00,1.8079,1.8079,1.6985,1.7495,6928,2011
26,2011-02-01 00:00:00,1.8224,1.8953,1.6766,1.6839,41767,2011
27,2011-02-02 00:00:00,1.6839,1.7495,1.6183,1.7422,22010,2011
