,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-09-23 00:00:00,0.5218,0.6459999999999999,0.5218,0.6459999999999999,146140,2010
1,2010-09-24 00:00:00,0.7405,0.9363,0.7405,0.9363,118830,2010
2,2010-09-27 00:00:00,1.0933,1.3119999999999998,1.0933,1.1897,337780,2010
3,2010-09-28 00:00:00,1.2016,1.4412,1.143,1.3865,353100,2010
4,2010-09-29 00:00:00,1.3368,1.4412,1.2921,1.3368,132240,2010
5,2010-09-30 00:00:00,1.2424,1.3865,1.0287,1.1728,83000,2010
6,2010-10-01 00:00:00,1.1231,1.1231,1.0188,1.0188,44840,2010
7,2010-10-04 00:00:00,0.9939,1.1579,0.9939,1.0635,58830,2010
8,2010-10-05 00:00:00,1.0436,1.0536,0.9939,1.0536,33660,2010
9,2010-10-06 00:00:00,1.0436,1.0536,1.0039,1.0536,8620,2010
10,2010-10-07 00:00:00,1.0536,1.0565,1.0138,1.0525,16600,2010
11,2010-10-08 00:00:00,1.0237,1.0436,1.0138,1.0436,5030,2010
12,2010-10-11 00:00:00,1.0436,1.137,1.0436,1.0655,73490,2010
13,2010-10-12 00:00:00,1.0933,1.3119999999999998,1.0883,1.3119999999999998,57680,2010
14,2010-10-13 00:00:00,1.7990000000000002,1.7990000000000002,1.7990000000000002,1.7990000000000002,60860,2010
15,2010-10-14 00:00:00,1.9878,2.5047,1.9878,2.4937,59640,2010
16,2010-10-15 00:00:00,2.6736,2.6736,2.3854,2.5345,114580,2010
17,2010-10-18 00:00:00,2.5643,2.5842,2.455,2.5742,31660,2010
18,2010-10-19 00:00:00,2.5842,2.5842,2.455,2.4848,5000,2010
19,2010-10-20 00:00:00,2.4848,2.5941,2.4848,2.5941,3500,2010
20,2010-10-21 00:00:00,2.5941,2.5941,2.5335,2.5335,600,2010
21,2010-10-22 00:00:00,2.783,3.3296,2.783,3.0801,44250,2010
22,2010-10-25 00:00:00,3.0801,3.0801,2.8326,2.8823,24330,2010
23,2010-10-26 00:00:00,2.8823,2.8823,2.6339,2.783,15720,2010
24,2010-10-27 00:00:00,2.783,2.783,2.1767,2.1767,8580,2010
25,2010-10-28 00:00:00,1.9878,2.2264,1.9878,2.2264,33740,2010
26,2010-10-29 00:00:00,2.23,2.57,2.12,2.49,15550,2010
27,2010-11-02 00:00:00,2.4947,2.5245,2.1478,2.5146,12030,2010
28,2010-11-03 00:00:00,2.5146,2.931,2.5146,2.9122,5110,2010
29,2010-11-04 00:00:00,2.9122,3.1805,2.9122,3.1795,17820,2010
