,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2009-12-17 00:00:00,13.0,13.0,8.5,8.5,147508,2009
1,2009-12-18 00:00:00,8.5,9.0,7.5,8.0,14824,2009
2,2009-12-21 00:00:00,8.0,8.0,6.5,6.5,21966,2009
3,2009-12-22 00:00:00,7.0,7.0,6.5,7.0,5623,2009
4,2009-12-23 00:00:00,7.0,7.0,6.0,6.5,2862,2009
5,2009-12-28 00:00:00,6.5,7.0,6.5,6.5,4935,2009
6,2009-12-29 00:00:00,6.5,7.0,6.0,6.5,1498,2009
7,2009-12-30 00:00:00,6.5,6.5,6.0,6.5,441,2009
8,2009-12-31 00:00:00,6.5,7.0,6.5,7.0,767,2009
9,2010-01-04 00:00:00,7.0,7.0,6.0,6.0,6439,2010
10,2010-01-05 00:00:00,6.0,6.5,5.5,6.5,3994,2010
11,2010-01-06 00:00:00,6.5,7.5,6.5,7.5,14414,2010
12,2010-01-07 00:00:00,7.5,7.5,6.5,7.0,5755,2010
13,2010-01-08 00:00:00,7.0,7.0,6.5,7.0,5808,2010
14,2010-01-11 00:00:00,7.0,7.0,6.5,6.5,2201,2010
15,2010-01-12 00:00:00,6.5,6.5,6.5,6.5,3975,2010
16,2010-01-13 00:00:00,7.0,9.0,6.5,9.0,39042,2010
17,2010-01-14 00:00:00,10.5,11.0,9.5,10.5,36639,2010
18,2010-01-15 00:00:00,11.0,11.5,9.5,10.5,18504,2010
19,2010-01-18 00:00:00,10.0,10.5,9.5,10.5,8221,2010
20,2010-01-19 00:00:00,10.5,11.0,10.0,10.5,10038,2010
21,2010-01-20 00:00:00,10.5,12.5,10.0,12.0,28250,2010
22,2010-01-21 00:00:00,13.0,13.0,11.5,12.5,10635,2010
23,2010-01-22 00:00:00,12.0,12.0,10.5,11.0,7678,2010
24,2010-01-25 00:00:00,11.0,11.5,10.0,11.0,7246,2010
25,2010-01-26 00:00:00,10.5,10.5,10.0,10.5,4398,2010
26,2010-01-27 00:00:00,10.0,11.0,10.0,10.5,9122,2010
27,2010-01-28 00:00:00,10.5,10.5,10.0,10.0,2094,2010
28,2010-01-29 00:00:00,10.0,10.0,9.5,10.0,1830,2010
29,2010-02-01 00:00:00,9.5,10.0,9.5,9.5,5045,2010
30,2010-02-02 00:00:00,9.5,10.0,9.5,9.5,2064,2010
31,2010-02-03 00:00:00,9.5,9.5,8.5,9.0,10189,2010
32,2010-02-04 00:00:00,9.0,10.0,8.5,9.5,11270,2010
33,2010-02-05 00:00:00,9.5,9.5,9.0,9.5,4014,2010
34,2010-02-08 00:00:00,9.5,9.5,8.5,9.0,5279,2010
35,2010-02-09 00:00:00,8.5,9.0,8.5,9.0,2205,2010
36,2010-02-10 00:00:00,9.0,9.0,9.0,9.0,59,2010
37,2010-02-11 00:00:00,8.5,9.5,8.5,8.5,9251,2010
38,2010-02-12 00:00:00,9.5,9.5,9.5,9.5,307,2010
39,2010-02-15 00:00:00,9.5,9.5,9.5,9.5,0,2010
40,2010-02-16 00:00:00,9.5,9.5,9.0,9.5,1018,2010
41,2010-02-17 00:00:00,8.5,9.5,8.5,9.0,4034,2010
42,2010-02-18 00:00:00,9.0,9.5,4.5,5.0,285345,2010
43,2010-02-19 00:00:00,4.5,5.0,4.0,4.5,102247,2010
44,2010-02-22 00:00:00,4.0,4.5,3.5,4.0,109744,2010
45,2010-02-23 00:00:00,4.5,4.5,4.0,4.0,88542,2010
46,2010-02-24 00:00:00,4.0,4.5,4.0,4.0,49922,2010
47,2010-02-25 00:00:00,4.0,4.5,4.0,4.0,70533,2010
48,2010-02-26 00:00:00,4.0,4.5,4.0,4.0,15483,2010
49,2010-03-01 00:00:00,4.0,4.0,3.5,4.0,71120,2010
50,2010-03-02 00:00:00,3.5,4.0,3.5,4.0,48884,2010
51,2010-03-03 00:00:00,4.0,4.0,3.5,3.5,26722,2010
52,2010-03-04 00:00:00,4.0,4.5,4.0,4.0,203706,2010
53,2010-03-05 00:00:00,4.5,4.5,4.0,4.0,106683,2010
54,2010-03-08 00:00:00,3.5,4.5,3.5,4.0,39637,2010
55,2010-03-09 00:00:00,4.0,4.0,3.5,4.0,64372,2010
56,2010-03-10 00:00:00,4.0,4.0,3.5,4.0,35982,2010
57,2010-03-11 00:00:00,4.0,4.0,3.5,3.5,32939,2010
58,2010-03-12 00:00:00,3.5,4.0,3.5,4.0,40723,2010
59,2010-03-15 00:00:00,3.5,4.0,3.5,3.5,48302,2010
60,2010-03-16 00:00:00,3.5,4.0,3.0,4.0,104121,2010
61,2010-03-17 00:00:00,3.5,4.0,3.5,4.0,80243,2010
