,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2019-07-10 00:00:00,20.0,20.0,16.3,17.0,2314,2019
1,2019-07-11 00:00:00,18.294,18.95,17.5,17.8,1287,2019
2,2019-07-12 00:00:00,17.8,17.8,17.8,17.8,50,2019
3,2019-07-15 00:00:00,18.1,18.1,18.1,18.1,10,2019
4,2019-07-16 00:00:00,18.1,19.0,18.0,18.9,944,2019
5,2019-07-17 00:00:00,18.8,19.35,18.8,19.16,86,2019
6,2019-07-18 00:00:00,18.98,18.98,18.0,18.44,274,2019
7,2019-07-19 00:00:00,18.2,18.2,17.28,17.28,724,2019
8,2019-07-22 00:00:00,17.5,17.6,17.5,17.6,664,2019
9,2019-07-23 00:00:00,17.6,17.6,17.0,17.5,106,2019
10,2019-07-24 00:00:00,17.6,17.6,17.5,17.5,78,2019
11,2019-07-25 00:00:00,17.5,17.5,17.2,17.2,131,2019
12,2019-07-26 00:00:00,17.4,17.4,17.2,17.2,134,2019
13,2019-07-29 00:00:00,17.1,17.1,17.0,17.0,270,2019
14,2019-07-30 00:00:00,16.6,16.6,15.7,15.7,91,2019
15,2019-07-31 00:00:00,15.9,18.6,13.0,17.1,699,2019
16,2019-08-02 00:00:00,17.5,17.5,16.9,16.9,113,2019
17,2019-08-06 00:00:00,17.1,17.5,17.1,17.5,20,2019
18,2019-08-08 00:00:00,17.0,17.0,16.2,16.2,62,2019
19,2019-08-09 00:00:00,16.5,16.7,16.5,16.7,20,2019
20,2019-08-12 00:00:00,16.8,16.8,16.8,16.8,5,2019
21,2019-08-13 00:00:00,16.8,16.8,16.3,16.3,31,2019
22,2019-08-14 00:00:00,17.0,17.0,17.0,17.0,60,2019
23,2019-08-16 00:00:00,17.3,19.68,17.3,19.0,360,2019
24,2019-08-19 00:00:00,19.1,19.7,18.0,18.0,600,2019
25,2019-08-20 00:00:00,18.0,18.0,18.0,18.0,7,2019
26,2019-08-21 00:00:00,18.0,18.2,18.0,18.2,40,2019
27,2019-08-22 00:00:00,18.2,19.4,18.2,19.4,351,2019
28,2019-08-23 00:00:00,19.2,19.2,19.2,19.2,20,2019
29,2019-08-26 00:00:00,19.2,19.7,19.2,19.7,20,2019
30,2019-08-27 00:00:00,19.7,19.7,19.6,19.7,54,2019
31,2019-08-28 00:00:00,19.7,19.7,19.7,19.7,2,2019
32,2019-08-29 00:00:00,19.3,19.3,18.4,18.4,40,2019
33,2019-09-04 00:00:00,18.8,18.8,18.8,18.8,5,2019
34,2019-09-05 00:00:00,18.8,18.8,18.8,18.8,2,2019
35,2019-09-06 00:00:00,18.8,19.0,18.8,19.0,7,2019
36,2019-09-09 00:00:00,19.0,19.0,19.0,19.0,3,2019
37,2019-09-10 00:00:00,19.2,19.9,19.2,19.9,1272,2019
38,2019-09-11 00:00:00,19.9,20.8,19.7,20.5,1007,2019
39,2019-09-12 00:00:00,22.0,22.0,21.5,21.65,503,2019
40,2019-09-13 00:00:00,21.6,21.6,21.6,21.6,10,2019
41,2019-09-16 00:00:00,21.4,21.4,21.0,21.0,678,2019
42,2019-09-17 00:00:00,21.0,21.0,21.0,21.0,10,2019
43,2019-09-18 00:00:00,20.99,20.99,20.6,20.6,12,2019
44,2019-09-19 00:00:00,20.6,20.6,20.6,20.6,25,2019
45,2019-09-20 00:00:00,20.59,20.59,20.59,20.59,2,2019
46,2019-09-23 00:00:00,20.59,20.59,20.59,20.59,29,2019
47,2019-09-24 00:00:00,20.59,20.59,20.59,20.59,61,2019
48,2019-09-25 00:00:00,20.59,20.59,20.585,20.59,132,2019
49,2019-09-27 00:00:00,20.36,20.36,20.105,20.105,18,2019
50,2019-09-30 00:00:00,20.6,20.6,20.595,20.595,12,2019
51,2019-10-01 00:00:00,19.702,19.702,19.7,19.7,110,2019
52,2019-10-02 00:00:00,19.7,19.7,19.7,19.7,15,2019
53,2019-10-03 00:00:00,19.7,20.0,19.7,20.0,10,2019
54,2019-10-04 00:00:00,20.0,20.0,19.0,19.0,386,2019
55,2019-10-08 00:00:00,19.0,19.0,19.0,19.0,82,2019
56,2019-10-09 00:00:00,19.0,19.0,19.0,19.0,28,2019
57,2019-10-10 00:00:00,19.0,19.0,18.2,18.2,254,2019
58,2019-10-11 00:00:00,18.3,18.6,18.3,18.6,36,2019
59,2019-10-14 00:00:00,18.6,20.0,18.6,20.0,85,2019
60,2019-10-15 00:00:00,20.0,20.0,20.0,20.0,61,2019
61,2019-10-16 00:00:00,20.0,20.0,20.0,20.0,1,2019
