,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2016-09-23 00:00:00,1.79,2.15,1.56,1.81,1489660,2016
1,2016-09-26 00:00:00,1.81,1.95,1.74,1.82,410079,2016
2,2016-09-27 00:00:00,1.86,2.02,1.71,1.85,331350,2016
3,2016-09-28 00:00:00,1.91,2.17,1.91,2.07,553585,2016
4,2016-09-29 00:00:00,2.2,2.3,1.82,1.9,743191,2016
5,2016-09-30 00:00:00,1.85,1.95,1.74,1.76,219897,2016
6,2016-10-03 00:00:00,1.68,1.68,1.45,1.57,434118,2016
7,2016-10-04 00:00:00,1.57,1.6,1.46,1.51,50344,2016
8,2016-10-05 00:00:00,1.55,1.57,1.36,1.36,107682,2016
9,2016-10-06 00:00:00,1.3,1.35,1.06,1.32,327021,2016
10,2016-10-07 00:00:00,1.33,1.33,1.23,1.29,44644,2016
11,2016-10-10 00:00:00,1.25,1.3,1.15,1.22,157277,2016
12,2016-10-11 00:00:00,1.17,1.4,1.15,1.33,231836,2016
13,2016-10-12 00:00:00,1.31,1.45,1.31,1.41,39522,2016
14,2016-10-13 00:00:00,1.47,1.64,1.46,1.55,176492,2016
15,2016-10-14 00:00:00,1.55,1.63,1.54,1.62,81201,2016
16,2016-10-17 00:00:00,1.6,1.63,1.55,1.55,33055,2016
17,2016-10-18 00:00:00,1.55,1.55,1.41,1.53,22579,2016
18,2016-10-19 00:00:00,1.47,1.52,1.44,1.5,23293,2016
19,2016-10-20 00:00:00,1.49,1.57,1.46,1.5,19102,2016
20,2016-10-21 00:00:00,1.46,1.58,1.43,1.47,28359,2016
21,2016-10-24 00:00:00,1.5,1.53,1.41,1.53,27953,2016
22,2016-10-25 00:00:00,1.45,1.5,1.42,1.49,15330,2016
23,2016-10-26 00:00:00,1.44,1.51,1.34,1.48,44003,2016
24,2016-10-27 00:00:00,1.41,1.46,1.4,1.44,10708,2016
25,2016-10-28 00:00:00,1.4,1.44,1.3,1.39,44374,2016
26,2016-10-31 00:00:00,1.37,1.4,1.34,1.37,12111,2016
