,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2007-08-30 00:00:00,4.05,4.85,3.0,3.0,946250,2007
1,2007-08-31 00:00:00,3.47,3.47,2.8,2.83,223420,2007
2,2007-09-03 00:00:00,2.88,2.88,2.5,2.64,75040,2007
3,2007-09-04 00:00:00,2.61,2.61,2.23,2.24,114860,2007
4,2007-09-05 00:00:00,2.31,2.35,2.12,2.2,51980,2007
5,2007-09-06 00:00:00,2.2,2.3,2.1,2.14,47300,2007
6,2007-09-07 00:00:00,2.21,2.33,2.12,2.28,54670,2007
7,2007-09-10 00:00:00,2.22,2.25,2.1,2.15,58130,2007
8,2007-09-11 00:00:00,2.15,2.19,2.14,2.14,8570,2007
9,2007-09-12 00:00:00,2.18,2.2,1.9,1.98,38140,2007
10,2007-09-13 00:00:00,1.98,2.1,1.82,2.1,44800,2007
11,2007-09-14 00:00:00,2.1,2.2,2.09,2.13,38680,2007
12,2007-09-17 00:00:00,2.14,2.14,2.03,2.14,910,2007
13,2007-09-18 00:00:00,2.01,2.13,2.0,2.1,4150,2007
14,2007-09-19 00:00:00,2.11,2.15,2.0,2.11,6840,2007
15,2007-09-20 00:00:00,2.0,2.1,2.0,2.0,7980,2007
16,2007-09-21 00:00:00,2.0,2.07,2.0,2.07,4230,2007
17,2007-09-24 00:00:00,2.05,2.05,1.91,2.0,7220,2007
18,2007-09-25 00:00:00,2.0,2.0,1.87,1.93,7310,2007
19,2007-09-26 00:00:00,1.87,1.87,1.81,1.87,11910,2007
20,2007-09-27 00:00:00,1.9,1.9,1.8,1.85,11780,2007
21,2007-09-28 00:00:00,1.88,1.88,1.82,1.82,3600,2007
22,2007-10-01 00:00:00,1.8,1.82,1.7,1.8,4470,2007
23,2007-10-02 00:00:00,1.85,1.85,1.71,1.84,71240,2007
24,2007-10-03 00:00:00,1.84,1.84,1.75,1.8,1510,2007
25,2007-10-04 00:00:00,1.75,1.82,1.75,1.82,8320,2007
26,2007-10-05 00:00:00,1.85,1.87,1.83,1.87,14210,2007
27,2007-10-08 00:00:00,1.87,1.95,1.87,1.93,9400,2007
28,2007-10-09 00:00:00,1.92,1.92,1.8,1.9,3730,2007
29,2007-10-10 00:00:00,1.9,1.9,1.82,1.89,780,2007
30,2007-10-11 00:00:00,1.9,2.24,1.89,2.1,93840,2007
31,2007-10-12 00:00:00,2.09,2.09,1.97,2.02,15790,2007
32,2007-10-15 00:00:00,2.02,2.04,2.0,2.04,13630,2007
33,2007-10-16 00:00:00,2.0,2.0,1.95,1.99,8170,2007
34,2007-10-17 00:00:00,1.97,1.97,1.96,1.96,2350,2007
35,2007-10-18 00:00:00,1.99,1.99,1.96,1.97,9570,2007
36,2007-10-19 00:00:00,1.95,2.0,1.92,2.0,20720,2007
37,2007-10-22 00:00:00,1.91,1.91,1.89,1.89,9450,2007
38,2007-10-23 00:00:00,1.85,1.9,1.85,1.87,7130,2007
39,2007-10-24 00:00:00,1.85,1.89,1.82,1.82,8740,2007
40,2007-10-25 00:00:00,1.83,1.9,1.82,1.9,3400,2007
41,2007-10-26 00:00:00,1.94,1.94,1.94,1.94,570,2007
42,2007-10-29 00:00:00,1.95,1.95,1.94,1.94,500,2007
43,2007-10-30 00:00:00,1.97,2.0,1.88,1.99,4800,2007
44,2007-11-02 00:00:00,1.88,1.98,1.88,1.98,3660,2007
45,2007-11-05 00:00:00,1.88,1.95,1.87,1.95,3770,2007
46,2007-11-06 00:00:00,1.8,1.85,1.72,1.85,12500,2007
47,2007-11-07 00:00:00,1.85,1.85,1.72,1.84,10770,2007
48,2007-11-08 00:00:00,1.72,1.8,1.7,1.8,10600,2007
49,2007-11-09 00:00:00,1.73,1.73,1.66,1.66,15530,2007
50,2007-11-12 00:00:00,1.6,1.7,1.6,1.68,730,2007
51,2007-11-13 00:00:00,1.7,1.7,1.6,1.65,9530,2007
52,2007-11-14 00:00:00,1.65,1.65,1.65,1.65,2810,2007
53,2007-11-15 00:00:00,1.6,1.6,1.55,1.6,5150,2007
54,2007-11-19 00:00:00,1.5,1.5,1.41,1.5,5580,2007
55,2007-11-20 00:00:00,1.4,1.4,1.15,1.35,41710,2007
56,2007-11-21 00:00:00,1.29,1.29,1.2,1.2,5930,2007
57,2007-11-22 00:00:00,1.1,1.1,0.9,0.97,135930,2007
58,2007-11-23 00:00:00,1.0,1.1,1.0,1.1,21450,2007
59,2007-11-26 00:00:00,1.1,1.12,1.05,1.05,28350,2007
60,2007-11-27 00:00:00,1.0,1.07,1.0,1.07,2200,2007
61,2007-11-28 00:00:00,1.05,1.05,1.05,1.05,1000,2007
62,2007-11-29 00:00:00,1.05,1.24,0.99,1.2,256190,2007
63,2007-11-30 00:00:00,1.2,1.22,1.16,1.2,4950,2007
64,2007-12-03 00:00:00,1.2,1.2,1.2,1.2,3200,2007
65,2007-12-04 00:00:00,1.16,1.19,1.16,1.19,1640,2007
66,2007-12-05 00:00:00,1.19,1.19,1.16,1.19,11850,2007
