,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-07-27 00:00:00,113.75,136.5,113.75,136.5,596,2012
1,2012-07-30 00:00:00,163.8,195.65,163.8,195.65,210,2012
2,2012-07-31 00:00:00,232.05,277.55,204.75,277.55,794,2012
3,2012-08-01 00:00:00,326.08,391.3,260.87,391.3,377,2012
4,2012-08-02 00:00:00,448.93,530.83,364.0,365.52,409,2012
5,2012-08-03 00:00:00,401.92,482.3,324.57,482.3,334,2012
6,2012-08-06 00:00:00,577.85,693.12,576.33,691.6,157,2012
7,2012-08-07 00:00:00,829.62,993.42,682.5,743.17,192,2012
8,2012-08-08 00:00:00,834.17,940.33,758.33,925.17,84,2012
9,2012-08-09 00:00:00,970.67,1076.83,894.83,910.0,42,2012
10,2012-08-10 00:00:00,994.93,1031.33,879.67,879.67,29,2012
11,2012-08-13 00:00:00,940.33,940.33,758.33,879.67,23,2012
12,2012-08-14 00:00:00,790.18,876.63,703.73,846.3,14,2012
13,2012-08-16 00:00:00,834.17,834.17,677.95,680.98,64,2012
14,2012-08-17 00:00:00,680.98,680.98,549.03,550.55,20,2012
15,2012-08-20 00:00:00,605.15,697.67,485.33,576.33,27,2012
16,2012-08-21 00:00:00,649.13,649.13,530.83,603.63,4,2012
17,2012-08-22 00:00:00,532.35,603.63,483.82,546.0,17,2012
18,2012-08-23 00:00:00,523.25,597.57,439.83,586.95,6,2012
19,2012-08-24 00:00:00,470.17,568.75,470.17,480.78,13,2012
20,2012-08-27 00:00:00,388.27,483.82,364.0,364.0,9,2012
21,2012-08-28 00:00:00,379.17,523.25,379.17,414.05,51,2012
22,2012-08-29 00:00:00,491.4,491.4,386.75,436.8,4,2012
23,2012-08-30 00:00:00,365.52,492.92,365.52,492.92,9,2012
24,2012-08-31 00:00:00,482.3,515.67,482.3,515.67,1,2012
25,2012-09-03 00:00:00,482.3,482.3,482.3,482.3,1,2012
26,2012-09-04 00:00:00,401.92,455.0,400.4,455.0,8,2012
27,2012-09-05 00:00:00,470.17,470.17,455.0,455.0,2,2012
28,2012-09-06 00:00:00,403.43,447.42,394.33,447.42,4,2012
29,2012-09-07 00:00:00,388.27,418.6,357.93,357.93,8,2012
30,2012-09-10 00:00:00,389.78,389.78,389.78,389.78,1,2012
31,2012-09-12 00:00:00,356.42,386.75,313.95,313.95,6,2012
32,2012-09-13 00:00:00,310.92,450.45,310.92,448.93,12,2012
33,2012-09-14 00:00:00,500.5,633.97,480.78,633.97,11,2012
34,2012-09-17 00:00:00,758.33,908.48,758.33,908.48,10,2012
35,2012-09-18 00:00:00,1201.2,1440.83,1183.0,1440.83,26,2012
36,2012-09-19 00:00:00,1621.32,1622.83,1298.27,1337.7,15,2012
37,2012-09-20 00:00:00,1078.35,1236.08,849.33,849.33,17,2012
38,2012-09-21 00:00:00,843.27,1016.17,679.47,985.83,34,2012
39,2012-09-24 00:00:00,984.32,1160.25,819.0,1046.5,55,2012
40,2012-09-25 00:00:00,1061.67,1061.67,910.0,1058.63,1,2012
41,2012-09-26 00:00:00,850.85,984.32,849.33,849.33,2,2012
42,2012-09-27 00:00:00,729.52,885.73,729.52,885.73,1,2012
43,2012-09-28 00:00:00,834.17,879.67,728.0,819.0,5,2012
44,2012-10-01 00:00:00,728.0,806.87,653.68,653.68,18,2012
45,2012-10-02 00:00:00,621.83,711.32,535.38,679.47,12,2012
46,2012-10-03 00:00:00,665.82,665.82,546.0,546.0,1,2012
47,2012-10-04 00:00:00,517.18,606.67,489.88,489.88,6,2012
48,2012-10-05 00:00:00,530.83,703.73,530.83,696.15,17,2012
49,2012-10-08 00:00:00,652.17,803.83,553.58,803.83,43,2012
50,2012-10-09 00:00:00,802.32,825.07,652.17,656.72,10,2012
51,2012-10-10 00:00:00,726.48,726.48,568.75,674.92,2,2012
52,2012-10-11 00:00:00,580.88,659.75,580.88,656.72,2,2012
53,2012-10-12 00:00:00,568.75,632.45,568.75,632.45,0,2012
54,2012-10-15 00:00:00,568.75,621.83,568.75,621.83,1,2012
55,2012-10-16 00:00:00,561.17,561.17,561.17,561.17,6,2012
56,2012-10-17 00:00:00,555.1,589.98,495.95,580.88,4,2012
57,2012-10-18 00:00:00,579.37,655.2,579.37,655.2,0,2012
58,2012-10-23 00:00:00,526.28,606.67,526.28,606.67,3,2012
59,2012-10-25 00:00:00,530.83,561.17,526.28,558.13,1,2012
60,2012-10-29 00:00:00,544.48,637.0,530.83,635.48,6,2012
61,2012-10-30 00:00:00,633.97,635.48,561.17,627.9,3,2012
