,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2017-12-04 00:00:00,3.81,4.0,3.3,3.69,4547,2017
1,2017-12-05 00:00:00,3.49,3.49,2.8,2.8,2430,2017
2,2017-12-06 00:00:00,2.79,3.2,2.79,2.91,2202,2017
3,2017-12-07 00:00:00,3.0,3.0,2.94,2.94,500,2017
4,2017-12-08 00:00:00,2.95,3.15,2.95,3.15,165,2017
5,2017-12-11 00:00:00,3.15,3.15,2.97,2.97,368,2017
6,2017-12-12 00:00:00,2.97,3.05,2.95,3.05,830,2017
7,2017-12-13 00:00:00,3.06,3.06,3.0,3.0,125,2017
8,2017-12-15 00:00:00,3.19,3.19,3.19,3.19,5,2017
9,2017-12-18 00:00:00,3.19,3.19,3.19,3.19,10,2017
10,2017-12-19 00:00:00,3.19,3.19,3.19,3.19,5,2017
11,2017-12-20 00:00:00,3.19,3.19,2.9,2.9,405,2017
12,2017-12-27 00:00:00,3.04,3.19,3.04,3.19,380,2017
13,2017-12-28 00:00:00,3.1,3.1,2.95,2.95,556,2017
14,2017-12-29 00:00:00,2.95,2.95,2.95,2.95,356,2017
15,2018-01-05 00:00:00,2.9,2.9,2.5,2.5,857,2018
16,2018-01-15 00:00:00,2.6,2.66,2.57,2.66,671,2018
17,2018-01-18 00:00:00,2.68,2.68,2.68,2.68,16,2018
18,2018-01-22 00:00:00,2.7,3.02,2.7,3.02,410,2018
19,2018-01-23 00:00:00,3.02,3.7,3.02,3.5,565,2018
20,2018-01-24 00:00:00,3.5,3.5,3.5,3.5,15,2018
21,2018-01-25 00:00:00,3.36,3.36,3.3,3.3,310,2018
22,2018-01-30 00:00:00,3.16,3.16,3.02,3.04,1249,2018
23,2018-02-06 00:00:00,3.16,3.2,3.16,3.2,100,2018
24,2018-02-07 00:00:00,3.2,3.2,3.2,3.2,5,2018
25,2018-02-12 00:00:00,3.2,3.2,3.2,3.2,10,2018
26,2018-02-13 00:00:00,3.2,3.38,3.18,3.28,1090,2018
27,2018-02-15 00:00:00,3.22,3.22,3.22,3.22,329,2018
28,2018-02-19 00:00:00,3.2,3.2,3.1,3.1,160,2018
29,2018-02-20 00:00:00,3.1,3.1,3.1,3.1,106,2018
30,2018-02-21 00:00:00,3.1,3.1,3.1,3.1,12,2018
31,2018-02-22 00:00:00,3.1,3.1,3.1,3.1,10,2018
32,2018-02-23 00:00:00,3.1,3.1,3.1,3.1,6,2018
33,2018-02-26 00:00:00,3.1,3.1,3.1,3.1,37,2018
34,2018-02-27 00:00:00,3.1,3.1,3.1,3.1,6,2018
35,2018-02-28 00:00:00,3.1,3.1,3.1,3.1,13,2018
36,2018-03-07 00:00:00,3.02,3.1,2.5,3.1,1210,2018
37,2018-03-21 00:00:00,2.5,2.88,2.5,2.88,2000,2018
38,2018-03-26 00:00:00,2.64,2.64,2.64,2.64,171,2018
39,2018-03-27 00:00:00,2.7,2.7,2.7,2.7,50,2018
